EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	54	-54	590805.1293395796	0.0	0	[(833, 0), (1666, 833), (2499, 833), (3332, 833), (4165, 0), (4165, 833), (4165, 0), (4165, 833), (3332, 0), (2499, 833), (1666, 833), (1666, 1666), (2499, 2499), (1666, 1666), (2499, 2499), (3332, 1666), (2499, 833), (3332, 1666), (3332, 2499), (2499, 3332), (1666, 2499), (833, 2499), (0, 2499), (0, 3332), (0, 4165), (0, 3332), (833, 2499), (0, 3332), (833, 2499), (1666, 1666), (2499, 2499), (1666, 1666), (1666, 2499), (2499, 3332), (3332, 2499), (2499, 3332), (1666, 2499), (1666, 3332), (2499, 4165), (2499, 3332), (1666, 3332), (833, 3332), (833, 2499)]
2	54	-54	440133.58000407374	0.0	0	[(833, 0), (0, 0), (833, 0), (0, 833), (833, 0), (0, 0), (833, 833), (0, 1666), (0, 833), (0, 1666), (0, 833), (833, 0), (0, 833), (0, 0), (833, 833), (0, 1666), (833, 833), (1666, 1666), (1666, 833), (1666, 0), (2499, 0), (1666, 0), (833, 833), (833, 1666), (0, 1666), (0, 2499), (833, 1666), (0, 833), (833, 1666), (0, 833)]
3	54	-54	497739.13600488845	0.0	0	[(833, 833), (1666, 1666), (1666, 2499), (2499, 1666), (3332, 1666), (2499, 2499), (1666, 3332), (2499, 3332), (1666, 2499), (1666, 1666), (1666, 833), (833, 833), (0, 1666), (833, 833), (0, 1666), (833, 1666), (1666, 2499), (833, 2499), (0, 3332), (833, 3332), (833, 4165), (833, 3332), (1666, 2499), (1666, 3332), (833, 4165), (833, 3332), (0, 2499), (0, 3332), (833, 3332), (1666, 4165), (1666, 3332), (833, 4165), (1666, 3332), (833, 3332), (1666, 4165)]
4	34	-23	307224.8240032589	0.0	1	[(833, 833), (0, 833), (0, 0), (833, 833), (833, 1666), (0, 1666), (833, 833), (0, 0), (0, 833), (833, 1666), (1666, 1666), (1666, 833), (2499, 0), (3332, 833), (2499, 1666), (1666, 2499), (1666, 1666), (1666, 833), (2499, 1666), (1666, 2499), (2499, 3332)]
5	54	-54	382386.7866693827	0.0	0	[(833, 0), (833, 833), (1666, 0), (833, 833), (833, 0), (0, 833), (0, 0), (833, 833), (0, 833), (0, 0), (833, 833), (833, 0), (1666, 0), (2499, 833), (1666, 0), (833, 0), (0, 0), (833, 0), (833, 833), (0, 0), (0, 833), (833, 0), (0, 0), (833, 0), (0, 833), (0, 1666)]
6	10	1	117402.274667753	0.0	1	[(833, 833), (833, 1666), (1666, 833), (2499, 833), (3332, 1666), (3332, 2499), (4165, 2499), (3332, 3332), (2499, 3332)]
7	47	-36	386193.2240032589	0.0	1	[(833, 833), (0, 0), (0, 833), (833, 1666), (833, 2499), (0, 1666), (0, 833), (0, 1666), (833, 2499), (833, 1666), (0, 1666), (833, 2499), (833, 1666), (0, 2499), (833, 1666), (0, 833), (0, 0), (0, 833), (0, 1666), (0, 2499), (833, 2499), (833, 1666), (1666, 1666), (2499, 2499), (3332, 3332), (2499, 2499), (1666, 2499)]
8	54	-54	515257.49867101194	0.0	0	[(833, 833), (0, 0), (833, 833), (1666, 0), (833, 0), (1666, 0), (833, 0), (833, 833), (1666, 833), (2499, 0), (1666, 0), (2499, 833), (2499, 1666), (2499, 2499), (1666, 2499), (1666, 3332), (1666, 2499), (2499, 3332), (1666, 2499), (2499, 1666), (1666, 1666), (833, 2499), (1666, 3332), (833, 4165), (833, 3332), (833, 4165), (833, 3332), (833, 4165), (1666, 4165), (833, 3332), (833, 2499), (833, 3332), (0, 4165), (833, 3332), (833, 4165), (0, 3332), (833, 3332), (1666, 3332)]
9	54	-54	413361.70533632085	0.0	0	[(833, 833), (833, 0), (0, 0), (833, 0), (0, 833), (833, 0), (1666, 833), (1666, 0), (2499, 0), (3332, 833), (4165, 0), (3332, 0), (3332, 833), (4165, 833), (4165, 0), (3332, 0), (4165, 0), (3332, 833), (2499, 833), (1666, 0), (1666, 833), (1666, 0), (2499, 0), (1666, 833), (833, 1666), (1666, 1666), (2499, 1666), (2499, 833), (1666, 0)]
10	50	-39	490024.8106726413	0.0	1	[(833, 833), (0, 0), (833, 0), (0, 833), (833, 1666), (1666, 2499), (833, 2499), (1666, 3332), (833, 3332), (1666, 4165), (833, 3332), (0, 2499), (833, 1666), (0, 833), (833, 0), (1666, 0), (1666, 833), (2499, 1666), (2499, 2499), (3332, 3332), (2499, 4165), (3332, 4165), (2499, 3332), (1666, 3332), (833, 2499), (1666, 3332), (833, 3332), (1666, 2499), (1666, 3332), (2499, 2499), (2499, 1666), (3332, 833), (2499, 0)]
11	31	-20	270252.30533632066	0.0	1	[(833, 833), (1666, 1666), (2499, 833), (3332, 0), (4165, 0), (3332, 0), (3332, 833), (4165, 0), (3332, 0), (4165, 0), (3332, 833), (2499, 1666), (3332, 833), (2499, 1666), (1666, 1666), (1666, 2499), (2499, 1666), (3332, 2499)]
12	39	-28	348054.5053363208	0.0	1	[(833, 0), (1666, 833), (1666, 1666), (833, 1666), (833, 2499), (0, 3332), (833, 3332), (0, 3332), (833, 4165), (0, 4165), (833, 4165), (833, 3332), (1666, 2499), (1666, 3332), (1666, 4165), (833, 3332), (1666, 2499), (833, 1666), (1666, 2499), (1666, 3332), (833, 4165), (0, 4165), (0, 3332), (833, 4165), (1666, 3332)]
13	30	-19	334547.2240032589	0.0	1	[(833, 0), (0, 0), (833, 0), (833, 833), (833, 0), (833, 833), (1666, 1666), (2499, 833), (3332, 0), (4165, 833), (3332, 0), (4165, 833), (3332, 833), (3332, 1666), (2499, 833), (3332, 1666), (3332, 833), (4165, 833), (3332, 1666), (3332, 2499), (4165, 3332), (3332, 4165), (4165, 3332), (4165, 4165), (4165, 3332)]
14	54	-54	541746.8986710119	0.0	0	[(833, 0), (0, 0), (0, 833), (833, 833), (0, 833), (833, 833), (0, 0), (833, 833), (0, 833), (833, 1666), (833, 833), (833, 0), (0, 833), (0, 1666), (833, 2499), (833, 3332), (1666, 2499), (833, 3332), (0, 2499), (0, 3332), (0, 4165), (833, 3332), (1666, 4165), (833, 4165), (0, 4165), (833, 3332), (1666, 2499), (2499, 3332), (1666, 2499), (1666, 3332), (1666, 2499), (833, 2499), (0, 1666), (833, 2499), (833, 1666), (1666, 1666), (2499, 1666), (2499, 2499), (1666, 2499), (1666, 3332), (833, 3332)]
15	54	-54	524087.2986710119	0.0	0	[(833, 833), (833, 1666), (833, 833), (0, 833), (833, 1666), (0, 833), (833, 833), (1666, 0), (833, 833), (1666, 0), (833, 0), (1666, 0), (1666, 833), (1666, 0), (2499, 833), (3332, 0), (4165, 0), (3332, 0), (2499, 833), (2499, 0), (3332, 833), (3332, 1666), (3332, 833), (3332, 1666), (2499, 2499), (1666, 2499), (2499, 2499), (1666, 2499), (833, 2499), (1666, 1666), (1666, 833), (833, 1666), (833, 2499), (1666, 1666), (1666, 2499), (833, 2499), (833, 1666), (1666, 833), (833, 0)]
16	54	-54	515116.26133713545	0.0	0	[(833, 0), (1666, 0), (2499, 0), (1666, 0), (833, 0), (833, 833), (0, 1666), (0, 2499), (0, 3332), (0, 2499), (833, 3332), (833, 2499), (0, 3332), (0, 4165), (833, 3332), (0, 2499), (0, 3332), (833, 3332), (1666, 4165), (833, 3332), (833, 4165), (833, 3332), (1666, 4165), (2499, 3332), (2499, 4165), (1666, 3332), (1666, 2499), (1666, 1666), (1666, 833), (2499, 833), (3332, 1666), (2499, 1666), (2499, 833), (2499, 0), (2499, 833), (3332, 833), (2499, 0), (3332, 833), (4165, 0)]
17	54	-54	502083.41733795014	0.0	0	[(0, 833), (833, 833), (833, 1666), (0, 833), (833, 0), (1666, 0), (2499, 833), (1666, 833), (2499, 0), (2499, 833), (2499, 1666), (3332, 2499), (2499, 1666), (2499, 2499), (1666, 1666), (833, 2499), (0, 3332), (833, 4165), (833, 3332), (833, 2499), (1666, 2499), (1666, 3332), (2499, 2499), (1666, 3332), (833, 4165), (0, 3332), (0, 4165), (0, 3332), (833, 2499), (1666, 2499), (833, 1666), (833, 833), (0, 1666), (0, 833), (833, 833), (833, 1666)]
18	22	-11	194653.94933550595	0.0	1	[(833, 0), (0, 833), (0, 1666), (833, 2499), (833, 3332), (1666, 4165), (833, 3332), (1666, 4165), (2499, 3332), (3332, 4165), (2499, 4165), (3332, 4165), (4165, 3332)]
19	54	-54	293665.07466775295	0.0	0	[(0, 833), (0, 0), (0, 833), (833, 833), (1666, 833), (2499, 833), (2499, 1666), (1666, 833), (1666, 1666), (1666, 2499), (833, 3332), (0, 4165), (833, 4165), (833, 3332), (833, 2499), (833, 3332), (833, 4165), (833, 3332), (1666, 2499)]
20	54	-54	382528.0240032591	0.0	0	[(0, 833), (833, 1666), (1666, 833), (2499, 0), (3332, 0), (4165, 833), (3332, 1666), (4165, 1666), (3332, 833), (3332, 1666), (4165, 833), (3332, 833), (3332, 0), (3332, 833), (4165, 0), (3332, 833), (3332, 1666), (2499, 833), (3332, 0), (3332, 833), (4165, 0), (3332, 0), (4165, 0), (4165, 833), (4165, 0)]
21	23	-12	218657.03066856772	0.0	1	[(833, 833), (1666, 0), (2499, 833), (3332, 0), (4165, 0), (3332, 0), (3332, 833), (4165, 0), (3332, 0), (3332, 833), (3332, 1666), (4165, 833), (4165, 1666), (3332, 1666), (4165, 2499), (4165, 3332)]
22	54	-54	528431.5800040737	0.0	0	[(0, 833), (833, 1666), (833, 2499), (0, 2499), (833, 1666), (833, 833), (833, 1666), (0, 1666), (0, 833), (0, 0), (833, 833), (833, 0), (0, 0), (833, 833), (1666, 0), (2499, 0), (3332, 0), (2499, 833), (1666, 833), (1666, 1666), (1666, 2499), (1666, 3332), (2499, 4165), (1666, 3332), (833, 4165), (0, 4165), (0, 3332), (833, 2499), (833, 1666), (0, 833), (0, 1666), (833, 1666), (0, 2499), (833, 1666), (1666, 2499), (1666, 1666), (1666, 833), (2499, 1666), (3332, 1666), (4165, 1666)]
