Episode_Group	numSteps	Reward	Energy
1	54.0	-22.0	476798.43560415506
2	54.0	-21.56	476616.19011080003
3	54.0	-21.58	477059.09248413885
4	54.0	-21.8	473504.5745107186
5	54.0	-21.6	472971.9617640411
6	54.0	-21.6	473142.9082706861
7	54.0	-21.58	473311.0300306536
8	54.0	-22.24	473397.9156573148
9	54.0	-22.7	476327.28576404124
10	54.0	-23.14	472517.7604039924
11	54.0	-23.56	472425.2252839761
12	54.0	-23.56	472685.8821639598
13	54.0	-23.34	473832.3437906211
14	54.0	-23.32	473296.906297266
15	54.0	-23.54	474631.2629106374
16	54.0	-23.76	473563.2126706048
17	54.0	-23.76	471872.8393105559
18	54.0	-24.2	472405.45205723343
19	54.0	-24.42	468153.0243238458
20	54.0	-24.22	463987.4822171194
21	54.0	-23.78	465851.6268304908
22	54.0	-23.78	462482.17909710313
23	54.0	-24.0	460531.1488570705
24	54.0	-24.22	458226.92661703785
25	54.0	-24.0	456808.50912368274
26	54.0	-24.22	457607.4282436991
27	54.0	-24.0	456895.394750344
28	54.0	-23.98	456805.68437700527
29	54.0	-24.0	454944.3645103114
30	54.0	-23.78	455303.20600366645
31	54.0	-23.12	455488.276243699
32	54.0	-23.56	455925.52912368276
33	54.0	-23.12	456110.59936371533
34	54.0	-22.9	454952.838750344
35	54.0	-23.12	457876.55936371535
36	54.0	-23.56	458678.30323040916
37	54.0	-23.78	458235.4008570704
38	54.0	-24.0	457887.85835042543
39	54.0	-23.78	458869.02296379686
40	54.0	-23.56	460110.84445715195
41	54.0	-23.98	459763.30195050704
42	54.0	-24.2	458964.38283049077
43	54.0	-23.78	457103.06296379695
44	54.0	-24.02	456040.6622171194
45	54.0	-23.36	455594.9350971031
46	54.0	-22.72	461262.9555771683
47	54.0	-22.7	461077.8853371357
48	54.0	-22.48	461080.71008381323
49	54.0	-22.7	464270.7370705234
50	54.0	-22.48	465862.9258172009
51	54.0	-22.26	464267.9123238459
52	54.0	-22.48	463917.54507052345
53	54.0	-22.9	464094.1410705234
54	54.0	-22.24	464183.8514438622
55	54.0	-22.66	463483.1169372172
56	54.0	-22.44	463396.23131055594
57	54.0	-22.44	464556.8166706048
58	54.0	-22.22	465254.7264305722
59	54.0	-21.98	466050.82080391096
60	54.0	-21.56	470118.178297266
61	54.0	-21.56	469145.48792392726
62	54.0	-21.78	468711.0597906211
63	54.0	-21.78	469507.15416395984
64	54.0	-21.78	470922.7469106374
65	54.0	-21.34	469406.144803911
66	54.0	-21.12	471267.46467060485
