EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	38	59	313062.9867976522	0.0	9	[(600, 600), (0, 1200), (600, 1200), (600, 1800), (600, 1200), (1200, 1200), (1200, 1800), (1800, 1200), (2400, 1200), (1800, 600), (1800, 1200), (2400, 1200), (1800, 1800), (2400, 1800), (1800, 2400), (1200, 1800), (600, 1800), (1200, 2400), (1800, 2400), (1200, 2400), (1800, 1800), (1200, 2400), (600, 1800), (0, 2400), (600, 2400), (1200, 2400), (1800, 2400), (1200, 1800), (1800, 1800), (1200, 2400), (1800, 2400), (1800, 1800), (1200, 2400)]
2	38	15	226846.92629208113	0.0	5	[(0, 600), (600, 0), (1200, 600), (1800, 1200), (1200, 1800), (600, 1200), (1200, 1800), (1200, 2400), (600, 2400), (0, 2400), (600, 2400), (0, 1800), (600, 2400), (1200, 2400), (600, 2400), (0, 2400), (0, 1800), (0, 2400), (600, 2400), (1200, 2400), (1800, 2400), (1200, 2400), (1200, 1800)]
3	38	37	233308.6578651014	0.0	7	[(600, 0), (1200, 600), (1800, 1200), (2400, 600), (1800, 1200), (1800, 600), (2400, 0), (1800, 0), (1200, 0), (1800, 600), (2400, 1200), (1800, 1800), (2400, 2400), (2400, 1800), (1800, 1800), (1200, 1800), (1800, 2400), (1200, 2400), (1800, 2400), (1200, 2400), (600, 2400), (1200, 2400), (1200, 1800)]
4	38	39	239566.92629208113	0.0	7	[(600, 0), (600, 600), (1200, 0), (1800, 0), (1200, 600), (1200, 1200), (600, 1200), (1200, 1800), (1200, 1200), (1800, 600), (1800, 0), (1800, 600), (1200, 1200), (600, 1800), (1200, 1800), (1800, 1200), (2400, 1200), (2400, 1800), (2400, 1200), (1800, 1200), (1800, 600), (1800, 1200), (1200, 1200), (1800, 1200), (2400, 600)]
5	38	59	201406.92629208113	0.0	9	[(600, 600), (0, 1200), (600, 600), (1200, 1200), (1800, 1200), (2400, 600), (2400, 1200), (1800, 1800), (2400, 1800), (1800, 2400), (1200, 2400), (1200, 1800), (1800, 1800), (2400, 1800), (1800, 2400), (2400, 2400), (1800, 2400), (2400, 2400), (1800, 2400)]
6	38	17	261979.52365161155	0.0	5	[(600, 600), (600, 1200), (600, 1800), (0, 2400), (600, 2400), (0, 2400), (0, 1800), (600, 1200), (0, 600), (0, 1200), (0, 1800), (0, 1200), (600, 600), (600, 1200), (0, 1800), (0, 1200), (600, 1800), (600, 2400), (600, 1800), (0, 1800), (0, 2400), (600, 1800), (600, 1200), (1200, 600), (1800, 0), (1200, 0), (600, 600)]
7	38	38	300444.71837067243	0.0	7	[(600, 600), (600, 1200), (1200, 1800), (600, 1200), (0, 600), (0, 1200), (600, 1200), (1200, 600), (1800, 1200), (2400, 600), (1800, 0), (1200, 0), (1800, 600), (1200, 0), (600, 600), (600, 1200), (1200, 600), (1200, 1200), (1800, 1800), (1800, 1200), (1200, 1800), (600, 1800), (1200, 1800), (600, 1200), (1200, 1800), (1800, 1800), (1800, 1200), (1200, 1800), (1200, 1200), (1200, 600)]
8	38	6	249157.79207859127	0.0	4	[(600, 600), (0, 0), (0, 600), (600, 1200), (600, 1800), (600, 1200), (1200, 1200), (1200, 1800), (1200, 1200), (600, 1200), (600, 1800), (0, 1200), (600, 600), (600, 0), (0, 0), (600, 600), (0, 600), (600, 600), (600, 0), (0, 0), (600, 0), (0, 600), (600, 1200), (1200, 600), (1200, 0), (1200, 600)]
9	38	16	293982.9867976521	0.0	5	[(600, 0), (1200, 600), (1800, 600), (1200, 0), (1800, 600), (2400, 0), (2400, 600), (1800, 0), (1800, 600), (1200, 1200), (1800, 600), (1200, 0), (1800, 600), (2400, 600), (1800, 600), (2400, 0), (1800, 600), (1800, 1200), (1200, 600), (1200, 1200), (600, 1200), (1200, 1200), (1800, 1800), (1200, 1800), (600, 1800), (1200, 1200), (1800, 1200), (1800, 1800), (2400, 1200), (2400, 600)]
10	38	17	246028.6578651014	0.0	5	[(600, 600), (600, 0), (1200, 600), (1200, 1200), (600, 1200), (600, 600), (1200, 1200), (600, 1200), (1200, 1800), (600, 1200), (600, 1800), (600, 1200), (600, 600), (1200, 1200), (1800, 1800), (1800, 1200), (1200, 1200), (1800, 1200), (2400, 600), (2400, 1200), (2400, 600), (2400, 1200), (1800, 600), (1800, 0), (2400, 600)]
11	38	27	249259.52365161155	0.0	6	[(600, 0), (1200, 600), (600, 1200), (1200, 1200), (1800, 1800), (1800, 2400), (2400, 1800), (1800, 1800), (1200, 2400), (1800, 1800), (2400, 1800), (1800, 1200), (1800, 1800), (2400, 2400), (1800, 1800), (2400, 1800), (2400, 2400), (2400, 1800), (2400, 2400), (1800, 2400), (2400, 1800), (1800, 1800), (1800, 2400), (2400, 1800), (2400, 2400)]
12	38	-16	207665.19471906085	0.0	2	[(600, 0), (1200, 600), (1800, 1200), (2400, 600), (2400, 0), (1800, 0), (2400, 0), (1800, 600), (2400, 600), (2400, 0), (2400, 600), (1800, 600), (2400, 0), (2400, 600), (1800, 600), (2400, 600), (2400, 0), (2400, 600), (1800, 0), (2400, 0), (1800, 0)]
13	38	28	160016.060505571	0.0	6	[(600, 600), (0, 600), (0, 1200), (600, 1200), (1200, 1200), (1800, 1200), (1200, 1800), (1800, 2400), (1200, 1800), (1800, 2400), (2400, 2400), (1800, 1800), (1200, 1200)]
14	38	49	284493.85258416226	0.0	8	[(600, 600), (0, 0), (600, 600), (600, 0), (1200, 0), (1800, 0), (1200, 0), (600, 600), (1200, 600), (1800, 1200), (2400, 600), (1800, 0), (2400, 600), (1800, 600), (2400, 1200), (2400, 1800), (2400, 1200), (1800, 1800), (1200, 1200), (1800, 1200), (1200, 1800), (600, 1200), (1200, 1800), (1200, 1200), (1800, 600), (1200, 600), (1800, 1200), (1800, 1800)]
15	38	16	265312.121011142	0.0	5	[(600, 600), (0, 600), (600, 0), (0, 600), (600, 0), (600, 600), (0, 1200), (0, 600), (0, 1200), (0, 1800), (600, 1200), (0, 600), (0, 1200), (0, 600), (600, 600), (1200, 600), (1800, 1200), (2400, 600), (1800, 1200), (2400, 600), (1800, 600), (1800, 1200), (1200, 600), (1200, 0), (1800, 600), (1200, 1200)]
16	38	48	278032.121011142	0.0	8	[(600, 0), (0, 600), (600, 1200), (1200, 1200), (1200, 1800), (1800, 1200), (1800, 600), (1200, 0), (1800, 0), (1200, 600), (600, 0), (1200, 600), (600, 0), (600, 600), (1200, 0), (1800, 600), (2400, 1200), (2400, 1800), (1800, 2400), (1800, 1800), (1200, 1800), (1800, 1200), (1800, 1800), (2400, 2400), (2400, 1800), (2400, 1200), (2400, 1800), (1800, 1800)]
17	38	15	179096.060505571	0.0	5	[(0, 600), (600, 0), (1200, 600), (600, 1200), (0, 1800), (0, 2400), (0, 1800), (0, 2400), (600, 2400), (600, 1800), (600, 2400), (1200, 2400), (1800, 2400), (2400, 1800), (1800, 1200), (2400, 1800)]
18	38	28	265108.6578651014	0.0	6	[(600, 0), (1200, 600), (1800, 600), (1800, 0), (2400, 600), (1800, 600), (1800, 1200), (1800, 1800), (2400, 1200), (2400, 1800), (1800, 1200), (2400, 1200), (1800, 600), (1800, 1200), (1800, 600), (2400, 0), (1800, 600), (1200, 1200), (1200, 600), (1200, 0), (600, 0), (1200, 600), (1200, 1200), (1800, 1200), (1800, 600), (1800, 1200), (1200, 600), (600, 600)]
19	38	39	246130.3894381217	0.0	7	[(0, 600), (0, 1200), (600, 1800), (600, 1200), (0, 1800), (600, 2400), (1200, 2400), (600, 1800), (0, 1800), (0, 1200), (600, 600), (1200, 0), (1200, 600), (1800, 1200), (2400, 1200), (2400, 1800), (1800, 1800), (2400, 1200), (1800, 1800), (1200, 1200), (1800, 1800), (2400, 2400), (2400, 1800), (2400, 2400)]
20	38	16	252490.3894381217	0.0	5	[(600, 0), (1200, 0), (600, 600), (1200, 1200), (1800, 1800), (2400, 1200), (2400, 600), (1800, 1200), (2400, 1200), (1800, 1800), (1800, 1200), (1200, 600), (600, 600), (1200, 0), (1200, 600), (600, 0), (1200, 600), (600, 1200), (600, 1800), (0, 1800), (600, 1800), (600, 2400), (0, 1800), (0, 1200), (600, 1200)]
21	38	57	268441.25522463187	0.0	9	[(0, 600), (600, 1200), (600, 1800), (0, 2400), (600, 2400), (1200, 1800), (1200, 2400), (600, 1800), (1200, 1800), (1800, 2400), (2400, 2400), (1800, 1800), (2400, 1200), (1800, 1200), (1200, 1800), (600, 2400), (1200, 1800), (1200, 2400), (600, 1800), (1200, 1800), (1800, 1200), (1800, 1800), (1200, 1200), (600, 1200), (0, 1200), (0, 1800), (0, 2400)]
