Episode_Group	numSteps	Reward	Energy
1	74.0	-15.72	849652.1538293211
2	74.0	-15.74	849551.2404079721
3	74.0	-16.62	846253.3717244532
4	74.0	-16.64	845496.1119885001
5	74.0	-15.98	846885.980672019
6	74.0	-15.78	846455.198567151
7	74.0	-15.8	845610.589619585
8	74.0	-16.02	846788.458303104
9	74.0	-16.46	845196.7627768872
10	74.0	-16.44	847010.6314604062
11	74.0	-15.58	849144.1956701422
12	74.0	-15.36	849881.1090914911
13	74.0	-14.7	854350.0643536613
14	74.0	-14.7	853720.8464585294
15	73.86	-13.04	849874.9777750103
16	73.86	-12.82	850507.5867225763
17	73.86	-13.26	846042.0225128403
18	73.86	-13.26	844551.2404079724
19	73.86	-13.22	843487.8493555384
20	73.86	-12.34	843595.5448817553
21	73.86	-13.22	842747.5448817553
22	73.86	-12.56	842518.5896195851
23	73.86	-12.56	842932.4164622831
24	73.86	-11.68	846445.6761982362
25	73.86	-11.44	845163.5030409341
26	73.86	-11.88	844406.243304981
27	73.86	-12.52	841212.679095245
28	73.86	-12.3	838123.4193592919
29	73.86	-11.88	838661.896990377
30	73.86	-12.34	836841.2462019899
31	73.86	-12.1	836195.0730446879
32	73.86	-11.66	838422.7685709049
33	73.86	-11.42	839694.7685709049
34	73.86	-10.52	837887.6819922538
35	73.86	-10.98	839698.1596233388
36	73.86	-10.32	841730.8104117259
37	73.86	-10.1	840021.2462019899
38	73.86	-10.1	837571.377518471
39	73.86	-10.1	840340.941728207
40	73.86	-11.2	843645.5925165941
41	73.72	-10.02	844265.2880428112
42	73.72	-9.36	844477.2880428112
43	73.72	-8.74	848088.0701476792
44	73.72	-8.5	847458.8522525473
45	73.72	-8.28	844911.4612001132
46	73.72	-8.94	847997.3298836323
47	73.72	-8.72	843309.5925165941
48	73.72	-8.5	842559.114885509
49	73.72	-7.62	847569.938831198
50	73.72	-6.14	848956.4164622831
51	73.72	-6.82	847142.547778764
52	73.72	-7.02	845120.070147679
53	73.72	-7.24	848105.025409849
54	73.66	-5.84	848499.5030409339
55	73.66	-5.4	844979.4612001128
56	73.66	-5.82	844464.7209360659
57	73.66	-5.58	846810.2851458021
58	73.66	-4.28	846699.1985671511
59	73.66	-3.86	848401.9806720191
60	73.66	-2.76	849354.2851458021
61	73.66	-2.96	848176.416462283
62	73.66	-2.52	852110.2851458021
63	73.66	-2.98	850834.8940933681
64	73.66	-3.64	849236.416462283
65	73.8	-4.2	849993.025409849
66	73.8	-3.54	850958.8940933679
67	73.8	-3.54	855333.718039057
68	73.8	-3.74	856289.4135652739
69	73.8	-4.0	855337.109091491
70	73.8	-4.22	857675.891196359
71	73.8	-3.36	856077.413565274
72	73.8	-4.02	852675.240407972
73	73.8	-4.48	853947.240407972
74	73.8	-4.28	850962.2851458021
75	73.8	-4.52	855535.5448817551
76	73.8	-4.1	851921.3717244529
77	73.8	-3.9	854781.676198236
78	73.8	-3.04	858402.631460406
79	73.8	-3.22	859035.240407972
80	73.8	-3.42	863500.8046177081
81	73.8	-3.0	863726.3688274442
82	73.8	-2.36	866388.2375109631
83	73.8	-2.8	868525.192773133
84	73.12	-1.92	863706.4106682651
85	73.12	-1.9	859025.4554060949
86	73.12	-2.16	857208.1956701421
87	73.12	-1.94	852217.718039057
88	73.12	-1.94	856690.0643536609
89	73.12	-1.5	854031.5867225758
90	73.12	-1.94	850626.0225128398
91	73.26	-2.7	848404.4583031036
92	73.26	-2.7	852987.8911963586
93	73.26	-3.3	853953.7598798777
94	73.26	-2.88	855437.7598798777
95	73.26	-2.48	856824.2375109628
96	73.26	-2.5	850760.1956701416
97	73.26	-2.5	854485.4554060947
98	73.26	-2.5	853428.8464585288
99	73.26	-2.72	849807.8911963586
100	73.26	-3.98	845662.0225128396
101	73.26	-3.32	845567.8911963586
102	73.26	-3.54	841738.3269866226
103	73.26	-2.68	839921.0672506696
104	73.32	-4.06	838678.5896195847
105	73.32	-4.5	840818.9359341888
106	73.32	-4.28	843463.8493555378
107	73.32	-4.28	844534.0225128398
108	73.32	-4.48	846458.9777750097
109	73.32	-4.48	845614.3688274437
110	73.32	-4.48	842632.8046177077
111	73.32	-4.7	842424.1956701418
112	73.32	-4.92	837743.2404079719
113	73.32	-3.82	836989.3717244528
114	73.32	-3.16	836985.9806720188
115	73.32	-4.04	835390.8940933679
116	73.32	-4.08	836349.980672019
117	73.32	-3.0	833139.4612001128
118	73.32	-2.78	835915.807514717
119	73.32	-2.52	834737.9388311979
120	73.32	-2.32	830157.8969903769
121	73.32	-2.74	828347.4193592918
122	73.32	-2.54	830376.6790952449
123	73.32	-2.08	826765.8969903769
124	73.32	-2.3	824743.4193592918
125	73.32	-2.74	819968.3327806409
126	73.32	-2.94	818359.681992254
127	73.32	-3.14	816976.5954136029
128	73.32	-2.92	814947.3356776498
129	73.32	-3.6	812517.8133087349
130	73.32	-2.54	811245.8133087349
131	73.32	-3.4	813052.8998873858
132	73.32	-3.62	811127.9446252158
133	73.32	-3.4	808354.9893630459
134	74.0	-4.52	809980.2072581778
135	74.0	-4.96	808597.1206795269
136	74.0	-5.58	806998.6430484419
137	74.0	-5.58	809855.556469791
138	74.0	-5.8	808677.6877862719
139	73.94	-4.66	808950.9056814038
140	73.94	-3.78	810121.9922600549
141	73.94	-3.76	812144.46989114
142	73.94	-3.34	809573.3414716679
143	73.94	-2.9	806490.863840583
144	73.94	-3.76	801379.1264735449
