EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	54	43	457510.7053363208	0.0	9	[(833, 833), (833, 0), (1666, 0), (2499, 833), (1666, 833), (1666, 1666), (1666, 833), (833, 1666), (0, 2499), (0, 3332), (0, 4165), (833, 4165), (833, 3332), (1666, 2499), (2499, 2499), (1666, 1666), (833, 1666), (0, 2499), (833, 2499), (0, 1666), (0, 2499), (833, 3332), (1666, 3332), (1666, 4165), (833, 4165), (833, 3332), (0, 3332), (833, 3332), (1666, 4165), (1666, 3332), (833, 4165), (1666, 4165), (833, 4165), (1666, 4165)]
2	51	57	478567.4546718267	0.0	10	[(833, 833), (1666, 0), (2499, 833), (2499, 0), (3332, 0), (3332, 833), (4165, 0), (3332, 833), (4165, 0), (3332, 0), (3332, 833), (2499, 833), (1666, 1666), (1666, 833), (2499, 1666), (1666, 833), (1666, 0), (2499, 833), (1666, 0), (833, 833), (0, 833), (833, 833), (1666, 0), (833, 833), (833, 1666), (0, 2499), (833, 1666), (0, 2499), (0, 3332), (833, 4165), (1666, 3332), (2499, 3332), (3332, 3332)]
3	50	58	538376.8546718266	0.0	10	[(0, 833), (833, 833), (1666, 0), (833, 0), (833, 833), (1666, 0), (833, 833), (0, 833), (833, 1666), (0, 833), (0, 0), (833, 833), (1666, 0), (833, 0), (1666, 833), (1666, 1666), (2499, 2499), (2499, 3332), (2499, 4165), (2499, 3332), (1666, 4165), (1666, 3332), (2499, 2499), (1666, 2499), (2499, 3332), (1666, 3332), (2499, 2499), (1666, 2499), (833, 1666), (0, 2499), (0, 3332), (833, 3332), (1666, 2499), (2499, 2499), (3332, 1666), (2499, 2499), (2499, 3332), (1666, 3332), (2499, 4165), (3332, 4165)]
4	54	43	404531.90533632087	0.0	9	[(0, 833), (833, 0), (0, 0), (0, 833), (0, 1666), (833, 833), (0, 0), (833, 833), (0, 0), (833, 833), (1666, 833), (2499, 0), (3332, 0), (4165, 833), (4165, 1666), (4165, 2499), (3332, 2499), (2499, 1666), (3332, 1666), (4165, 1666), (3332, 1666), (2499, 2499), (2499, 1666), (1666, 1666), (833, 1666), (0, 833), (0, 0), (833, 0)]
5	54	43	448822.1426701973	0.0	9	[(833, 0), (833, 833), (833, 0), (0, 0), (0, 833), (0, 0), (833, 0), (833, 833), (833, 1666), (1666, 2499), (833, 2499), (833, 1666), (833, 2499), (0, 3332), (833, 3332), (833, 2499), (1666, 1666), (833, 2499), (1666, 3332), (833, 4165), (0, 3332), (833, 4165), (1666, 4165), (1666, 3332), (1666, 4165), (2499, 3332), (1666, 2499), (2499, 1666), (1666, 1666), (2499, 1666), (3332, 833), (2499, 0)]
6	54	43	426818.2613371355	0.0	9	[(833, 0), (833, 833), (0, 0), (833, 0), (1666, 0), (833, 0), (0, 0), (0, 833), (833, 0), (0, 0), (0, 833), (833, 833), (0, 1666), (0, 2499), (833, 1666), (833, 2499), (0, 1666), (833, 2499), (1666, 2499), (2499, 1666), (1666, 833), (833, 1666), (1666, 2499), (1666, 1666), (833, 833), (1666, 1666), (1666, 2499), (833, 3332), (0, 4165)]
7	54	32	564174.4920057032	0.0	8	[(833, 833), (0, 833), (0, 0), (833, 833), (0, 0), (833, 833), (833, 1666), (0, 1666), (833, 2499), (1666, 1666), (2499, 2499), (1666, 1666), (2499, 833), (3332, 833), (2499, 0), (1666, 833), (2499, 833), (1666, 0), (2499, 833), (1666, 1666), (833, 2499), (1666, 2499), (2499, 2499), (2499, 1666), (2499, 2499), (3332, 1666), (2499, 1666), (3332, 833), (3332, 0), (2499, 0), (1666, 0), (2499, 0), (2499, 833), (1666, 833), (2499, 1666), (1666, 833), (833, 0), (0, 0), (0, 833), (833, 0), (833, 833)]
8	54	32	484141.34267019725	0.0	8	[(833, 833), (1666, 0), (833, 0), (833, 833), (833, 0), (1666, 833), (1666, 1666), (833, 1666), (0, 2499), (833, 2499), (0, 1666), (0, 833), (833, 833), (0, 0), (833, 0), (0, 0), (833, 0), (1666, 0), (2499, 0), (3332, 0), (2499, 0), (1666, 0), (833, 833), (0, 1666), (0, 2499), (833, 1666), (1666, 833), (833, 833), (0, 1666), (0, 833), (0, 1666), (833, 833), (0, 833), (0, 1666), (833, 1666), (0, 833)]
9	54	42	515257.498671012	0.0	9	[(0, 833), (833, 1666), (1666, 2499), (1666, 1666), (2499, 1666), (1666, 833), (2499, 1666), (1666, 2499), (833, 1666), (833, 833), (0, 833), (0, 0), (0, 833), (0, 1666), (833, 1666), (833, 833), (833, 0), (1666, 0), (833, 0), (0, 0), (0, 833), (833, 833), (0, 0), (0, 833), (0, 1666), (0, 833), (833, 833), (0, 0), (833, 833), (0, 833), (833, 1666), (0, 2499), (833, 3332), (1666, 2499), (833, 2499), (0, 3332), (833, 2499), (0, 3332)]
10	53	54	526714.8546718266	0.0	10	[(833, 0), (1666, 833), (2499, 833), (1666, 0), (833, 833), (0, 0), (833, 833), (833, 1666), (0, 1666), (0, 833), (833, 833), (1666, 833), (833, 0), (833, 833), (833, 1666), (1666, 1666), (2499, 1666), (3332, 833), (3332, 0), (3332, 833), (3332, 0), (4165, 833), (3332, 0), (4165, 833), (3332, 0), (4165, 833), (3332, 1666), (3332, 833), (2499, 1666), (1666, 1666), (833, 833), (1666, 833), (833, 1666), (0, 2499), (833, 1666), (1666, 1666), (2499, 1666), (3332, 2499)]
11	54	42	506427.69867101195	0.0	9	[(833, 833), (833, 1666), (0, 833), (833, 833), (0, 1666), (0, 2499), (833, 2499), (833, 3332), (0, 2499), (0, 1666), (833, 2499), (1666, 1666), (2499, 2499), (3332, 1666), (3332, 833), (2499, 1666), (3332, 1666), (3332, 833), (2499, 1666), (1666, 833), (2499, 833), (2499, 1666), (2499, 2499), (1666, 2499), (833, 1666), (833, 833), (0, 833), (833, 1666), (833, 833), (833, 0), (833, 833), (0, 0), (833, 833), (0, 0), (833, 0), (0, 0), (833, 0)]
12	54	42	426535.78666938265	0.0	9	[(833, 833), (0, 1666), (833, 2499), (1666, 2499), (2499, 2499), (3332, 1666), (4165, 1666), (4165, 833), (3332, 0), (4165, 0), (3332, 0), (4165, 0), (4165, 833), (4165, 1666), (4165, 2499), (4165, 3332), (3332, 2499), (4165, 2499), (4165, 3332), (4165, 2499), (4165, 1666), (3332, 1666), (2499, 1666), (1666, 1666), (833, 833), (833, 1666), (833, 2499), (0, 3332), (833, 3332), (1666, 4165), (2499, 3332)]
13	54	31	479514.5866693826	0.0	8	[(833, 833), (833, 0), (0, 0), (0, 833), (0, 0), (833, 0), (1666, 833), (833, 833), (833, 0), (0, 833), (0, 0), (0, 833), (833, 1666), (833, 2499), (833, 3332), (0, 3332), (833, 3332), (833, 2499), (833, 3332), (833, 2499), (1666, 3332), (833, 2499), (833, 1666), (833, 2499), (1666, 1666), (833, 2499), (1666, 2499), (1666, 3332), (833, 4165), (0, 4165), (833, 4165), (0, 4165), (0, 3332), (0, 2499), (0, 1666), (833, 2499), (0, 2499)]
