Episode_Group	numSteps	Reward	Energy
1	50.8	46.96	470995.07125739637
2	50.8	46.94	472777.9797374615
3	50.86	46.64	471386.97912409017
4	50.94	46.1	472609.3158707677
5	50.94	46.1	474826.6524841391
6	50.8	46.42	474372.9932308167
7	50.8	46.38	476593.15459086554
8	50.8	46.6	475530.753844188
9	50.8	46.8	477125.7673375431
10	50.8	46.78	476239.9625908655
11	50.82	46.56	476896.6202175267
12	50.82	46.36	476187.4114708491
13	50.82	46.16	478676.7039509144
14	50.3	47.12	475700.21344426944
15	50.3	47.1	475349.846190947
16	50.34	47.1	474011.39669759193
17	50.56	46.68	476755.4429376245
18	50.56	46.68	480040.8297910284
19	50.44	47.02	479890.6361643672
20	50.58	46.62	481944.95840439975
21	50.58	46.62	484605.19739110983
22	50.58	46.62	485213.39677773847
23	50.64	46.08	484708.2009110446
24	51.3	45.02	489926.90864443226
25	51.3	44.82	489929.73339110985
26	51.46	44.18	490249.6053911098
27	51.84	43.6	492074.5268844649
28	51.84	43.8	492251.12288446486
29	51.84	43.8	489506.8230177711
30	51.84	43.6	488977.0350177711
31	52.26	42.98	493012.3754978363
32	52.26	42.96	492308.8162445139
33	52.26	42.52	495863.33421793417
34	52.5	41.86	498204.46208462794
35	52.5	41.64	499449.10832466057
36	52.5	41.64	498389.53232466057
37	52.5	41.62	497243.0706979994
38	52.52	41.38	499051.8394446769
39	52.52	41.62	499937.64419135445
40	52.56	41.38	499846.6656847095
41	52.44	41.5	499789.0071780645
42	52.5	41.0	500618.1679247421
43	52.5	40.78	500264.97592474206
44	52.5	40.98	505136.90203146846
45	52.5	41.42	506731.91552482353
46	52.5	41.2	504783.7100314685
47	52.46	41.44	505502.66115148476
48	52.02	42.1	500819.1372847909
49	52.08	41.82	499868.2142980808
50	52.16	41.1	497903.3488047257
51	52.16	41.08	498079.94480472564
52	52.16	41.1	496299.861071338
53	52.16	41.06	497802.33944467676
54	51.54	42.12	489745.5285912728
55	51.54	42.12	490990.1748313054
56	51.5	42.16	491353.1092046441
57	51.5	42.18	492317.3253379503
58	51.36	42.52	491244.1677112891
59	50.94	43.16	486777.22384459525
60	50.42	43.92	483088.6998445953
61	50.42	43.88	485667.7026979992
62	50.08	44.64	483841.51307133795
63	50.08	44.64	482952.88357798284
64	49.94	44.78	480548.1940846278
65	49.94	44.78	481778.71659127274
66	50.06	44.44	484852.6308313053
67	49.88	44.82	483433.19883130526
68	49.88	44.62	481930.72045796656
69	49.48	45.0	476180.7029646115
70	49.48	45.0	475821.8614712565
71	49.06	45.84	470640.0593645301
72	49.06	45.82	470474.76235124015
73	48.5	46.84	466877.2168578851
74	48.5	47.06	467488.24099119124
75	48.5	47.24	468556.2912312238
76	48.5	47.46	471028.6352312238
77	48.5	47.44	473596.3390979176
78	48.5	47.42	473503.80397790135
79	48.24	48.1	472804.5912312238
80	48.24	48.08	472182.26811120746
81	48.24	48.06	470500.36899119115
82	47.5	49.02	465393.68112449726
83	47.2	50.16	463453.91501777084
84	46.64	51.14	458351.0664043995
85	46.08	52.14	452620.24517765676
86	46.08	52.14	452180.1675509956
87	45.98	52.46	451439.16056428547
88	45.98	52.42	449849.79656428547
89	45.98	52.4	449149.06205764046
90	45.98	52.4	448793.04531096295
91	45.94	52.44	448357.06056428544
92	45.94	52.68	447115.23907093034
93	45.94	52.88	446932.9935775753
94	45.94	52.88	444987.6128308978
95	45.94	52.66	444984.7880842202
96	45.94	52.66	444098.9833375426
97	45.98	52.4	443380.03221752634
98	45.94	52.42	443294.41472417134
99	45.94	52.2	443560.7210975101
100	45.4	53.38	442043.9002175264
101	45.4	53.4	441606.6473375427
102	45.4	53.14	443476.44144426915
103	45.4	53.2	444552.9659243343
104	45.58	53.0	447567.41141768935
105	45.58	52.98	446684.4314176894
106	45.76	52.58	447484.3650443506
107	45.76	52.58	445889.35155099555
108	45.9	52.22	446600.84293762414
109	46.14	51.98	448765.37480431795
110	46.66	51.04	450774.8244309792
111	46.34	51.6	444638.00645755895
112	46.68	50.8	448600.2965642854
113	46.68	50.58	447795.72795091406
114	47.34	49.72	455492.42917765677
115	47.34	49.74	453995.600297673
116	46.64	50.62	447284.1565642854
117	46.36	50.88	444417.3335775752
118	46.1	51.54	443625.58571088145
119	46.02	51.64	444079.4985908651
120	45.9	52.02	441633.55696420395
121	45.74	52.18	439634.61059086514
122	45.74	52.18	441669.7017108815
123	45.76	52.18	442245.12320423656
124	45.52	52.62	439999.3552042366
125	45.26	53.12	438770.35445755906
126	45.26	53.16	438164.979817608
127	45.26	53.18	436216.7743242529
128	45.26	53.22	434361.10395091417
129	45.52	52.74	434880.8959509141
130	44.88	53.6	430324.4953375427
131	44.82	53.88	431709.8464575591
132	45.56	52.92	437444.5069376243
133	45.46	53.04	435837.46843097935
134	46.02	52.26	440853.4314176894
135	46.58	51.28	444546.33677773824
136	46.24	52.04	442720.147151077
137	46.34	51.5	443533.91603106074
138	46.04	52.02	443377.05840439955
139	46.04	52.24	443727.425657722
140	45.6	52.88	440722.9761643669
141	46.1	52.16	441815.11128438317
142	46.08	52.38	442310.56477773824
143	45.54	53.14	438935.2487777382
144	45.54	52.92	436451.6057910281
145	44.92	53.96	430343.0004309793
146	44.68	54.64	431463.85541768937
147	44.68	54.66	431194.72429767303
