Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
16	54	53	93	33	23	173264	289462.0306685681	416999.8000000002	10	8	7
15	54	53	93	22	34	162435	289462.0306685681	416999.8000000002	10	7	8
14	32	53	95	66	22	151606	236649.83066856788	416999.8000000002	10	10	7
12	54	53	97	22	23	129948	289462.0306685681	416999.8000000002	10	9	7
12	54	53	97	22	23	129948	289462.0306685681	416999.8000000002	10	7	7
12	54	53	96	21	23	129948	289462.0306685681	416999.8000000002	10	8	7
13	54	53	95	22	23	140777	289462.0306685681	416999.8000000002	10	7	7
15	54	53	94	22	34	162435	289462.0306685681	416999.8000000002	10	9	8
14	54	53	94	32	1	151606	223026.67466775348	416999.8000000002	10	10	5
13	54	53	95	33	11	140777	289462.0306685681	416999.8000000002	10	9	6
