EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	54	33	519884.25467182667	0.0	8	[(833, 833), (1666, 833), (833, 833), (1666, 0), (833, 0), (0, 0), (833, 833), (833, 1666), (0, 833), (833, 0), (0, 833), (833, 0), (1666, 833), (2499, 833), (3332, 833), (4165, 0), (3332, 0), (2499, 0), (1666, 833), (1666, 0), (2499, 0), (3332, 833), (4165, 1666), (3332, 833), (2499, 833), (2499, 1666), (1666, 833), (1666, 0), (2499, 0), (1666, 833), (1666, 1666), (2499, 2499), (3332, 3332), (4165, 4165), (3332, 4165), (4165, 3332), (4165, 2499)]
2	54	11	519884.2546718267	0.0	6	[(833, 0), (0, 833), (0, 0), (833, 0), (1666, 833), (2499, 1666), (1666, 2499), (2499, 1666), (1666, 2499), (833, 2499), (1666, 2499), (833, 3332), (0, 2499), (833, 1666), (0, 1666), (833, 833), (1666, 833), (833, 1666), (0, 833), (833, 0), (833, 833), (0, 833), (833, 833), (0, 833), (833, 833), (0, 1666), (0, 833), (833, 0), (0, 0), (833, 0), (1666, 833), (833, 833), (1666, 833), (2499, 0), (3332, 833), (4165, 0), (3332, 0)]
3	54	1	461996.224003259	0.0	5	[(833, 0), (0, 0), (0, 833), (833, 833), (833, 1666), (1666, 2499), (833, 3332), (833, 4165), (833, 3332), (1666, 2499), (2499, 3332), (1666, 2499), (1666, 3332), (833, 4165), (0, 4165), (833, 3332), (1666, 2499), (2499, 2499), (1666, 3332), (833, 3332), (0, 3332), (0, 4165), (833, 4165), (0, 3332), (0, 4165), (0, 3332), (833, 4165), (0, 4165), (833, 3332), (0, 3332), (833, 3332), (833, 4165), (833, 3332), (0, 3332)]
4	54	12	492971.14267019724	0.0	6	[(833, 833), (0, 833), (0, 0), (833, 833), (1666, 1666), (2499, 2499), (2499, 1666), (3332, 833), (3332, 1666), (4165, 2499), (4165, 3332), (4165, 4165), (3332, 4165), (4165, 4165), (4165, 3332), (3332, 4165), (4165, 3332), (3332, 2499), (3332, 1666), (2499, 1666), (3332, 1666), (2499, 1666), (3332, 1666), (2499, 2499), (1666, 2499), (1666, 1666), (2499, 833), (1666, 833), (2499, 833), (3332, 0), (4165, 0), (4165, 833), (3332, 833), (4165, 833), (4165, 1666), (3332, 2499), (4165, 2499)]
5	54	-10	439992.3426701973	0.0	4	[(0, 833), (0, 1666), (833, 833), (0, 1666), (0, 2499), (833, 1666), (0, 2499), (0, 3332), (0, 4165), (833, 4165), (0, 3332), (0, 2499), (833, 3332), (1666, 2499), (1666, 3332), (833, 3332), (0, 4165), (833, 4165), (1666, 3332), (2499, 3332), (3332, 4165), (2499, 4165), (1666, 4165), (833, 4165), (833, 3332), (1666, 2499), (1666, 3332), (833, 2499), (0, 3332), (0, 2499), (833, 2499)]
6	54	12	484282.5800040737	0.0	6	[(833, 0), (0, 0), (833, 0), (0, 833), (833, 0), (1666, 833), (2499, 1666), (3332, 1666), (4165, 833), (3332, 1666), (2499, 1666), (1666, 2499), (1666, 1666), (2499, 1666), (2499, 2499), (3332, 2499), (2499, 2499), (1666, 2499), (833, 1666), (833, 833), (833, 0), (0, 833), (0, 1666), (0, 833), (833, 0), (0, 833), (833, 1666), (0, 1666), (0, 833), (833, 833), (0, 1666), (833, 2499), (1666, 1666), (833, 1666), (833, 833)]
7	54	1	453307.66133713553	0.0	5	[(0, 833), (833, 833), (0, 1666), (833, 1666), (0, 833), (0, 1666), (0, 833), (833, 0), (0, 833), (0, 0), (833, 0), (0, 0), (833, 0), (1666, 0), (833, 0), (0, 833), (0, 1666), (0, 2499), (833, 1666), (0, 1666), (833, 2499), (0, 3332), (0, 4165), (833, 3332), (0, 2499), (833, 1666), (0, 1666), (833, 2499), (0, 1666), (0, 2499), (0, 3332), (833, 4165)]
8	54	12	545949.9426701972	0.0	6	[(833, 0), (833, 833), (1666, 1666), (1666, 2499), (833, 3332), (1666, 3332), (833, 3332), (0, 2499), (0, 1666), (833, 1666), (0, 833), (833, 833), (1666, 0), (2499, 833), (3332, 0), (3332, 833), (4165, 833), (4165, 1666), (3332, 1666), (3332, 2499), (3332, 1666), (2499, 2499), (2499, 3332), (1666, 3332), (833, 4165), (1666, 3332), (2499, 3332), (1666, 3332), (1666, 2499), (833, 3332), (833, 2499), (1666, 2499), (1666, 3332), (2499, 4165), (1666, 4165), (2499, 4165), (2499, 3332), (2499, 2499), (3332, 2499), (2499, 2499), (3332, 2499), (2499, 3332), (1666, 3332)]
9	54	-10	431303.7800040738	0.0	4	[(833, 833), (0, 1666), (0, 2499), (0, 3332), (0, 4165), (833, 4165), (1666, 3332), (1666, 2499), (2499, 3332), (1666, 4165), (1666, 3332), (833, 2499), (1666, 1666), (833, 833), (0, 0), (833, 833), (833, 1666), (833, 833), (833, 0), (0, 833), (833, 1666), (1666, 1666), (833, 833), (1666, 833), (1666, 1666), (833, 2499), (833, 1666), (833, 2499), (1666, 3332)]
10	54	1	488485.624003259	0.0	5	[(0, 833), (833, 0), (0, 0), (0, 833), (0, 1666), (833, 1666), (1666, 2499), (2499, 3332), (2499, 4165), (2499, 3332), (1666, 3332), (2499, 2499), (2499, 1666), (3332, 1666), (4165, 2499), (4165, 1666), (4165, 833), (3332, 833), (3332, 1666), (4165, 833), (3332, 0), (2499, 0), (1666, 0), (833, 0), (1666, 833), (833, 1666), (0, 833), (833, 833), (833, 0), (0, 0), (0, 833), (0, 0), (0, 833), (833, 0), (1666, 0), (1666, 833), (2499, 1666)]
