Episode_Group	numSteps	Reward	Energy
1	54.0	5.86	481092.55301736353
2	54.0	5.0	480910.30752400844
3	54.0	5.46	481266.32427068596
4	54.0	5.68	483834.0281373798
5	54.0	5.66	484195.69437741244
6	54.0	6.74	486673.6878707675
7	54.0	6.52	488804.1388574776
8	54.0	6.52	488450.9468574776
9	54.0	6.72	488546.3067241714
10	54.0	6.92	488720.07797749393
11	54.0	6.92	487837.09797749395
12	54.0	7.14	486143.8998707675
13	54.0	6.5	484818.01749742875
14	54.0	6.04	485344.9807507512
15	54.0	6.9	487738.91336412256
16	54.0	7.1	487290.36149742873
17	54.0	7.32	489776.82923081634
18	54.0	8.2	491545.61397749395
19	54.0	8.2	494287.08909751027
20	54.0	8.42	493140.6274708491
21	54.0	9.3	494727.16672417155
22	54.0	8.64	496322.1802175266
23	54.0	8.22	496050.22435083275
24	54.0	8.68	497199.51072417153
25	54.0	8.7	498082.49072417157
26	54.0	8.06	497998.42984418786
27	54.0	7.84	497370.45723081654
28	54.0	6.94	496745.30936412275
29	54.0	7.14	496563.0638707677
30	54.0	7.34	494959.5761373801
31	54.0	7.54	493280.5017640413
32	54.0	7.56	490878.0949106374
33	54.0	8.44	492473.10840399243
34	54.0	8.86	491329.4715240087
35	54.0	7.78	488052.5589106374
36	54.0	7.98	487253.6397906211
37	54.0	8.42	483791.65693721717
38	54.0	8.0	484063.61280391103
39	54.0	8.04	485759.63565731497
40	54.0	8.7	486824.86115067004
41	54.0	8.94	486558.5547773313
42	54.0	9.16	488868.4265107189
43	54.0	9.82	487093.9922706863
44	54.0	9.82	487898.56088405766
45	54.0	9.62	487195.0016307352
46	54.0	9.84	485961.65437741263
47	54.0	10.26	488364.06123081665
48	54.0	11.12	491290.6065908655
49	54.0	11.14	491730.6842175267
50	54.0	11.58	494741.2904575592
51	54.0	12.02	495271.0784575593
52	54.0	12.88	495537.384830898
53	54.0	12.44	493849.8362175267
54	54.0	12.88	494034.9064575593
55	54.0	13.3	494654.4048308981
56	54.0	13.1	492888.44483089814
57	54.0	13.32	491290.60659086553
58	54.0	13.1	493415.4080842206
59	54.0	13.32	491470.0273375431
60	54.0	12.9	493241.63683089806
61	54.0	13.76	494836.65032425313
62	54.0	13.78	495018.89581760817
63	54.0	14.0	497494.06456428574
64	54.0	14.24	497140.87256428576
65	54.0	14.04	495456.14869759197
66	54.0	13.38	497858.5555509959
67	54.0	13.62	497496.8893109634
68	54.0	13.6	498307.1074176898
69	54.0	13.82	501152.41664443247
70	54.0	14.02	501679.37989775493
71	54.0	13.36	499649.93827109376
72	54.0	13.8	500000.3055244162
73	54.0	13.58	499647.1135244162
74	54.0	13.38	497959.5649110449
75	54.0	12.94	498136.1609110449
76	54.0	12.94	498225.8712843837
77	54.0	13.38	500356.3222710938
78	54.0	13.42	496459.9112843837
79	54.0	12.78	494598.59141768987
80	54.0	12.36	494693.95128438366
81	54.0	13.24	495927.29853770614
82	54.0	12.58	496288.96477773867
83	54.0	12.36	495047.1432843836
84	54.0	11.5	494960.2576577224
85	54.0	11.94	495055.61752441624
86	54.0	11.72	494705.2502710938
87	54.0	11.72	495066.9165111264
88	54.0	11.5	495860.18613778753
89	54.0	11.72	496300.2637644488
90	54.0	10.84	494797.7853911101
91	54.0	10.18	494890.3205111264
92	54.0	9.98	492490.73840440006
93	54.0	9.32	491341.4520310613
94	54.0	9.98	491248.91691104503
95	54.0	10.42	492571.9745377063
96	54.0	10.42	493813.7960310614
97	54.0	10.0	494248.22416436754
98	54.0	10.0	491944.00192433497
99	54.0	10.0	491058.1971776575
100	54.0	10.66	489541.5950709311
101	54.0	10.44	489721.0158176086
102	54.0	10.24	488400.7829376249
103	54.0	10.22	491237.617924335
104	54.0	9.34	488664.2645642861
105	54.0	8.7	486004.02557757596
106	54.0	8.9	486441.27845755965
107	54.0	9.32	483867.92509751074
108	54.0	9.74	481117.9757374619
109	54.0	9.32	479960.21512409055
110	54.0	10.42	478449.26251071924
111	54.0	9.56	476234.75064402545
112	54.0	9.56	474199.65952400916
113	54.0	10.0	474471.6153907029
114	54.0	10.2	476425.47037741303
115	53.68	11.36	474457.01925739675
116	53.68	11.82	473652.4506440254
117	53.68	11.6	473038.6017640417
118	53.68	11.4	469744.74067060516
119	53.68	11.18	467967.481683895
120	53.68	11.64	468766.40080391127
121	53.68	12.72	467961.83219053986
122	53.68	13.38	469825.97680391115
123	53.68	13.6	470801.49192392745
124	53.68	13.6	469377.4249372173
125	53.68	14.04	471238.74480391113
126	53.68	14.7	470176.34405723365
127	53.68	14.7	470347.29056387855
128	53.68	15.36	472379.55693721736
129	53.68	16.0	470080.9841905398
130	53.68	15.34	467246.9739505072
131	53.68	14.26	466190.22269718477
132	53.68	14.92	464861.51557716844
133	53.62	15.84	464556.49333713594
134	53.62	16.72	462339.15672376455
135	53.62	17.36	464993.74621711957
136	53.62	17.82	462327.85773705435
137	53.62	17.84	460287.11712368304
138	53.62	18.5	460721.54525698925
139	53.62	18.48	459471.24952360155
140	53.62	18.92	460169.1592835689
141	53.62	18.92	461318.4456569076
142	53.62	18.92	459546.83616355254
143	53.62	19.36	462027.6544035851
144	53.62	18.92	460612.06165690755
145	53.62	19.14	456802.5362968586
146	53.62	19.36	459731.906403585
147	53.62	20.22	456452.1690435362
148	53.62	19.14	458411.6735236014
149	53.62	18.48	458324.78789694014
150	53.62	18.02	456648.5382702789
