Episode_Group	numSteps	Reward	Energy
1	163.0	-73.0	6979.0
2	140.0	-43.0	6029.0
3	158.0	-63.0	6650.0
4	135.0	-33.0	5715.0
5	126.0	-26.0	5440.0
6	140.0	-36.0	5601.0
7	166.0	-70.0	5435.0
8	135.0	-32.0	4178.0
9	133.0	-33.0	4234.0
10	88.0	14.0	2484.0
11	74.0	32.0	2615.0
12	80.0	26.0	2885.0
13	116.0	-16.0	3309.0
14	52.0	55.0	2095.0
15	69.0	37.0	2363.0
16	85.0	19.0	2806.0
17	66.0	40.0	2649.0
18	106.0	-5.0	3025.0
19	155.0	-58.0	3902.0
20	132.0	-31.0	3460.0
21	150.0	-67.0	2964.0
22	57.0	46.0	2273.0
23	89.0	11.0	2637.0
24	83.0	3.0	2034.0
25	22.0	85.0	1197.0
26	65.0	38.0	2033.0
27	107.0	-10.0	3112.0
28	101.0	0.0	4069.0
29	80.0	20.0	4168.0
30	97.0	2.0	4500.0
31	61.0	42.0	1890.0
32	83.0	18.0	2413.0
33	35.0	72.0	1504.0
34	52.0	50.0	2380.0
35	126.0	-33.0	4186.0
36	53.0	51.0	2637.0
37	42.0	63.0	1870.0
38	42.0	63.0	1892.0
39	51.0	53.0	2078.0
40	44.0	61.0	1665.0
41	39.0	68.0	1996.0
42	24.0	83.0	1404.0
43	20.0	87.0	1270.0
44	18.0	89.0	1193.0
45	53.0	49.0	2350.0
46	31.0	76.0	1527.0
47	97.0	2.0	1949.0
48	132.0	-39.0	2317.0
49	84.0	16.0	1927.0
50	117.0	-29.0	2073.0
51	68.0	26.0	1696.0
52	67.0	34.0	1594.0
53	100.0	-3.0	2152.0
54	101.0	-18.0	2037.0
55	87.0	13.0	2145.0
56	87.0	9.0	1930.0
57	32.0	73.0	1153.0
58	31.0	75.0	1397.0
59	65.0	34.0	1620.0
60	31.0	75.0	1158.0
61	20.0	88.0	1065.0
62	52.0	51.0	1586.0
63	32.0	73.0	1101.0
64	17.0	90.0	1035.0
65	32.0	68.0	1115.0
66	48.0	47.0	1171.0
67	81.0	18.0	1977.0
68	13.0	94.0	819.0
69	47.0	57.0	1348.0
70	46.0	56.0	1318.0
71	30.0	74.0	1059.0
72	30.0	74.0	1062.0
73	30.0	76.0	1010.0
74	30.0	76.0	1008.0
75	13.0	94.0	838.0
76	30.0	74.0	1041.0
77	30.0	66.0	942.0
78	29.0	70.0	937.0
79	30.0	69.0	988.0
80	15.0	92.0	935.0
81	13.0	94.0	822.0
82	13.0	95.0	805.0
