Steps_BL	Reward_BL	ener_BL	dist_BL
121	292.0	2645.599999999992	0.0
76	293.0	2213.5999999999963	0.0
37	377.0	1839.1999999999998	0.0
76	336.0	2213.5999999999963	0.0
38	375.0	1848.7999999999997	0.0
56	313.0	2021.599999999998	0.0
34	425	1768.0	0.0
19	437	988.0	0.0
42	372.0	1887.1999999999994	0.0
23	436	1196.0	0.0
22	436	1144.0	0.0
53	315.0	1992.7999999999984	0.0
22	435	1144.0	0.0
85	283.0	2299.9999999999955	0.0
28	430	1456.0	0.0
16	441	832.0	0.0
27	429	1404.0	0.0
52	360.0	1983.1999999999985	0.0
27	431	1404.0	0.0
108	306.0	2520.7999999999934	0.0
36	378.0	1829.6	0.0
15	441	780.0	0.0
22	437	1144.0	0.0
53	361.0	1992.7999999999984	0.0
26	432	1352.0	0.0
50	363.0	1963.9999999999986	0.0
22	435	1144.0	0.0
24	434	1248.0	0.0
38	375.0	1848.7999999999997	0.0
49	365.0	1954.3999999999987	0.0
25	434	1300.0	0.0
27	431	1404.0	0.0
39	374.0	1858.3999999999996	0.0
25	432	1300.0	0.0
34	423	1768.0	0.0
93	276.0	2376.7999999999947	0.0
56	357.0	2021.599999999998	0.0
64	348.0	2098.3999999999974	0.0
63	349.0	2088.7999999999975	0.0
45	368.0	1915.999999999999	0.0
52	361.0	1983.1999999999985	0.0
57	356.0	2031.199999999998	0.0
37	377.0	1839.1999999999998	0.0
31	428	1612.0	0.0
24	433	1248.0	0.0
15	442	780.0	0.0
42	370.0	1887.1999999999994	0.0
46	368.0	1925.599999999999	0.0
77	336.0	2223.199999999996	0.0
22	436	1144.0	0.0
95	229.0	2395.9999999999945	0.0
87	326.0	2319.1999999999953	0.0
65	258.0	2107.9999999999973	0.0
23	433	1196.0	0.0
13	445	676.0	0.0
39	374.0	1858.3999999999996	0.0
38	375.0	1848.7999999999997	0.0
22	436	1144.0	0.0
23	435	1196.0	0.0
67	347.0	2127.199999999997	0.0
27	431	1404.0	0.0
26	433	1352.0	0.0
14	443	728.0	0.0
37	377.0	1839.1999999999998	0.0
25	434	1300.0	0.0
54	358.0	2002.3999999999983	0.0
32	426	1664.0	0.0
19	438	988.0	0.0
57	357.0	2031.199999999998	0.0
45	369.0	1915.999999999999	0.0
47	366.0	1935.199999999999	0.0
39	374.0	1858.3999999999996	0.0
23	436	1196.0	0.0
46	367.0	1925.599999999999	0.0
39	374.0	1858.3999999999996	0.0
28	431	1456.0	0.0
127	241.0	2703.1999999999916	0.0
57	354.0	2031.199999999998	0.0
104	309.0	2482.3999999999937	0.0
20	437	1040.0	0.0
73	338.0	2184.7999999999965	0.0
50	364.0	1963.9999999999986	0.0
23	433	1196.0	0.0
46	368.0	1925.599999999999	0.0
63	261.0	2088.7999999999975	0.0
10	446	520.0	0.0
41	372.0	1877.5999999999995	0.0
15	441	780.0	0.0
24	434	1248.0	0.0
45	369.0	1915.999999999999	0.0
35	422	1820.0	0.0
13	444	676.0	0.0
52	361.0	1983.1999999999985	0.0
24	434	1248.0	0.0
27	432	1404.0	0.0
79	335.0	2242.399999999996	0.0
60	353.0	2059.9999999999977	0.0
51	317.0	1973.5999999999985	0.0
19	439	988.0	0.0
31	427	1612.0	0.0
