EpNum	EpSteps	Reward	ener	dist
1	121	292.0	2645.599999999992	0.0
2	76	293.0	2213.5999999999963	0.0
3	37	377.0	1839.1999999999998	0.0
4	76	336.0	2213.5999999999963	0.0
5	38	375.0	1848.7999999999997	0.0
6	56	313.0	2021.599999999998	0.0
7	34	425	1768.0	0.0
8	19	437	988.0	0.0
9	42	372.0	1887.1999999999994	0.0
10	23	436	1196.0	0.0
11	22	436	1144.0	0.0
12	53	315.0	1992.7999999999984	0.0
13	22	435	1144.0	0.0
14	85	283.0	2299.9999999999955	0.0
15	28	430	1456.0	0.0
16	16	441	832.0	0.0
17	27	429	1404.0	0.0
18	52	360.0	1983.1999999999985	0.0
19	27	431	1404.0	0.0
20	108	306.0	2520.7999999999934	0.0
21	36	378.0	1829.6	0.0
22	15	441	780.0	0.0
23	22	437	1144.0	0.0
24	53	361.0	1992.7999999999984	0.0
25	26	432	1352.0	0.0
26	50	363.0	1963.9999999999986	0.0
27	22	435	1144.0	0.0
28	24	434	1248.0	0.0
29	38	375.0	1848.7999999999997	0.0
30	49	365.0	1954.3999999999987	0.0
31	25	434	1300.0	0.0
32	27	431	1404.0	0.0
33	39	374.0	1858.3999999999996	0.0
34	25	432	1300.0	0.0
35	34	423	1768.0	0.0
36	93	276.0	2376.7999999999947	0.0
37	56	357.0	2021.599999999998	0.0
38	64	348.0	2098.3999999999974	0.0
39	63	349.0	2088.7999999999975	0.0
40	45	368.0	1915.999999999999	0.0
41	52	361.0	1983.1999999999985	0.0
42	57	356.0	2031.199999999998	0.0
43	37	377.0	1839.1999999999998	0.0
44	31	428	1612.0	0.0
45	24	433	1248.0	0.0
46	15	442	780.0	0.0
47	42	370.0	1887.1999999999994	0.0
48	46	368.0	1925.599999999999	0.0
49	77	336.0	2223.199999999996	0.0
50	22	436	1144.0	0.0
51	95	229.0	2395.9999999999945	0.0
52	87	326.0	2319.1999999999953	0.0
53	65	258.0	2107.9999999999973	0.0
54	23	433	1196.0	0.0
55	13	445	676.0	0.0
56	39	374.0	1858.3999999999996	0.0
57	38	375.0	1848.7999999999997	0.0
58	22	436	1144.0	0.0
59	23	435	1196.0	0.0
60	67	347.0	2127.199999999997	0.0
61	27	431	1404.0	0.0
