Episode_Group	numSteps	Reward	Energy
1	52.0	365.0	1862.0
2	44.0	386.0	1618.0
3	33.0	402.0	1525.0
4	47.0	379.0	1813.0
5	40.0	390.0	1667.0
6	47.0	365.0	1686.0
7	33.0	406.0	1522.0
8	53.0	368.0	1848.0
9	39.0	382.0	1570.0
10	39.0	396.0	1600.0
11	55.0	317.0	2609.0
12	59.0	250.0	2533.0
13	46.0	330.0	2136.0
14	45.0	295.0	1938.0
15	54.0	322.0	2446.0
16	51.0	289.0	2153.0
17	52.0	306.0	2499.0
18	46.0	353.0	2119.0
19	39.0	320.0	1886.0
20	43.0	351.0	2005.0
21	44.0	354.0	2123.0
22	43.0	351.0	2025.0
23	42.0	352.0	2078.0
24	41.0	349.0	1858.0
25	46.0	339.0	2093.0
26	54.0	314.0	2509.0
27	32.0	339.0	1498.0
28	44.0	345.0	2034.0
29	37.0	365.0	1773.0
30	38.0	333.0	1480.0
31	53.0	278.0	2078.0
32	41.0	357.0	1799.0
33	48.0	319.0	1882.0
34	41.0	321.0	1682.0
35	44.0	324.0	1751.0
36	46.0	357.0	1983.0
37	41.0	326.0	1575.0
38	49.0	318.0	1755.0
39	44.0	323.0	1479.0
40	46.0	285.0	1606.0
41	46.0	339.0	1719.0
42	51.0	320.0	2225.0
43	51.0	338.0	2058.0
44	41.0	325.0	1672.0
45	42.0	316.0	1573.0
46	41.0	321.0	1523.0
47	33.0	339.0	1226.0
48	35.0	349.0	1345.0
49	52.0	278.0	1644.0
50	45.0	291.0	1449.0
51	39.0	305.0	1342.0
52	67.0	313.0	2111.0
53	38.0	319.0	1451.0
54	36.0	326.0	1119.0
55	37.0	303.0	1221.0
56	35.0	328.0	1289.0
57	37.0	334.0	1422.0
58	42.0	364.0	1337.0
59	48.0	324.0	1652.0
60	46.0	334.0	1628.0
61	41.0	303.0	1429.0
62	47.0	320.0	1876.0
63	36.0	336.0	1418.0
64	39.0	296.0	1188.0
65	44.0	314.0	1110.0
66	32.0	303.0	900.0
67	55.0	262.0	1188.0
68	56.0	234.0	1162.0
69	39.0	300.0	1079.0
70	52.0	247.0	1079.0
71	58.0	254.0	1274.0
72	45.0	304.0	1103.0
73	42.0	270.0	1141.0
74	57.0	309.0	1543.0
75	50.0	312.0	1707.0
76	63.0	282.0	1756.0
77	53.0	287.0	1848.0
78	37.0	320.0	1630.0
79	43.0	315.0	1549.0
80	30.0	314.0	1106.0
81	43.0	337.0	2056.0
82	50.0	249.0	1643.0
83	55.0	289.0	1601.0
84	35.0	328.0	1631.0
85	37.0	325.0	1475.0
86	34.0	328.0	1347.0
87	52.0	274.0	1454.0
88	48.0	242.0	1272.0
89	30.0	300.0	982.0
90	38.0	279.0	1187.0
91	54.0	273.0	1432.0
92	38.0	333.0	1429.0
93	58.0	309.0	1924.0
94	38.0	351.0	1447.0
95	40.0	359.0	1873.0
96	62.0	278.0	1519.0
97	43.0	288.0	1263.0
98	39.0	345.0	1472.0
99	42.0	325.0	1507.0
100	36.0	389.0	1694.0
101	31.0	399.0	1607.0
102	51.0	334.0	1997.0
103	43.0	307.0	1744.0
104	41.0	367.0	1818.0
105	48.0	354.0	2289.0
106	48.0	333.0	1671.0
107	38.0	329.0	1538.0
108	50.0	361.0	2227.0
109	53.0	292.0	1778.0
110	44.0	337.0	1674.0
111	46.0	379.0	1966.0
112	39.0	382.0	1979.0
113	52.0	338.0	2373.0
114	43.0	355.0	1906.0
115	34.0	346.0	1183.0
116	38.0	253.0	1019.0
117	53.0	260.0	1382.0
118	35.0	350.0	1470.0
119	54.0	308.0	2020.0
120	40.0	376.0	2121.0
121	39.0	387.0	1895.0
122	37.0	388.0	1777.0
123	40.0	349.0	1899.0
124	40.0	381.0	1772.0
125	48.0	323.0	1624.0
126	52.0	292.0	1716.0
127	51.0	348.0	1835.0
128	40.0	367.0	1831.0
129	50.0	335.0	2039.0
130	40.0	367.0	2013.0
131	42.0	333.0	1426.0
132	38.0	324.0	1467.0
133	49.0	304.0	1377.0
134	49.0	332.0	2157.0
135	63.0	273.0	1625.0
136	53.0	228.0	1225.0
137	45.0	290.0	1245.0
138	73.0	259.0	1513.0
139	67.0	215.0	1428.0
140	55.0	320.0	1648.0
141	52.0	319.0	1478.0
142	39.0	363.0	1477.0
143	54.0	295.0	1418.0
144	28.0	370.0	1275.0
145	41.0	389.0	1972.0
146	57.0	332.0	2103.0
147	52.0	333.0	1822.0
148	48.0	319.0	1437.0
149	46.0	330.0	1667.0
150	80.0	278.0	1859.0
151	41.0	357.0	1912.0
152	30.0	368.0	1425.0
153	41.0	312.0	1361.0
154	35.0	296.0	1164.0
155	29.0	338.0	1066.0
156	37.0	334.0	1371.0
157	41.0	322.0	1471.0
158	37.0	366.0	1395.0
159	45.0	295.0	1314.0
160	53.0	269.0	1298.0
161	34.0	341.0	1218.0
162	64.0	276.0	1509.0
163	38.0	301.0	1155.0
164	28.0	379.0	1376.0
165	35.0	376.0	1543.0
166	52.0	292.0	1499.0
167	46.0	321.0	1320.0
168	56.0	325.0	1686.0
