EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	54	-33	523946.0613371355	0.0	2
2	54	-2	409017.4240032591	0.0	5
3	54	29	386731.0680024443	0.0	8
4	54	29	470967.26133713545	0.0	8
5	54	-1	573145.5293395793	0.0	5
6	54	-2	479797.06133713556	0.0	5
7	54	9	488485.624003259	0.0	6
8	54	29	426959.49867101206	0.0	8
9	45	59	444144.6613371354	0.0	10
10	54	-2	484423.81733795034	0.0	5
11	41	63	405031.7053363207	0.0	10
12	54	-54	404955.6173379502	0.0	0
13	54	39	493394.8546718267	0.0	9
14	54	29	471249.7360048885	0.0	8
15	54	40	577631.0480065179	0.0	9
16	54	-33	466764.21733795013	0.0	2
17	54	-22	431303.7800040738	0.0	3
18	54	8	528996.5293395796	0.0	6
19	54	-23	586460.848006518	0.0	3
20	54	-33	488768.0986710121	0.0	2
21	54	-1	537543.8546718267	0.0	5
22	54	8	449104.6173379504	0.0	6
23	54	30	497739.13600488845	0.0	8
24	54	-43	462137.4613371354	0.0	1
25	54	29	506286.46133713535	0.0	8
26	54	29	426535.78666938253	0.0	8
27	54	-2	444195.3866693825	0.0	5
28	54	40	338096.54933550634	0.0	9
29	54	-11	502083.41733795026	0.0	4
30	54	30	439851.10533632076	0.0	8
31	54	-1	471108.498671012	0.0	5
32	54	-2	466622.9800040737	0.0	5
33	54	29	608605.9666734564	0.0	8
34	54	29	533058.3360048884	0.0	8
35	54	-2	431162.5426701973	0.0	5
36	54	-2	484141.3426701973	0.0	5
37	34	70	364547.9053363207	0.0	10
38	54	29	528431.5800040737	0.0	8
39	54	39	590663.8920057032	0.0	9
40	54	-23	488485.62400325906	0.0	3
41	54	30	572863.0546718268	0.0	8
42	38	66	359088.14933550596	0.0	10
43	54	-54	520025.4920057032	0.0	0
44	54	30	444477.8613371355	0.0	8
45	54	-22	475452.7800040737	0.0	3
46	54	-2	564174.4920057032	0.0	5
47	52	52	498085.0173379502	0.0	10
48	54	-23	510913.21733795013	0.0	3
49	54	10	519743.0173379501	0.0	6
50	54	29	461854.9866693826	0.0	8
51	54	-1	488626.86133713555	0.0	5
52	54	-2	475311.5426701972	0.0	5
53	54	-2	501942.1800040738	0.0	5
54	50	54	480630.0613371355	0.0	10
55	32	72	333918.86800244416	0.0	10
56	54	29	493253.6173379502	0.0	8
57	54	-12	546373.6546718266	0.0	4
58	54	-2	395843.3426701974	0.0	5
59	54	-54	515116.26133713545	0.0	0
60	54	29	515398.7360048885	0.0	8
61	54	-33	395560.8680024444	0.0	2
62	54	9	484282.5800040738	0.0	6
63	49	55	411771.7933346914	0.0	10
64	54	-1	572721.8173379501	0.0	5
65	54	-43	368930.23066856776	0.0	1
66	54	29	497597.89867101196	0.0	8
67	54	-23	488626.8613371355	0.0	3
68	54	-12	568801.2480065179	0.0	4
69	54	29	417847.2240032591	0.0	8
70	54	-12	422332.74267019733	0.0	4
71	54	-22	626265.5666734563	0.0	3
72	54	29	444336.624003259	0.0	8
73	54	39	475311.5426701973	0.0	9
74	54	29	533058.3360048884	0.0	8
75	54	29	461713.7493355061	0.0	8
76	54	-12	524228.5360048884	0.0	4
77	46	59	463944.69867101195	0.0	10
78	54	-12	501518.46800244425	0.0	4
79	54	-12	444619.0986710119	0.0	4
80	54	29	470684.78666938253	0.0	8
81	54	-23	488768.098671012	0.0	3
82	54	-2	541746.898671012	0.0	5
83	54	18	391216.5866693827	0.0	7
84	50	55	493804.1426701972	0.0	10
85	54	-2	431021.3053363209	0.0	5
86	54	29	426394.549335506	0.0	8
87	54	39	466481.7426701973	0.0	9
88	54	30	466622.98000407376	0.0	8
89	54	-43	351553.10533632076	0.0	1
90	54	-12	475311.54267019726	0.0	4
91	54	9	501659.7053363208	0.0	6
92	54	39	492971.1426701973	0.0	9
93	54	18	461996.22400325903	0.0	7
94	54	18	488203.149335506	0.0	7
95	54	-54	267034.4373338766	0.0	0
96	54	18	453448.898671012	0.0	7
97	54	39	502083.4173379502	0.0	9
98	54	18	404390.6680024443	0.0	7
99	54	-2	484282.58000407385	0.0	5
100	54	-13	497739.13600488845	0.0	4
101	54	-33	462278.6986710119	0.0	2
102	54	-23	418129.6986710121	0.0	3
103	54	-2	484282.58000407374	0.0	5
104	54	40	497315.424003259	0.0	9
105	29	75	266112.6680024442	0.0	10
106	54	-1	515539.9733387649	0.0	5
107	54	18	572863.0546718268	0.0	7
108	54	29	413079.2306685678	0.0	8
109	54	18	497597.89867101196	0.0	7
110	54	29	457793.1800040738	0.0	8
111	54	39	515398.73600488843	0.0	9
112	54	29	470684.7866693826	0.0	8
113	54	29	470826.024003259	0.0	8
114	54	18	506427.698671012	0.0	7
115	38	66	288308.51200162945	0.0	10
116	54	18	479938.298671012	0.0	7
117	46	58	375222.9866693826	0.0	10
118	54	29	608041.0173379502	0.0	8
119	31	73	327575.38666938245	0.0	10
120	52	52	418193.10533632076	0.0	10
121	46	58	490716.5733387649	0.0	10
122	54	29	479514.5866693826	0.0	8
123	34	70	280311.7120016296	0.0	10
124	54	29	422332.7426701974	0.0	8
125	54	29	484423.8173379503	0.0	8
126	54	19	466764.2173379503	0.0	7
127	54	39	475594.01733795024	0.0	9
128	54	39	462561.1733387651	0.0	9
129	54	29	413502.94267019734	0.0	8
130	48	56	459113.298671012	0.0	10
131	22	82	225628.86800244421	0.0	10
132	54	29	364585.9493355062	0.0	8
133	54	29	497456.6613371355	0.0	8
134	54	-22	328984.27466775314	0.0	3
135	54	39	519743.01733795024	0.0	9
136	54	29	475452.78000407375	0.0	8
137	54	50	404249.43066856795	0.0	10
138	25	79	191539.27466775294	0.0	10
139	54	29	488626.86133713555	0.0	8
140	52	52	511117.8613371355	0.0	10
141	54	9	439851.1053363208	0.0	6
142	45	60	417514.02400325896	0.0	10
143	31	74	309915.7866693825	0.0	10
144	36	68	390832.6613371355	0.0	10
145	51	53	478002.5053363208	0.0	10
146	29	75	323718.22400325886	0.0	10
147	46	58	392882.5866693825	0.0	10
148	51	53	442824.54267019726	0.0	10
149	54	30	457934.41733795014	0.0	8
150	54	9	488626.86133713555	0.0	6
151	28	76	361523.74267019716	0.0	10
152	54	29	461996.2240032591	0.0	8
153	54	18	528714.0546718267	0.0	7
154	54	39	426535.78666938265	0.0	9
155	54	29	404249.43066856795	0.0	8
156	54	29	435648.0613371356	0.0	8
157	54	39	462137.4613371356	0.0	9
158	54	40	431303.78000407387	0.0	9
159	40	64	389858.424003259	0.0	10
160	54	29	426535.7866693826	0.0	8
161	30	74	263202.6373338765	0.0	10
162	24	80	211685.19333469126	0.0	10
163	54	29	355897.3866693827	0.0	8
164	24	80	224859.27466775302	0.0	10
165	54	-33	444477.8613371355	0.0	2
166	32	72	316259.2680024442	0.0	10
167	46	59	433111.0173379502	0.0	10
168	54	29	488485.62400325906	0.0	8
169	44	60	344593.9493355061	0.0	10
170	41	64	360882.7053363208	0.0	10
