Episode_Group	numSteps	Reward	Energy
1	52.8	10.4	480785.0990709306
2	52.8	11.04	480078.71507093066
3	52.8	11.04	481404.59744426946
4	52.8	10.42	483708.8196843021
5	52.72	10.92	483902.0756843021
6	52.28	12.38	479117.5424575594
7	52.28	13.0	479386.6735775757
8	52.28	12.58	480544.43419094704
9	52.28	11.96	479922.1110709307
10	52.46	9.7	481341.5430709307
11	52.46	10.32	481961.0414442695
12	52.72	8.4	481771.62469759193
13	52.72	9.66	483358.16395091446
14	52.62	9.98	481725.70272417174
15	52.62	9.38	483755.1443508329
16	52.62	7.72	479581.12800407386
17	52.62	8.96	480197.8016307351
18	52.62	8.94	481344.26325739635
19	52.62	8.54	482140.3576307352
20	52.62	9.58	478768.08515067
21	52.62	10.0	477439.37803065375
22	52.62	9.58	479213.8122706863
23	52.62	10.0	479118.4524039925
24	52.62	10.18	478669.9005372987
25	52.62	11.62	480088.31803065375
26	52.62	11.62	479196.86379062117
27	52.62	10.8	481150.71877733135
28	52.46	12.02	481545.70501736394
29	52.46	10.98	484814.1433907028
30	52.46	10.96	483664.857017364
31	52.46	10.94	484281.5306440252
32	52.46	10.5	484634.7226440252
33	52.46	10.5	486137.20101736404
34	52.46	10.28	481789.4134172826
35	52.38	10.8	481004.32955058874
36	52.38	10.8	481001.5048039112
37	52.38	11.42	479846.56893721735
38	52.78	10.8	481885.2456838949
39	52.78	10.82	480649.0736838949
40	52.78	9.18	475866.8579505072
41	52.78	9.4	475603.376323846
42	52.78	8.98	474179.30933713587
43	53.1	8.44	476856.9692038296
44	53.1	9.88	475696.3838437807
45	53.1	9.64	476570.88960374816
46	53.1	9.0	472402.5227503443
47	53.1	9.4	470188.0108836505
48	53.14	9.14	470267.97888365044
49	53.14	9.96	468137.52789694036
50	53.14	9.72	467428.31915026275
51	53.14	8.88	468146.00213697285
52	53.14	8.24	467619.0388836504
53	53.14	7.82	466475.4020036667
54	53.14	7.82	466122.21000366664
55	53.22	7.54	466455.9172569891
56	53.16	7.6	465099.7932569891
57	53.16	7.0	465545.5203770054
58	53.16	7.6	466075.30837700545
59	53.16	8.22	466420.0261369728
60	53.16	9.66	466069.6588836504
61	53.16	9.66	464917.5477636341
62	53.16	11.1	467314.305123683
63	53.16	11.5	467042.34925698914
64	53.26	10.98	468223.4338703605
65	53.26	11.36	466897.55149702175
66	52.94	13.54	465285.11712368304
67	52.94	13.32	464931.925123683
68	52.78	14.94	462663.8476303279
69	52.78	15.76	463448.6430169566
70	52.32	16.64	461643.2062702791
71	52.28	17.92	461560.41352360154
72	52.12	19.52	458849.4336569077
73	52.12	19.52	459552.9929102302
74	51.72	20.14	455652.99629685876
75	51.72	20.14	453438.484430165
76	51.72	20.14	453892.6857902139
77	51.72	20.76	452743.3994168751
78	51.88	20.36	452976.3857902139
79	51.88	21.38	452197.23989694024
80	51.88	22.2	451574.9167769239
81	51.76	22.74	451343.4870169565
82	51.12	24.84	446080.7024035852
83	51.12	25.46	442537.48341687507
84	51.12	25.68	444662.2849102302
85	51.2	24.14	441365.88755018136
86	51.2	24.96	443140.32179021393
87	51.2	24.96	444121.4864035853
88	51.2	25.18	442876.84016355267
89	50.62	26.16	437375.16605682636
90	50.62	27.6	440116.6411768427
91	50.58	28.88	440832.7675501814
92	50.58	28.88	439596.5955501814
93	50.4	29.3	438087.4531768427
94	49.94	30.42	435045.84443016513
95	49.58	31.42	433098.4346701977
96	49.52	33.56	437317.7960302466
97	49.02	34.7	434723.18253689155
98	48.86	35.08	432539.16592352017
99	48.8	35.78	433307.8434168752
100	48.8	36.42	432780.88016355276
101	48.8	36.86	432598.63467019773
102	48.28	39.04	430583.5355501814
103	48.28	40.08	431460.8660568263
104	48.28	40.48	432349.4955501814
105	48.28	40.46	430933.90280350385
106	48.78	39.54	433696.6380568263
107	48.78	40.14	432098.7998167937
108	48.78	40.56	429884.28795009985
109	48.78	40.78	430248.77893681
110	48.5	41.7	428093.9894434549
111	48.5	41.7	427468.841576761
112	48.02	42.4	422424.9196033408
113	47.42	43.42	417244.92773664696
114	47.42	43.42	414946.3549899694
115	46.82	44.66	409314.98650990427
116	47.14	42.68	412438.3734966144
117	46.7	43.76	409164.79288324306
118	46.7	43.78	410322.5534966144
119	46.7	43.78	407931.4456299205
120	46.96	43.52	408271.8168832429
121	46.74	43.76	407125.608883243
122	46.9	43.38	404872.1275231941
123	46.86	43.84	404792.15952319413
124	47.26	43.22	408518.384883243
125	46.84	44.06	404752.17552319414
126	46.6	44.72	402141.9165364841
127	46.34	45.6	400024.28629645146
128	46.34	45.42	398333.91293640254
129	46.34	45.22	399564.4354430475
130	46.34	45.22	399741.0314430475
131	45.98	45.58	396007.88845633744
132	46.62	44.72	398963.62608299864
133	46.62	44.5	397814.33970966
134	46.34	45.22	395749.2605896436
135	46.14	46.86	396950.08357635373
136	46.14	46.86	395797.97245633736
137	46.14	47.06	393844.11746962724
138	46.14	46.84	393754.4070962885
139	46.72	46.06	399345.79157635366
140	46.72	46.26	397484.47170965985
