EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	14	92	116569.27466775298	0.0	10	[(833, 833), (1666, 1666), (833, 1666), (0, 1666), (0, 833), (833, 0), (833, 833), (0, 0)]
2	6	99	51799.91866693825	0.0	10	[(833, 833), (833, 0), (0, 0), (833, 0)]
3	26	79	251144.03066856772	0.0	10	[(833, 833), (1666, 833), (2499, 833), (2499, 0), (2499, 833), (1666, 0), (833, 833), (1666, 0), (2499, 0), (1666, 0), (2499, 0), (3332, 0), (2499, 833), (3332, 833), (4165, 833), (4165, 0), (3332, 833), (4165, 0), (3332, 0)]
4	10	94	82083.07466775298	0.0	10	[(833, 833), (0, 1666), (0, 2499), (833, 3332), (1666, 4165)]
5	8	96	73599.15600081474	0.0	10	[(833, 833), (0, 833), (833, 0), (1666, 833), (2499, 833)]
6	40	66	327908.5866693825	0.0	10	[(833, 0), (1666, 0), (833, 833), (0, 1666), (0, 2499), (833, 1666), (1666, 1666), (2499, 1666), (2499, 2499), (3332, 2499), (2499, 2499), (2499, 3332), (3332, 2499), (2499, 1666), (3332, 1666), (2499, 2499), (3332, 3332), (4165, 4165), (3332, 4165), (2499, 4165), (3332, 4165), (4165, 3332), (3332, 2499)]
7	27	78	208852.99333469121	0.0	10	[(833, 0), (0, 0), (833, 833), (833, 0), (833, 833), (0, 0), (833, 833), (833, 1666), (833, 833), (833, 1666), (0, 2499), (0, 1666), (833, 1666), (0, 833), (0, 0)]
8	9	97	66627.31866693824	0.0	10	[(833, 0), (0, 833), (0, 1666), (0, 2499), (0, 1666)]
9	18	87	164512.0306685677	0.0	10	[(833, 0), (0, 833), (833, 0), (1666, 833), (833, 0), (0, 0), (833, 833), (0, 833), (833, 0), (1666, 833), (2499, 833)]
10	5	99	58630.518666938246	0.0	10	[(0, 833), (0, 0), (0, 833), (833, 1666), (833, 2499)]
11	24	81	238174.59333469122	0.0	10	[(833, 833), (1666, 833), (1666, 1666), (2499, 1666), (1666, 833), (2499, 833), (1666, 1666), (833, 1666), (1666, 1666), (2499, 1666), (3332, 833), (3332, 1666), (2499, 1666), (2499, 2499), (2499, 1666), (2499, 833), (3332, 833), (4165, 1666), (4165, 2499)]
12	41	65	440915.85467182664	0.0	10	[(0, 833), (833, 833), (0, 833), (833, 1666), (0, 833), (833, 1666), (0, 2499), (833, 3332), (0, 2499), (0, 1666), (0, 833), (0, 1666), (833, 1666), (0, 2499), (833, 3332), (0, 4165), (833, 3332), (0, 4165), (833, 3332), (1666, 4165), (2499, 3332), (2499, 2499), (1666, 1666), (2499, 833), (3332, 1666), (2499, 1666), (3332, 1666), (4165, 1666), (3332, 833), (4165, 0), (3332, 0)]
13	7	98	49313.6	0.0	10	[(0, 833), (0, 1666), (833, 1666), (0, 1666)]
14	27	79	270944.06800244417	0.0	10	[(833, 833), (1666, 0), (2499, 0), (1666, 0), (2499, 833), (1666, 0), (1666, 833), (1666, 1666), (2499, 1666), (3332, 1666), (2499, 1666), (3332, 833), (4165, 833), (4165, 1666), (3332, 833), (3332, 1666), (2499, 833), (1666, 0), (833, 0), (0, 833)]
15	15	91	109738.67466775299	0.0	10	[(0, 833), (0, 0), (833, 0), (0, 833), (833, 0), (0, 833), (833, 1666)]
16	6	98	51799.91866693825	0.0	10	[(833, 0), (833, 833), (0, 1666), (0, 833)]
17	31	75	296459.23066856776	0.0	10	[(0, 833), (0, 1666), (833, 2499), (833, 1666), (833, 833), (1666, 833), (1666, 1666), (1666, 2499), (833, 2499), (1666, 1666), (833, 1666), (0, 1666), (0, 833), (833, 0), (0, 0), (833, 833), (833, 0), (1666, 833), (833, 833), (833, 0), (0, 833), (833, 833), (0, 1666)]
18	24	82	189822.54933550593	0.0	10	[(833, 833), (0, 0), (833, 0), (0, 833), (833, 833), (0, 1666), (833, 833), (1666, 0), (2499, 0), (2499, 833), (3332, 1666), (4165, 833)]
19	18	87	124424.83733387646	0.0	10	[(833, 0), (1666, 833), (1666, 0), (833, 833), (1666, 833), (833, 833), (0, 833), (0, 0), (833, 0)]
