Episode_Group	numSteps	Reward	Energy
1	20.54	84.62	175551.20994806255
2	20.72	84.44	176530.56432140135
3	21.44	83.72	182312.12642812778
4	21.6	83.56	182901.1295481441
5	21.6	83.56	182365.692054789
6	21.62	83.54	182405.676054789
7	21.1	84.06	177113.66432140133
8	20.78	84.38	175327.45869474008
9	21.16	84.0	178035.36018809513
10	21.84	83.34	184171.38242812772
11	22.04	83.16	185016.949548144
12	22.26	82.94	186516.349548144
13	21.62	83.56	179652.90194806253
14	21.7	83.5	180880.88818809512
15	21.54	83.64	177637.29557472377
16	22.32	82.62	185394.48005478896
17	22.48	82.48	186244.14005478896
18	22.64	82.3	186123.93442812774
19	22.52	82.4	184905.6905614339
20	22.6	82.32	186397.15842812773
21	22.26	82.66	182443.3425614339
22	22.6	82.32	184269.53218809515
23	22.62	82.26	183597.48269474006
24	22.62	82.3	184034.73557472377
25	23.1	81.82	189510.26093477264
26	23.02	81.88	186606.02506807883
27	23.1	81.8	187208.86344141758
28	23.28	81.62	189247.79381475635
29	23.5	81.38	191276.98181475632
30	23.86	80.98	193145.9801880951
31	23.58	81.24	190374.51706807883
32	23.12	81.7	187330.08357472374
33	22.38	82.4	179650.04234798104
34	22.38	82.42	181514.1869613524
35	22.64	82.18	184604.50757472374
36	22.66	82.16	185443.41069474004
37	22.18	82.64	180943.40045470747
38	21.78	83.08	179787.70370802993
39	21.4	83.48	177875.89658801365
40	22.0	82.88	180398.4742146749
41	22.42	82.48	181938.87272131984
42	22.48	82.44	184895.65970802997
43	23.14	81.54	191171.1186947401
44	23.9	80.56	197559.61205478894
45	24.7	79.52	203147.91816151538
46	24.4	79.78	200513.0670414991
47	24.32	79.86	200442.84141483787
48	24.58	79.62	203177.1452815317
49	24.66	79.54	204489.192401548
50	24.34	79.86	201632.11178817664
51	24.16	80.02	199766.95266816035
52	24.02	80.14	198688.14554814406
53	23.54	80.64	194801.98418809514
54	23.18	81.0	192750.74032140133
55	23.26	80.96	193443.28906807888
56	23.44	80.8	195754.17530811147
57	23.92	80.32	201229.70066816037
58	24.28	79.98	205044.07978817663
59	24.58	79.68	206526.81978817665
60	23.78	80.46	199441.6848014665
61	23.74	80.5	199448.60242812775
62	23.22	81.02	195230.29042812774
63	23.56	80.7	198118.88080146656
64	23.98	80.26	200814.2151748053
65	23.9	80.34	200741.16480146654
66	23.18	81.3	194432.63944141765
67	23.22	81.26	194871.4489347727
68	22.62	81.84	191107.0498147564
69	22.44	82.0	190307.11618809518
70	22.8	81.66	194480.33680146653
71	22.46	82.02	192914.804054789
72	22.4	82.08	193773.19192148288
73	22.26	82.22	192167.4215481441
74	22.4	82.02	193164.99253485422
75	22.0	82.42	189707.89829482164
76	22.02	82.42	189924.47829482163
77	21.96	82.44	189008.4319214829
78	22.02	82.4	190014.18866816044
79	21.92	82.5	189110.709414838
80	21.42	83.04	184567.89042812787
81	21.68	82.78	187033.06317480537
82	21.66	82.8	186199.8095481441
83	21.54	82.94	185873.0199214829
84	21.48	83.0	185666.18229482166
85	21.48	83.02	183720.8015481441
86	21.8	82.7	184974.39442812782
87	21.92	82.6	185121.7633081115
88	22.06	82.44	183187.13944141768
89	21.94	82.52	182507.15781475644
90	21.34	83.14	180334.9474414177
91	20.86	83.6	178141.98418809523
92	20.84	83.58	177039.59944141767
93	20.04	84.6	170484.25245470754
94	19.3	85.56	165116.90770803002
95	18.64	86.44	161582.92384133616
96	19.46	85.62	168088.5444547075
97	19.72	85.36	168871.81808136872
98	19.46	85.64	165691.78709465862
99	19.72	85.38	166654.4814679974
100	20.64	84.26	173623.50370802998
101	20.96	83.94	174706.15008136875
102	20.86	84.02	173797.0213346912
103	20.7	84.18	172238.15258801368
104	20.76	84.12	170676.20546799735
105	20.7	84.16	170732.84946799732
106	21.02	83.86	170481.13922796477
107	21.12	83.74	169887.78960130352
108	20.76	84.1	165714.56898793217
109	20.12	84.74	162489.70024125467
110	20.3	84.56	163914.7817346097
111	20.92	83.96	168868.45122796475
112	20.98	83.92	169694.78722796473
113	20.68	84.2	167415.95285462597
114	20.14	84.72	163592.08498793215
115	20.02	84.86	163175.58498793215
116	20.04	84.84	162949.2626145934
117	20.06	84.82	163695.6306145934
118	20.34	84.56	163719.96912123833
119	20.46	84.48	164313.06512123832
120	20.22	84.68	160203.152507867
121	20.2	84.68	160076.28288120576
122	19.9	84.94	157620.852507867
123	19.88	85.0	158553.55888120577
124	20.4	84.54	159054.8806411732
125	20.28	84.66	157842.28626783442
126	20.06	84.86	157315.5766411732
127	20.88	83.82	164620.11637456086
128	20.66	84.04	162944.12037456085
129	20.66	84.08	161876.07013452827
130	20.76	83.98	162961.7948812058
131	20.9	83.86	165105.82749457716
132	20.92	83.84	164433.7780012221
133	21.1	83.66	165236.53637456085
134	21.82	82.7	166047.98776118952
135	21.92	82.6	165709.64552115693
136	21.8	82.72	163700.95677447936
137	21.72	82.8	164160.51914781815
138	21.34	83.16	163227.05189449567
139	21.48	83.06	163857.30714781815
140	21.3	83.2	162084.68314781817
141	21.36	83.16	161582.31202780188
142	21.82	82.52	163379.27453444683
143	22.34	82.02	165038.35690778558
144	22.34	82.04	164592.62978776929
145	22.0	82.38	161608.6795477367
146	21.32	83.08	155825.8493077041
147	21.94	82.48	157421.37005438164
148	21.9	82.52	158050.61080105917
149	21.44	83.0	154563.27493436533
150	20.82	83.8	148370.60869433274
151	21.34	83.04	150382.88306767153
152	21.58	82.82	152990.3173077041
153	21.52	82.84	153316.0924277204
154	21.76	82.62	155121.78280105916
155	22.04	82.36	156477.6531743979
156	21.5	82.84	154871.12192107548
157	21.12	83.2	151804.37893436535
158	21.0	83.26	150944.97656102656
159	21.14	83.1	150515.65581434904
160	20.9	83.34	148524.89520097768
161	20.24	83.98	143135.24096094508
162	20.3	83.92	143521.49933428384
163	20.62	83.58	144604.1457076226
164	21.04	83.16	146862.22720097768
165	21.38	82.8	149579.8710676715
166	21.16	82.98	147634.7439476552
167	21.02	83.1	146822.24320097768
168	20.72	83.4	146844.806320994
169	21.26	82.86	148981.12557431645
170	21.24	82.86	149826.94632099397
171	21.22	82.86	148368.54482763892
172	21.2	82.92	148059.42970762262
173	22.12	81.76	151661.82896094507
174	21.24	82.6	147424.53946759002
175	21.2	82.64	146814.78346759
176	21.84	82.0	150042.47696094506
177	21.06	83.02	143437.40360089618
178	21.4	82.68	143318.2124808799
179	21.34	82.72	144173.7756008962
180	21.64	82.42	146015.35709425126
181	21.28	82.76	142638.23085421868
182	21.74	82.32	143644.7484808799
183	21.9	82.16	144494.4084808799
184	21.2	83.08	141682.2004808799
185	20.86	83.4	139763.47573420237
186	20.92	83.34	140679.52210754112
187	21.0	83.28	141464.60597423496
188	20.86	83.4	139323.39810754114
189	20.7	83.52	139359.54285421866
190	20.96	83.3	139257.01173420236
191	21.22	83.0	142257.62197423496
192	20.42	84.02	137563.59485421865
193	20.04	84.4	137333.6868542187
194	20.28	84.1	135332.6766141861
195	20.34	84.06	135186.3222408473
196	20.54	83.86	135939.35424084731
197	19.7	84.7	133730.2382408473
198	19.9	84.48	134037.54312083102
199	20.18	84.16	134947.68637415348
200	19.92	84.44	134071.87762747594
201	19.0	85.6	130200.34725413717
202	19.04	85.54	128775.01213412087
203	19.98	84.4	131977.3177607821
204	19.64	84.74	129705.40101410456
205	19.44	84.92	129661.5777607821
206	19.5	84.92	129069.49626742702
207	19.22	85.2	128246.23864076579
208	19.3	85.18	128406.1746407658
209	19.02	85.42	127316.61064076581
210	19.18	85.26	127726.19301410457
211	19.74	84.68	128579.4386407658
212	19.78	84.64	127681.066774072
213	19.5	84.94	126498.9676540557
214	19.92	84.54	130609.89477407199
215	19.82	84.66	128285.17328071693
216	19.8	84.7	127712.57653403941
217	19.78	84.76	127232.51490737818
218	20.14	84.4	127775.63090737817
219	19.48	85.04	125222.81165405571
220	19.96	84.6	126804.75077407202
221	19.82	84.76	126791.16914741078
222	19.78	84.78	126091.70277407202
223	18.84	85.96	121740.11077407203
224	19.0	85.84	124184.78426742711
225	19.54	85.32	126677.1202674271
226	19.1	85.78	124911.66752074957
227	19.54	85.34	126503.34901410462
228	19.18	85.68	126316.24976078214
229	19.46	85.38	125816.44976078214
230	19.14	85.7	123405.09626742707
231	19.38	85.48	124854.76989408833
232	18.82	86.02	123738.04264076585
233	18.52	86.34	122785.09064076583
234	18.5	86.36	124160.69938744337
235	18.82	86.06	125773.13376078213
236	18.38	86.5	124189.92650745966
237	19.12	85.54	125753.39538744336
238	19.54	85.18	129780.26162747595
239	19.58	85.16	130126.53600081474
240	19.3	85.4	130278.79349416979
241	18.72	85.96	125665.74888079842
242	18.72	85.94	124779.9441341209
243	18.58	86.06	121932.35226742708
244	18.16	86.5	121358.99464076584
245	18.3	86.38	122171.49538744338
246	18.22	86.46	121655.54264076585
247	18.34	86.32	121362.83389408833
248	18.74	85.92	123051.14338744339
249	18.74	85.96	124999.34888079844
250	18.98	85.74	125745.46325413721
251	19.46	85.26	127234.8672541372
252	19.04	85.66	125243.09213412093
253	18.44	86.5	123690.38013412093
254	19.24	85.46	126525.91213412095
255	19.5	85.22	125893.59301410464
256	19.52	85.16	126199.88338744342
257	19.94	84.78	126420.04901410466
258	20.26	84.42	127679.29138744342
259	20.6	84.1	128625.32576078217
260	21.34	83.14	128952.62264076587
261	21.02	83.5	128758.60576078217
262	21.14	83.36	132283.89661418612
263	21.06	83.42	131151.27024084737
