EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	8	96	9923.4	0.0	10	[(0, 333)]
2	14	79	30630.93051151313	0.0	9	[(0, 333), (0, 0), (333, 0), (333, 333), (0, 0)]
3	8	97	29421.99153453939	0.0	10	[(333, 333), (0, 333), (0, 0), (333, 333), (666, 0)]
4	14	79	51866.191534539386	0.0	9	[(0, 333), (333, 666), (0, 666), (333, 333), (0, 333), (333, 666), (333, 333), (333, 666), (333, 333), (0, 333)]
5	7	95	14447.13051151313	0.0	10	[(333, 0), (0, 333)]
6	9	95	14252.4	0.0	10	[(333, 0), (333, 333)]
7	3	100	11250.330511513128	0.0	10	[(0, 333), (333, 0)]
8	11	93	33612.72204605251	0.0	10	[(333, 333), (666, 666), (333, 333), (333, 666), (0, 333)]
9	14	79	46543.26102302624	0.0	9	[(333, 333), (333, 666), (666, 333), (666, 666), (666, 333), (666, 0), (666, 333), (666, 666), (333, 666)]
10	2	100	10451.130511513129	0.0	10	[(0, 333), (333, 0)]
11	11	94	49525.052557565636	0.0	10	[(333, 333), (666, 333), (333, 333), (666, 666), (333, 333), (0, 333), (333, 333), (0, 0), (333, 333)]
12	12	93	41527.983069078764	0.0	10	[(333, 333), (0, 666), (333, 333), (0, 0), (333, 333), (0, 666)]
13	6	98	18914.4	0.0	10	[(0, 333), (0, 0), (0, 333), (333, 333)]
14	14	69	39483.66102302625	0.0	8	[(0, 333), (0, 666), (333, 666), (0, 333), (0, 666), (0, 333), (333, 666)]
15	10	93	27490.591534539384	0.0	10	[(333, 333), (666, 333), (333, 0), (666, 333)]
16	4	99	12049.530511513127	0.0	10	[(0, 333), (333, 0)]
17	13	91	45800.52204605251	0.0	10	[(0, 333), (333, 666), (333, 333), (0, 666), (0, 333), (333, 666), (0, 666), (333, 333)]
18	14	90	39483.66102302626	0.0	10	[(0, 333), (333, 666), (0, 333), (0, 666), (0, 333), (0, 0), (333, 0)]
19	8	95	18776.130511513133	0.0	10	[(0, 333), (0, 666), (333, 333)]
20	12	93	27295.86102302626	0.0	10	[(333, 333), (0, 333), (0, 666), (333, 333)]
21	14	90	35897.4	0.0	10	[(0, 333), (0, 666), (0, 333), (0, 0), (0, 333), (0, 0), (333, 0)]
22	10	93	18581.400000000005	0.0	10	[(333, 0), (0, 0), (333, 0)]
23	6	98	8325.0	0.0	10	[(333, 0)]
24	6	97	15384.6	0.0	10	[(0, 333), (0, 0), (333, 0)]
25	14	79	51922.652557565634	0.0	9	[(0, 333), (333, 333), (0, 666), (333, 666), (0, 333), (333, 333), (0, 0), (333, 333), (0, 0)]
26	7	98	16183.8	0.0	10	[(0, 333), (0, 0), (333, 0)]
27	14	58	21834.661023026263	0.0	7	[(333, 333), (0, 666)]
28	4	100	6726.6	0.0	10	[(333, 0)]
29	5	98	18171.66102302626	0.0	10	[(333, 333), (0, 666), (0, 333)]
30	6	98	26030.46102302626	0.0	10	[(0, 333), (333, 333), (0, 666), (0, 333), (333, 0)]
31	6	97	18970.86102302626	0.0	10	[(333, 333), (333, 0), (0, 333)]
32	5	100	14585.4	0.0	10	[(0, 333), (333, 333), (333, 0)]
33	3	100	9457.2	0.0	10	[(333, 0), (666, 0)]
34	12	92	46794.45255756564	0.0	10	[(333, 333), (0, 666), (0, 333), (0, 666), (333, 333), (0, 666), (333, 333), (333, 0)]
35	2	100	12244.261023026256	0.0	10	[(333, 333), (0, 0)]
36	14	80	37746.99153453939	0.0	9	[(0, 333), (0, 666), (333, 333), (0, 666), (333, 666), (666, 333)]
37	6	98	11854.8	0.0	10	[(0, 333), (333, 333)]
38	14	78	37746.99153453938	0.0	9	[(333, 333), (666, 333), (333, 0), (0, 0), (0, 333), (333, 666)]
39	2	100	6921.330511513128	0.0	10	[(333, 333)]
40	7	98	14447.130511513127	0.0	10	[(333, 333), (666, 333)]
41	5	98	7525.799999999999	0.0	10	[(333, 0)]
42	14	79	11188.800000000001	0.0	9	[]
43	3	99	5927.4	0.0	10	[(333, 0)]
44	10	94	25697.46102302626	0.0	10	[(333, 0), (0, 0), (333, 333), (666, 0)]
45	10	94	22111.2	0.0	10	[(0, 333), (333, 333), (333, 666), (333, 333)]
46	14	78	21834.661023026263	0.0	9	[(333, 333), (0, 666)]
47	5	100	14585.400000000001	0.0	10	[(0, 333), (0, 0), (0, 333)]
48	8	96	15246.330511513128	0.0	10	[(333, 333), (0, 333)]
49	2	100	5128.2	0.0	10	[(333, 0)]
50	2	100	5128.2	0.0	10	[(333, 0)]
51	6	98	15441.061023026257	0.0	10	[(333, 333), (666, 0)]
52	7	97	14447.130511513129	0.0	10	[(0, 333), (333, 0)]
53	9	96	30164.73051151313	0.0	10	[(0, 333), (333, 333), (0, 666), (0, 333), (0, 0), (333, 0)]
54	4	98	8519.730511513128	0.0	10	[(333, 333)]
55	14	78	28894.261023026265	0.0	9	[(333, 0), (0, 0), (333, 333), (0, 0)]
56	4	99	22695.391534539387	0.0	10	[(333, 333), (0, 333), (333, 666), (0, 333)]
57	6	98	11854.800000000001	0.0	10	[(0, 333), (0, 0)]
58	7	97	9124.2	0.0	10	[(333, 0)]
59	12	92	18443.13051151313	0.0	10	[(0, 333), (333, 0)]
60	7	98	21506.730511513128	0.0	10	[(0, 333), (333, 333), (0, 0), (333, 0)]
61	7	97	14447.130511513129	0.0	10	[(0, 333), (333, 0)]
62	14	68	18248.40000000001	0.0	8	[(0, 333), (0, 666)]
63	6	98	8325.0	0.0	10	[(333, 0)]
64	5	100	18115.2	0.0	10	[(0, 333), (333, 333), (0, 333), (0, 0)]
65	14	69	25364.461023026262	0.0	8	[(0, 333), (333, 666), (0, 333)]
66	14	90	30630.930511513136	0.0	10	[(0, 333), (0, 666), (333, 666), (333, 333), (0, 0)]
67	10	95	23904.330511513133	0.0	10	[(0, 333), (333, 333), (0, 0), (333, 0)]
68	2	100	10451.130511513129	0.0	10	[(333, 0), (0, 333)]
69	12	93	34411.92204605252	0.0	10	[(333, 333), (666, 0), (666, 333), (333, 0), (0, 333)]
70	14	80	21834.661023026256	0.0	9	[(333, 333), (0, 0)]
71	14	68	11188.800000000001	0.0	8	[]
72	14	68	39540.12204605251	0.0	8	[(333, 333), (0, 666), (333, 333), (333, 666), (0, 333), (0, 0)]
73	14	79	23571.330511513133	0.0	9	[(0, 333), (333, 333), (0, 666)]
74	5	100	11055.6	0.0	10	[(333, 0), (333, 333)]
75	9	95	16045.53051151313	0.0	10	[(0, 333), (333, 0)]
76	14	78	36010.322046052504	0.0	9	[(333, 333), (0, 666), (0, 333), (333, 666), (0, 333)]
77	10	93	15051.600000000002	0.0	10	[(0, 333), (333, 333)]
78	7	96	14447.130511513129	0.0	10	[(0, 333), (333, 0)]
79	14	67	14718.600000000006	0.0	8	[(0, 333)]
80	2	100	5128.2	0.0	10	[(333, 0)]
81	13	91	40534.052557565636	0.0	10	[(333, 333), (0, 0), (333, 333), (333, 0), (666, 333), (333, 0)]
82	14	78	11188.800000000001	0.0	9	[]
83	14	79	21834.661023026263	0.0	9	[(333, 333), (0, 666)]
84	12	92	32618.79153453939	0.0	10	[(0, 333), (333, 333), (0, 0), (333, 333), (0, 0)]
85	14	78	16511.730511513128	0.0	9	[(333, 333)]
86	7	97	12654.0	0.0	10	[(0, 333), (0, 0)]
87	4	99	13786.2	0.0	10	[(0, 333), (0, 0), (333, 0)]
88	14	47	18248.40000000001	0.0	6	[(0, 333), (0, 666)]
89	7	98	16183.8	0.0	10	[(0, 333), (333, 333), (333, 0)]
90	13	91	44007.391534539376	0.0	10	[(0, 333), (333, 333), (0, 666), (333, 666), (0, 333), (0, 0), (0, 333), (333, 0)]
91	11	93	40728.78306907877	0.0	10	[(333, 333), (0, 666), (333, 333), (0, 666), (333, 333), (0, 0)]
92	11	94	12321.0	0.0	10	[(333, 0)]
93	14	79	28894.261023026265	0.0	9	[(0, 333), (333, 333), (0, 666), (333, 333)]
94	14	67	32424.06102302626	0.0	8	[(0, 333), (333, 666), (0, 333), (0, 666), (333, 666)]
95	14	68	28837.800000000007	0.0	8	[(0, 333), (0, 666), (0, 333), (0, 0), (0, 333)]
96	7	97	17976.93051151313	0.0	10	[(0, 333), (333, 333), (0, 0)]
97	9	95	17782.2	0.0	10	[(0, 333), (0, 0), (333, 0)]
98	14	79	21834.661023026256	0.0	9	[(333, 333), (0, 0)]
