Episode_Group	numSteps	Reward	Energy
1	8.48	92.36	22738.95976726969
2	8.44	92.4	22849.31298773022
3	8.3	92.76	22525.636987730224
4	8.32	92.74	22540.491767269694
5	8.12	93.12	21673.562546809168
6	8.26	92.78	21962.505157039428
7	8.16	92.86	22131.364987730216
8	8.22	92.82	22143.454377499955
9	8.14	92.9	21653.683936578902
10	8.1	93.16	21091.68132634864
11	8.2	93.12	21312.793326348637
12	8.12	93.18	20611.23488542759
13	8.16	92.68	20145.643224046016
14	8.16	92.68	19933.855224046016
15	7.98	93.3	19506.48600358549
16	8.06	92.82	19463.96339335523
17	8.26	92.64	19835.59139335523
18	8.2	92.72	19397.667562664443
19	7.96	92.92	18817.01695243418
20	8.04	92.88	19129.732783124968
21	8.08	92.62	19020.508783124966
22	8.08	92.18	18526.336783124967
23	8.16	91.68	18945.511224046015
24	8.32	91.3	19250.43783427628
25	8.3	91.36	19163.85783427628
26	8.2	91.68	18446.31539335523
27	8.34	91.28	18842.84583427628
28	8.26	91.98	18707.184613815756
29	8.32	91.9	18861.595224046017
30	8.5	91.28	18792.534003585493
31	8.42	91.32	18374.488783124965
32	8.56	91.2	18805.752613815755
33	8.74	90.76	18737.820613815755
34	8.96	90.34	18985.36983427628
35	8.96	90.34	18701.856613815755
36	9.2	89.9	18787.206003585492
37	9.06	90.24	18285.346172894704
38	9.02	90.26	18323.9741728947
39	9.02	89.64	17934.002342203912
40	9.12	89.6	18119.25173197365
41	9.24	89.46	18710.45695243418
42	9.36	89.36	19374.51661381575
43	9.3	89.66	19397.16061381575
44	9.52	89.26	19856.497834276277
45	9.6	88.72	19991.029834276276
46	9.68	88.2	20125.56183427628
47	9.54	88.58	20048.40722404602
48	9.62	88.48	20112.343224046017
49	9.74	88.14	20244.109834276278
50	9.94	88.0	21219.75610588812
51	10.02	87.96	21354.28810588812
52	10.16	87.8	21430.313495657858
53	10.08	87.86	21259.918885427593
54	10.16	87.74	21005.60827519733
55	10.34	87.62	21857.682716118383
56	10.34	87.66	21716.490716118384
57	10.28	87.68	21349.162885427595
58	10.26	87.68	21333.1788854276
59	10.4	87.1	21586.258885427596
60	10.24	87.26	21528.982885427595
61	10.38	86.88	21322.624275197337
62	10.3	86.94	21258.688275197335
63	10.3	87.16	21401.009495657858
64	10.38	87.06	21961.37593657891
65	10.34	87.06	21824.07854680917
66	10.34	87.24	21965.270546809174
67	10.12	87.44	21612.391936578915
68	10.2	87.1	22066.299767269702
69	10.4	86.94	22331.46915703944
70	10.26	87.06	21970.80132634865
71	10.02	87.46	21743.13071611839
72	9.82	88.08	21865.67471611839
73	9.82	87.66	21546.2988854276
74	9.66	88.04	21489.0228854276
75	9.62	88.02	21527.6508854276
76	9.56	88.08	21691.4868854276
77	9.34	88.52	21160.42444450655
78	9.24	88.64	21221.696444506546
79	9.2	88.7	21295.057834276282
80	9.04	89.32	21378.97383427628
81	9.1	89.28	21674.576444506543
82	8.96	89.44	21242.183393355226
83	8.74	89.88	21278.147393355226
84	8.68	90.16	21264.92878312496
85	8.62	90.22	21038.792952434174
86	8.42	90.64	20984.28234220391
87	8.46	90.6	21334.496952434172
88	8.5	90.58	21437.06095243417
89	8.28	91.64	21261.236952434174
90	8.2	91.68	21197.300952434172
91	8.04	91.84	20679.457121743384
92	7.88	91.98	20124.621460361806
93	7.72	92.08	20137.941460361806
94	7.72	92.08	20066.21623990128
95	7.54	92.7	19851.76423990128
96	7.32	93.34	19534.74823990128
97	7.26	93.38	19521.52962967102
98	7.16	93.48	19512.205629671018
99	6.98	93.88	19437.816409210493
100	6.8	94.0	18619.346137598655
101	6.8	93.98	18619.346137598655
102	6.6	94.16	18494.23952736839
103	6.6	94.16	18494.23952736839
104	6.56	94.22	18603.463527368393
105	6.36	94.38	17840.73447621708
106	6.14	94.78	17663.781255756556
107	6.28	94.7	17987.457255756555
108	6.22	94.74	17975.36786598682
109	6.0	95.38	17799.54386598682
110	6.08	95.3	17898.213255756556
111	5.86	95.72	17934.177255756556
112	5.94	95.64	18103.442645526295
113	5.94	95.86	18102.313425065768
114	5.8	96.0	17635.18698414472
115	5.8	96.0	17669.920373914454
116	5.58	96.42	17281.17915345393
117	5.64	96.38	17399.72715345393
118	5.42	96.82	16727.47271253288
119	5.32	96.9	16788.74471253288
120	5.28	96.92	16720.914102302617
121	5.3	96.9	16771.631492072356
122	5.28	96.92	16685.051492072354
123	5.04	97.98	16386.784881842093
124	4.98	98.02	16232.37427161183
125	4.98	98.04	16232.37427161183
126	4.92	98.08	16007.367661381566
127	4.92	98.08	16077.963661381567
128	4.9	98.08	15991.383661381567
129	4.86	98.1	15888.819661381569
130	4.8	98.14	15770.271661381568
131	4.76	98.18	15631.845051151304
132	4.92	98.02	15759.717051151303
133	4.94	98.02	15846.297051151305
134	4.84	98.12	15801.11044092104
135	4.88	98.08	15833.078440921041
136	4.86	98.1	15817.094440921042
137	4.76	98.18	15560.11983069078
138	4.72	98.2	15564.014440921042
139	4.72	98.2	15634.610440921044
140	4.94	97.76	15881.030440921044
141	4.9	97.78	15778.466440921044
142	4.94	97.74	15951.626440921043
143	4.96	97.76	16038.206440921043
144	4.78	98.14	15964.946440921043
145	4.76	98.16	15806.641220460519
146	4.8	98.14	15979.801220460518
147	4.78	98.14	15893.221220460518
148	4.76	98.14	15806.641220460519
149	4.78	98.12	15963.817220460518
150	4.86	98.08	16168.945220460519
151	4.86	98.1	16380.733220460517
152	4.94	98.04	16585.861220460516
153	4.98	98.02	16900.21322046052
154	4.86	98.12	16874.905220460518
155	4.92	98.1	17064.049220460514
156	5.02	98.0	17285.161220460515
157	4.96	98.04	17307.805220460516
158	5.04	98.02	17547.66661023025
159	5.08	97.98	17720.82661023025
160	5.1	97.96	17807.406610230253
161	5.14	97.9	17980.566610230253
162	5.06	97.98	17846.034610230254
163	4.9	98.12	17788.758610230252
164	4.94	98.08	17961.918610230252
165	4.94	98.06	17961.918610230252
166	4.94	98.08	17961.918610230252
167	4.88	98.12	17843.37061023025
168	4.9	98.1	17929.95061023025
169	4.84	98.16	17706.073220460516
170	5.06	97.74	17881.897220460512
171	5.06	97.76	17881.897220460512
172	5.08	97.76	17897.881220460513
173	5.1	97.76	17984.461220460515
174	5.18	97.72	18189.589220460515
175	5.18	97.72	18189.589220460515
176	5.22	97.68	18221.557220460512
177	5.24	97.66	18237.541220460513
178	5.22	97.66	18221.557220460512
179	5.22	97.64	18221.557220460512
180	5.22	97.64	18221.557220460512
181	5.24	97.64	18237.541220460513
182	5.04	97.8	18007.10522046051
183	5.0	97.8	17833.94522046051
184	4.96	97.84	17731.38122046051
185	4.8	97.98	17532.913220460512
186	4.8	97.98	17532.913220460512
187	4.76	98.0	17359.75322046051
188	4.74	98.02	17237.310610230248
189	4.82	97.94	17301.24661023025
190	4.6	98.36	17054.826610230248
191	4.64	98.34	17227.986610230248
192	4.62	98.38	17070.810610230248
193	4.6	98.38	16984.23061023025
194	4.56	98.4	16811.07061023025
195	4.54	98.42	16795.08661023025
196	4.68	98.28	16836.378610230247
197	4.68	98.28	16836.378610230247
198	4.72	98.26	16938.94261023025
199	4.66	98.28	16679.202610230248
200	4.6	98.32	16560.65461023025
201	4.62	98.3	16435.44661023025
202	4.54	98.36	16230.31861023025
203	4.54	98.36	16089.126610230249
204	4.52	98.38	16002.546610230249
205	4.46	98.38	15813.40261023025
206	4.38	98.48	15608.27461023025
207	4.34	98.52	15435.11461023025
208	4.32	98.52	15277.93861023025
209	4.28	98.56	15104.77861023025
210	4.18	98.66	14883.66661023025
211	4.14	98.72	14710.50661023025
212	4.18	98.7	14742.47461023025
213	4.16	98.72	14444.106610230252
214	4.12	98.74	14270.946610230252
215	4.12	98.76	14270.946610230252
216	4.12	98.76	14270.946610230252
217	4.14	98.76	14286.93061023025
218	4.2	98.74	14264.286610230252
219	4.18	98.74	14212.439999999988
220	3.96	99.14	14036.615999999989
221	3.96	99.14	14036.615999999989
222	4.16	98.72	14196.45599999999
223	4.16	98.7	14196.45599999999
224	4.08	98.74	13991.327999999989
225	4.08	98.74	13991.327999999989
226	4.04	98.78	13959.359999999988
227	4.06	98.76	14045.939999999988
228	4.08	98.76	14061.923999999988
229	4.1	98.78	14113.77061023025
230	4.1	98.78	14113.77061023025
231	4.08	98.78	14097.786610230252
232	4.08	98.78	14097.786610230252
233	4.08	98.78	14097.786610230252
234	4.14	98.7	14145.738610230253
235	4.14	98.7	14145.738610230253
236	4.14	98.7	14145.738610230253
237	4.16	98.7	14232.318610230253
238	4.36	98.52	14392.158610230254
239	4.28	98.6	14328.222610230252
240	4.28	98.62	14328.222610230252
241	4.22	98.64	14068.482610230252
242	4.2	98.64	14052.498610230254
243	4.2	98.64	14052.498610230254
244	4.2	98.66	14052.498610230254
245	4.2	98.66	14052.498610230254
246	4.02	98.82	13838.046610230254
247	4.04	98.82	13854.030610230253
248	4.0	98.84	13751.466610230254
249	4.0	98.86	13751.466610230254
250	3.98	98.86	13664.886610230255
251	3.9	98.9	13600.950610230253
252	3.88	98.92	13443.774610230252
253	3.84	98.94	13411.806610230251
254	3.82	98.96	13325.226610230251
255	3.82	98.98	13325.226610230251
256	3.82	98.98	13325.226610230251
257	3.86	98.96	13427.790610230251
258	3.82	98.98	13395.82261023025
259	3.82	98.96	13395.82261023025
260	3.8	98.96	13379.838610230252
261	3.8	98.96	13379.838610230252
262	3.76	98.98	13347.870610230251
263	3.74	99.02	13473.078610230248
264	3.74	99.04	13473.078610230248
265	3.74	99.04	13473.078610230248
266	3.82	98.98	13537.01461023025
267	3.8	98.96	13521.030610230251
