Episode_Group	numSteps	Reward	Energy
1	34.94	16.14	316418.7316025257
2	35.38	15.72	320928.48421589704
3	36.2	14.68	327350.0439492847
4	36.44	14.48	329337.9798159785
5	35.96	14.94	325550.00306930096
6	36.4	14.28	330323.2373093336
7	36.64	13.82	334699.4562960437
8	37.02	13.22	336793.508909415
9	37.74	12.28	342303.11514944764
10	37.82	12.22	343704.8726428028
11	38.68	11.16	350385.8211228679
12	37.94	12.1	342708.6046428027
13	37.14	13.14	335264.6281627375
14	36.62	13.64	332899.16178939876
15	36.8	13.5	334854.0312827538
16	36.34	14.18	331282.6345360763
17	35.54	15.2	324727.2875493662
18	34.82	16.14	319122.32144263975
19	34.7	16.28	317377.11432262347
20	35.52	15.26	322912.8693093336
21	35.52	15.26	322304.669922705
22	35.28	15.48	320672.75080268865
23	35.52	15.02	322921.34354936617
24	35.62	14.92	324635.04090941505
25	35.62	14.68	323042.8521627376
26	36.06	14.26	326762.1598961252
27	36.68	13.4	330395.59650949656
28	36.38	13.7	329095.1020028516
29	36.38	13.48	326619.93325617415
30	36.22	13.84	324800.40762951295
31	36.22	14.06	322669.9566428028
32	36.16	14.1	322821.9605094966
33	36.56	13.72	326542.53637619043
34	36.64	13.44	326965.9540028517
35	36.76	13.1	329333.4842428843
36	36.06	13.78	322717.4003761905
37	35.76	14.06	320259.1452561742
38	35.08	14.72	313497.9751494478
39	35.08	14.72	311639.48002943146
40	35.92	13.7	318364.5053894804
41	35.82	13.8	318077.69976281916
42	35.78	13.84	317378.2333894804
43	36.46	12.74	325291.5146162231
44	37.02	11.98	332084.73658964335
45	37.3	11.48	335391.63720301463
46	37.18	11.82	333377.298962982
47	36.62	12.58	329961.99896298203
48	36.62	12.36	329339.6758429657
49	36.04	12.94	325881.56709628814
50	35.8	13.16	323899.2807229494
51	35.74	13.22	322537.50722959434
52	36.12	12.4	325954.61746962694
53	35.52	13.2	322100.50797627185
54	35.94	12.78	325418.1654696269
55	36.42	12.1	330546.1483230309
56	36.02	12.7	326026.6533363208
57	35.06	13.86	316670.61610957806
58	34.56	14.58	314168.53773623926
59	34.12	15.26	311346.3337362393
60	34.46	14.92	312824.98085625557
61	33.78	15.82	308012.0162428842
62	34.52	14.88	312678.6264829168
63	34.52	14.84	312325.43448291684
64	35.34	13.58	318133.1453363208
65	36.1	12.82	326206.36256306345
66	35.86	13.06	323604.57781638595
67	36.66	12.02	329010.63842975727
68	37.38	11.1	333463.4934164674
69	38.1	9.94	340301.8067765163
70	37.36	10.9	335904.32765650004
71	37.0	11.5	332434.6662964512
