Episode_Group	numSteps	Reward	Energy
1	27.0	483.0	1404.0
2	27.0	483.0	1404.0
3	27.0	483.0	1404.0
4	27.0	483.0	1404.0
5	27.0	483.0	1404.0
6	27.0	483.0	1404.0
7	27.0	483.0	1404.0
8	27.0	483.0	1404.0
9	27.0	483.0	1404.0
10	27.0	483.0	1404.0
11	154.0	354.0	6756.0
12	112.0	396.0	5156.0
13	126.0	382.0	5518.0
14	67.0	441.0	3103.0
15	101.0	407.0	4359.0
16	105.0	403.0	4108.0
17	59.0	449.0	2360.0
18	78.0	430.0	2804.0
19	87.0	422.0	2397.0
20	84.0	425.0	2441.0
21	61.0	448.0	2358.0
22	61.0	447.0	3079.0
23	105.0	403.0	3622.0
24	35.0	472.0	1250.0
25	19.0	488.0	900.0
26	17.0	489.0	755.0
27	29.0	477.0	1220.0
28	12.0	495.0	732.0
29	11.0	496.0	668.0
30	31.0	476.0	1114.0
31	11.0	496.0	673.0
32	11.0	496.0	700.0
33	43.0	464.0	1551.0
34	11.0	496.0	673.0
35	47.0	461.0	1716.0
36	50.0	458.0	1999.0
37	49.0	459.0	2327.0
38	38.0	470.0	1900.0
39	47.0	460.0	1958.0
40	31.0	477.0	1196.0
41	21.0	486.0	1003.0
42	11.0	496.0	663.0
43	18.0	489.0	943.0
44	11.0	497.0	666.0
45	11.0	496.0	672.0
46	13.0	494.0	768.0
47	17.0	490.0	813.0
48	13.0	494.0	753.0
49	15.0	493.0	871.0
50	16.0	492.0	918.0
51	13.0	495.0	796.0
52	20.0	488.0	1074.0
53	14.0	494.0	886.0
54	12.0	495.0	773.0
55	13.0	495.0	807.0
56	13.0	495.0	809.0
57	13.0	495.0	808.0
58	13.0	495.0	805.0
59	13.0	495.0	807.0
60	33.0	475.0	1150.0
61	15.0	493.0	850.0
62	11.0	496.0	774.0
63	11.0	496.0	727.0
64	11.0	497.0	692.0
65	24.0	484.0	1173.0
66	15.0	493.0	824.0
67	31.0	477.0	1478.0
68	131.0	377.0	3011.0
69	12.0	496.0	809.0
70	229.0	279.0	5606.0
71	19.0	489.0	1040.0
72	20.0	488.0	960.0
73	29.0	478.0	1587.0
74	12.0	495.0	802.0
75	12.0	495.0	804.0
76	11.0	497.0	784.0
77	12.0	496.0	798.0
78	12.0	496.0	805.0
79	11.0	496.0	751.0
80	12.0	495.0	789.0
81	21.0	486.0	1038.0
82	13.0	494.0	802.0
83	13.0	494.0	801.0
84	13.0	494.0	818.0
85	13.0	494.0	813.0
86	13.0	494.0	835.0
87	13.0	495.0	813.0
88	13.0	494.0	849.0
89	13.0	494.0	829.0
90	13.0	494.0	840.0
91	14.0	493.0	865.0
92	13.0	493.0	835.0
93	14.0	493.0	840.0
94	49.0	459.0	1980.0
95	120.0	387.0	3177.0
96	145.0	362.0	2915.0
97	192.0	315.0	2986.0
98	12.0	495.0	806.0
99	21.0	486.0	933.0
100	12.0	495.0	803.0
101	645.0	-138.0	9141.0
102	11.0	495.0	748.0
103	94.0	413.0	1793.0
104	691.0	-183.0	8398.0
105	12.0	495.0	755.0
106	11.0	496.0	659.0
107	177.0	330.0	2497.0
108	11.0	496.0	655.0
109	11.0	496.0	707.0
110	19.0	489.0	805.0
111	11.0	496.0	687.0
112	12.0	495.0	767.0
113	14.0	494.0	907.0
114	12.0	495.0	775.0
115	12.0	495.0	786.0
116	11.0	496.0	756.0
117	11.0	497.0	692.0
118	11.0	496.0	694.0
119	11.0	496.0	670.0
120	10.0	497.0	685.0
121	12.0	496.0	742.0
122	12.0	495.0	774.0
123	11.0	496.0	695.0
124	11.0	497.0	696.0
125	11.0	496.0	713.0
126	11.0	496.0	709.0
127	11.0	497.0	684.0
128	11.0	496.0	713.0
129	11.0	496.0	733.0
130	12.0	495.0	781.0
131	11.0	496.0	706.0
132	11.0	496.0	710.0
133	11.0	496.0	724.0
134	11.0	496.0	709.0
135	12.0	496.0	749.0
136	11.0	496.0	656.0
137	11.0	496.0	641.0
138	12.0	495.0	706.0
139	11.0	496.0	716.0
140	12.0	495.0	765.0
141	11.0	496.0	716.0
142	12.0	496.0	746.0
143	11.0	497.0	723.0
144	11.0	497.0	717.0
145	11.0	497.0	674.0
146	11.0	497.0	739.0
147	12.0	496.0	745.0
148	11.0	497.0	716.0
149	12.0	496.0	745.0
150	12.0	496.0	765.0
151	74.0	434.0	1409.0
152	11.0	496.0	673.0
153	11.0	497.0	637.0
154	11.0	496.0	701.0
155	12.0	495.0	748.0
156	16.0	492.0	859.0
157	13.0	494.0	807.0
158	12.0	495.0	789.0
159	12.0	496.0	783.0
160	12.0	495.0	819.0
161	12.0	495.0	795.0
162	11.0	496.0	704.0
163	11.0	497.0	690.0
164	10.0	497.0	644.0
165	157.0	351.0	2188.0
166	12.0	496.0	755.0
167	11.0	496.0	687.0
168	164.0	344.0	2319.0
169	11.0	497.0	709.0
170	11.0	496.0	716.0
171	12.0	496.0	775.0
172	11.0	497.0	685.0
173	11.0	497.0	719.0
174	12.0	496.0	771.0
175	11.0	496.0	726.0
176	1115.0	-612.0	12425.0
177	12.0	496.0	751.0
178	13.0	495.0	819.0
179	13.0	495.0	841.0
180	12.0	496.0	800.0
181	12.0	497.0	774.0
182	12.0	496.0	767.0
183	12.0	496.0	783.0
184	11.0	496.0	732.0
185	12.0	495.0	753.0
186	11.0	496.0	687.0
187	13.0	494.0	735.0
188	13.0	494.0	753.0
189	13.0	494.0	723.0
190	11.0	495.0	720.0
191	12.0	495.0	787.0
192	11.0	496.0	677.0
193	11.0	496.0	684.0
194	11.0	497.0	705.0
195	12.0	496.0	768.0
196	11.0	496.0	746.0
197	11.0	496.0	767.0
198	13.0	495.0	766.0
199	12.0	496.0	744.0
200	12.0	496.0	745.0
201	11.0	496.0	703.0
202	11.0	496.0	734.0
203	12.0	496.0	766.0
204	12.0	496.0	770.0
205	10.0	497.0	673.0
206	13.0	494.0	800.0
207	12.0	495.0	728.0
208	11.0	496.0	688.0
209	13.0	495.0	765.0
210	12.0	495.0	741.0
211	12.0	496.0	747.0
212	11.0	496.0	706.0
213	11.0	496.0	693.0
214	11.0	496.0	655.0
215	11.0	496.0	741.0
216	11.0	496.0	729.0
217	11.0	496.0	736.0
218	12.0	495.0	765.0
219	11.0	496.0	687.0
220	11.0	496.0	739.0
221	11.0	497.0	674.0
222	11.0	496.0	686.0
223	11.0	497.0	690.0
224	11.0	497.0	719.0
225	10.0	497.0	680.0
226	12.0	496.0	741.0
227	13.0	495.0	774.0
228	12.0	495.0	767.0
229	12.0	495.0	801.0
230	10.0	497.0	698.0
231	11.0	496.0	751.0
232	11.0	497.0	691.0
233	11.0	497.0	705.0
234	10.0	497.0	674.0
235	11.0	496.0	745.0
236	12.0	495.0	793.0
237	18.0	489.0	1049.0
238	13.0	495.0	885.0
239	12.0	495.0	852.0
240	12.0	496.0	762.0
241	11.0	497.0	698.0
242	10.0	497.0	676.0
243	11.0	496.0	721.0
244	1124.0	-627.0	12432.0
245	23.0	484.0	971.0
246	22.0	485.0	962.0
247	16.0	492.0	782.0
248	15.0	492.0	763.0
249	14.0	494.0	742.0
250	12.0	495.0	798.0
251	175.0	332.0	2557.0
252	11.0	497.0	692.0
