EpNum	EpSteps	Reward	ener
1	18	66	449.4173157
2	18	3	575.9391052
3	18	65	406.3391052
4	18	55	789.2955262
5	18	25	406.3391052
6	18	4	449.4173157
7	18	66	619.0173157
8	18	65	810.156421
9	18	65	810.8346315
10	18	56	534.2173157
11	13	91	421.6
12	18	66	703.8173157
13	18	14	470.2782105
14	18	47	767.756421
15	16	88	515.0173157
16	18	34	618.3391052
17	18	15	619.0173157
18	18	34	747.5737367
19	18	45	662.0955262
20	18	67	576.6173157
21	18	86	619.0173157
22	18	66	746.8955262
23	18	34	661.4173157
24	18	14	470.2782105
25	18	35	597.4782105
26	18	23	598.156421
27	18	3	726.7128419
28	18	75	619.0173157
29	18	67	769.1128419
30	18	66	832.3737367
31	18	4	598.156421
32	18	14	598.156421
33	18	3	597.4782105
34	10	93	287.1391052
35	18	87	342.4
36	12	93	476.6173157
37	16	88	515.0173157
38	18	77	662.0955262
39	18	4	448.7391052
40	13	93	422.2782105
41	18	24	683.6346315
42	18	75	619.0173157
43	18	45	576.6173157
44	18	34	427.8782105
45	18	46	682.956421
46	18	15	406.3391052
47	18	75	640.556421
48	18	3	300.6782105
49	18	77	851.8782105
50	18	35	533.5391052
51	18	14	555.0782105
52	18	45	640.556421
53	18	25	576.6173157
54	18	3	555.0782105
55	18	14	597.4782105
56	18	34	768.4346315
57	18	66	619.0173157
58	18	75	448.7391052
59	18	46	640.556421
60	18	3	491.8173157
61	18	45	512.6782105
62	18	65	534.2173157
63	18	45	513.356421
64	18	36	512.6782105
65	18	15	427.2
66	18	4	555.756421
67	18	45	682.956421
68	18	35	597.4782105
69	18	46	767.756421
70	18	4	726.0346315
71	16	88	535.8782105
72	18	76	682.956421
73	18	76	555.756421
74	18	56	576.6173157
75	10	96	244.7391052
76	18	56	639.8782105
77	18	87	406.3391052
78	18	46	725.356421
79	18	35	512.6782105
80	13	93	422.2782105
81	18	45	470.2782105
82	18	45	512.6782105
83	13	91	527.9391052
84	18	75	576.6173157
85	18	67	746.8955262
86	10	96	371.9391052
87	18	46	810.156421
88	18	76	555.0782105
89	18	34	725.356421
90	12	94	477.2955262
91	14	91	623.6955262
92	18	3	769.1128419
93	18	46	917.1737367
94	17	88	673.356421
95	18	89	533.5391052
96	18	75	746.8955262
97	16	89	877.1128419
98	18	88	788.6173157
99	16	90	642.8955262
100	18	76	725.356421
101	18	46	725.356421
102	18	68	661.4173157
103	18	77	470.2782105
104	18	66	640.556421
105	18	76	831.0173157
106	18	76	619.0173157
107	16	89	684.6173157
108	10	95	351.0782105
109	18	77	639.8782105
110	18	56	470.2782105
111	11	94	445.4782105
112	18	46	660.7391052
113	15	90	632.6173157
114	16	89	855.5737367
115	18	35	662.0955262
116	18	46	703.8173157
117	10	95	478.2782105
118	14	90	452.7391052
119	14	91	367.9391052
120	18	76	703.8173157
121	18	75	513.356421
122	16	89	642.8955262
123	11	94	403.0782105
124	18	45	704.4955262
125	18	65	575.9391052
126	18	77	682.956421
127	9	96	362.3391052
128	18	66	874.7737367
129	13	93	337.4782105
130	10	94	435.8782105
131	17	88	736.6173157
132	13	91	379.8782105
133	18	65	639.8782105
134	18	65	576.6173157
135	18	67	746.2173157
136	10	95	372.6173157
137	15	89	569.356421
138	18	76	512.6782105
139	14	90	388.8
140	15	89	675.6955262
141	18	76	640.556421
142	18	47	598.156421
143	11	94	381.5391052
144	18	76	661.4173157
145	18	75	874.0955262
146	15	91	632.6173157
147	11	94	424.6173157
148	10	95	415.0173157
149	18	15	534.2173157
150	14	91	452.7391052
151	18	67	724.6782105
152	18	44	746.8955262
153	18	75	385.4782105
154	16	89	620.6782105
155	18	87	470.2782105
156	16	89	706.8346315
157	16	89	515.0173157
