EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	18	25	470.2782105	0	4
2	18	14	725.356421	0	3
3	18	14	534.2173157	0	3
4	14	91	474.2782105	0	10
5	18	46	534.2173157	0	6
6	18	56	491.8173157	0	7
7	18	35	555.0782105	0	5
8	18	56	833.0519472	0	7
9	18	57	619.0173157	0	7
10	18	55	768.4346315	0	7
11	18	87	619.0173157	0	10
12	18	44	619.0173157	0	6
13	14	92	538.2173157	0	10
14	18	67	406.3391052	0	8
15	18	56	597.4782105	0	7
16	18	88	895.6346315	0	10
17	15	91	462.3391052	0	10
18	18	66	555.0782105	0	8
19	18	67	640.556421	0	8
20	18	57	555.0782105	0	7
21	18	65	555.0782105	0	8
22	18	67	575.9391052	0	8
23	10	94	287.1391052	0	10
24	18	77	619.0173157	0	9
25	18	24	491.1391052	0	4
26	18	68	853.2346315	0	8
27	18	78	555.756421	0	9
28	12	94	434.2173157	0	10
29	18	46	640.556421	0	6
30	18	66	640.556421	0	8
31	18	76	470.2782105	0	9
32	18	56	576.6173157	0	7
33	13	92	571.6955262	0	10
34	18	56	704.4955262	0	7
35	18	13	619.0173157	0	3
36	18	66	619.0173157	0	8
37	18	77	576.6173157	0	9
38	18	67	810.8346315	0	8
39	16	90	642.2173157	0	10
40	18	67	512.6782105	0	8
41	15	90	420.6173157	0	10
42	18	65	619.0173157	0	8
43	18	79	767.756421	0	9
44	18	13	406.3391052	0	3
45	12	93	539.8782105	0	10
46	18	57	534.2173157	0	7
47	17	89	544.8	0	10
48	18	35	513.356421	0	5
49	18	78	534.2173157	0	9
50	18	46	512.6782105	0	6
51	18	3	384.8	0	2
52	18	57	470.956421	0	7
53	18	66	427.2	0	8
54	18	14	682.956421	0	3
55	18	66	619.0173157	0	8
56	18	56	470.2782105	0	7
57	18	35	575.9391052	0	5
58	14	91	346.4	0	10
59	18	56	598.156421	0	7
60	18	35	491.1391052	0	5
61	18	69	662.0955262	0	8
62	15	91	654.8346315	0	10
63	18	34	747.5737367	0	5
64	18	65	682.956421	0	8
65	15	91	590.2173157	0	10
66	18	78	789.2955262	0	9
67	18	77	704.4955262	0	9
68	18	55	704.4955262	0	7
69	18	14	513.356421	0	3
70	18	67	555.0782105	0	8
71	18	35	597.4782105	0	5
72	11	96	445.4782105	0	10
73	18	35	534.2173157	0	5
74	18	67	682.956421	0	8
75	18	56	513.356421	0	7
76	18	35	787.9391052	0	5
77	18	57	810.8346315	0	7
78	18	67	767.756421	0	8
79	18	45	598.156421	0	6
80	18	45	491.1391052	0	6
81	15	91	569.356421	0	10
82	18	78	597.4782105	0	9
83	18	77	746.8955262	0	9
84	18	67	555.0782105	0	8
85	18	76	640.556421	0	9
86	14	92	644.556421	0	10
87	18	35	789.9737367	0	5
88	18	77	619.0173157	0	9
89	18	77	789.2955262	0	9
90	18	65	640.556421	0	8
91	18	77	555.0782105	0	9
92	9	96	447.1391052	0	10
93	18	56	534.2173157	0	7
94	18	66	767.756421	0	8
95	18	67	660.7391052	0	8
96	18	45	768.4346315	0	6
97	8	98	353.4173157	0	10
98	18	56	767.756421	0	7
99	18	45	555.0782105	0	6
100	18	77	724.6782105	0	9
101	18	88	725.356421	0	10
102	18	76	789.2955262	0	9
103	14	91	581.2955262	0	10
104	18	78	534.2173157	0	9
105	18	58	704.4955262	0	7
106	18	56	512.6782105	0	7
107	18	66	555.756421	0	8
108	15	89	611.0782105	0	10
109	10	96	329.5391052	0	10
110	18	66	746.2173157	0	8
111	18	24	491.1391052	0	4
112	18	67	810.156421	0	8
113	15	91	611.0782105	0	10
114	18	76	555.0782105	0	9
115	17	88	758.156421	0	10
116	16	91	599.8173157	0	10
117	18	67	619.0173157	0	8
118	18	67	641.2346315	0	8
119	18	76	661.4173157	0	9
120	12	92	497.4782105	0	10
121	9	96	256	0	10
122	18	67	406.3391052	0	8
123	13	92	336.8	0	10
124	18	77	832.3737367	0	9
125	18	66	575.9391052	0	8
126	18	56	597.4782105	0	7
127	18	57	724.6782105	0	7
128	18	76	555.0782105	0	9
129	18	56	704.4955262	0	7
130	18	35	725.356421	0	5
131	13	92	613.4173157	0	10
132	18	55	555.0782105	0	7
133	18	67	853.2346315	0	8
134	18	57	342.4	0	7
135	18	77	682.956421	0	9
136	18	67	619.0173157	0	8
137	18	46	555.0782105	0	6
138	18	55	725.356421	0	7
139	18	66	619.6955262	0	8
140	18	77	661.4173157	0	9
141	18	78	639.8782105	0	9
142	18	76	810.156421	0	9
143	18	76	555.0782105	0	9
144	13	92	443.1391052	0	10
145	18	35	575.9391052	0	5
146	18	57	512	0	7
147	11	94	487.8782105	0	10
148	18	66	746.8955262	0	8
149	18	56	788.6173157	0	7
150	16	91	471.9391052	0	10
151	18	65	597.4782105	0	8
152	18	88	725.356421	0	10
153	18	68	789.9737367	0	8
154	13	93	486.2173157	0	10
155	18	66	640.556421	0	8
156	16	90	578.2782105	0	10
157	18	57	470.2782105	0	7
158	18	89	981.1128419	0	10
159	18	56	512.6782105	0	7
160	18	56	555.0782105	0	7
161	9	97	426.2782105	0	10
162	18	67	641.2346315	0	8
163	11	95	487.8782105	0	10
164	18	56	725.356421	0	7
165	18	65	724.6782105	0	8
166	18	76	703.8173157	0	9
167	18	56	555.0782105	0	7
168	12	93	327.2	0	10
