EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	18	67	492.4955262	0	8
2	18	56	809.4782105	0	7
3	15	88	590.2173157	0	10
4	18	65	769.1128419	0	8
5	18	65	619.0173157	0	8
6	17	89	694.8955262	0	10
7	18	24	321.5391052	0	4
8	18	65	619.0173157	0	8
9	18	35	619.0173157	0	5
10	16	89	684.6173157	0	10
11	18	44	533.5391052	0	6
12	18	45	597.4782105	0	6
13	18	35	470.2782105	0	5
14	18	47	810.8346315	0	6
15	14	92	516	0	10
16	18	65	534.2173157	0	8
17	18	66	789.2955262	0	8
18	18	14	512.6782105	0	3
19	18	24	555.0782105	0	4
20	18	33	555.0782105	0	5
21	18	45	640.556421	0	6
22	18	66	639.8782105	0	8
23	18	67	661.4173157	0	8
24	18	3	598.156421	0	2
25	9	95	447.8173157	0	10
26	18	44	470.2782105	0	6
27	18	56	810.156421	0	7
28	18	77	832.3737367	0	9
29	18	45	725.356421	0	6
30	18	44	661.4173157	0	6
31	18	57	300	0	7
32	18	76	619.6955262	0	9
33	18	45	449.4173157	0	6
34	18	25	682.2782105	0	4
35	18	-8	406.3391052	0	1
36	12	93	519.0173157	0	10
37	18	77	853.2346315	0	9
38	18	24	874.0955262	0	4
39	18	3	384.8	0	2
40	18	34	513.356421	0	5
41	15	90	441.4782105	0	10
42	18	44	470.2782105	0	6
43	18	55	703.8173157	0	7
44	18	65	512.6782105	0	8
45	18	25	512.6782105	0	4
46	18	45	597.4782105	0	6
47	18	75	597.4782105	0	9
48	18	78	555.0782105	0	9
49	18	3	619.0173157	0	2
50	9	96	319.9391052	0	10
51	18	36	619.6955262	0	5
52	18	45	619.0173157	0	6
53	18	3	470.2782105	0	2
54	18	65	746.2173157	0	8
55	16	87	599.8173157	0	10
56	18	67	980.4346315	0	8
57	18	57	661.4173157	0	7
58	18	45	745.5391052	0	6
59	8	96	310.3391052	0	10
60	11	93	424.6173157	0	10
61	17	89	523.9391052	0	10
62	18	56	703.8173157	0	7
63	18	87	682.956421	0	10
64	18	77	639.8782105	0	9
65	18	46	469.6	0	6
66	18	67	746.2173157	0	8
67	14	90	623.0173157	0	10
68	18	44	385.4782105	0	6
69	18	76	619.0173157	0	9
70	16	90	600.4955262	0	10
71	15	89	441.4782105	0	10
72	18	57	640.556421	0	7
73	18	65	725.356421	0	8
74	18	44	725.356421	0	6
75	18	68	448.7391052	0	8
76	14	92	389.4782105	0	10
77	18	46	726.0346315	0	6
78	18	44	512.6782105	0	6
79	18	13	469.6	0	3
80	18	35	682.956421	0	5
81	18	34	619.0173157	0	5
82	13	92	528.6173157	0	10
83	12	93	455.0782105	0	10
84	18	44	470.2782105	0	6
85	18	24	554.4	0	4
86	18	55	555.0782105	0	7
87	8	97	246.4	0	10
88	18	25	406.3391052	0	4
89	18	56	661.4173157	0	7
90	18	55	555.756421	0	7
91	18	67	640.556421	0	8
92	18	77	512.6782105	0	9
93	13	93	358.3391052	0	10
94	17	88	779.6955262	0	10
95	18	65	427.2	0	8
96	18	65	512.6782105	0	8
97	18	35	662.0955262	0	5
98	18	45	470.2782105	0	6
99	18	54	491.1391052	0	7
100	9	95	404.7391052	0	10
101	10	93	393.4782105	0	10
102	14	90	623.0173157	0	10
103	18	75	662.0955262	0	9
104	18	66	406.3391052	0	8
105	18	69	682.2782105	0	8
106	18	44	534.2173157	0	6
107	18	35	534.2173157	0	5
108	18	76	470.2782105	0	9
109	12	94	391.8173157	0	10
110	18	46	449.4173157	0	6
111	18	77	449.4173157	0	9
112	12	93	434.2173157	0	10
113	18	56	705.1737367	0	7
114	18	88	639.8782105	0	10
115	17	89	609.4173157	0	10
116	18	45	619.0173157	0	6
117	18	65	470.2782105	0	8
118	18	45	385.4782105	0	6
119	18	86	661.4173157	0	10
120	13	91	571.0173157	0	10
121	18	76	832.3737367	0	9
122	18	56	831.0173157	0	7
123	18	46	533.5391052	0	6
124	7	98	322.2782105	0	10
125	18	77	575.9391052	0	9
126	18	67	660.7391052	0	8
127	18	87	598.156421	0	10
128	15	89	632.6173157	0	10
129	16	89	578.2782105	0	10
130	18	35	513.356421	0	5
131	18	24	662.0955262	0	4
132	18	77	725.356421	0	9
133	7	97	279.8782105	0	10
134	15	91	569.356421	0	10
135	16	90	515.0173157	0	10
136	17	89	567.6955262	0	10
137	18	46	385.4782105	0	6
138	18	57	747.5737367	0	7
139	6	98	312.6782105	0	10
140	18	67	534.2173157	0	8
141	16	89	663.756421	0	10
142	18	34	533.5391052	0	5
143	18	46	767.756421	0	6
144	18	54	662.0955262	0	7
145	18	46	704.4955262	0	6
146	18	45	726.0346315	0	6
147	18	76	768.4346315	0	9
148	13	92	635.6346315	0	10
149	13	91	741.2955262	0	10
150	18	65	810.8346315	0	8
151	18	76	534.2173157	0	9
152	17	89	736.6173157	0	10
153	18	86	895.6346315	0	10
154	18	56	449.4173157	0	7
155	18	46	619.6955262	0	6
156	18	77	832.3737367	0	9
157	11	94	595.5737367	0	10
158	9	95	511.756421	0	10
159	11	93	552.4955262	0	10
160	7	98	343.8173157	0	10
161	12	94	412.6782105	0	10
162	18	46	534.2173157	0	6
163	18	46	662.0955262	0	6
164	18	88	427.8782105	0	10
165	18	45	959.5737367	0	6
166	18	76	661.4173157	0	9
167	18	14	427.8782105	0	3
168	18	88	810.8346315	0	10
169	18	77	896.3128419	0	9
