Episode_Group	numSteps	Reward	Energy
1	17.44	48.5	585.2943546620002
2	17.44	47.46	587.4075725580001
3	17.44	48.3	588.6999188740001
4	17.44	47.5	592.1054830840002
5	17.44	46.46	587.4211367700002
6	17.44	46.24	591.2439188760002
7	17.44	46.84	597.6242651920002
8	17.44	46.84	597.6242651920002
9	17.44	47.04	590.3959188760001
10	17.44	46.66	586.9903546660001
11	17.44	45.6	586.1423546660001
12	17.54	44.68	587.9639188760001
13	17.54	44.66	584.5719188760002
14	17.54	45.28	585.4334830860001
15	17.54	45.06	580.3319188760001
16	17.58	43.6	578.5755725620002
17	17.58	43.0	577.3239188780001
18	17.58	43.6	578.6027009840001
19	17.58	43.62	575.6007904600001
20	17.58	43.64	577.7140083560001
21	17.58	42.38	580.7023546720001
22	17.54	42.42	579.039572568
23	17.54	42.62	577.760790464
24	17.54	43.46	575.64757257
25	17.54	44.3	577.7743546739999
26	17.38	45.52	570.7195725679999
27	17.38	46.18	571.5540083579999
28	17.38	47.86	565.146533624
29	17.38	47.28	567.2733157299999
30	17.38	46.64	562.1446231019999
31	17.28	47.18	553.9427125779999
32	17.28	48.0	551.3851483679999
33	17.28	48.62	549.6755841579999
34	17.18	50.38	548.2848020519999
35	17.34	50.02	554.0743662619999
36	17.34	49.62	562.1642767859998
37	17.3	49.68	560.0707125759998
38	17.34	48.84	565.9734946819998
39	17.34	48.82	563.8331483679998
40	17.34	49.42	569.3654946839998
41	17.32	49.44	570.4658409979999
42	17.24	50.78	569.2670588919998
43	17.24	49.34	572.2689694159999
44	17.24	49.36	579.0800978359998
45	17.22	50.44	583.9896620459999
46	17.22	51.3	581.0013157299999
47	17.22	52.5	587.8124441499999
48	17.18	52.78	592.543572568
49	17.18	54.48	602.302354672
50	17.14	54.74	598.1227009859999
51	17.14	55.56	601.9590473019999
52	17.14	56.2	605.364611512
53	17.14	56.66	605.7818294059999
54	17.14	57.7	603.655047302
55	17.14	58.96	605.364611512
56	17.14	60.2	610.035393616
57	17.14	61.04	607.0470472999999
58	17.1	61.5	608.3590472999999
59	16.94	61.9	606.405829406
60	16.94	62.52	606.3922651959999
61	16.94	63.58	605.961483092
62	16.8	64.56	604.617483092
63	16.8	64.18	607.147918882
64	16.74	65.08	609.533136776
65	16.7	66.14	616.3910473000001
66	16.7	66.54	621.088957824
67	16.7	67.38	624.050175718
68	16.54	68.38	619.956611508
69	16.46	69.48	617.061829402
70	16.38	70.38	609.0654830859999
71	16.38	71.82	608.6211367699999
72	16.42	71.56	608.1707009799999
73	16.38	71.82	607.3694830839999
74	16.24	72.18	604.3159188739999
75	16.24	71.96	606.8734830839999
76	16.4	71.34	613.4974830839999
77	16.4	71.76	614.3590472939999
78	16.22	71.94	613.4790472939999
79	16.22	72.34	616.467393608
80	16.12	73.5	612.9633936079999
81	16.06	73.52	613.235393608
82	16.04	74.38	618.562175712
83	15.94	75.3	615.9061757119999
84	16.04	74.78	618.144957818
85	16.04	74.58	618.144957818
86	16.04	74.58	618.1313936079999
87	16.04	74.56	618.144957818
88	15.98	75.42	613.3289578179999
89	15.98	75.42	612.480957818
90	15.9	76.54	605.749829398
91	15.96	76.44	609.7178293979999
92	16.04	76.14	610.0550472939999
93	16.04	77.02	606.6359188759999
94	15.9	77.98	595.923226246
95	15.92	77.74	595.68444414
96	15.92	77.46	602.4955725599999
97	15.86	77.78	600.21000835
98	15.76	77.88	591.160097826
99	15.6	78.02	583.688097826
100	15.64	76.52	581.514533616
101	15.56	76.82	576.0621872999999
102	15.56	77.24	576.0486230899999
103	15.56	76.76	577.7581872999999
104	15.56	76.72	576.0621872999999
105	15.52	77.18	575.6646230899998
106	15.52	77.4	568.4498409859999
107	15.48	77.66	570.206187302
108	15.48	77.66	566.8141873019999
109	15.64	77.28	573.8689694059999
110	15.62	77.48	575.386533616
111	15.42	78.3	572.18775151
112	15.56	77.56	576.4929694039998
113	15.5	78.46	573.386533614
114	15.54	78.44	575.4529694039999
115	15.48	78.5	564.6602767739998
116	15.46	79.54	560.6319304599998
117	15.46	79.72	552.98636625
118	15.62	79.32	554.5359304599999
119	15.7	79.06	559.57105888
120	15.6	79.14	560.32062309
121	15.38	79.56	551.41105888
122	15.38	78.98	553.1070588800001
123	15.36	79.02	550.35749467
124	15.5	78.7	549.574712564
125	15.48	79.56	548.95193046
126	15.4	80.06	549.90705888
127	15.3	80.36	548.5298409840001
128	15.46	80.18	550.49662309
129	15.46	79.96	544.950712566
130	15.46	79.94	548.356276776
131	15.62	79.6	550.740276776
132	15.58	79.64	546.533494672
133	15.68	79.34	549.620276776
134	15.58	79.86	547.825840986
135	15.58	80.06	546.9778409859999
136	15.56	80.48	541.6842767759999
137	15.62	80.4	546.9446230919999
138	15.54	80.48	541.923058882
139	15.44	80.8	541.811058882
140	15.36	80.9	541.487405196
141	15.38	80.9	541.248623092
142	15.34	81.14	541.712623092
143	15.28	81.98	540.275058882
144	15.36	81.88	542.321840988
145	15.36	81.88	541.9046230939999
146	15.36	81.9	536.38584099
147	15.42	81.38	531.01227678
148	15.5	81.3	535.17227678
149	15.58	81.24	535.07871257
150	15.4	82.84	532.919930466
151	15.32	82.92	532.582712572
152	15.32	83.1	526.215930466
153	15.1	84.2	517.7235841520001
154	15.1	84.24	519.4195841520001
155	15.06	84.3	513.9475841520001
156	14.94	84.42	512.7955841520001
157	14.86	84.5	506.48167362600003
158	14.84	84.52	505.01089152200007
159	14.74	84.82	498.9628915220001
160	14.66	84.92	495.2336736260001
161	14.68	84.88	497.5524557320001
162	14.56	85.6	490.8952378380001
163	14.6	85.54	489.58323783800006
164	14.54	85.56	483.50201994400004
165	14.48	85.64	485.483584154
166	14.36	85.8	486.0411483640001
167	14.16	86.62	486.2479304700001
168	14.04	87.0	484.66514836400006
169	13.88	87.34	477.59680205000006
170	13.9	87.34	476.09280205000005
171	14.12	86.9	481.61036626000003
172	14.06	87.76	476.78080205
