EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	36	51.0	1536.8692629208113	0.0	10
2	31	73	1572.9910524340091	0.0	10
3	19	76.0	820.4346314604059	0.0	10
4	55	41.0	1931.269262920809	0.0	10
5	23	80	624.6173157302031	0.0	10
6	64	39	2144.8692629208094	0.0	10
7	96	10	3580.0776310850206	0.0	10
8	68	27.0	3140.999420598221	0.0	10
9	19	68.0	500.739105243401	0.0	10
10	52	1.0	2391.7647891378156	0.0	10
11	37	68	1630.5910524340088	0.0	10
12	101	-15.0	3947.7731573020264	0.0	10
13	53	8.0	2019.0865786510128	0.0	10
14	49	55	2576.9994205982207	0.0	10
15	107	-2	4940.207788762433	0.0	10
16	26	51.0	1227.512841947207	0.0	10
17	68	12.0	3013.1212101114193	0.0	10
18	126	-76.0	4612.451367788833	0.0	8
19	77	27	3034.903894381215	0.0	10
20	78	-9.0	3046.5385258416213	0.0	10
21	20	68.0	809.1737367038068	0.0	10
22	36	68	1323.5128419472078	0.0	10
23	23	73.0	879.6955262170048	0.0	10
24	94	1.0	3519.1558415718223	0.0	10
25	46	57	2206.2865786510133	0.0	10
26	62	24.0	2316.80836816421	0.0	10
27	126	-40.0	4994.729578275632	0.0	9
28	126	-42	4889.068683519032	0.0	8
29	126	-42	4611.773157302028	0.0	8
30	126	-54	5334.607788762431	0.0	7
31	66	21.0	1802.6519471906072	0.0	10
32	77	28	3695.1558415718255	0.0	10
33	103	-7.0	3795.33852584162	0.0	10
34	126	-75.0	4908.573157302029	0.0	8
35	69	34	2384.686578651012	0.0	10
36	126	-50.0	3781.2429996246146	0.0	9
37	22	74.0	933.3564209736039	0.0	10
38	126	-62.0	4141.982104868016	0.0	7
39	73	23.0	2740.069262920811	0.0	10
40	126	-54	4825.129578275633	0.0	7
41	99	5	3436.5647891378135	0.0	10
42	126	-41.0	4804.268683519031	0.0	9
43	19	84	627.939105243401	0.0	10
44	46	42.0	1824.0083681642116	0.0	10
45	36	33.0	1003.8173157302032	0.0	10
46	85	2.0	2281.1737367038036	0.0	10
47	116	-36.0	4238.477631085022	0.0	10
48	126	-32	4843.955841571827	0.0	9
49	35	61.0	1547.4519471906083	0.0	10
50	35	68	1122.7737367038064	0.0	10
51	90	14	2863.582104868015	0.0	10
52	44	25.0	1995.2692629208104	0.0	10
53	86	10.0	1802.8346314604025	0.0	10
54	27	77	1215.5737367038068	0.0	10
55	126	-40.0	4145.373157302027	0.0	9
56	14	89	773.1128419472078	0.0	10
57	116	-11	5346.98152546624	0.0	10
58	56	49	2407.269262920812	0.0	10
59	17	79.0	396.739105243401	0.0	10
60	68	36	2564.8692629208103	0.0	10
61	28	76	565.6	0.0	10
62	33	37.0	1443.4519471906076	0.0	10
63	126	-33	4502.721210111424	0.0	9
64	126	-51.0	3123.0256838944088	0.0	9
65	56	47	1407.817315730203	0.0	10
66	46	58	1865.0519471906082	0.0	10
67	43	61	2006.5301576774095	0.0	10
68	102	-6.0	3102.591052434008	0.0	10
69	49	37.0	1574.8346314604055	0.0	10
70	20	84	872.4346314604057	0.0	10
71	45	59	1707.3910524340085	0.0	10
72	15	80.0	696.556420973604	0.0	10
73	22	55.0	806.1564209736039	0.0	10
74	53	53	1997.5474734076113	0.0	10
75	37	60.0	1586.8346314604053	0.0	10
76	16	79.0	684.6173157302029	0.0	10
77	59	45	2032.9301576774085	0.0	10
78	12	83.0	455.75642097360384	0.0	10
79	126	-43	3291.2692629208077	0.0	8
80	12	74.0	434.21731573020287	0.0	10
81	126	-32	2931.886578651009	0.0	9
82	15	89	632.6173157302029	0.0	10
83	20	76.0	723.695526217005	0.0	10
84	126	-32	4269.1821048680185	0.0	9
85	85	11.0	2538.286578651011	0.0	10
86	17	78.0	460.6782104868021	0.0	10
87	8	95	331.8782104868019	0.0	10
88	15	89	590.2173157302028	0.0	10
89	9	86.0	341.4782104868019	0.0	10
90	13	90	464.6782104868019	0.0	10
91	92	4.0	3605.6167363284235	0.0	10
92	13	82.0	464.6782104868019	0.0	10
93	11	92	403.0782104868019	0.0	10
94	38	57.0	1492.1301576774094	0.0	10
95	80	24	2937.182104868018	0.0	10
96	12	91	433.53910524340097	0.0	10
97	24	71.0	633.5391052434012	0.0	10
