EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	122	-100	6043.972577900251	0.0	2
2	122	-70	5401.19047303223	0.0	5
3	122	-37	6192.033472656847	0.0	8
4	122	-38	5722.242420222838	0.0	8
5	122	-90	6445.755262170046	0.0	3
6	122	-111	5317.746894005835	0.0	1
7	122	-38	6444.398841196441	0.0	8
8	122	-122	6145.564209736037	0.0	0
9	122	-122	6235.111683143651	0.0	0
10	122	-101	6189.9988411964405	0.0	2
11	122	-91	6039.903314979437	0.0	3
12	122	-37	5742.425104492638	0.0	8
13	122	-80	4766.5468940058345	0.0	4
14	122	-90	5529.068683519036	0.0	3
15	122	-122	6190.677051683246	0.0	0
16	122	-122	5062.668683519039	0.0	0
17	122	-90	6190.67705168324	0.0	3
18	122	-50	5083.529578275638	0.0	7
19	122	-69	5234.30331497944	0.0	5
20	122	-111	5381.685999249232	0.0	1
21	122	-38	5829.259735953044	0.0	8
22	122	-71	4720.755841571823	0.0	5
23	122	-50	5233.625104492638	0.0	7
24	122	-37	5679.164209736036	0.0	8
25	122	-122	6339.4161569266425	0.0	0
26	122	-101	5147.4686835190305	0.0	2
27	122	-81	6447.111683143646	0.0	4
28	122	-70	5848.764209736034	0.0	5
29	122	-70	6082.981525466238	0.0	5
30	122	-91	6212.216156926648	0.0	3
31	122	-80	5934.242420222835	0.0	4
32	122	-122	5530.425104492635	0.0	0
33	122	-122	5828.581525466241	0.0	0
34	122	-111	5914.059735953039	0.0	1
35	122	-37	6486.12063070964	0.0	8
36	122	-81	5912.0251044926345	0.0	4
37	122	-80	5742.425104492634	0.0	4
38	122	-70	6082.981525466242	0.0	5
39	122	-60	6168.459735953045	0.0	6
40	122	-122	6276.155262170047	0.0	0
41	122	-60	4934.79047303223	0.0	6
42	122	-40	5635.407788762433	0.0	8
43	122	-59	6444.398841196441	0.0	6
44	122	-60	4935.468683519033	0.0	6
45	122	-101	4572.016736328424	0.0	2
46	122	-50	5420.694946815232	0.0	7
47	122	-81	5743.103314979441	0.0	4
48	122	-49	6018.364209736039	0.0	7
49	122	-80	5041.807788762435	0.0	4
50	122	-71	4869.494946815224	0.0	5
51	122	-101	5805.007788762432	0.0	2
52	122	-49	6105.877051683245	0.0	7
53	122	-80	6488.155262170049	0.0	4
54	122	-80	5613.868683519035	0.0	4
55	122	-79	4721.4340520586275	0.0	4
56	122	-81	4998.729578275637	0.0	4
57	122	-101	5508.207788762436	0.0	2
58	122	-111	5359.468683519034	0.0	1
59	122	-91	6210.859735953041	0.0	3
60	122	-81	4891.712262545435	0.0	4
61	122	-49	5381.685999249238	0.0	7
62	122	-38	5679.1642097360345	0.0	8
63	122	-39	6041.9379464398435	0.0	8
64	122	-80	4679.712262545427	0.0	4
65	122	-80	6021.077051683251	0.0	4
66	122	-111	5915.416156926643	0.0	1
67	122	-49	4912.573157302028	0.0	7
68	122	-50	5273.9904730322305	0.0	7
69	122	-91	5680.520630709636	0.0	3
70	122	-49	6019.042420222839	0.0	7
71	122	-49	4977.190473032229	0.0	7
72	122	-80	5593.0077887624375	0.0	4
73	122	-49	5486.668683519031	0.0	7
74	122	-49	5400.512262545433	0.0	7
75	122	-49	5146.112262545428	0.0	7
76	122	-50	5936.277051683243	0.0	7
77	122	-48	5465.129578275629	0.0	7
78	122	-70	5508.207788762435	0.0	5
79	122	-50	5317.068683519032	0.0	7
80	122	-49	5276.025104492637	0.0	7
81	122	-69	5273.99047303223	0.0	5
82	122	-50	4635.2776310850295	0.0	7
83	122	-70	5401.86868351904	0.0	5
84	122	-49	5872.33794643985	0.0	7
85	122	-70	5676.45136778883	0.0	5
86	122	-81	5873.016156926645	0.0	4
87	122	-81	4977.868683519033	0.0	4
88	122	-81	5020.268683519034	0.0	4
89	122	-111	5913.38152546624	0.0	1
90	122	-39	4869.494946815225	0.0	8
91	122	-27	6809.885419847452	0.0	9
92	122	-50	5891.842420222838	0.0	7
93	122	-101	4742.973157302025	0.0	2
94	122	-48	5743.103314979437	0.0	7
95	122	-50	4041.67763108502	0.0	7
96	122	-70	5785.503314979437	0.0	5
97	122	-50	5698.668683519029	0.0	7
98	122	-100	5704.094367413446	0.0	2
99	122	-122	5956.459735953045	0.0	0
100	122	-50	5659.659735953041	0.0	7
101	122	-50	4977.190473032229	0.0	7
102	122	-28	4038.9647891378127	0.0	9
103	122	-81	5376.260315354819	0.0	4
104	122	-49	5549.9295782756335	0.0	7
105	122	-29	4931.399420598219	0.0	9
106	122	-50	4699.216736328422	0.0	7
107	122	-50	5148.14689400583	0.0	7
108	122	-60	4699.894946815225	0.0	6
109	122	-122	5167.65136778883	0.0	0
110	122	-81	5401.190473032231	0.0	4
111	122	-48	5188.5122625454305	0.0	7
112	122	-29	4954.973157302026	0.0	9
113	122	-50	5996.825104492636	0.0	7
114	122	-50	5337.9295782756335	0.0	7
115	122	-60	6509.694367413444	0.0	6
116	122	-70	6063.477051683244	0.0	5
117	115	-10	3997.3731573020245	0.0	10
118	122	-18	5763.285999249239	0.0	10
119	122	-37	6060.764209736033	0.0	8
120	112	-6	5669.998841196444	0.0	10
121	122	-57	4700.573157302027	0.0	6
122	122	-81	5337.929578275629	0.0	4
123	122	-48	5128.642420222842	0.0	7
124	75	30	2973.982104868017	0.0	10
125	122	-39	6404.711683143647	0.0	8
126	122	-28	6147.598841196438	0.0	9
127	47	59	2299.3301576774097	0.0	10
128	122	-49	5616.581525466239	0.0	7
129	122	-50	5741.068683519033	0.0	7
130	122	-28	4847.95584157183	0.0	9
131	122	-28	4145.303894381215	0.0	9
132	122	-50	5679.164209736039	0.0	7
133	56	50	2345.3647891378155	0.0	10
134	122	-50	4936.825104492638	0.0	7
135	122	-50	4722.11226254543	0.0	7
136	122	-50	4933.4340520586275	0.0	7
137	122	-122	5891.84242022284	0.0	0
138	122	-81	5531.10331497944	0.0	4
139	122	-50	5273.990473032229	0.0	7
140	122	-101	5509.564209736035	0.0	2
141	122	-50	5508.885999249234	0.0	7
142	122	-48	4955.651367788829	0.0	7
143	122	-50	3676.869262920806	0.0	7
144	122	-50	6083.659735953042	0.0	7
145	122	-91	4615.773157302028	0.0	3
146	122	-29	6101.807788762433	0.0	9
147	122	-39	5338.607788762434	0.0	8
148	122	-29	5401.86868351904	0.0	9
149	122	-50	5125.929578275631	0.0	7
150	121	-17	5263.034052058627	0.0	10
151	122	-50	6251.903314979441	0.0	7
152	122	-18	5868.946894005833	0.0	10
153	122	-60	5957.8161569266495	0.0	6
154	122	-39	4148.016736328421	0.0	8
155	122	-29	5125.929578275636	0.0	9
156	122	-38	4508.077631085032	0.0	8
157	113	-9	5719.964209736037	0.0	10
158	122	-29	4681.74689400583	0.0	9
159	122	-27	5721.56420973604	0.0	9
160	122	-50	5337.2513677888255	0.0	7
161	77	27	2842.4083681642105	0.0	10
162	114	-9	5072.025104492635	0.0	10
163	122	-60	4826.416736328425	0.0	6
164	122	-39	4849.312262545432	0.0	8
165	122	-48	5123.894946815229	0.0	7
166	122	-39	5889.129578275632	0.0	8
167	113	-9	5440.6340520586255	0.0	10
168	122	-28	4446.851367788826	0.0	9
169	122	-101	5231.590473032236	0.0	2
170	122	-29	5743.103314979441	0.0	9
171	62	42	2187.5737367038046	0.0	10
172	122	-26	4081.364789137812	0.0	9
173	122	-16	4125.7994205982195	0.0	10
174	122	-28	5761.251367788832	0.0	9
175	122	-38	5784.146894005835	0.0	8
176	122	-29	5527.712262545432	0.0	9
177	57	48	2247.2692629208095	0.0	10
178	122	-39	4209.2429996246165	0.0	8
179	74	32	2879.582104868017	0.0	10
180	122	-27	5231.590473032234	0.0	9
181	112	-8	4305.060315354817	0.0	10
182	113	-7	3975.460315354816	0.0	10
183	122	-50	4553.190473032229	0.0	7
184	58	46	2704.4429996246167	0.0	10
185	122	-29	4168.199420598217	0.0	9
186	122	-28	3678.22568389441	0.0	9
187	122	-39	3701.1212101114143	0.0	8
188	122	-50	3061.7301576774053	0.0	7
189	122	-38	4784.694946815227	0.0	8
190	101	3	3602.4692629208093	0.0	10
191	87	17	3173.982104868016	0.0	10
192	122	-29	3635.147473407608	0.0	9
193	122	-39	3763.02568389441	0.0	8
194	50	55	2222.4692629208103	0.0	10
195	83	22	3515.147473407611	0.0	10
196	119	-15	3331.0865786510085	0.0	10
197	122	-38	3659.3994205982153	0.0	8
198	122	-28	4720.077631085024	0.0	9
199	122	-29	3847.825683894411	0.0	9
200	122	-28	4445.4949468152245	0.0	9
201	122	-38	3571.2083681642084	0.0	8
202	118	-13	4513.434052058624	0.0	10
203	122	-50	3763.025683894411	0.0	7
204	122	-29	4720.755841571827	0.0	9
205	122	-28	4653.425683894417	0.0	9
206	88	17	4030.9038943812157	0.0	10
207	122	-37	4507.3994205982235	0.0	8
208	80	24	3209.7301576774084	0.0	10
209	58	46	2553.66926292081	0.0	10
210	122	-29	4145.982104868015	0.0	9
211	106	-1	3608.747473407609	0.0	10
212	99	6	2756.1301576774067	0.0	10
213	122	-29	4425.312262545431	0.0	9
214	80	24	2830.1647891378143	0.0	10
215	122	-28	3722.6603153548153	0.0	9
216	122	-90	3296.625683894408	0.0	3
217	122	-29	3850.5385258416177	0.0	9
218	122	-28	4425.990473032227	0.0	9
219	122	-28	2659.2692629208036	0.0	9
220	122	-60	3485.0519471906023	0.0	6
221	122	-28	4127.155841571823	0.0	9
222	44	61	1825.6692629208112	0.0	10
223	122	-50	2850.4083681642046	0.0	7
224	122	-28	3170.7821048680116	0.0	9
225	84	21	2230.5301576774064	0.0	10
226	67	37	2578.842999624616	0.0	10
227	122	-59	3190.96478913781	0.0	6
228	92	12	3177.54747340761	0.0	10
229	96	8	2281.791052434004	0.0	10
230	122	-39	2849.051947190602	0.0	8
231	122	-37	2998.469262920805	0.0	8
232	98	6	2661.0519471906036	0.0	10
233	122	-50	3399.573736703801	0.0	7
234	122	-39	2912.9910524340025	0.0	8
235	122	-28	2977.608368164205	0.0	9
236	122	-37	3254.225683894408	0.0	8
237	122	-38	3700.442999624613	0.0	8
238	122	-39	3252.8692629208053	0.0	8
239	122	-38	3059.695526216998	0.0	8
240	122	-39	3147.2083681642066	0.0	8
241	96	9	2536.1910524340037	0.0	10
242	122	-29	3339.025683894409	0.0	9
243	122	-29	2892.130157677405	0.0	9
244	122	-37	2764.251947190602	0.0	8
245	122	-27	2274.956420973596	0.0	9
246	122	-37	2616.1910524340024	0.0	8
247	122	-28	3170.103894381211	0.0	9
248	122	-29	2830.2256838944077	0.0	9
249	122	-39	3125.6692629208037	0.0	8
250	122	-27	3063.7647891378097	0.0	9
251	108	-4	3100.3212101114136	0.0	10
252	122	-49	2807.3301576774024	0.0	7
253	122	-27	3513.373157302021	0.0	9
254	122	-29	3491.155841571818	0.0	9
255	122	-37	3108.1994205982137	0.0	8
256	122	-28	3129.060315354814	0.0	9
257	122	-29	3382.782104868015	0.0	9
258	122	-29	2362.469262920805	0.0	9
259	122	-27	2744.7474734076077	0.0	9
260	122	-50	3042.9038943812093	0.0	7
261	122	-70	2767.6429996246097	0.0	5
262	122	-28	3407.03405205862	0.0	9
263	122	-29	3106.84299962461	0.0	9
264	122	-39	3275.086578651007	0.0	8
265	106	0	4142.477631085022	0.0	10
266	122	-39	3316.130157677404	0.0	8
267	122	-28	2975.5737367037996	0.0	9
268	122	-50	3336.9910524340034	0.0	7
269	122	-28	2657.9128419472004	0.0	9
270	122	-50	3190.9647891378095	0.0	7
