Steps_BL	Reward_BL	ener_BL	dist_BL
7	87	364.0	0.0
7	87	364.0	0.0
7	68	364.0	0.0
15	60	780.0	0.0
7	77	364.0	0.0
7	88	364.0	0.0
15	81	780.0	0.0
7	77	364.0	0.0
7	88	364.0	0.0
16	79	832.0	0.0
7	78	364.0	0.0
7	78	364.0	0.0
7	78	364.0	0.0
8	87	416.0	0.0
16	80	832.0	0.0
7	78	364.0	0.0
7	78	364.0	0.0
7	87	364.0	0.0
7	87	364.0	0.0
8	86	416.0	0.0
16	81	832.0	0.0
7	77	364.0	0.0
7	77	364.0	0.0
7	77	364.0	0.0
7	77	364.0	0.0
8	78	416.0	0.0
8	78	416.0	0.0
7	77	364.0	0.0
14	71	728.0	0.0
14	81	728.0	0.0
8	87	416.0	0.0
7	78	364.0	0.0
7	78	364.0	0.0
8	89	416.0	0.0
16	81	832.0	0.0
15	70	780.0	0.0
7	66	364.0	0.0
7	66	364.0	0.0
13	82	676.0	0.0
7	87	364.0	0.0
14	80	728.0	0.0
16	80	832.0	0.0
7	68	364.0	0.0
8	66	416.0	0.0
8	77	416.0	0.0
7	89	364.0	0.0
7	89	364.0	0.0
16	80	832.0	0.0
7	78	364.0	0.0
16	81	832.0	0.0
7	78	364.0	0.0
16	70	832.0	0.0
7	78	364.0	0.0
16	81	832.0	0.0
7	78	364.0	0.0
7	87	364.0	0.0
7	87	364.0	0.0
16	80	832.0	0.0
8	77	416.0	0.0
7	88	364.0	0.0
15	80	780.0	0.0
7	87	364.0	0.0
15	81	780.0	0.0
20	76	1040.0	0.0
7	77	364.0	0.0
15	82	780.0	0.0
7	89	364.0	0.0
16	79	832.0	0.0
7	76	364.0	0.0
7	87	364.0	0.0
16	79	832.0	0.0
7	76	364.0	0.0
7	76	364.0	0.0
23	61	1196.0	0.0
8	68	416.0	0.0
16	81	832.0	0.0
15	70	780.0	0.0
8	77	416.0	0.0
8	88	416.0	0.0
8	87	416.0	0.0
7	87	364.0	0.0
16	79	832.0	0.0
7	77	364.0	0.0
8	88	416.0	0.0
8	88	416.0	0.0
8	88	416.0	0.0
21	75	1092.0	0.0
7	87	364.0	0.0
7	88	364.0	0.0
15	70	780.0	0.0
16	59	832.0	0.0
8	77	416.0	0.0
16	79	832.0	0.0
8	77	416.0	0.0
16	69	832.0	0.0
7	67	364.0	0.0
15	82	780.0	0.0
7	78	364.0	0.0
8	77	416.0	0.0
8	88	416.0	0.0
