EpNum	EpSteps	Reward	ener	dist
1	7	87	364.0	0.0
2	7	87	364.0	0.0
3	7	68	364.0	0.0
4	15	60	780.0	0.0
5	7	77	364.0	0.0
6	7	88	364.0	0.0
7	15	81	780.0	0.0
8	7	77	364.0	0.0
9	7	88	364.0	0.0
10	16	79	832.0	0.0
11	7	78	364.0	0.0
12	7	78	364.0	0.0
13	7	78	364.0	0.0
14	8	87	416.0	0.0
15	16	80	832.0	0.0
16	7	78	364.0	0.0
17	7	78	364.0	0.0
18	7	87	364.0	0.0
19	7	87	364.0	0.0
20	8	86	416.0	0.0
21	16	81	832.0	0.0
22	7	77	364.0	0.0
23	7	77	364.0	0.0
24	7	77	364.0	0.0
25	7	77	364.0	0.0
26	8	78	416.0	0.0
27	8	78	416.0	0.0
28	7	77	364.0	0.0
29	14	71	728.0	0.0
30	14	81	728.0	0.0
31	8	87	416.0	0.0
32	7	78	364.0	0.0
33	7	78	364.0	0.0
34	8	89	416.0	0.0
35	16	81	832.0	0.0
36	15	70	780.0	0.0
37	7	66	364.0	0.0
38	7	66	364.0	0.0
39	13	82	676.0	0.0
40	7	87	364.0	0.0
41	14	80	728.0	0.0
42	16	80	832.0	0.0
43	7	68	364.0	0.0
44	8	66	416.0	0.0
45	8	77	416.0	0.0
46	7	89	364.0	0.0
47	7	89	364.0	0.0
48	16	80	832.0	0.0
49	7	78	364.0	0.0
50	16	81	832.0	0.0
51	7	78	364.0	0.0
52	16	70	832.0	0.0
53	7	78	364.0	0.0
54	16	81	832.0	0.0
55	7	78	364.0	0.0
56	7	87	364.0	0.0
57	7	87	364.0	0.0
58	16	80	832.0	0.0
59	8	77	416.0	0.0
60	7	88	364.0	0.0
61	15	80	780.0	0.0
62	7	87	364.0	0.0
63	15	81	780.0	0.0
64	20	76	1040.0	0.0
65	7	77	364.0	0.0
66	15	82	780.0	0.0
67	7	89	364.0	0.0
68	16	79	832.0	0.0
69	7	76	364.0	0.0
70	7	87	364.0	0.0
71	16	79	832.0	0.0
72	7	76	364.0	0.0
73	7	76	364.0	0.0
74	23	61	1196.0	0.0
75	8	68	416.0	0.0
