Episode_Group	numSteps	Reward	Energy
1	9.0	79.0	494.0
2	8.0	81.0	421.0
3	9.0	77.0	494.0
4	9.0	78.0	494.0
5	10.0	78.0	551.0
6	9.0	80.0	509.0
7	11.0	81.0	603.0
8	11.0	76.0	603.0
9	10.0	82.0	540.0
10	10.0	75.0	566.0
11	10.0	81.0	551.0
12	10.0	72.0	556.0
13	9.0	75.0	494.0
14	7.0	71.0	400.0
15	10.0	74.0	530.0
16	9.0	75.0	504.0
17	13.0	75.0	707.0
18	10.0	83.0	546.0
19	11.0	77.0	582.0
20	7.0	83.0	405.0
21	10.0	78.0	546.0
22	14.0	72.0	738.0
23	9.0	76.0	488.0
24	13.0	73.0	707.0
25	11.0	78.0	582.0
26	12.0	80.0	624.0
27	9.0	75.0	509.0
28	10.0	81.0	546.0
29	9.0	75.0	514.0
30	8.0	82.0	457.0
31	11.0	77.0	592.0
32	10.0	81.0	520.0
33	9.0	75.0	488.0
34	10.0	75.0	535.0
35	9.0	78.0	468.0
36	9.0	78.0	509.0
37	11.0	82.0	582.0
38	10.0	78.0	530.0
39	11.0	79.0	577.0
40	8.0	74.0	462.0
41	10.0	79.0	535.0
42	10.0	79.0	530.0
43	9.0	75.0	494.0
44	10.0	73.0	551.0
45	9.0	74.0	488.0
46	11.0	80.0	598.0
47	10.0	79.0	551.0
48	9.0	79.0	514.0
49	10.0	75.0	540.0
50	13.0	77.0	681.0
51	10.0	78.0	546.0
52	8.0	82.0	462.0
53	10.0	83.0	546.0
54	9.0	75.0	514.0
55	11.0	77.0	577.0
56	12.0	76.0	670.0
57	9.0	79.0	514.0
58	7.0	78.0	410.0
59	10.0	70.0	530.0
60	9.0	79.0	514.0
61	8.0	75.0	447.0
62	9.0	74.0	509.0
63	8.0	75.0	462.0
64	10.0	76.0	520.0
65	10.0	74.0	566.0
66	8.0	77.0	457.0
67	10.0	84.0	530.0
68	9.0	77.0	509.0
69	10.0	76.0	546.0
70	10.0	72.0	546.0
71	9.0	76.0	488.0
72	11.0	77.0	572.0
73	10.0	78.0	535.0
74	11.0	76.0	598.0
75	11.0	75.0	577.0
76	10.0	78.0	551.0
77	10.0	79.0	556.0
78	10.0	70.0	530.0
