EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	31	63	934.9564209736042	0.0	10
2	139	-44	7012.7725779002485	0.0	10
3	120	-25	6213.877051683246	0.0	10
4	12	82	391.139105243401	0.0	10
5	96	-10.0	3707.2776310850227	0.0	10
6	1161	-1065	57720.0934651487	0.0	10
7	1692	-1650	84084.15809285521	0.0	5
8	1692	-1661	80276.1329883628	0.0	4
9	1692	-1639	72300.02188462064	0.0	6
10	1692	-1619	66889.44988612182	0.0	8
11	46	51	2289.7301576774103	0.0	10
12	49	46	1809.0519471906077	0.0	10
13	50	38.0	1669.9128419472072	0.0	10
14	55	32.0	2185.669262920811	0.0	10
15	1692	-1628	58717.45220372874	0.0	7
16	69	17.0	2872.6256838944146	0.0	10
17	68	27	3245.303894381217	0.0	10
18	23	72	815.756420973604	0.0	10
19	1692	-1617.0	54873.80920410407	0.0	9
20	88	7	2436.495526217001	0.0	10
21	69	26	1957.9737367038038	0.0	10
22	56	39	1748.3737367038052	0.0	10
23	49	46	2426.225683894414	0.0	10
24	21	74	1180.1910524340094	0.0	10
25	73	13.0	1316.6173157302023	0.0	10
26	75	20	2845.425683894412	0.0	10
27	77	18	2269.6692629208096	0.0	10
28	72	23	2520.5038943812137	0.0	10
29	57	38	2376.5038943812146	0.0	10
30	64	31	2400.6256838944128	0.0	10
31	44	52	1378.7737367038053	0.0	10
32	8	86	395.8173157302029	0.0	10
33	1692	-1608	48759.39246777551	0.0	9
34	72	23	2414.842999624614	0.0	10
35	1692	-1608	44067.58583781659	0.0	9
36	1692	-1619	40565.69204980486	0.0	8
37	1692	-1619	39097.805471153784	0.0	8
38	110	-15	2351.5737367038014	0.0	10
39	170	-84.0	7963.842420222845	0.0	10
40	125	-39.0	3454.6603153548144	0.0	10
41	75	11.0	2354.7737367038053	0.0	10
42	127	-32	3554.591052434006	0.0	10
43	97	-11.0	2757.791052434004	0.0	10
44	72	14.0	1860.2519471906062	0.0	10
45	125	-39.0	5423.2083681642125	0.0	10
46	830	-744.0	14679.407788762666	0.0	10
47	1692	-1617.0	19730.173157301917	0.0	9
48	153	-67.0	1894.1564209735975	0.0	10
49	1692	-1635.0	30470.937367036695	0.0	8
50	22	64.0	742.2173157302032	0.0	10
51	1692	-1608	33249.83289325344	0.0	9
52	137	-42	5028.251947190614	0.0	10
53	1692	-1608	29766.928998872405	0.0	9
54	31	55.0	935.6346314604062	0.0	10
55	42	44.0	1019.0173157302036	0.0	10
56	25	61.0	686.2173157302033	0.0	10
57	29	57.0	724.6173157302034	0.0	10
58	24	62.0	761.4173157302032	0.0	10
59	26	60.0	695.8173157302033	0.0	10
60	25	61.0	855.8173157302032	0.0	10
61	27	59.0	705.4173157302033	0.0	10
62	38	48.0	811.0173157302036	0.0	10
63	1692	-1619	29339.537946438282	0.0	8
64	1692	-1666.0	33705.54515579921	0.0	5
65	1692	-1677.0	29175.363630332955	0.0	4
66	1692	-1662.0	34028.468104115746	0.0	7
67	1692	-1664.0	26590.32005130661	0.0	6
68	17	69.0	735.939105243401	0.0	10
69	17	69.0	735.939105243401	0.0	10
70	17	69.0	735.939105243401	0.0	10
71	17	69.0	884.678210486802	0.0	10
72	17	69.0	715.0782104868019	0.0	10
73	17	69.0	715.0782104868019	0.0	10
74	17	69.0	715.0782104868019	0.0	10
75	17	69.0	715.0782104868019	0.0	10
76	1692	-1619	27894.546894004492	0.0	8
77	20	75	743.8782104868019	0.0	10
78	1692	-1608	21484.00836816385	0.0	9
79	20	75	1062.217315730203	0.0	10
80	18	68.0	809.478210486802	0.0	10
81	17	78	948.6173157302028	0.0	10
82	18	77	979.0782104868019	0.0	10
83	20	75	1083.078210486802	0.0	10
84	17	69.0	884.678210486802	0.0	10
85	18	68.0	724.678210486802	0.0	10
86	19	76	1052.6173157302028	0.0	10
87	19	76	1052.6173157302028	0.0	10
88	23	72	1239.7564209736038	0.0	10
89	1230	-1135	18097.442420223073	0.0	10
90	17	69.0	651.139105243401	0.0	10
91	17	69.0	651.139105243401	0.0	10
92	18	77	724.6782104868018	0.0	10
93	10	84	435.8782104868019	0.0	10
94	17	69.0	651.139105243401	0.0	10
95	17	69.0	651.139105243401	0.0	10
96	22	64.0	699.1391052434011	0.0	10
97	1692	-1618	19512.747473407588	0.0	8
98	7	87	407.07821048680194	0.0	10
99	18	77	724.6782104868021	0.0	10
100	19	76	734.278210486802	0.0	10
101	17	69.0	524.617315730203	0.0	10
102	17	69.0	524.617315730203	0.0	10
103	17	69.0	524.617315730203	0.0	10
104	17	69.0	524.617315730203	0.0	10
105	17	69.0	524.617315730203	0.0	10
106	17	69.0	524.617315730203	0.0	10
107	17	69.0	524.617315730203	0.0	10
108	17	69.0	524.617315730203	0.0	10
109	17	69.0	524.617315730203	0.0	10
110	17	69.0	524.617315730203	0.0	10
111	8	86	416.6782104868019	0.0	10
112	7	87	407.07821048680194	0.0	10
113	7	87	407.07821048680194	0.0	10
114	7	87	407.07821048680194	0.0	10
115	31	64	1719.6955262170045	0.0	10
116	33	62	1611.0173157302029	0.0	10
117	20	75	574.2782104868019	0.0	10
118	1692	-1617.0	18937.973736703832	0.0	9
119	17	69.0	609.417315730203	0.0	10
120	17	69.0	524.617315730203	0.0	10
121	25	69	1386.1564209736036	0.0	10
122	25	69	1343.078210486802	0.0	10
123	230	-136	3972.6865786509975	0.0	10
124	931	-845.0	10741.295526217194	0.0	10
125	7	87	407.07821048680194	0.0	10
126	7	87	407.07821048680194	0.0	10
127	8	86	416.6782104868019	0.0	10
128	7	87	407.07821048680194	0.0	10
129	8	86	416.6782104868019	0.0	10
130	7	87	407.07821048680194	0.0	10
131	7	87	407.07821048680194	0.0	10
132	7	87	407.07821048680194	0.0	10
133	20	75	1019.139105243401	0.0	10
134	7	87	407.07821048680194	0.0	10
135	7	87	407.07821048680194	0.0	10
136	7	87	407.07821048680194	0.0	10
137	7	87	407.07821048680194	0.0	10
138	7	87	407.07821048680194	0.0	10
139	7	87	407.07821048680194	0.0	10
140	7	87	407.07821048680194	0.0	10
141	17	69.0	694.217315730203	0.0	10
142	7	87	407.07821048680194	0.0	10
143	7	87	407.07821048680194	0.0	10
144	7	87	407.07821048680194	0.0	10
145	7	87	407.07821048680194	0.0	10
146	7	87	407.07821048680194	0.0	10
147	8	86	416.6782104868019	0.0	10
148	8	86	416.6782104868019	0.0	10
149	7	87	407.07821048680194	0.0	10
150	7	87	407.07821048680194	0.0	10
151	7	87	407.07821048680194	0.0	10
152	8	86	416.6782104868019	0.0	10
153	7	87	407.07821048680194	0.0	10
154	7	87	407.07821048680194	0.0	10
155	7	87	407.07821048680194	0.0	10
156	7	87	407.07821048680194	0.0	10
157	7	87	407.07821048680194	0.0	10
158	7	87	407.07821048680194	0.0	10
159	7	87	407.07821048680194	0.0	10
160	7	87	407.07821048680194	0.0	10
161	11	83	658.1564209736039	0.0	10
162	1692	-1629	18709.18210486812	0.0	7
163	1692	-1609	18518.042999624726	0.0	9
164	1692	-1609	19429.30389438121	0.0	9
165	1692	-1609	18944.077631085027	0.0	9
166	17	69.0	609.4173157302031	0.0	10
167	17	69.0	609.4173157302031	0.0	10
168	17	69.0	609.4173157302031	0.0	10
169	17	69.0	609.4173157302031	0.0	10
170	17	69.0	609.4173157302031	0.0	10
171	17	69.0	609.4173157302031	0.0	10
172	17	69.0	609.4173157302031	0.0	10
173	17	69.0	609.417315730203	0.0	10
174	17	69.0	609.4173157302031	0.0	10
175	17	69.0	609.4173157302031	0.0	10
176	17	69.0	609.4173157302031	0.0	10
177	17	69.0	715.078210486802	0.0	10
178	17	69.0	609.4173157302031	0.0	10
179	17	69.0	609.4173157302031	0.0	10
180	17	69.0	609.4173157302031	0.0	10
181	17	69.0	609.4173157302031	0.0	10
182	28	67	1435.139105243401	0.0	10
183	17	69.0	630.2782104868021	0.0	10
184	17	69.0	630.2782104868021	0.0	10
185	17	69.0	630.2782104868021	0.0	10
186	17	69.0	630.2782104868021	0.0	10
187	17	69.0	630.278210486802	0.0	10
188	17	69.0	524.617315730203	0.0	10
189	17	69.0	630.2782104868021	0.0	10
190	17	69.0	609.4173157302031	0.0	10
191	17	69.0	630.2782104868021	0.0	10
192	17	69.0	630.2782104868021	0.0	10
193	17	69.0	630.2782104868021	0.0	10
194	17	69.0	630.2782104868021	0.0	10
195	17	69.0	630.2782104868021	0.0	10
196	17	69.0	609.4173157302031	0.0	10
197	17	69.0	630.278210486802	0.0	10
198	17	69.0	630.2782104868021	0.0	10
199	25	70	1300.6782104868018	0.0	10
200	17	69.0	609.4173157302031	0.0	10
201	17	69.0	630.2782104868021	0.0	10
202	17	69.0	630.2782104868021	0.0	10
203	17	69.0	630.2782104868021	0.0	10
204	17	69.0	630.2782104868021	0.0	10
205	17	69.0	609.4173157302031	0.0	10
206	17	69.0	609.4173157302031	0.0	10
207	17	69.0	630.2782104868021	0.0	10
208	7	87	407.07821048680194	0.0	10
209	7	87	407.07821048680194	0.0	10
210	7	87	407.07821048680194	0.0	10
211	7	87	407.07821048680194	0.0	10
212	9	85	511.07821048680194	0.0	10
213	7	87	407.07821048680194	0.0	10
214	7	87	407.07821048680194	0.0	10
215	8	86	416.6782104868019	0.0	10
216	7	87	407.07821048680194	0.0	10
217	7	87	407.07821048680194	0.0	10
218	7	87	407.07821048680194	0.0	10
219	7	87	407.07821048680194	0.0	10
220	7	87	407.07821048680194	0.0	10
221	8	86	416.6782104868019	0.0	10
222	17	69.0	630.2782104868021	0.0	10
223	7	87	407.07821048680194	0.0	10
224	7	87	407.07821048680194	0.0	10
225	7	87	407.07821048680194	0.0	10
226	7	87	407.07821048680194	0.0	10
227	17	69.0	694.217315730203	0.0	10
228	17	69.0	630.2782104868021	0.0	10
229	17	69.0	694.217315730203	0.0	10
230	1692	-1608	19406.408368164157	0.0	9
231	7	87	407.07821048680194	0.0	10
232	7	87	407.07821048680194	0.0	10
233	7	87	407.07821048680194	0.0	10
234	24	71	1291.078210486802	0.0	10
235	7	87	407.07821048680194	0.0	10
236	7	87	407.07821048680194	0.0	10
237	7	87	407.07821048680194	0.0	10
238	8	86	416.6782104868019	0.0	10
239	7	87	407.07821048680194	0.0	10
240	9	85	426.2782104868019	0.0	10
241	8	86	416.6782104868019	0.0	10
242	7	87	407.07821048680194	0.0	10
243	7	87	407.07821048680194	0.0	10
244	7	87	407.07821048680194	0.0	10
245	7	87	407.07821048680194	0.0	10
246	7	87	407.07821048680194	0.0	10
247	8	86	416.6782104868019	0.0	10
248	10	84	520.678210486802	0.0	10
249	9	85	511.07821048680194	0.0	10
250	7	87	407.07821048680194	0.0	10
251	7	87	407.07821048680194	0.0	10
252	7	87	407.07821048680194	0.0	10
253	7	87	407.07821048680194	0.0	10
254	7	87	407.07821048680194	0.0	10
255	7	87	407.07821048680194	0.0	10
256	7	87	407.07821048680194	0.0	10
257	7	87	407.07821048680194	0.0	10
258	7	87	407.07821048680194	0.0	10
259	7	87	407.07821048680194	0.0	10
260	7	87	407.07821048680194	0.0	10
261	6	88	333.53910524340097	0.0	10
262	7	87	407.07821048680194	0.0	10
263	7	87	407.07821048680194	0.0	10
264	7	87	407.07821048680194	0.0	10
265	7	87	407.07821048680194	0.0	10
266	7	87	407.07821048680194	0.0	10
267	7	87	407.07821048680194	0.0	10
268	7	87	407.07821048680194	0.0	10
269	7	87	407.07821048680194	0.0	10
270	7	87	407.07821048680194	0.0	10
271	7	87	407.07821048680194	0.0	10
272	6	88	333.53910524340097	0.0	10
273	7	87	407.07821048680194	0.0	10
274	7	87	407.07821048680194	0.0	10
275	7	87	407.07821048680194	0.0	10
276	7	87	407.07821048680194	0.0	10
