Episode_Group	numSteps	Reward	Energy
1	832.0	-757.0	37952.0
2	383.0	-296.0	13091.0
3	61.0	32.0	2104.0
4	729.0	-644.0	19044.0
5	488.0	-406.0	8346.0
6	372.0	-286.0	7372.0
7	857.0	-798.0	15656.0
8	352.0	-267.0	5573.0
9	139.0	-48.0	2671.0
10	183.0	-95.0	2519.0
11	17.0	69.0	524.0
12	183.0	-94.0	2561.0
13	125.0	-33.0	1990.0
14	8.0	85.0	468.0
15	8.0	85.0	437.0
16	7.0	86.0	408.0
17	686.0	-603.0	7930.0
18	17.0	69.0	619.0
19	18.0	68.0	696.0
20	17.0	69.0	693.0
21	14.0	74.0	559.0
22	7.0	86.0	418.0
23	179.0	-90.0	2410.0
24	9.0	85.0	498.0
25	7.0	86.0	430.0
26	7.0	87.0	407.0
27	6.0	87.0	399.0
28	7.0	86.0	408.0
29	7.0	86.0	417.0
30	7.0	87.0	407.0
31	7.0	86.0	408.0
32	9.0	85.0	506.0
33	7.0	87.0	407.0
34	7.0	86.0	408.0
35	8.0	85.0	475.0
36	9.0	84.0	521.0
37	7.0	86.0	425.0
38	14.0	79.0	626.0
39	178.0	-88.0	2366.0
40	9.0	84.0	512.0
41	8.0	85.0	500.0
42	176.0	-89.0	2354.0
43	8.0	85.0	469.0
44	9.0	84.0	524.0
45	8.0	85.0	460.0
46	8.0	85.0	491.0
47	7.0	86.0	439.0
48	9.0	84.0	508.0
49	7.0	86.0	417.0
50	7.0	86.0	428.0
51	136.0	-42.0	1813.0
52	7.0	87.0	407.0
53	8.0	84.0	470.0
54	13.0	78.0	602.0
55	175.0	-85.0	2220.0
56	7.0	86.0	408.0
57	7.0	87.0	407.0
58	7.0	86.0	425.0
59	8.0	85.0	488.0
60	7.0	86.0	418.0
61	7.0	86.0	427.0
62	176.0	-86.0	2322.0
63	6.0	87.0	354.0
64	6.0	87.0	348.0
65	11.0	81.0	455.0
66	175.0	-85.0	2174.0
67	176.0	-88.0	2228.0
68	176.0	-87.0	2341.0
69	8.0	85.0	456.0
70	7.0	86.0	397.0
71	6.0	87.0	369.0
72	6.0	87.0	354.0
73	7.0	86.0	421.0
74	7.0	86.0	422.0
75	6.0	87.0	354.0
76	7.0	86.0	416.0
77	9.0	85.0	494.0
78	8.0	86.0	435.0
79	8.0	85.0	455.0
80	7.0	86.0	432.0
81	7.0	86.0	437.0
82	6.0	87.0	375.0
83	7.0	86.0	418.0
84	8.0	85.0	474.0
85	8.0	85.0	471.0
86	8.0	85.0	450.0
87	7.0	86.0	400.0
88	8.0	85.0	427.0
89	8.0	85.0	454.0
90	7.0	86.0	414.0
91	7.0	86.0	412.0
92	8.0	86.0	454.0
93	7.0	86.0	434.0
94	7.0	86.0	418.0
95	7.0	86.0	425.0
96	7.0	86.0	421.0
97	8.0	85.0	445.0
98	8.0	85.0	432.0
99	183.0	-99.0	2482.0
100	17.0	69.0	668.0
101	177.0	-88.0	2244.0
102	6.0	88.0	333.0
103	7.0	86.0	376.0
104	8.0	84.0	416.0
105	175.0	-85.0	2217.0
106	7.0	86.0	419.0
107	7.0	86.0	406.0
108	7.0	85.0	394.0
