Episode_Group	numSteps	Reward	Energy
1	354.0	-265.0	17428.0
2	435.0	-343.0	20515.0
3	569.0	-475.0	22403.0
4	696.0	-630.0	20598.0
5	818.0	-756.0	10302.0
6	767.0	-702.0	9498.0
7	538.0	-468.0	8627.0
8	679.0	-595.0	9244.0
9	471.0	-384.0	6530.0
10	20.0	73.0	896.0
11	6.0	87.0	377.0
12	97.0	-8.0	1436.0
13	182.0	-98.0	2881.0
14	174.0	-85.0	2196.0
15	383.0	-300.0	4667.0
16	847.0	-773.0	9419.0
17	510.0	-425.0	6008.0
18	110.0	-18.0	1517.0
19	99.0	-7.0	1354.0
20	228.0	-142.0	2684.0
21	6.0	87.0	377.0
22	6.0	88.0	376.0
23	90.0	1.0	1243.0
24	6.0	88.0	376.0
25	6.0	87.0	377.0
26	6.0	88.0	376.0
27	6.0	88.0	376.0
28	6.0	88.0	376.0
29	90.0	1.0	1290.0
30	6.0	88.0	376.0
31	695.0	-635.0	7508.0
32	736.0	-676.0	8502.0
33	678.0	-619.0	8173.0
34	90.0	2.0	1419.0
35	174.0	-89.0	2436.0
36	90.0	1.0	1402.0
37	90.0	-1.0	1373.0
38	6.0	88.0	376.0
39	6.0	87.0	377.0
40	6.0	87.0	392.0
41	90.0	0.0	1404.0
42	6.0	88.0	376.0
43	90.0	-1.0	1398.0
44	174.0	-87.0	2360.0
45	90.0	1.0	1379.0
46	174.0	-89.0	2150.0
47	109.0	-18.0	1502.0
48	294.0	-210.0	3381.0
49	6.0	87.0	401.0
50	7.0	87.0	439.0
51	258.0	-174.0	3015.0
52	174.0	-87.0	2321.0
53	90.0	2.0	1305.0
54	6.0	88.0	376.0
55	90.0	1.0	1318.0
56	6.0	88.0	376.0
57	6.0	88.0	376.0
58	6.0	87.0	377.0
59	90.0	0.0	1264.0
60	6.0	88.0	376.0
61	6.0	88.0	376.0
62	90.0	1.0	1251.0
63	6.0	88.0	376.0
64	17.0	74.0	509.0
65	90.0	0.0	1192.0
66	90.0	1.0	1222.0
67	174.0	-87.0	2101.0
68	6.0	88.0	376.0
69	174.0	-84.0	2142.0
70	174.0	-89.0	2105.0
71	174.0	-85.0	2221.0
72	6.0	88.0	376.0
73	174.0	-89.0	2325.0
74	90.0	2.0	1373.0
75	6.0	88.0	376.0
76	6.0	88.0	376.0
77	90.0	0.0	1324.0
78	90.0	2.0	1320.0
79	90.0	-1.0	1309.0
80	198.0	-115.0	2714.0
81	6.0	87.0	377.0
82	426.0	-347.0	5213.0
83	174.0	-87.0	2447.0
84	90.0	-1.0	1354.0
85	90.0	-1.0	1299.0
86	174.0	-83.0	2320.0
87	6.0	88.0	376.0
88	90.0	1.0	1347.0
89	6.0	88.0	376.0
90	6.0	88.0	376.0
91	258.0	-176.0	3406.0
92	258.0	-177.0	3170.0
93	90.0	-1.0	1326.0
94	90.0	2.0	1326.0
95	6.0	88.0	376.0
96	90.0	2.0	1418.0
97	6.0	88.0	376.0
98	6.0	88.0	376.0
99	6.0	88.0	376.0
100	90.0	0.0	1330.0
101	6.0	87.0	377.0
102	90.0	0.0	1360.0
103	90.0	-1.0	1327.0
104	6.0	87.0	391.0
105	6.0	88.0	376.0
106	6.0	87.0	391.0
107	6.0	88.0	376.0
108	6.0	88.0	376.0
109	6.0	87.0	377.0
110	90.0	2.0	1322.0
111	90.0	0.0	1337.0
112	90.0	-1.0	1307.0
113	6.0	88.0	376.0
114	90.0	0.0	1318.0
115	90.0	1.0	1254.0
116	6.0	88.0	376.0
117	6.0	88.0	376.0
118	6.0	87.0	377.0
119	15.0	78.0	499.0
120	89.0	3.0	1230.0
121	38.0	54.0	708.0
122	6.0	87.0	387.0
123	6.0	88.0	376.0
124	6.0	87.0	377.0
125	90.0	0.0	1369.0
126	49.0	43.0	974.0
127	90.0	1.0	1260.0
128	6.0	88.0	376.0
129	6.0	88.0	376.0
130	90.0	-2.0	1360.0
131	25.0	69.0	590.0
132	35.0	57.0	668.0
133	6.0	88.0	376.0
134	90.0	1.0	1268.0
135	6.0	87.0	377.0
136	174.0	-91.0	2217.0
137	6.0	88.0	376.0
138	174.0	-85.0	2301.0
139	90.0	0.0	1298.0
140	6.0	87.0	377.0
141	90.0	2.0	1281.0
142	6.0	87.0	377.0
143	6.0	87.0	377.0
144	122.0	-31.0	1676.0
145	6.0	87.0	377.0
146	6.0	88.0	376.0
147	6.0	88.0	376.0
148	90.0	1.0	1234.0
149	11.0	82.0	425.0
150	6.0	88.0	376.0
151	77.0	16.0	1293.0
152	13.0	80.0	444.0
153	6.0	88.0	376.0
154	19.0	74.0	546.0
155	46.0	46.0	791.0
156	90.0	2.0	1220.0
157	110.0	-20.0	1415.0
158	6.0	88.0	376.0
159	6.0	88.0	376.0
160	6.0	87.0	377.0
161	6.0	88.0	376.0
162	6.0	88.0	376.0
163	170.0	-82.0	2087.0
164	90.0	2.0	1302.0
165	6.0	87.0	387.0
166	174.0	-87.0	2127.0
167	6.0	88.0	376.0
168	6.0	88.0	376.0
169	86.0	5.0	1239.0
170	6.0	88.0	376.0
171	6.0	88.0	376.0
172	6.0	88.0	376.0
173	6.0	88.0	376.0
174	6.0	88.0	376.0
175	6.0	88.0	376.0
176	425.0	-345.0	4642.0
177	147.0	-59.0	1915.0
178	6.0	88.0	376.0
179	5.0	79.0	338.0
