Steps_BL	Reward_BL	ener_BL	dist_BL
7	15	364.0	0.0
7	15	364.0	0.0
7	12	364.0	0.0
15	4	780.0	0.0
7	13	364.0	0.0
7	16	364.0	0.0
15	9	780.0	0.0
7	13	364.0	0.0
7	16	364.0	0.0
16	7	832.0	0.0
7	14	364.0	0.0
7	14	364.0	0.0
7	14	364.0	0.0
8	15	416.0	0.0
16	8	832.0	0.0
7	14	364.0	0.0
7	14	364.0	0.0
7	15	364.0	0.0
7	15	364.0	0.0
8	14	416.0	0.0
16	9	832.0	0.0
7	13	364.0	0.0
7	13	364.0	0.0
7	13	364.0	0.0
7	13	364.0	0.0
8	14	416.0	0.0
8	14	416.0	0.0
7	13	364.0	0.0
14	7	728.0	0.0
14	9	728.0	0.0
8	15	416.0	0.0
7	14	364.0	0.0
7	14	364.0	0.0
8	17	416.0	0.0
16	9	832.0	0.0
15	6	780.0	0.0
7	10	364.0	0.0
7	10	364.0	0.0
13	10	676.0	0.0
7	15	364.0	0.0
14	8	728.0	0.0
16	8	832.0	0.0
7	12	364.0	0.0
8	10	416.0	0.0
8	13	416.0	0.0
7	17	364.0	0.0
7	17	364.0	0.0
16	8	832.0	0.0
7	14	364.0	0.0
16	9	832.0	0.0
7	14	364.0	0.0
16	6	832.0	0.0
7	14	364.0	0.0
16	9	832.0	0.0
7	14	364.0	0.0
7	15	364.0	0.0
7	15	364.0	0.0
16	8	832.0	0.0
8	13	416.0	0.0
7	16	364.0	0.0
15	8	780.0	0.0
7	15	364.0	0.0
15	9	780.0	0.0
20	4	1040.0	0.0
7	13	364.0	0.0
15	10	780.0	0.0
7	17	364.0	0.0
16	7	832.0	0.0
7	12	364.0	0.0
7	15	364.0	0.0
16	7	832.0	0.0
7	12	364.0	0.0
7	12	364.0	0.0
23	-3	1196.0	0.0
8	12	416.0	0.0
16	9	832.0	0.0
15	6	780.0	0.0
8	13	416.0	0.0
8	16	416.0	0.0
8	15	416.0	0.0
7	15	364.0	0.0
16	7	832.0	0.0
7	13	364.0	0.0
8	16	416.0	0.0
8	16	416.0	0.0
8	16	416.0	0.0
21	3	1092.0	0.0
7	15	364.0	0.0
7	16	364.0	0.0
15	6	780.0	0.0
16	3	832.0	0.0
8	13	416.0	0.0
16	7	832.0	0.0
8	13	416.0	0.0
16	5	832.0	0.0
7	11	364.0	0.0
15	10	780.0	0.0
7	14	364.0	0.0
8	13	416.0	0.0
8	16	416.0	0.0
8	15	416.0	0.0
11	13	572.0	0.0
8	15	416.0	0.0
15	9	780.0	0.0
7	15	364.0	0.0
7	15	364.0	0.0
16	7	832.0	0.0
7	13	364.0	0.0
15	6	780.0	0.0
12	10	624.0	0.0
14	11	728.0	0.0
7	10	364.0	0.0
12	7	624.0	0.0
16	6	832.0	0.0
7	14	364.0	0.0
7	13	364.0	0.0
14	7	728.0	0.0
16	4	832.0	0.0
7	14	364.0	0.0
7	11	364.0	0.0
7	12	364.0	0.0
7	14	364.0	0.0
7	14	364.0	0.0
13	9	676.0	0.0
8	13	416.0	0.0
7	13	364.0	0.0
7	13	364.0	0.0
15	6	780.0	0.0
8	13	416.0	0.0
16	8	832.0	0.0
7	9	364.0	0.0
7	12	364.0	0.0
7	11	364.0	0.0
7	10	364.0	0.0
7	14	364.0	0.0
7	14	364.0	0.0
7	16	364.0	0.0
7	13	364.0	0.0
7	14	364.0	0.0
14	6	728.0	0.0
7	10	364.0	0.0
7	12	364.0	0.0
16	5	832.0	0.0
7	11	364.0	0.0
16	9	832.0	0.0
12	9	624.0	0.0
16	8	832.0	0.0
7	14	364.0	0.0
7	14	364.0	0.0
7	13	364.0	0.0
7	16	364.0	0.0
15	8	780.0	0.0
7	16	364.0	0.0
8	11	416.0	0.0
7	11	364.0	0.0
7	13	364.0	0.0
16	5	832.0	0.0
7	10	364.0	0.0
7	14	364.0	0.0
16	6	832.0	0.0
7	10	364.0	0.0
7	14	364.0	0.0
15	8	780.0	0.0
22	2	1144.0	0.0
16	7	832.0	0.0
7	14	364.0	0.0
15	9	780.0	0.0
24	0	1248.0	0.0
16	8	832.0	0.0
7	13	364.0	0.0
7	16	364.0	0.0
7	15	364.0	0.0
14	9	728.0	0.0
7	16	364.0	0.0
8	17	416.0	0.0
16	9	832.0	0.0
7	13	364.0	0.0
7	15	364.0	0.0
24	-1	1248.0	0.0
8	15	416.0	0.0
