Episode_Group	numSteps	Reward	Energy
1	9.0	12.0	494.0
2	8.0	13.0	421.0
3	9.0	11.0	494.0
4	9.0	12.0	494.0
5	10.0	11.0	551.0
6	9.0	12.0	509.0
7	11.0	11.0	603.0
8	11.0	9.0	603.0
9	10.0	12.0	540.0
10	10.0	10.0	566.0
11	10.0	11.0	551.0
12	10.0	9.0	556.0
13	9.0	11.0	494.0
14	7.0	11.0	400.0
15	10.0	10.0	530.0
16	9.0	11.0	504.0
17	13.0	8.0	707.0
18	10.0	12.0	546.0
19	11.0	10.0	582.0
20	7.0	14.0	405.0
21	10.0	11.0	546.0
22	14.0	7.0	738.0
23	9.0	11.0	488.0
24	13.0	8.0	707.0
25	11.0	10.0	582.0
26	12.0	10.0	624.0
27	9.0	10.0	509.0
28	10.0	12.0	546.0
29	9.0	11.0	514.0
30	8.0	13.0	457.0
31	11.0	10.0	592.0
32	10.0	12.0	520.0
33	9.0	10.0	488.0
34	10.0	10.0	535.0
35	9.0	12.0	468.0
36	9.0	11.0	509.0
37	11.0	11.0	582.0
38	10.0	11.0	530.0
39	11.0	10.0	577.0
40	8.0	11.0	462.0
41	10.0	11.0	535.0
42	10.0	11.0	530.0
43	9.0	11.0	494.0
44	10.0	9.0	551.0
45	9.0	11.0	488.0
46	11.0	11.0	598.0
47	10.0	11.0	551.0
48	9.0	12.0	514.0
49	10.0	10.0	540.0
50	13.0	9.0	681.0
51	10.0	11.0	546.0
52	8.0	13.0	462.0
53	10.0	12.0	546.0
54	9.0	10.0	514.0
55	11.0	10.0	577.0
56	12.0	9.0	670.0
57	9.0	11.0	514.0
58	7.0	13.0	410.0
59	10.0	10.0	530.0
60	9.0	11.0	514.0
61	8.0	12.0	447.0
62	9.0	10.0	509.0
63	8.0	11.0	462.0
64	10.0	10.0	520.0
65	10.0	10.0	566.0
66	8.0	12.0	457.0
67	10.0	13.0	530.0
68	9.0	11.0	509.0
69	10.0	11.0	546.0
70	10.0	9.0	546.0
71	9.0	11.0	488.0
72	11.0	10.0	572.0
73	10.0	11.0	535.0
74	11.0	10.0	598.0
75	11.0	10.0	577.0
76	10.0	11.0	551.0
77	10.0	11.0	556.0
78	10.0	9.0	530.0
79	10.0	11.0	546.0
80	11.0	10.0	598.0
81	9.0	12.0	499.0
82	10.0	11.0	540.0
83	9.0	12.0	504.0
84	8.0	11.0	452.0
85	10.0	10.0	556.0
86	10.0	10.0	540.0
87	8.0	12.0	447.0
88	12.0	10.0	629.0
89	11.0	11.0	587.0
90	9.0	11.0	483.0
91	9.0	12.0	468.0
92	9.0	12.0	468.0
93	12.0	8.0	665.0
94	9.0	11.0	494.0
95	8.0	12.0	462.0
96	8.0	12.0	447.0
97	9.0	12.0	473.0
98	11.0	9.0	582.0
99	9.0	12.0	504.0
100	9.0	12.0	499.0
101	12.0	9.0	634.0
102	9.0	12.0	499.0
103	8.0	12.0	457.0
104	9.0	11.0	509.0
105	9.0	11.0	499.0
106	8.0	13.0	421.0
107	11.0	10.0	582.0
108	10.0	9.0	540.0
109	10.0	12.0	535.0
110	11.0	10.0	598.0
111	11.0	9.0	592.0
112	7.0	13.0	410.0
113	9.0	10.0	494.0
114	8.0	12.0	447.0
115	8.0	12.0	457.0
116	9.0	12.0	468.0
117	10.0	10.0	525.0
118	9.0	11.0	504.0
119	9.0	11.0	499.0
120	9.0	11.0	499.0
121	11.0	10.0	598.0
122	12.0	10.0	624.0
123	10.0	11.0	556.0
124	9.0	11.0	514.0
125	9.0	13.0	504.0
126	14.0	8.0	738.0
127	9.0	10.0	514.0
128	10.0	11.0	561.0
129	11.0	10.0	608.0
130	8.0	12.0	462.0
131	11.0	10.0	613.0
132	10.0	11.0	556.0
133	9.0	12.0	468.0
134	11.0	10.0	572.0
135	11.0	9.0	618.0
136	10.0	10.0	540.0
137	9.0	12.0	504.0
138	10.0	11.0	535.0
139	7.0	13.0	410.0
140	10.0	11.0	540.0
141	10.0	9.0	566.0
142	10.0	10.0	546.0
143	11.0	11.0	613.0
144	9.0	11.0	494.0
145	9.0	11.0	499.0
146	9.0	11.0	504.0
147	8.0	14.0	426.0
148	9.0	13.0	473.0
149	9.0	11.0	509.0
150	8.0	13.0	431.0
151	11.0	10.0	582.0
152	13.0	8.0	681.0
153	9.0	13.0	483.0
154	11.0	10.0	577.0
155	8.0	12.0	457.0
156	10.0	12.0	525.0
157	10.0	11.0	540.0
158	9.0	10.0	478.0
159	9.0	12.0	494.0
160	10.0	10.0	566.0
161	11.0	9.0	572.0
162	12.0	9.0	634.0
163	8.0	14.0	457.0
164	8.0	13.0	416.0
