Steps_BL	Reward_BL	ener_BL	dist_BL
101	-74.8	2453.599999999994	0.0
34	-7	1768.0	0.0
648	-621.5999999999999	7704.800000000115	0.0
471	-444.8	6005.60000000005	0.0
454	-428.6	5842.400000000044	0.0
35	-9	1820.0	0.0
201	-176.4	3413.599999999985	0.0
34	-6	1768.0	0.0
156	-128.8	2981.599999999989	0.0
146	-119.6	2885.59999999999	0.0
601	-577.4	7253.600000000098	0.0
34	-5	1768.0	0.0
102	-76.8	2463.199999999994	0.0
135	-110.8	2779.999999999991	0.0
125	-98.6	2683.999999999992	0.0
249	-222.60000000000002	3874.3999999999805	0.0
261	-236.40000000000003	3989.5999999999794	0.0
263	-239.4	4008.7999999999793	0.0
237	-212.8	3759.1999999999816	0.0
91	-65.8	2357.599999999995	0.0
263	-238.4	4008.7999999999793	0.0
420	-395.40000000000003	5516.000000000032	0.0
199	-172.60000000000002	3394.399999999985	0.0
34	-5	1768.0	0.0
479	-453.6	6082.400000000053	0.0
250	-226.60000000000002	3883.9999999999804	0.0
424	-398.6	5554.400000000033	0.0
934	-910.5999999999999	10450.400000000218	0.0
796	-769.5999999999999	9125.600000000168	0.0
34	-7	1768.0	0.0
114	-87.8	2578.399999999993	0.0
578	-550.8	7032.800000000089	0.0
317	-290.6	4527.199999999994	0.0
12033	-12009.8	117000.8000000242	0.0
34	-8	1768.0	0.0
83	-57.8	2280.7999999999956	0.0
84	-59.599999999999994	2290.3999999999955	0.0
34	-6	1768.0	0.0
34	-5	1768.0	0.0
34	-11	1768.0	0.0
454	-425.8	5842.400000000044	0.0
90	-62.8	2347.999999999995	0.0
298	-272.6	4344.799999999987	0.0
34	-4	1768.0	0.0
137	-110.6	2799.1999999999907	0.0
300	-272.8	4363.999999999988	0.0
34	-11	1768.0	0.0
34	-4	1768.0	0.0
442	-414.8	5727.20000000004	0.0
244	-217.60000000000002	3826.399999999981	0.0
150	-121.8	2923.9999999999895	0.0
34	-8	1768.0	0.0
379	-355.40000000000003	5122.400000000017	0.0
34	-5	1768.0	0.0
34	-5	1768.0	0.0
202	-178.60000000000002	3423.199999999985	0.0
114	-85.8	2578.399999999993	0.0
212	-186.8	3519.199999999984	0.0
101	-73.8	2453.599999999994	0.0
34	-7	1768.0	0.0
51	-25.8	1973.5999999999985	0.0
524	-498.6	6514.40000000007	0.0
137	-109.8	2799.1999999999907	0.0
604	-575.8	7282.400000000099	0.0
149	-122.8	2914.3999999999896	0.0
71	-44.599999999999994	2165.5999999999967	0.0
502	-476.6	6303.200000000062	0.0
185	-159.60000000000002	3259.9999999999864	0.0
67	-42.8	2127.199999999997	0.0
272	-244.8	4095.1999999999784	0.0
201	-176.4	3413.599999999985	0.0
235	-208.60000000000002	3739.999999999982	0.0
12033	-12008.8	117000.8000000242	0.0
34	-5	1768.0	0.0
384	-355.8	5170.400000000019	0.0
12033	-12008	117000.8000000242	0.0
234	-207.60000000000002	3730.399999999982	0.0
36	-8.8	1829.6	0.0
34	-7	1768.0	0.0
63	-34.8	2088.7999999999975	0.0
397	-372.40000000000003	5295.2000000000235	0.0
34	-6	1768.0	0.0
112	-87.8	2559.199999999993	0.0
604	-578.8	7282.400000000099	0.0
117	-91.6	2607.1999999999925	0.0
60	-37.599999999999994	2059.9999999999977	0.0
184	-157.60000000000002	3250.3999999999864	0.0
225	-201.60000000000002	3643.9999999999827	0.0
255	-229.8	3931.99999999998	0.0
227	-198.8	3663.1999999999825	0.0
530	-504.8	6572.000000000072	0.0
279	-250.8	4162.3999999999805	0.0
34	-5	1768.0	0.0
257	-229.8	3951.19999999998	0.0
288	-264.40000000000003	4248.799999999984	0.0
220	-192.8	3595.999999999983	0.0
58	-29.8	2040.799999999998	0.0
72	-47.8	2175.1999999999966	0.0
318	-290.8	4536.799999999995	0.0
88	-63.8	2328.799999999995	0.0
