EpNum	EpSteps	Reward	ener	dist
1	101	-74.8	2453.599999999994	0.0
2	34	-7	1768.0	0.0
3	648	-621.5999999999999	7704.800000000115	0.0
4	471	-444.8	6005.60000000005	0.0
5	454	-428.6	5842.400000000044	0.0
6	35	-9	1820.0	0.0
7	201	-176.4	3413.599999999985	0.0
8	34	-6	1768.0	0.0
9	156	-128.8	2981.599999999989	0.0
10	146	-119.6	2885.59999999999	0.0
11	601	-577.4	7253.600000000098	0.0
12	34	-5	1768.0	0.0
13	102	-76.8	2463.199999999994	0.0
14	135	-110.8	2779.999999999991	0.0
15	125	-98.6	2683.999999999992	0.0
16	249	-222.60000000000002	3874.3999999999805	0.0
17	261	-236.40000000000003	3989.5999999999794	0.0
18	263	-239.4	4008.7999999999793	0.0
19	237	-212.8	3759.1999999999816	0.0
20	91	-65.8	2357.599999999995	0.0
21	263	-238.4	4008.7999999999793	0.0
22	420	-395.40000000000003	5516.000000000032	0.0
23	199	-172.60000000000002	3394.399999999985	0.0
24	34	-5	1768.0	0.0
25	479	-453.6	6082.400000000053	0.0
26	250	-226.60000000000002	3883.9999999999804	0.0
27	424	-398.6	5554.400000000033	0.0
28	934	-910.5999999999999	10450.400000000218	0.0
29	796	-769.5999999999999	9125.600000000168	0.0
30	34	-7	1768.0	0.0
31	114	-87.8	2578.399999999993	0.0
32	578	-550.8	7032.800000000089	0.0
33	317	-290.6	4527.199999999994	0.0
34	12033	-12009.8	117000.8000000242	0.0
35	34	-8	1768.0	0.0
36	83	-57.8	2280.7999999999956	0.0
37	84	-59.599999999999994	2290.3999999999955	0.0
38	34	-6	1768.0	0.0
39	34	-5	1768.0	0.0
40	34	-11	1768.0	0.0
41	454	-425.8	5842.400000000044	0.0
42	90	-62.8	2347.999999999995	0.0
43	298	-272.6	4344.799999999987	0.0
44	34	-4	1768.0	0.0
45	137	-110.6	2799.1999999999907	0.0
46	300	-272.8	4363.999999999988	0.0
47	34	-11	1768.0	0.0
48	34	-4	1768.0	0.0
49	442	-414.8	5727.20000000004	0.0
50	244	-217.60000000000002	3826.399999999981	0.0
51	150	-121.8	2923.9999999999895	0.0
52	34	-8	1768.0	0.0
53	379	-355.40000000000003	5122.400000000017	0.0
54	34	-5	1768.0	0.0
55	34	-5	1768.0	0.0
56	202	-178.60000000000002	3423.199999999985	0.0
57	114	-85.8	2578.399999999993	0.0
58	212	-186.8	3519.199999999984	0.0
59	101	-73.8	2453.599999999994	0.0
60	34	-7	1768.0	0.0
61	51	-25.8	1973.5999999999985	0.0
62	524	-498.6	6514.40000000007	0.0
63	137	-109.8	2799.1999999999907	0.0
64	604	-575.8	7282.400000000099	0.0
65	149	-122.8	2914.3999999999896	0.0
66	71	-44.599999999999994	2165.5999999999967	0.0
67	502	-476.6	6303.200000000062	0.0
68	185	-159.60000000000002	3259.9999999999864	0.0
69	67	-42.8	2127.199999999997	0.0
70	272	-244.8	4095.1999999999784	0.0
71	201	-176.4	3413.599999999985	0.0
72	235	-208.60000000000002	3739.999999999982	0.0
73	12033	-12008.8	117000.8000000242	0.0
74	34	-5	1768.0	0.0
75	384	-355.8	5170.400000000019	0.0
76	12033	-12008	117000.8000000242	0.0
77	234	-207.60000000000002	3730.399999999982	0.0
78	36	-8.8	1829.6	0.0
79	34	-7	1768.0	0.0
80	63	-34.8	2088.7999999999975	0.0
81	397	-372.40000000000003	5295.2000000000235	0.0
82	34	-6	1768.0	0.0
83	112	-87.8	2559.199999999993	0.0
84	604	-578.8	7282.400000000099	0.0
85	117	-91.6	2607.1999999999925	0.0
86	60	-37.599999999999994	2059.9999999999977	0.0
87	184	-157.60000000000002	3250.3999999999864	0.0
88	225	-201.60000000000002	3643.9999999999827	0.0
89	255	-229.8	3931.99999999998	0.0
90	227	-198.8	3663.1999999999825	0.0
91	530	-504.8	6572.000000000072	0.0
92	279	-250.8	4162.3999999999805	0.0
93	34	-5	1768.0	0.0
94	257	-229.8	3951.19999999998	0.0
95	288	-264.40000000000003	4248.799999999984	0.0
96	220	-192.8	3595.999999999983	0.0
97	58	-29.8	2040.799999999998	0.0
98	72	-47.8	2175.1999999999966	0.0
99	318	-290.8	4536.799999999995	0.0
100	88	-63.8	2328.799999999995	0.0
101	140	-112	6573.442420222838	0.0
102	519	-492.6	23672.474154674343	0.0
103	205	-176	9492.468104117255	0.0
104	851	-826.8	35829.8115217123	0.0
105	885	-858.6	38884.05394193509	0.0
106	820	-793	31446.8908910027	0.0
107	1860	-1833.6	71516.71914904288	0.0
108	624	-599.4000000000001	20527.823366287317	0.0
109	637	-609.8	20438.588734826873	0.0
110	258	-232.8	8748.094367413452	0.0
111	395	-366	12225.694367413485	0.0
112	498	-470.8	16751.327840070317	0.0
113	400	-371	11787.111683143703	0.0
114	745	-715	20181.17141909672	0.0
115	413	-384.8	11383.607209360689	0.0
116	309	-279	8285.389893630483	0.0
117	696	-667.8	15926.998261794775	0.0
118	612	-588.6	14773.937946439912	0.0
119	735	-706	19783.623945688974	0.0
120	411	-383.8	10517.763630334324	0.0
121	251	-222.8	6681.3122625454625	0.0
122	368	-341.6	8719.164209736064	0.0
123	253	-231.2	5403.582104868026	0.0
124	495	-466.8	14203.294367413499	0.0
125	214	-185.8	6494.355841571833	0.0
126	287	-262.4	6066.469262920822	0.0
127	666	-642.4	16674.068104117337	0.0
128	11045	-11026.2	117005.1105243622	0.0
129	11238	-11218.2	117000.28541986954	0.0
