Episode_Group	numSteps	Reward	Energy
1	6.0	13.0	312.0
2	8.0	12.0	426.0
3	6.0	15.0	343.0
4	7.0	14.0	395.0
5	3.0	11.0	197.0
6	5.0	13.0	291.0
7	6.0	14.0	312.0
8	5.0	15.0	301.0
9	4.0	17.0	213.0
10	8.0	10.0	462.0
11	3.0	18.0	176.0
12	1.0	20.0	52.0
13	9.0	12.0	488.0
14	7.0	14.0	374.0
15	6.0	13.0	358.0
16	8.0	14.0	416.0
17	6.0	16.0	312.0
18	9.0	12.0	509.0
19	5.0	14.0	301.0
20	6.0	14.0	343.0
21	6.0	13.0	353.0
22	2.0	18.0	114.0
23	8.0	13.0	442.0
24	7.0	14.0	400.0
25	5.0	15.0	306.0
26	8.0	13.0	416.0
27	4.0	16.0	244.0
28	6.0	15.0	338.0
29	4.0	17.0	223.0
30	8.0	13.0	416.0
31	4.0	17.0	249.0
32	7.0	14.0	379.0
33	7.0	14.0	364.0
34	4.0	11.0	218.0
35	8.0	12.0	457.0
36	6.0	15.0	338.0
37	6.0	15.0	327.0
38	6.0	13.0	317.0
39	6.0	14.0	327.0
40	5.0	15.0	286.0
41	8.0	11.0	416.0
42	6.0	15.0	312.0
43	5.0	16.0	260.0
44	8.0	12.0	436.0
45	5.0	15.0	306.0
46	7.0	14.0	400.0
47	6.0	9.0	343.0
48	7.0	13.0	400.0
49	4.0	11.0	208.0
50	3.0	15.0	202.0
51	5.0	16.0	301.0
52	5.0	13.0	301.0
53	3.0	14.0	197.0
54	6.0	15.0	353.0
55	6.0	15.0	348.0
56	6.0	15.0	327.0
57	7.0	15.0	364.0
58	7.0	14.0	395.0
59	5.0	15.0	260.0
60	6.0	15.0	327.0
61	5.0	12.0	286.0
62	5.0	13.0	265.0
63	6.0	10.0	332.0
64	5.0	13.0	306.0
65	7.0	14.0	390.0
66	5.0	16.0	306.0
67	3.0	16.0	171.0
68	4.0	16.0	254.0
69	4.0	13.0	239.0
70	7.0	13.0	410.0
71	6.0	15.0	327.0
72	4.0	17.0	228.0
73	9.0	10.0	483.0
74	7.0	14.0	379.0
75	5.0	16.0	275.0
76	7.0	11.0	400.0
77	9.0	10.0	514.0
78	6.0	15.0	343.0
79	4.0	11.0	254.0
80	5.0	16.0	296.0
81	6.0	15.0	322.0
82	5.0	16.0	306.0
83	4.0	17.0	228.0
84	6.0	15.0	353.0
85	8.0	13.0	421.0
86	5.0	15.0	286.0
87	4.0	17.0	254.0
88	7.0	14.0	390.0
89	7.0	14.0	374.0
90	6.0	16.0	312.0
91	5.0	16.0	291.0
92	6.0	12.0	327.0
93	6.0	15.0	348.0
94	2.0	19.0	114.0
95	5.0	16.0	270.0
96	6.0	16.0	312.0
97	6.0	15.0	317.0
98	4.0	17.0	208.0
99	5.0	16.0	260.0
100	5.0	16.0	270.0
101	16.0	4.0	556.0
102	16.0	3.0	591.0
103	18.0	0.0	623.0
104	14.0	1.0	448.0
105	22.0	-2.0	710.0
106	30.0	-11.0	1017.0
107	18.0	2.0	594.0
108	25.0	-5.0	885.0
109	22.0	-4.0	798.0
110	21.0	-1.0	721.0
111	16.0	5.0	504.0
112	14.0	7.0	522.0
113	17.0	3.0	621.0
114	14.0	5.0	576.0
115	17.0	3.0	629.0
116	7.0	14.0	241.0
117	8.0	13.0	305.0
118	11.0	7.0	475.0
119	18.0	1.0	644.0
120	17.0	-1.0	678.0
121	9.0	10.0	332.0
122	17.0	2.0	569.0
123	14.0	5.0	559.0
124	19.0	2.0	685.0
125	5.0	11.0	211.0
126	10.0	8.0	361.0
127	14.0	1.0	431.0
128	15.0	1.0	479.0
129	4.0	15.0	203.0
130	3.0	5.0	84.0
131	4.0	13.0	218.0
132	12.0	9.0	495.0
133	8.0	12.0	278.0
134	19.0	2.0	750.0
135	14.0	1.0	442.0
136	16.0	-1.0	509.0
137	14.0	6.0	507.0
138	15.0	6.0	552.0
139	8.0	13.0	312.0
140	3.0	18.0	177.0
141	8.0	10.0	318.0
142	14.0	7.0	590.0
143	15.0	6.0	632.0
144	4.0	9.0	174.0
145	8.0	13.0	361.0
146	2.0	19.0	111.0
147	11.0	10.0	517.0
148	7.0	14.0	349.0
149	7.0	11.0	316.0
150	10.0	10.0	491.0
151	7.0	13.0	345.0
152	13.0	7.0	535.0
153	17.0	4.0	708.0
154	18.0	4.0	714.0
155	11.0	10.0	431.0
156	3.0	17.0	194.0
157	8.0	13.0	280.0
158	8.0	12.0	275.0
159	14.0	7.0	444.0
160	12.0	6.0	498.0
161	8.0	12.0	298.0
162	11.0	9.0	438.0
163	12.0	6.0	504.0
164	12.0	8.0	381.0
165	18.0	1.0	510.0
166	10.0	6.0	349.0
167	12.0	5.0	482.0
168	4.0	17.0	227.0
169	11.0	9.0	424.0
170	20.0	-4.0	601.0
171	10.0	11.0	371.0
172	4.0	17.0	200.0
173	7.0	14.0	322.0
174	3.0	13.0	182.0
175	1.0	17.0	74.0
176	29.0	-10.0	857.0
177	7.0	14.0	283.0
178	3.0	18.0	185.0
179	7.0	14.0	262.0
180	12.0	8.0	499.0
181	6.0	15.0	312.0
182	9.0	13.0	383.0
183	6.0	8.0	191.0
184	10.0	5.0	311.0
185	9.0	4.0	382.0
186	2.0	18.0	131.0
187	14.0	6.0	519.0
188	11.0	9.0	290.0
189	2.0	19.0	137.0
190	10.0	1.0	239.0
191	9.0	7.0	387.0
192	1.0	20.0	103.0
193	2.0	20.0	125.0
194	2.0	19.0	126.0
195	4.0	17.0	242.0
196	11.0	0.0	387.0
197	14.0	3.0	610.0
198	5.0	16.0	194.0
199	8.0	10.0	404.0
200	9.0	10.0	414.0
201	4.0	16.0	212.0
202	12.0	10.0	521.0
203	8.0	12.0	297.0
204	5.0	15.0	210.0
205	7.0	14.0	368.0
206	11.0	8.0	408.0
207	1.0	17.0	103.0
208	3.0	17.0	216.0
209	17.0	3.0	457.0
210	19.0	-1.0	674.0
211	2.0	19.0	146.0
212	13.0	5.0	415.0
213	10.0	11.0	348.0
214	2.0	16.0	136.0
215	2.0	18.0	170.0
216	18.0	3.0	647.0
217	1.0	20.0	110.0
218	10.0	9.0	303.0
219	3.0	14.0	173.0
220	5.0	16.0	254.0
221	2.0	18.0	174.0
222	16.0	4.0	437.0
223	5.0	16.0	274.0
224	4.0	17.0	273.0
225	4.0	16.0	293.0
226	10.0	11.0	429.0
227	11.0	9.0	411.0
228	18.0	-5.0	601.0
229	3.0	11.0	147.0
230	8.0	8.0	358.0
231	2.0	5.0	120.0
232	4.0	9.0	219.0
233	2.0	17.0	125.0
234	11.0	10.0	452.0
235	11.0	10.0	456.0
236	12.0	9.0	364.0
237	6.0	11.0	246.0
238	1.0	15.0	118.0
239	18.0	1.0	544.0
240	4.0	16.0	223.0
241	1.0	20.0	110.0
242	2.0	20.0	125.0
243	2.0	17.0	136.0
244	1.0	20.0	96.0
245	1.0	20.0	96.0
246	9.0	11.0	376.0
247	12.0	7.0	403.0
248	2.0	19.0	146.0
249	2.0	19.0	146.0
250	9.0	9.0	382.0
251	3.0	18.0	182.0
252	9.0	12.0	330.0
253	2.0	20.0	125.0
254	2.0	16.0	166.0
255	10.0	9.0	388.0
256	18.0	1.0	674.0
257	5.0	16.0	268.0
258	6.0	15.0	256.0
259	2.0	20.0	125.0
260	3.0	17.0	194.0
261	6.0	10.0	342.0
262	4.0	17.0	277.0
263	12.0	9.0	457.0
264	12.0	8.0	443.0
265	3.0	18.0	217.0
266	6.0	14.0	393.0
267	2.0	9.0	125.0
268	6.0	12.0	304.0
269	11.0	8.0	502.0
270	4.0	17.0	195.0
271	4.0	17.0	181.0
272	4.0	16.0	240.0
273	1.0	20.0	110.0
274	1.0	19.0	88.0
275	1.0	19.0	67.0
276	4.0	11.0	181.0
277	4.0	17.0	230.0
278	19.0	0.0	717.0
279	1.0	14.0	81.0
280	2.0	19.0	116.0
281	4.0	16.0	128.0
282	12.0	9.0	732.0
283	3.0	18.0	197.0
284	4.0	17.0	289.0
285	7.0	14.0	329.0
286	6.0	14.0	299.0
287	8.0	13.0	294.0
288	13.0	3.0	532.0
289	3.0	17.0	190.0
290	2.0	19.0	159.0
291	3.0	19.0	175.0
292	4.0	18.0	236.0
293	16.0	2.0	512.0
294	9.0	10.0	339.0
295	24.0	-5.0	692.0
296	1.0	13.0	86.0
297	2.0	20.0	125.0
298	11.0	6.0	430.0
299	6.0	10.0	277.0
300	4.0	16.0	223.0
301	10.0	12.0	427.0
302	14.0	7.0	419.0
303	8.0	13.0	349.0
304	6.0	10.0	206.0
305	4.0	9.0	242.0
306	3.0	14.0	177.0
307	14.0	6.0	569.0
308	15.0	4.0	567.0
309	1.0	12.0	66.0
310	8.0	8.0	281.0
311	11.0	7.0	500.0
312	3.0	18.0	169.0
313	3.0	15.0	175.0
314	1.0	20.0	81.0
315	2.0	17.0	136.0
316	4.0	16.0	241.0
317	2.0	11.0	120.0
318	2.0	17.0	125.0
319	10.0	11.0	394.0
320	14.0	-3.0	553.0
321	12.0	8.0	497.0
322	2.0	16.0	151.0
323	6.0	10.0	234.0
324	9.0	11.0	354.0
325	12.0	8.0	353.0
326	14.0	5.0	368.0
327	2.0	19.0	126.0
328	2.0	18.0	136.0
329	10.0	10.0	364.0
330	4.0	17.0	173.0
331	23.0	-4.0	476.0
332	32.0	-15.0	876.0
333	2.0	20.0	125.0
334	3.0	18.0	198.0
335	3.0	17.0	217.0
336	11.0	9.0	453.0
337	6.0	15.0	259.0
338	15.0	6.0	539.0
339	6.0	13.0	276.0
340	12.0	6.0	465.0
341	5.0	16.0	261.0
342	1.0	11.0	81.0
343	6.0	14.0	317.0
344	3.0	16.0	212.0
345	2.0	19.0	135.0
346	16.0	0.0	697.0
347	2.0	19.0	155.0
348	21.0	0.0	829.0
349	18.0	1.0	847.0
350	19.0	1.0	506.0
351	32.0	-14.0	1004.0
352	24.0	-6.0	624.0
353	4.0	17.0	247.0
354	20.0	-1.0	682.0
355	4.0	17.0	262.0
356	3.0	16.0	185.0
357	9.0	7.0	280.0
358	11.0	9.0	409.0
359	18.0	-3.0	382.0
360	8.0	12.0	399.0
361	32.0	-16.0	1043.0
362	5.0	13.0	302.0
363	4.0	16.0	127.0
364	2.0	19.0	177.0
365	4.0	16.0	245.0
366	2.0	18.0	160.0
367	23.0	-5.0	536.0
368	17.0	0.0	481.0
369	6.0	8.0	219.0
370	16.0	3.0	500.0
371	3.0	18.0	204.0
372	4.0	17.0	234.0
373	5.0	15.0	275.0
374	4.0	17.0	267.0
375	7.0	12.0	267.0
376	4.0	14.0	210.0
377	21.0	-1.0	764.0
378	6.0	15.0	358.0
379	5.0	17.0	254.0
380	1.0	20.0	74.0
381	9.0	12.0	333.0
382	2.0	15.0	125.0
383	10.0	6.0	515.0
384	21.0	-2.0	470.0
385	3.0	18.0	175.0
386	16.0	1.0	465.0
387	5.0	15.0	190.0
388	4.0	11.0	168.0
389	2.0	19.0	130.0
390	7.0	10.0	386.0
391	11.0	7.0	444.0
392	32.0	-16.0	646.0
393	20.0	-6.0	380.0
394	11.0	4.0	285.0
395	7.0	13.0	221.0
396	2.0	19.0	126.0
397	23.0	-4.0	525.0
398	5.0	15.0	223.0
399	10.0	5.0	309.0
400	6.0	16.0	265.0
401	6.0	12.0	293.0
402	9.0	11.0	243.0
403	33.0	-16.0	828.0
404	5.0	16.0	252.0
405	2.0	19.0	126.0
406	5.0	15.0	270.0
407	16.0	3.0	539.0
408	13.0	5.0	294.0
409	21.0	-4.0	455.0
410	6.0	16.0	225.0
411	20.0	-3.0	409.0
412	24.0	-12.0	780.0
413	21.0	-8.0	739.0
414	11.0	9.0	295.0
415	3.0	18.0	192.0
416	17.0	1.0	523.0
417	15.0	5.0	325.0
418	8.0	8.0	314.0
419	4.0	17.0	255.0
420	12.0	5.0	429.0
421	15.0	4.0	522.0
422	11.0	10.0	417.0
423	4.0	17.0	234.0
424	22.0	-5.0	647.0
425	10.0	10.0	302.0
426	8.0	11.0	357.0
427	21.0	-2.0	545.0
428	2.0	19.0	126.0
429	19.0	0.0	503.0
430	4.0	14.0	233.0
431	6.0	10.0	218.0
432	20.0	-1.0	552.0
433	3.0	17.0	147.0
434	20.0	-2.0	541.0
435	21.0	-2.0	533.0
436	7.0	13.0	232.0
437	11.0	9.0	445.0
438	1.0	20.0	81.0
439	5.0	16.0	301.0
440	9.0	11.0	294.0
441	15.0	5.0	467.0
442	5.0	16.0	229.0
443	10.0	10.0	391.0
444	9.0	12.0	270.0
445	29.0	-14.0	501.0
446	17.0	4.0	494.0
447	19.0	-3.0	406.0
448	38.0	-21.0	792.0
449	14.0	6.0	442.0
450	2.0	14.0	117.0
451	19.0	2.0	460.0
452	18.0	2.0	469.0
453	24.0	-7.0	486.0
454	12.0	7.0	389.0
455	4.0	11.0	195.0
456	3.0	18.0	160.0
457	16.0	3.0	426.0
458	12.0	8.0	311.0
459	3.0	18.0	195.0
460	2.0	20.0	125.0
461	12.0	8.0	335.0
462	2.0	14.0	125.0
463	11.0	1.0	254.0
464	28.0	-10.0	544.0
465	10.0	10.0	333.0
466	11.0	9.0	384.0
467	2.0	16.0	136.0
468	13.0	3.0	469.0
469	13.0	3.0	394.0
470	1.0	20.0	118.0
471	2.0	19.0	164.0
472	2.0	14.0	140.0
473	2.0	18.0	125.0
474	16.0	4.0	353.0
475	8.0	12.0	181.0
476	38.0	-21.0	743.0
477	13.0	0.0	383.0
478	5.0	17.0	243.0
479	2.0	15.0	154.0
480	14.0	5.0	451.0
481	21.0	-2.0	504.0
482	8.0	9.0	337.0
483	9.0	1.0	243.0
484	16.0	-3.0	349.0
485	10.0	6.0	289.0
486	10.0	5.0	215.0
487	3.0	18.0	203.0
488	24.0	-6.0	553.0
489	20.0	-4.0	885.0
490	5.0	15.0	279.0
491	15.0	2.0	768.0
492	5.0	13.0	227.0
493	2.0	16.0	136.0
494	14.0	6.0	381.0
495	2.0	16.0	141.0
496	12.0	7.0	335.0
497	12.0	8.0	305.0
498	19.0	-1.0	350.0
499	22.0	-3.0	447.0
500	11.0	9.0	514.0
501	2.0	19.0	126.0
502	2.0	15.0	136.0
503	53.0	-40.0	811.0
504	1.0	18.0	110.0
505	3.0	15.0	224.0
506	41.0	-29.0	760.0
507	2.0	15.0	112.0
508	44.0	-28.0	674.0
509	14.0	0.0	299.0
510	21.0	-5.0	470.0
511	1.0	19.0	97.0
512	9.0	7.0	240.0
513	3.0	12.0	205.0
514	1.0	20.0	66.0
515	3.0	14.0	204.0
516	20.0	-1.0	464.0
517	14.0	3.0	400.0
518	20.0	-2.0	385.0
519	14.0	4.0	354.0
520	18.0	2.0	414.0
521	16.0	5.0	514.0
522	24.0	-5.0	490.0
523	15.0	3.0	325.0
524	4.0	18.0	227.0
525	31.0	-19.0	579.0
526	33.0	-17.0	721.0
527	29.0	-16.0	562.0
528	6.0	8.0	277.0
529	14.0	6.0	361.0
530	15.0	5.0	387.0
531	9.0	9.0	278.0
532	21.0	-3.0	558.0
533	7.0	10.0	355.0
534	1.0	14.0	81.0
535	6.0	15.0	336.0
536	10.0	6.0	334.0
537	4.0	13.0	218.0
538	3.0	17.0	223.0
539	8.0	8.0	437.0
540	2.0	18.0	126.0
541	20.0	-1.0	476.0
542	20.0	-1.0	402.0
543	16.0	1.0	286.0
544	34.0	-19.0	534.0
545	2.0	19.0	126.0
546	11.0	9.0	265.0
547	34.0	-19.0	560.0
548	16.0	-4.0	362.0
549	7.0	9.0	380.0
550	3.0	18.0	177.0
551	14.0	7.0	745.0
552	16.0	4.0	788.0
553	11.0	9.0	598.0
554	3.0	18.0	182.0
555	29.0	-11.0	775.0
556	10.0	6.0	333.0
557	27.0	-10.0	514.0
558	33.0	-16.0	863.0
559	6.0	14.0	184.0
560	6.0	15.0	202.0
561	13.0	5.0	333.0
562	11.0	5.0	277.0
563	21.0	-4.0	468.0
564	2.0	16.0	151.0
565	27.0	-8.0	471.0
566	18.0	1.0	410.0
567	11.0	9.0	254.0
568	10.0	9.0	208.0
569	13.0	7.0	349.0
570	2.0	14.0	148.0
571	10.0	5.0	222.0
572	1.0	16.0	96.0
573	4.0	16.0	237.0
574	20.0	-5.0	435.0
575	17.0	3.0	381.0
576	22.0	-3.0	429.0
577	16.0	2.0	335.0
578	12.0	8.0	556.0
579	2.0	19.0	126.0
580	13.0	3.0	483.0
581	1.0	17.0	52.0
582	13.0	4.0	528.0
583	16.0	3.0	586.0
584	17.0	-2.0	510.0
585	14.0	0.0	407.0
586	12.0	6.0	309.0
587	14.0	2.0	396.0
588	1.0	13.0	93.0
589	2.0	20.0	125.0
590	2.0	20.0	125.0
591	11.0	9.0	304.0
592	21.0	-5.0	658.0
593	14.0	-1.0	331.0
594	2.0	20.0	125.0
595	15.0	4.0	418.0
596	13.0	7.0	300.0
597	8.0	12.0	304.0
598	12.0	6.0	365.0
599	20.0	-3.0	476.0
600	16.0	2.0	366.0
601	43.0	-27.0	632.0
602	12.0	8.0	256.0
603	16.0	0.0	310.0
604	15.0	2.0	374.0
605	10.0	7.0	187.0
606	20.0	-2.0	371.0
607	2.0	19.0	150.0
608	2.0	17.0	147.0
609	11.0	9.0	285.0
610	11.0	8.0	279.0
611	7.0	14.0	271.0
612	3.0	18.0	169.0
613	12.0	8.0	289.0
614	12.0	3.0	334.0
615	2.0	19.0	149.0
616	2.0	19.0	165.0
617	14.0	6.0	510.0
618	18.0	2.0	435.0
619	25.0	-6.0	701.0
620	5.0	16.0	270.0
621	4.0	15.0	225.0
622	26.0	-7.0	806.0
623	19.0	0.0	659.0
624	14.0	4.0	391.0
625	2.0	11.0	135.0
626	7.0	13.0	247.0
627	19.0	1.0	673.0
628	30.0	-11.0	529.0
629	27.0	-9.0	511.0
630	2.0	19.0	139.0
631	2.0	20.0	125.0
632	5.0	16.0	202.0
633	21.0	-7.0	379.0
634	17.0	-4.0	314.0
635	11.0	4.0	234.0
636	38.0	-22.0	521.0
637	11.0	9.0	253.0
638	4.0	8.0	122.0
639	19.0	-2.0	386.0
640	33.0	-17.0	519.0
641	13.0	7.0	298.0
642	6.0	15.0	188.0
643	7.0	4.0	143.0
644	7.0	14.0	189.0
645	3.0	14.0	174.0
646	13.0	5.0	336.0
647	24.0	-6.0	463.0
648	41.0	-25.0	621.0
649	36.0	-20.0	595.0
650	33.0	-16.0	647.0
651	2.0	20.0	125.0
652	2.0	17.0	142.0
653	24.0	-6.0	465.0
654	29.0	-13.0	523.0
655	30.0	-13.0	547.0
656	20.0	-1.0	456.0
657	15.0	3.0	377.0
658	10.0	5.0	198.0
659	21.0	-5.0	350.0
660	45.0	-30.0	667.0
661	21.0	-2.0	400.0
662	16.0	3.0	367.0
663	41.0	-27.0	770.0
664	19.0	0.0	421.0
665	20.0	-3.0	390.0
666	2.0	19.0	131.0
667	28.0	-12.0	498.0
668	2.0	15.0	134.0
669	12.0	7.0	302.0
670	4.0	17.0	229.0
671	16.0	1.0	425.0
672	3.0	13.0	156.0
673	20.0	-2.0	412.0
674	26.0	-12.0	465.0
675	1.0	20.0	88.0
676	1.0	20.0	110.0
677	34.0	-19.0	574.0
678	11.0	8.0	226.0
