EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	14	8	645.2346314604058	0.0	2
2	44	-22	1400.3128419472075	0.0	2
3	4	18	144.73910524340096	0.0	2
4	9	13	235.13910524340093	0.0	2
5	25	-3	1069.8519471906088	0.0	2
6	47	-36	1855.1474734076123	0.0	1
7	15	7	632.6173157302029	0.0	2
8	10	12	287.13910524340093	0.0	2
9	32	-10	838.895526217005	0.0	2
10	2	20	125.53910524340095	0.0	2
11	19	3	458.33910524340115	0.0	2
12	17	5	587.878210486802	0.0	2
13	9	13	319.93910524340095	0.0	2
14	7	15	322.2782104868019	0.0	2
15	39	-17	1564.991052434009	0.0	2
16	28	-6	927.0173157302032	0.0	2
17	28	-11.0	566.956420973604	0.0	2
18	6	16	334.21731573020287	0.0	2
19	5	17	154.33910524340098	0.0	2
20	11	11	403.07821048680194	0.0	2
21	47	-36	1130.9564209736045	0.0	1
22	30	-8	1032.373736703807	0.0	2
23	3	19	199.0782104868019	0.0	2
24	47	-36	1556.9910524340087	0.0	1
25	9	13	341.4782104868019	0.0	2
26	7	15	322.27821048680187	0.0	2
27	33	-11	1209.9128419472077	0.0	2
28	5	17	196.73910524340096	0.0	2
29	2	20	125.53910524340095	0.0	2
30	3	14.0	135.13910524340096	0.0	2
31	14	8	645.2346314604058	0.0	2
32	11	11	488.5564209736039	0.0	2
33	25	-3	685.5391052434013	0.0	2
34	13	9	379.8782104868019	0.0	2
35	16	6	430.2173157302029	0.0	2
36	36	-14	1110.8346314604057	0.0	2
37	32	-15.0	753.4173157302031	0.0	2
38	12	10	370.278210486802	0.0	2
39	32	-15.0	1030.712841947208	0.0	2
40	22	0	615.017315730203	0.0	2
41	17	5	610.0955262170048	0.0	2
42	2	20	125.53910524340095	0.0	2
43	6	16	206.33910524340092	0.0	2
44	5	17	260.6782104868019	0.0	2
45	19	3	819.7564209736039	0.0	2
46	11	11	360.67821048680196	0.0	2
47	12	10	370.27821048680204	0.0	2
48	3	19	113.6	0.0	2
49	6	16	184.8	0.0	2
50	33	-11	741.4782104868024	0.0	2
51	29	-7	746.1564209736042	0.0	2
52	3	19	177.53910524340097	0.0	2
53	4	18	144.73910524340096	0.0	2
54	33	-11	912.4346314604061	0.0	2
