Steps_BL	Reward_BL	ener_BL	dist_BL	NumCovTargets
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
15	7	780.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	6	260.0	0.0	2
5	6	260.0	0.0	2
5	6	260.0	0.0	2
15	7	780.0	0.0	2
11	11	572.0	0.0	2
5	16	260.0	0.0	2
5	16	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
8	14	416.0	0.0	2
8	14	416.0	0.0	2
15	7	780.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
8	14	416.0	0.0	2
8	14	416.0	0.0	2
5	16	260.0	0.0	2
15	7	780.0	0.0	2
5	17	260.0	0.0	2
5	16	260.0	0.0	2
5	16	260.0	0.0	2
8	14	416.0	0.0	2
8	14	416.0	0.0	2
7	15	364.0	0.0	2
8	14	416.0	0.0	2
11	11	572.0	0.0	2
5	17	260.0	0.0	2
8	14	416.0	0.0	2
11	11	572.0	0.0	2
5	17	260.0	0.0	2
8	14	416.0	0.0	2
8	14	416.0	0.0	2
8	14	416.0	0.0	2
8	14	416.0	0.0	2
1	10	52.0	0.0	2
1	10	52.0	0.0	2
1	10	52.0	0.0	2
1	10	52.0	0.0	2
1	10	52.0	0.0	2
1	10	52.0	0.0	2
1	10	52.0	0.0	2
1	10	52.0	0.0	2
1	10	52.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
14	8	728.0	0.0	2
14	8	728.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
15	-4	780.0	0.0	2
1	20	52.0	0.0	2
1	20	52.0	0.0	2
5	17	260.0	0.0	2
5	16	260.0	0.0	2
5	16	260.0	0.0	2
15	7	780.0	0.0	2
4	18	208.0	0.0	2
4	18	208.0	0.0	2
3	19	156.0	0.0	2
3	19	156.0	0.0	2
3	19	156.0	0.0	2
3	19	156.0	0.0	2
3	19	156.0	0.0	2
7	15	364.0	0.0	2
12	10	624.0	0.0	2
7	15	364.0	0.0	2
16	6	832.0	0.0	2
1	10	52.0	0.0	2
1	20	52.0	0.0	2
1	20	52.0	0.0	2
1	20	52.0	0.0	2
1	20	52.0	0.0	2
1	20	52.0	0.0	2
1	20	52.0	0.0	2
7	15	364.0	0.0	2
8	14	416.0	0.0	2
15	7	780.0	0.0	2
5	17	260.0	0.0	2
5	17	260.0	0.0	2
15	7	780.0	0.0	2
