EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	5	17	260.0	0.0	2
2	5	17	260.0	0.0	2
3	5	17	260.0	0.0	2
4	5	17	260.0	0.0	2
5	15	7	780.0	0.0	2
6	5	17	260.0	0.0	2
7	5	17	260.0	0.0	2
8	5	17	260.0	0.0	2
9	5	6	260.0	0.0	2
10	5	6	260.0	0.0	2
11	5	6	260.0	0.0	2
12	15	7	780.0	0.0	2
13	11	11	572.0	0.0	2
14	5	16	260.0	0.0	2
15	5	16	260.0	0.0	2
16	5	17	260.0	0.0	2
17	5	17	260.0	0.0	2
18	8	14	416.0	0.0	2
19	8	14	416.0	0.0	2
20	15	7	780.0	0.0	2
21	5	17	260.0	0.0	2
22	5	17	260.0	0.0	2
23	5	17	260.0	0.0	2
24	5	17	260.0	0.0	2
25	8	14	416.0	0.0	2
26	8	14	416.0	0.0	2
27	5	16	260.0	0.0	2
28	15	7	780.0	0.0	2
29	5	17	260.0	0.0	2
30	5	16	260.0	0.0	2
31	5	16	260.0	0.0	2
32	8	14	416.0	0.0	2
33	8	14	416.0	0.0	2
34	7	15	364.0	0.0	2
35	8	14	416.0	0.0	2
36	11	11	572.0	0.0	2
37	5	17	260.0	0.0	2
38	8	14	416.0	0.0	2
39	11	11	572.0	0.0	2
40	5	17	260.0	0.0	2
41	8	14	416.0	0.0	2
42	8	14	416.0	0.0	2
43	8	14	416.0	0.0	2
44	8	14	416.0	0.0	2
45	1	10	52.0	0.0	2
46	1	10	52.0	0.0	2
47	1	10	52.0	0.0	2
48	1	10	52.0	0.0	2
49	1	10	52.0	0.0	2
50	1	10	52.0	0.0	2
51	1	10	52.0	0.0	2
52	1	10	52.0	0.0	2
53	1	10	52.0	0.0	2
54	5	17	260.0	0.0	2
55	5	17	260.0	0.0	2
56	14	8	728.0	0.0	2
57	14	8	728.0	0.0	2
58	5	17	260.0	0.0	2
59	5	17	260.0	0.0	2
60	5	17	260.0	0.0	2
61	5	17	260.0	0.0	2
62	15	-4	780.0	0.0	2
63	1	20	52.0	0.0	2
64	1	20	52.0	0.0	2
65	5	17	260.0	0.0	2
66	5	16	260.0	0.0	2
67	5	16	260.0	0.0	2
68	15	7	780.0	0.0	2
69	4	18	208.0	0.0	2
70	4	18	208.0	0.0	2
71	3	19	156.0	0.0	2
72	3	19	156.0	0.0	2
73	3	19	156.0	0.0	2
74	3	19	156.0	0.0	2
75	3	19	156.0	0.0	2
76	7	15	364.0	0.0	2
77	12	10	624.0	0.0	2
78	7	15	364.0	0.0	2
79	16	6	832.0	0.0	2
80	1	10	52.0	0.0	2
81	1	20	52.0	0.0	2
82	1	20	52.0	0.0	2
83	1	20	52.0	0.0	2
84	1	20	52.0	0.0	2
85	1	20	52.0	0.0	2
86	1	20	52.0	0.0	2
87	7	15	364.0	0.0	2
88	8	14	416.0	0.0	2
89	15	7	780.0	0.0	2
90	5	17	260.0	0.0	2
91	5	17	260.0	0.0	2
92	15	7	780.0	0.0	2
93	8	14	416.0	0.0	2
94	8	14	416.0	0.0	2
95	4	18	208.0	0.0	2
96	20	2	1040.0	0.0	2
97	4	7	208.0	0.0	2
98	15	-4	780.0	0.0	2
99	5	17	260.0	0.0	2
100	5	17	260.0	0.0	2
101	5	17	260.0	0.0	2
