Episode_Group	numSteps	Reward	Energy
1	6.0	13.0	312.0
2	8.0	12.0	426.0
3	6.0	15.0	343.0
4	7.0	14.0	395.0
5	3.0	11.0	197.0
6	5.0	13.0	291.0
7	6.0	14.0	312.0
8	5.0	15.0	301.0
9	4.0	17.0	213.0
10	8.0	10.0	462.0
11	3.0	18.0	176.0
12	1.0	20.0	52.0
13	9.0	12.0	488.0
14	7.0	14.0	374.0
15	6.0	13.0	358.0
16	8.0	14.0	416.0
17	6.0	16.0	312.0
18	9.0	12.0	509.0
19	5.0	14.0	301.0
20	6.0	14.0	343.0
21	6.0	13.0	353.0
22	2.0	18.0	114.0
23	8.0	13.0	442.0
24	7.0	14.0	400.0
25	5.0	15.0	306.0
26	8.0	13.0	416.0
27	4.0	16.0	244.0
28	6.0	15.0	338.0
29	4.0	17.0	223.0
30	8.0	13.0	416.0
31	4.0	17.0	249.0
32	7.0	14.0	379.0
33	7.0	14.0	364.0
34	4.0	11.0	218.0
35	8.0	12.0	457.0
36	6.0	15.0	338.0
37	6.0	15.0	327.0
38	6.0	13.0	317.0
39	6.0	14.0	327.0
40	5.0	15.0	286.0
41	8.0	11.0	416.0
42	6.0	15.0	312.0
43	5.0	16.0	260.0
44	8.0	12.0	436.0
45	5.0	15.0	306.0
46	7.0	14.0	400.0
47	6.0	9.0	343.0
48	7.0	13.0	400.0
49	4.0	11.0	208.0
50	3.0	15.0	202.0
51	5.0	16.0	301.0
52	5.0	13.0	301.0
53	3.0	14.0	197.0
54	6.0	15.0	353.0
55	6.0	15.0	348.0
56	6.0	15.0	327.0
57	7.0	15.0	364.0
58	7.0	14.0	395.0
59	5.0	15.0	260.0
60	6.0	15.0	327.0
61	5.0	12.0	286.0
62	5.0	13.0	265.0
63	6.0	10.0	332.0
64	5.0	13.0	306.0
65	7.0	14.0	390.0
66	5.0	16.0	306.0
67	3.0	16.0	171.0
68	4.0	16.0	254.0
69	4.0	13.0	239.0
70	7.0	13.0	410.0
71	6.0	15.0	327.0
72	4.0	17.0	228.0
73	9.0	10.0	483.0
74	7.0	14.0	379.0
75	5.0	16.0	275.0
76	7.0	11.0	400.0
77	9.0	10.0	514.0
78	6.0	15.0	343.0
79	4.0	11.0	254.0
80	5.0	16.0	296.0
81	6.0	15.0	322.0
82	5.0	16.0	306.0
83	4.0	17.0	228.0
84	6.0	15.0	353.0
85	8.0	13.0	421.0
86	5.0	15.0	286.0
87	4.0	17.0	254.0
88	7.0	14.0	390.0
89	7.0	14.0	374.0
90	6.0	16.0	312.0
91	5.0	16.0	291.0
92	6.0	12.0	327.0
93	6.0	15.0	348.0
94	2.0	19.0	114.0
95	5.0	16.0	270.0
96	6.0	16.0	312.0
97	6.0	15.0	317.0
98	4.0	17.0	208.0
99	5.0	16.0	260.0
100	5.0	16.0	270.0
101	42.0	-25.0	1417.0
102	22.0	-5.0	665.0
103	15.0	3.0	532.0
104	25.0	-6.0	936.0
105	17.0	3.0	551.0
106	21.0	-4.0	670.0
107	29.0	-8.0	1020.0
108	18.0	1.0	684.0
109	11.0	10.0	396.0
110	25.0	-4.0	979.0
111	22.0	-2.0	840.0
112	18.0	2.0	678.0
113	20.0	1.0	707.0
114	10.0	11.0	392.0
115	17.0	4.0	673.0
116	7.0	12.0	337.0
117	6.0	1.0	216.0
118	18.0	0.0	729.0
119	11.0	5.0	414.0
120	12.0	8.0	465.0
121	11.0	9.0	484.0
122	15.0	4.0	598.0
123	12.0	3.0	489.0
124	9.0	10.0	339.0
125	20.0	-2.0	775.0
126	11.0	9.0	427.0
127	6.0	13.0	271.0
128	12.0	4.0	492.0
129	13.0	6.0	480.0
130	13.0	7.0	514.0
131	11.0	9.0	445.0
132	19.0	-2.0	615.0
133	9.0	8.0	428.0
134	23.0	-2.0	753.0
135	10.0	10.0	392.0
136	6.0	15.0	271.0
137	18.0	1.0	624.0
138	13.0	8.0	508.0
139	11.0	4.0	428.0
140	8.0	12.0	345.0
141	14.0	6.0	408.0
142	10.0	10.0	423.0
143	14.0	5.0	523.0
144	2.0	8.0	94.0
145	7.0	8.0	338.0
146	2.0	19.0	95.0
147	8.0	13.0	303.0
148	22.0	-1.0	795.0
149	10.0	-4.0	305.0
150	16.0	4.0	493.0
151	10.0	11.0	358.0
152	13.0	8.0	418.0
153	14.0	5.0	436.0
154	8.0	10.0	309.0
155	11.0	7.0	399.0
156	17.0	0.0	564.0
157	5.0	7.0	234.0
158	26.0	-7.0	666.0
159	6.0	12.0	274.0
160	17.0	1.0	548.0
161	3.0	15.0	148.0
162	8.0	12.0	293.0
163	24.0	-3.0	756.0
164	10.0	10.0	288.0
165	3.0	18.0	163.0
166	4.0	11.0	180.0
167	15.0	2.0	490.0
168	11.0	2.0	342.0
169	3.0	15.0	123.0
170	14.0	7.0	468.0
171	6.0	15.0	231.0
172	7.0	14.0	268.0
173	9.0	11.0	351.0
174	16.0	3.0	443.0
175	24.0	-10.0	569.0
176	36.0	-22.0	1035.0
177	12.0	8.0	448.0
178	10.0	7.0	343.0
179	31.0	-12.0	831.0
180	20.0	0.0	531.0
181	13.0	-4.0	418.0
182	16.0	5.0	476.0
183	7.0	13.0	296.0
184	7.0	12.0	219.0
185	10.0	11.0	395.0
186	8.0	6.0	275.0
187	1.0	12.0	83.0
188	4.0	16.0	199.0
189	1.0	11.0	67.0
190	12.0	3.0	365.0
191	2.0	7.0	104.0
192	1.0	12.0	88.0
193	12.0	2.0	410.0
194	30.0	-12.0	977.0
195	3.0	16.0	156.0
196	10.0	9.0	409.0
197	13.0	7.0	546.0
198	22.0	-3.0	643.0
199	10.0	8.0	343.0
200	13.0	8.0	447.0
201	25.0	-6.0	645.0
202	20.0	0.0	468.0
203	22.0	-9.0	568.0
204	2.0	6.0	104.0
205	14.0	6.0	413.0
206	14.0	6.0	439.0
207	24.0	-6.0	762.0
208	19.0	-3.0	686.0
209	19.0	1.0	527.0
210	25.0	-7.0	684.0
211	13.0	7.0	434.0
212	4.0	17.0	227.0
213	4.0	12.0	202.0
214	12.0	8.0	438.0
215	14.0	6.0	536.0
216	14.0	6.0	406.0
217	12.0	8.0	299.0
218	12.0	4.0	469.0
219	13.0	7.0	391.0
220	20.0	0.0	694.0
221	5.0	11.0	210.0
222	6.0	11.0	267.0
223	4.0	17.0	202.0
224	28.0	-10.0	684.0
225	1.0	18.0	83.0
226	6.0	12.0	307.0
227	14.0	8.0	433.0
228	21.0	-1.0	729.0
229	11.0	10.0	381.0
230	16.0	5.0	607.0
231	10.0	11.0	381.0
232	8.0	13.0	396.0
233	18.0	3.0	559.0
234	13.0	7.0	498.0
235	9.0	11.0	470.0
236	4.0	15.0	213.0
237	25.0	-11.0	803.0
238	5.0	6.0	160.0
239	2.0	18.0	145.0
240	4.0	17.0	219.0
241	30.0	-11.0	827.0
242	7.0	13.0	347.0
243	6.0	15.0	278.0
244	11.0	10.0	462.0
245	1.0	14.0	98.0
246	4.0	12.0	187.0
247	6.0	13.0	284.0
248	4.0	8.0	175.0
249	6.0	9.0	222.0
250	15.0	6.0	573.0
251	1.0	12.0	78.0
252	4.0	11.0	194.0
253	8.0	10.0	351.0
254	3.0	17.0	141.0
255	3.0	19.0	156.0
256	3.0	13.0	159.0
257	3.0	17.0	180.0
258	3.0	16.0	167.0
259	3.0	18.0	176.0
260	1.0	11.0	83.0
261	32.0	-19.0	968.0
262	15.0	1.0	522.0
263	15.0	4.0	625.0
264	4.0	15.0	219.0
265	7.0	1.0	219.0
266	7.0	10.0	296.0
267	5.0	15.0	279.0
268	6.0	14.0	287.0
269	19.0	1.0	621.0
270	3.0	18.0	156.0
271	11.0	3.0	491.0
272	2.0	19.0	146.0
273	9.0	12.0	383.0
274	14.0	2.0	481.0
275	6.0	14.0	264.0
276	29.0	-10.0	737.0
277	1.0	13.0	98.0
278	3.0	18.0	183.0
279	12.0	4.0	376.0
280	1.0	0.0	57.0
281	13.0	6.0	452.0
282	11.0	8.0	382.0
283	5.0	14.0	245.0
284	3.0	15.0	166.0
285	9.0	12.0	341.0
286	11.0	10.0	491.0
287	10.0	11.0	446.0
288	9.0	-5.0	273.0
289	21.0	-3.0	545.0
290	23.0	-3.0	639.0
291	16.0	2.0	616.0
292	6.0	13.0	324.0
293	5.0	6.0	236.0
294	21.0	-1.0	594.0
295	4.0	17.0	207.0
296	8.0	13.0	393.0
297	4.0	5.0	165.0
298	6.0	11.0	243.0
299	7.0	14.0	324.0
300	8.0	8.0	370.0
301	21.0	-6.0	685.0
302	19.0	0.0	692.0
303	18.0	2.0	599.0
304	15.0	4.0	499.0
305	10.0	9.0	431.0
306	4.0	17.0	222.0
307	9.0	12.0	400.0
308	8.0	9.0	414.0
309	1.0	12.0	83.0
310	2.0	1.0	110.0
311	10.0	6.0	483.0
312	32.0	-17.0	1144.0
313	5.0	16.0	292.0
314	7.0	14.0	326.0
315	7.0	14.0	356.0
316	11.0	10.0	478.0
317	1.0	9.0	62.0
318	20.0	0.0	606.0
319	41.0	-23.0	1099.0
320	3.0	18.0	191.0
321	20.0	-5.0	566.0
322	7.0	13.0	304.0
323	1.0	19.0	73.0
324	21.0	-2.0	689.0
325	28.0	-9.0	856.0
326	6.0	15.0	282.0
327	15.0	6.0	506.0
328	20.0	0.0	609.0
329	1.0	11.0	67.0
330	11.0	3.0	411.0
331	6.0	15.0	294.0
332	2.0	19.0	150.0
333	1.0	10.0	74.0
334	15.0	6.0	576.0
335	31.0	-16.0	911.0
336	11.0	0.0	315.0
337	10.0	10.0	497.0
338	17.0	5.0	655.0
339	9.0	12.0	366.0
340	6.0	15.0	307.0
341	4.0	14.0	223.0
342	11.0	9.0	485.0
343	6.0	14.0	306.0
344	5.0	15.0	207.0
345	1.0	19.0	93.0
346	2.0	18.0	140.0
347	26.0	-11.0	862.0
348	13.0	8.0	474.0
349	2.0	13.0	104.0
350	5.0	14.0	270.0
351	7.0	7.0	387.0
352	6.0	15.0	288.0
353	9.0	7.0	426.0
354	13.0	7.0	464.0
355	9.0	11.0	443.0
356	11.0	10.0	289.0
357	28.0	-11.0	590.0
358	11.0	8.0	246.0
359	20.0	-5.0	562.0
360	7.0	8.0	258.0
361	13.0	-1.0	480.0
362	5.0	16.0	292.0
363	4.0	17.0	219.0
364	6.0	15.0	344.0
365	4.0	17.0	222.0
366	14.0	4.0	645.0
367	28.0	-12.0	716.0
368	12.0	5.0	309.0
369	14.0	4.0	446.0
370	1.0	19.0	72.0
371	10.0	3.0	232.0
372	15.0	4.0	506.0
373	7.0	14.0	366.0
374	5.0	16.0	266.0
375	25.0	-7.0	959.0
376	12.0	8.0	507.0
377	2.0	18.0	130.0
378	3.0	18.0	162.0
379	12.0	8.0	509.0
380	15.0	4.0	505.0
381	14.0	-1.0	353.0
382	28.0	-18.0	571.0
383	1.0	16.0	78.0
384	13.0	6.0	390.0
385	6.0	10.0	279.0
386	3.0	14.0	183.0
387	3.0	17.0	162.0
388	2.0	11.0	123.0
389	13.0	7.0	360.0
390	3.0	18.0	190.0
391	19.0	0.0	468.0
392	22.0	-3.0	517.0
393	28.0	-14.0	506.0
394	37.0	-19.0	715.0
395	3.0	9.0	136.0
