Episode_Group	numSteps	Reward	Energy
1	46.92	39.26	2000.2864576398706
2	46.92	39.26	1994.7405471155307
3	46.92	38.8	1986.2469829057948
4	46.92	38.84	1981.9934186960588
5	46.76	39.66	1972.3810723814545
6	46.86	39.34	1985.7116755350028
7	46.86	39.98	2000.5855860593429
8	46.26	40.98	1982.1055860593428
9	46.26	40.8	1988.485932373947
10	46.26	40.78	1976.5461113252666
11	46.26	41.64	1979.5344576398704
12	46.44	40.18	1975.2993292203985
13	46.44	40.84	1980.8181113252663
14	46.18	41.3	1979.1565471155304
15	46.18	41.08	1983.4101113252664
16	46.18	41.52	1994.4612397447386
17	45.56	42.78	1974.0525471155304
18	45.7	42.64	1980.0402008009266
19	45.7	43.26	1983.0556755350026
20	45.7	43.48	1986.9055860593428
21	46.12	43.08	2003.2539323739468
22	46.12	43.3	1996.8735860593429
23	45.62	44.86	1975.4901113252665
24	45.44	45.26	1966.5202008009264
25	45.4	45.96	1977.255150269079
26	45.4	46.16	1979.4090607934193
27	45.7	45.84	1994.2153176323634
28	45.7	46.26	2006.5587923664393
29	45.7	47.34	2019.7367028907795
30	45.7	48.24	2029.5090492053837
31	45.26	49.96	2019.7391386810436
32	45.16	50.48	2023.8942671005157
33	45.4	50.02	2030.4111386810434
34	45.38	50.68	2032.3459207859114
35	45.38	50.2	2028.9403565761756
36	45.38	50.62	2039.5742671005157
37	45.38	50.86	2045.9546134151199
38	45.1	51.36	2036.0247028907795
39	45.1	51.76	2049.2433060443277
40	45.1	51.76	2045.7970492053837
41	45.1	51.74	2049.633395519988
42	45.48	51.16	2058.355831310252
43	45.48	50.94	2066.02852393946
44	45.84	50.18	2081.8008702540637
45	45.84	50.16	2088.611998673536
46	45.84	50.16	2096.2846913027442
47	45.16	51.26	2060.829741834592
48	45.1	51.34	2053.038959729724
49	45.1	51.3	2049.2026134151197
50	45.22	50.54	2056.331306044328
51	44.98	50.78	2042.9626134151197
52	44.98	50.78	2054.4580881491956
53	44.98	51.04	2060.434780778404
54	44.98	51.06	2057.4599986735357
55	45.14	50.7	2066.668691302744
56	45.14	50.7	2053.8673060443275
57	45.14	50.72	2047.4733955199877
58	45.74	49.92	2072.347306044328
59	45.48	50.6	2067.2666134151195
60	45.48	50.16	2066.4321776248557
61	45.48	50.14	2064.2782671005157
62	45.4	51.5	2076.7017418345918
63	45.4	51.7	2082.6784344638
64	45.66	50.78	2081.755306044328
65	45.38	51.48	2065.8351386810436
66	45.14	52.12	2043.5285355274953
67	45.76	51.28	2074.1539207859114
68	45.84	50.98	2074.0874849956476
69	45.84	50.98	2068.9994849956474
70	45.64	51.4	2053.430099737231
71	45.32	51.7	2039.306971317759
72	45.14	52.1	2039.678625003155
73	45.38	51.88	2056.008535527495
74	44.94	52.3	2037.785753422627
75	44.98	52.02	2033.875496583683
76	44.6	52.6	2022.5683681642106
77	44.68	52.32	2018.2212397447386
78	44.68	52.5	2013.0789829057944
79	44.68	52.48	2005.0026365911901
80	44.4	52.94	1990.4290723814543
81	44.84	52.06	1997.197072381454
82	44.94	51.72	2001.5626365911903
83	44.66	52.22	1982.7219439619823
84	44.68	52.0	1985.9022902765864
85	44.46	52.88	1983.8038544863223
86	43.82	53.72	1952.111340808434
87	43.82	53.72	1940.18508396949
88	43.74	53.8	1944.5593408084344
89	43.74	53.6	1930.4927376548862
90	43.74	53.6	1930.0755197597543
91	43.02	54.54	1892.9442239769978
92	43.02	54.56	1897.224916606206
93	43.02	54.78	1892.957788186734
94	42.4	55.82	1861.4979671380538
95	42.4	55.82	1868.2819671380537
96	42.26	56.38	1868.6339671380538
97	42.5	56.14	1883.2271850331858
98	42.54	56.06	1877.2172745088458
99	42.16	56.68	1857.389453460166
100	41.82	57.64	1844.3395429358259
101	42.1	57.38	1851.25397872609
102	41.62	58.08	1826.656939782278
103	41.46	58.64	1814.473465048202
104	40.9	59.36	1794.6136439995216
105	40.9	59.36	1800.0646050557098
106	40.5	59.98	1788.59260505571
107	39.82	60.84	1758.6700019021619
108	39.36	61.52	1740.2280913778213
109	39.62	61.04	1737.6089629583494
110	39.28	62.02	1730.5086166437454
111	39.28	61.82	1745.8404376924257
112	39.36	61.52	1729.1362703291413
113	39.36	61.52	1725.2863598048011
114	38.78	62.76	1705.692449280461
115	38.42	63.12	1690.350885070725
116	38.62	62.94	1699.916449280461
117	38.62	62.92	1689.2689745463847
118	38.04	63.7	1670.1058461269124
119	38.04	63.72	1669.6072429733645
120	37.68	64.08	1664.0380250782325
121	37.68	64.1	1670.8355892879686
122	37.34	64.44	1653.9900250782325
123	37.12	64.68	1640.3825503441562
124	37.28	64.54	1646.5757682392882
125	37.08	64.96	1623.8458577149484
126	36.9	65.14	1618.7258577149485
127	36.9	65.12	1622.9387292954762
128	36.82	65.44	1624.2975114003443
129	36.82	65.46	1628.5375114003443
130	37.1	64.74	1637.2022040295521
131	36.84	65.44	1638.5289861344202
132	36.26	66.24	1613.375600876004
133	36.14	66.36	1611.792818771136
134	35.7	67.04	1597.3521261419278
135	35.92	66.58	1598.5754335127197
136	36.56	65.72	1627.6696903516638
137	35.96	66.5	1605.7434335127195
138	36.32	65.92	1615.5390871981156
139	35.62	67.06	1596.9199587786436
140	34.96	67.94	1569.7469198348315
141	35.5	67.4	1585.1340482543037
142	35.04	68.08	1564.5246629958874
143	35.04	68.06	1563.2323166812835
144	35.04	68.04	1567.9302272056236
145	35.04	68.02	1559.8810093104914
146	34.64	68.44	1540.7227524715472
147	34.62	68.46	1532.0507524715474
148	34.42	68.66	1527.1559703666792
149	34.4	68.66	1524.8507524715471
150	34.26	68.82	1520.9763166812834
151	34.26	68.82	1523.5474451007553
152	34.74	68.12	1529.4206629958874
153	34.9	67.74	1543.7037914153593
154	35.1	67.54	1549.8773556250953
155	35.1	67.52	1550.3623945689073
156	35.2	67.42	1553.4356124640392
157	35.26	67.38	1553.594394568907
158	35.72	66.7	1564.363612464039
159	35.72	66.7	1572.0227408835112
160	36.06	66.18	1580.8326514078515
161	36.06	66.4	1561.6644840445672
162	35.58	67.08	1550.6897019396993
163	35.4	67.5	1543.0121377299633
164	35.98	66.46	1552.8337019396993
165	35.82	66.62	1544.069355625095
166	35.32	67.12	1527.8010093104908
167	34.86	67.82	1513.168316681283
168	35.28	67.42	1521.3996240520748
169	34.9	68.04	1513.0944061569428
170	34.96	67.96	1511.9472777374708
171	35.38	67.32	1530.880316681283
172	35.48	67.22	1533.536316681283
173	35.7	67.0	1535.6483166812832
174	35.76	66.92	1532.791624052075
175	35.86	66.84	1546.0679703666788
176	36.16	66.56	1546.7804956326027
177	35.82	67.14	1533.7441493179986
178	35.2	67.78	1503.5495461644502
179	34.9	68.32	1499.8486745839225
180	34.9	68.52	1493.9126745839228
181	34.46	68.96	1474.8147640595826
182	35.04	68.18	1495.283803003395
183	35.44	67.36	1504.6697135277348
184	35.18	67.62	1487.2726745839227
185	34.92	68.12	1484.7902387936588
186	34.3	68.94	1456.3323282693186
187	34.9	68.16	1471.4203282693186
188	34.9	68.18	1465.9151103741865
189	35.6	67.28	1491.3589314228666
190	35.98	66.88	1496.2857135277345
191	35.48	67.38	1475.7502387936586
192	35.94	66.7	1498.0013672131306
193	35.54	67.36	1485.6406745839224
194	36.16	66.34	1499.2111103741863
195	35.56	67.16	1475.575289325506
196	35.32	67.4	1461.77581459143
197	35.78	66.76	1479.800507220638
198	36.02	66.54	1494.9058924790545
199	36.18	66.4	1502.8222387936587
200	35.94	66.64	1488.5919819547144
201	35.7	66.86	1481.6036356401103
202	35.04	67.72	1464.6337251157702
203	34.32	68.64	1429.2255577524859
204	34.42	68.56	1437.817557752486
205	34.16	69.04	1425.5492114378821
206	33.68	69.52	1406.901736703806
207	33.74	69.46	1413.427300913542
208	33.24	70.16	1400.1337367038059
209	32.62	71.0	1377.167479864862
210	32.62	70.96	1366.5064409210495
211	31.94	71.86	1347.6620946064454
212	31.8	72.02	1345.0393125015773
213	31.3	72.5	1324.0594914528972
214	30.86	73.4	1322.3659272431614
215	31.46	72.8	1343.4441840821057
216	31.78	72.48	1348.225748291842
217	31.64	72.6	1338.7918377675016
218	31.5	72.74	1338.7673125015779
219	31.88	71.88	1337.3001840821057
220	31.84	71.94	1335.220184082106
221	31.58	72.42	1311.4427988236898
222	31.6	72.38	1300.9873240896138
223	31.4	72.54	1296.0925419847458
224	31.22	72.72	1293.9473240896139
225	30.84	73.08	1277.538631460406
226	31.06	72.86	1277.1066314604059
227	30.82	73.08	1266.7398493555377
228	31.2	72.66	1286.98488829935
229	31.12	72.72	1278.5441956701416
230	30.92	73.16	1265.5323746214615
231	31.0	73.08	1270.5539388311975
232	30.36	73.92	1243.1421177825173
233	30.24	74.46	1237.7365535727813
234	30.94	73.3	1252.9772462019894
235	31.12	73.12	1257.6935925165933
236	31.62	72.64	1274.3927209360654
237	31.62	72.84	1280.7866314604055
238	31.34	73.3	1267.0068104117254
239	31.02	73.8	1258.3888998873852
240	30.82	74.02	1258.999335677649
241	31.5	73.12	1288.0332462019892
242	31.5	72.88	1275.7168998873851
243	31.14	73.22	1257.8313356776491
244	30.78	74.0	1246.312553572781
245	31.14	73.66	1247.197425153309
246	31.92	72.66	1274.674464097121
247	31.28	73.5	1248.110643048441
248	31.2	73.58	1232.428039894893
249	31.44	73.12	1236.858821999761
250	31.88	72.7	1244.0576041046288
251	32.18	72.4	1252.0256041046289
252	32.44	72.16	1263.0287325241009
253	32.84	71.76	1268.564732524101
254	32.34	72.24	1241.676039894893
255	31.9	72.7	1219.1318725316087
256	32.1	72.5	1232.5337830559488
257	32.66	71.74	1247.7228219997608
258	32.88	71.54	1248.1252577900248
259	32.82	71.6	1248.8280398948928
260	32.7	71.98	1249.8028219997607
261	32.9	71.76	1252.1400398948927
262	33.24	71.42	1272.0010788387046
263	33.76	70.9	1284.6522072581768
264	33.94	70.72	1283.822643048441
265	33.66	71.0	1267.9296041046289
266	33.22	71.44	1257.742475685157
267	33.16	71.52	1257.166475685157
268	33.46	71.0	1262.590475685157
269	33.46	71.02	1268.567168314365
270	33.28	71.2	1260.472386209497
271	33.08	71.38	1257.7179504192331
272	32.9	71.58	1255.1555146289693
273	33.16	71.34	1269.1334251533094
274	33.1	71.38	1261.7598609435734
275	32.84	71.64	1250.3123862094972
276	32.78	71.7	1248.4440398948932
277	32.68	71.8	1240.6729114754212
278	32.32	72.16	1222.343000951081
279	31.98	72.5	1203.760744112137
280	31.46	73.02	1194.501615692665
281	31.3	73.16	1186.598833587797
282	31.66	72.82	1204.067179902401
283	31.14	73.32	1188.010487273193
284	30.4	74.5	1172.3857946439848
285	29.82	75.06	1150.6379735953046
286	29.5	75.36	1132.6649346514926
287	28.72	76.14	1103.0882420222845
