EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	64	12	2805.799420598221	0.0	7
2	64	-10	2443.0256838944138	0.0	5
3	64	-10	2887.886578651014	0.0	5
4	64	-10	2676.5647891378153	0.0	5
5	64	-42	2379.7647891378147	0.0	2
6	64	-10	3252.016736328424	0.0	5
7	64	1	2783.5821048680177	0.0	6
8	64	22	2932.999420598221	0.0	8
9	64	1	2953.182104868019	0.0	6
10	64	12	3208.938525841623	0.0	7
11	64	24	3657.8686835190338	0.0	8
12	64	-20	3081.0603153548204	0.0	4
13	64	12	2910.103894381217	0.0	7
14	64	-21	3229.12121011142	0.0	4
15	64	23	3379.216736328425	0.0	8
16	64	-42	2699.4603153548196	0.0	2
17	64	12	3124.138525841622	0.0	7
18	64	12	3079.7038943812167	0.0	7
19	64	1	2314.4692629208103	0.0	6
20	64	24	2953.182104868019	0.0	8
21	64	-10	2505.608368164211	0.0	5
22	64	12	3612.0776310850233	0.0	7
23	64	1	2675.2083681642116	0.0	6
24	64	-10	2825.303894381216	0.0	5
25	64	32	3338.173157302028	0.0	9
26	64	-20	2675.8865786510137	0.0	4
27	64	12	3271.52121011142	0.0	7
28	64	1	2867.025683894414	0.0	6
29	64	-42	3122.7821048680185	0.0	2
30	64	-9	2997.6167363284235	0.0	5
31	64	-31	3060.199420598221	0.0	3
32	64	-21	2889.242999624617	0.0	4
33	64	24	3208.2603153548207	0.0	8
34	64	12	3230.477631085024	0.0	7
35	64	-10	2930.9647891378154	0.0	5
36	64	-53	3037.9821048680183	0.0	1
37	64	-10	3336.1385258416226	0.0	5
38	64	-21	2740.503894381216	0.0	4
39	64	-10	3081.06031535482	0.0	5
40	64	2	3017.7994205982213	0.0	6
41	64	23	3251.3385258416233	0.0	8
42	64	-10	3016.442999624617	0.0	5
43	64	24	2996.260315354821	0.0	8
44	56	52	3110.599420598222	0.0	10
45	64	-20	3103.277631085024	0.0	4
46	64	-21	3208.9385258416232	0.0	4
47	64	-9	3359.7122625454285	0.0	5
48	64	-10	2826.6603153548203	0.0	5
49	64	23	2996.2603153548207	0.0	8
50	64	34	3485.5558415718265	0.0	9
51	64	11	3187.399420598222	0.0	7
52	64	34	3315.9558415718257	0.0	9
53	64	1	3101.92121011142	0.0	6
54	64	12	3634.973157302029	0.0	7
55	64	24	2974.7212101114196	0.0	8
56	64	1	3123.46031535482	0.0	6
57	64	2	2996.938525841623	0.0	6
58	64	33	3251.3385258416233	0.0	9
59	64	-11	2869.0603153548204	0.0	5
60	64	1	3058.8429996246173	0.0	6
61	64	-21	2463.2083681642107	0.0	4
62	64	-21	2315.8256838944126	0.0	4
63	64	1	3273.5558415718256	0.0	6
64	64	0	3270.164789137816	0.0	6
65	64	1	3060.1994205982214	0.0	6
66	64	34	3144.3212101114195	0.0	9
67	64	-20	2657.060315354819	0.0	4
68	64	10	2847.5212101114184	0.0	7
69	49	60	2703.5212101114203	0.0	10
70	64	23	3186.0429996246176	0.0	8
71	64	-9	3060.1994205982214	0.0	5
72	64	23	3039.3385258416224	0.0	8
73	64	-20	2570.903894381217	0.0	4
74	64	12	3188.0776310850224	0.0	7
75	64	12	2868.382104868018	0.0	7
76	64	1	3017.799420598222	0.0	6
77	64	-10	3037.3038943812167	0.0	5
78	64	11	3122.7821048680185	0.0	7
79	64	1	3356.999420598222	0.0	6
80	64	-21	3037.9821048680183	0.0	4
81	64	23	3124.1385258416226	0.0	8
82	64	1	2933.6776310850223	0.0	6
83	64	23	3231.155841571825	0.0	8
84	64	1	3291.025683894415	0.0	6
85	64	11	3143.6429996246184	0.0	7
86	64	-10	3143.6429996246175	0.0	5
87	64	-10	2591.764789137815	0.0	5
88	64	-10	2995.582104868018	0.0	5
89	64	12	2975.3994205982212	0.0	7
90	64	-10	3081.738525841622	0.0	5
91	64	12	3100.564789137816	0.0	7
92	64	12	3251.3385258416233	0.0	7
93	64	1	2996.938525841623	0.0	6
94	64	-20	2506.2865786510133	0.0	4
95	64	1	2655.025683894414	0.0	6
96	64	12	3058.8429996246173	0.0	7
97	64	12	2996.26031535482	0.0	7
98	64	12	3551.529578275633	0.0	7
99	64	-21	3485.5558415718256	0.0	4
100	64	2	3337.4949468152263	0.0	6
101	64	-10	2613.982104868018	0.0	5
102	64	23	2975.399420598221	0.0	8
103	64	23	3377.8603153548215	0.0	8
104	64	13	3166.538525841622	0.0	7
105	64	1	3337.4949468152263	0.0	6
106	64	1	2549.3647891378146	0.0	6
107	64	1	2845.4865786510136	0.0	6
108	64	23	2867.703894381216	0.0	8
109	64	12	3081.7385258416216	0.0	7
110	64	22	2953.86031535482	0.0	8
111	64	0	2698.1038943812155	0.0	6
112	64	-31	2655.7038943812154	0.0	3
113	64	23	2910.1038943812164	0.0	8
114	64	1	2912.1385258416217	0.0	6
115	64	23	3529.990473032231	0.0	8
116	64	12	3188.7558415718254	0.0	7
117	64	34	3165.1821048680185	0.0	9
118	64	33	3166.5385258416227	0.0	9
119	64	23	3186.0429996246185	0.0	8
120	64	-10	3188.0776310850224	0.0	5
121	64	33	2699.4603153548182	0.0	9
122	64	12	3188.755841571825	0.0	7
123	64	1	3356.3212101114195	0.0	6
124	64	34	3104.6340520586264	0.0	9
125	64	1	3208.9385258416223	0.0	6
126	64	33	2825.982104868018	0.0	9
127	64	34	2996.9385258416214	0.0	9
128	64	22	2803.7647891378147	0.0	8
129	64	22	3188.0776310850233	0.0	8
130	64	23	3356.999420598221	0.0	8
131	64	22	2889.9212101114185	0.0	8
132	64	-10	2548.686578651013	0.0	5
133	64	22	3188.755841571825	0.0	8
134	64	34	3080.3821048680193	0.0	9
135	64	34	2976.0776310850224	0.0	9
136	64	-10	2867.703894381216	0.0	5
137	64	34	3273.5558415718256	0.0	9
138	64	-9	3060.877631085023	0.0	5
139	64	34	3208.2603153548202	0.0	9
140	64	12	2548.6865786510125	0.0	7
141	64	23	3507.773157302029	0.0	8
142	64	23	3122.782104868019	0.0	8
143	64	23	3869.868683519034	0.0	8
144	64	1	3272.1994205982214	0.0	6
145	64	23	3272.199420598222	0.0	8
146	64	23	3251.338525841623	0.0	8
147	64	1	2825.9821048680187	0.0	6
148	64	34	2953.182104868018	0.0	9
149	64	34	3443.834052058628	0.0	9
150	64	24	3293.738525841623	0.0	8
151	64	34	3422.2949468152265	0.0	9
152	64	12	2633.4865786510127	0.0	7
153	64	12	3058.8429996246186	0.0	7
154	64	22	2973.3647891378146	0.0	8
155	54	55	3093.434052058628	0.0	10
156	64	1	2976.0776310850233	0.0	6
157	64	34	3339.529578275632	0.0	9
158	64	12	3551.5295782756325	0.0	7
159	64	33	3656.5122625454305	0.0	9
160	64	1	2548.686578651013	0.0	6
161	64	23	3401.4340520586275	0.0	8
162	60	48	3552.8167363284256	0.0	10
163	64	22	2931.642999624618	0.0	8
164	64	33	3146.3558415718257	0.0	9
165	53	55	3041.4340520586275	0.0	10
166	59	49	3181.12121011142	0.0	10
167	64	33	2911.460315354819	0.0	9
168	64	44	2613.9821048680164	0.0	10
169	64	23	2591.086578651014	0.0	8
170	64	45	2718.9647891378145	0.0	10
171	64	34	3655.8340520586285	0.0	9
172	49	59	2554.7821048680185	0.0	10
173	64	12	3335.460315354821	0.0	7
174	64	-10	3080.382104868019	0.0	5
175	64	45	3164.5038943812174	0.0	10
176	64	11	2762.042999624616	0.0	7
177	64	12	2952.503894381216	0.0	7
178	64	-53	3165.8603153548206	0.0	1
