Episode_Group	numSteps	Reward	Energy
1	63.84	-1.48	3010.6192879990435
2	63.84	-1.5	3018.2512879990436
3	63.84	-0.62	3035.709891152592
4	63.84	-0.4	3039.9905837818
5	63.84	0.04	3059.158751145085
6	63.84	1.36	3071.0578795645574
7	63.84	1.58	3068.486751145085
8	63.84	1.6	3072.753879564557
9	63.84	1.82	3079.1206616694253
10	63.84	1.58	3077.438225879161
11	63.84	1.36	3074.4363153548206
12	63.84	0.46	3050.543109047724
13	63.84	0.44	3035.2384164185164
14	63.84	0.22	3042.5074553623285
15	63.84	0.64	3043.328326942856
16	63.84	0.2	3036.9479806282516
17	63.84	1.72	3045.845198523384
18	63.84	1.08	3036.503634313648
19	63.84	1.04	3031.8599806282523
20	63.54	2.22	3039.6410195720646
21	63.54	2.2	3044.2982374671965
22	63.54	2.22	3055.3900585158763
23	63.54	2.44	3043.935276411008
24	63.54	2.02	3041.849186935348
25	63.54	2.46	3049.1046616694243
26	63.54	2.06	3039.708840620744
27	63.54	2.48	3046.5470974596888
28	63.54	2.04	3041.8627511450845
29	63.54	2.24	3046.9778795645566
30	63.54	3.1	3051.6622258791613
31	63.54	2.86	3052.4695332499527
32	63.54	3.94	3053.748315354821
33	63.54	4.38	3054.637007984029
34	63.54	4.36	3055.094918508369
35	63.54	4.14	3056.3058795645566
36	63.54	4.56	3060.5594437742925
37	63.54	5.42	3062.672661669425
38	63.54	5.42	3047.785186935349
39	63.54	5.64	3052.886751145085
40	63.54	6.08	3050.7735332499533
41	63.54	5.84	3052.052315354821
42	63.54	5.62	3049.0368406207444
43	63.54	6.06	3053.734751145085
44	63.54	5.6	3053.748315354821
45	63.7	4.16	3041.662058515877
46	63.7	4.58	3032.6970195720646
47	63.7	5.24	3029.6951090477246
48	63.7	5.66	3022.4260701039125
49	63.7	6.1	3036.9234553623287
50	63.7	5.22	3046.709365886669
51	63.7	4.58	3043.7481479915364
52	63.7	4.16	3032.279801676932
53	63.7	3.94	3025.4686732574605
54	63.7	4.38	3030.987455362329
55	63.7	4.4	3021.618762733121
56	63.7	3.94	3028.8742374671965
57	63.7	3.94	3017.392326942857
58	63.7	3.92	3014.3632879990446
59	63.7	3.72	3006.690595369836
