EpNum	EpSteps	Reward	ener	dist	NumCovTargets
6	162	-97	7697.937946439846	0.0	6
1	162	-76	7808.346314604057	0.0	8
7	162	-85	8593.763630334252	0.0	7
8	162	-75	7891.111683143652	0.0	8
2	162	-75	7404.52899887385	0.0	8
9	162	-118	7638.746314604061	0.0	4
10	162	-63	7295.477051683246	0.0	9
3	162	-86	8191.9809460644565	0.0	7
11	162	-63	8192.659156551259	0.0	9
12	98	12	4704.39047303223	0.0	10
4	162	-97	7763.23347265685	0.0	6
13	127	-17	6238.677051683244	0.0	10
14	162	-85	6849.9379464398435	0.0	7
5	162	-75	7657.572577900254	0.0	8
15	162	-86	7594.311683143651	0.0	7
16	74	35	3474.538525841622	0.0	10
6	162	-97	6551.781525466238	0.0	6
17	161	-53	7413.077051683244	0.0	10
7	103	6	5540.5206307096405	0.0	10
18	162	-129	7465.755262170047	0.0	3
19	162	-107	7317.016156926647	0.0	5
8	162	-75	7891.789893630452	0.0	8
20	162	-85	7742.372577900251	0.0	7
9	162	-64	7788.163630334254	0.0	9
21	162	-74	7467.789893630448	0.0	8
22	162	-107	7169.633472656853	0.0	5
10	162	-76	7743.0507883870505	0.0	8
23	145	-36	6686.059735953044	0.0	10
24	95	14	4951.529578275632	0.0	10
25	162	-64	8188.58989363045	0.0	9
11	162	-86	7636.033472656854	0.0	7
26	162	-67	7741.694367413447	0.0	9
27	162	-85	8872.415577524862	0.0	7
28	109	0	5066.425104492638	0.0	10
12	162	-86	7872.963630334254	0.0	7
29	162	-85	7232.216156926641	0.0	7
13	162	-86	7721.511683143653	0.0	7
30	130	-22	6263.407788762435	0.0	10
31	162	-63	8146.868104117255	0.0	9
32	104	5	5805.198841196443	0.0	10
14	162	-64	7614.494367413445	0.0	9
33	162	-85	6317.5642097360505	0.0	7
15	162	-75	7743.050788387054	0.0	8
34	162	-64	7679.111683143653	0.0	9
35	150	-43	7032.89436741345	0.0	10
16	162	-86	8041.207209360653	0.0	7
36	162	-63	7723.546314604058	0.0	9
37	162	-64	7187.78152546624	0.0	9
17	162	-65	7361.450788387058	0.0	9
38	162	-63	7657.572577900251	0.0	9
18	138	-29	6684.155262170048	0.0	10
39	162	-85	7058.546894005841	0.0	7
40	162	-64	7889.755262170047	0.0	9
19	162	-98	7869.5725779002505	0.0	6
41	162	-63	8296.285419847454	0.0	9
20	162	-65	7106.372577900248	0.0	9
42	162	-75	8039.172577900251	0.0	8
43	162	-63	8724.354682768266	0.0	9
21	162	-108	7764.589893630451	0.0	5
44	162	-85	7998.807209360657	0.0	7
45	162	-63	8126.685419847454	0.0	9
22	162	-76	8213.520051307863	0.0	8
46	162	-76	8259.311103741873	0.0	8
23	162	-86	8572.224525090858	0.0	7
47	162	-97	8340.041840821055	0.0	6
48	102	7	4976.329578275634	0.0	10
24	162	-64	7783.4161569266425	0.0	9
49	162	-75	8169.085419847457	0.0	8
50	162	-65	8634.807209360648	0.0	9
25	162	-98	7487.294367413455	0.0	6
51	162	-96	7998.12899887385	0.0	6
26	125	-16	5262.42510449264	0.0	10
52	146	-36	6886.798841196445	0.0	10
53	108	1	5397.3815254662395	0.0	10
27	162	-64	7891.789893630449	0.0	9
54	162	-85	7870.928998873851	0.0	7
55	143	-33	7199.233472656846	0.0	10
28	162	-64	7935.546314604056	0.0	9
