Episode_Group	numSteps	Reward	Energy
1	152.28	-64.9	7232.63504845462
2	151.8	-63.54	7212.359394769225
3	151.8	-63.72	7197.363406357261
4	151.8	-63.3	7183.283238993978
5	151.8	-63.76	7182.85245688911
6	151.8	-63.52	7200.687585308582
7	151.8	-62.46	7190.040110574506
8	151.8	-62.7	7204.914021098845
9	151.8	-62.24	7215.5614958329215
10	151.8	-63.14	7207.000110574507
11	153.08	-65.08	7272.888445301074
12	153.08	-64.4	7280.157484244886
13	153.78	-65.58	7319.654344237378
14	153.78	-65.4	7347.841807383419
15	153.78	-65.62	7366.134846327231
16	153.78	-65.84	7381.049449480778
17	154.34	-66.4	7411.085270529458
18	154.34	-65.74	7435.717963158666
19	154.36	-66.18	7450.83813052195
20	155.54	-67.6	7512.72386209497
21	155.54	-66.98	7513.154644199838
22	155.54	-66.76	7526.776901038783
23	154.8	-65.58	7474.189605256027
24	154.48	-64.6	7457.078130521952
25	153.4	-63.3	7409.262488424591
26	153.4	-63.1	7417.74248842459
27	153.4	-62.66	7431.7683989489315
28	153.02	-61.8	7420.892052634327
29	153.36	-62.36	7445.881784207347
30	154.7	-63.9	7477.025258941423
31	153.82	-62.8	7429.029963158667
32	152.96	-61.3	7393.543013690514
33	150.74	-58.8	7281.23729370553
34	150.74	-58.82	7274.761997922773
35	151.8	-60.1	7314.672254761717
36	151.8	-60.3	7331.713640020133
37	150.62	-58.46	7298.700601076321
38	150.62	-58.04	7309.348075810396
39	151.26	-59.1	7348.2553715931535
40	151.12	-58.74	7325.239896859076
41	152.28	-60.34	7367.388935802888
42	152.28	-60.56	7370.794500012625
43	152.28	-60.38	7403.154142109985
44	152.28	-60.16	7420.65343789274
45	150.84	-58.5	7362.6249242148515
46	151.08	-58.9	7370.905616844059
47	151.08	-58.46	7362.788577900246
48	148.56	-55.74	7248.396601076317
49	148.56	-55.74	7270.149461068809
50	148.56	-56.38	7281.5771147542055
51	148.56	-56.84	7276.071896859074
52	149.04	-58.4	7284.8927684396
53	149.04	-58.86	7307.103538956432
54	148.36	-57.96	7275.983538956432
55	148.36	-57.3	7284.531360005112
56	148.36	-57.76	7273.453103166168
57	148.36	-58.42	7300.61623158564
58	148.36	-58.86	7281.475192641828
59	147.16	-57.48	7200.134344237371
60	147.16	-56.6	7205.195215817898
61	147.16	-56.18	7196.243741083823
62	147.16	-57.06	7182.122881091332
63	147.16	-57.04	7186.3628810913315
64	147.16	-57.26	7179.456803203707
65	146.68	-56.14	7135.705161106348
66	145.5	-54.08	7062.229005331099
67	146.7	-56.82	7130.782032686876
68	146.7	-56.84	7137.216635840424
69	146.7	-56.6	7133.756814791743
70	146.7	-57.46	7111.640993743063
71	146.38	-56.22	7109.026904267404
72	145.5	-54.46	7065.729519008987
73	146.24	-56.08	7125.989507420952
74	146.56	-56.66	7158.042713728048
75	147.64	-58.38	7193.043406357257
76	147.64	-59.04	7209.236791615674
77	147.64	-58.62	7213.463227405937
78	148.02	-59.48	7231.958009510805
79	148.02	-59.68	7256.685651608165
80	148.02	-60.36	7295.0355505444695
81	148.9	-61.9	7343.919538956434
82	149.76	-63.38	7393.9038736830025
83	151.98	-66.06	7504.971504192326
84	151.98	-66.26	7491.3492473533815
85	151.98	-66.92	7506.2367220874585
86	150.18	-64.26	7401.69083473919
87	151.36	-66.56	7429.575181053794
88	149.78	-64.74	7341.235025278546
89	149.78	-65.62	7353.269795795379
90	149.92	-66.44	7377.173963158664
91	148.14	-64.2	7291.638846327227
92	147.14	-62.76	7249.679204229866
93	147.14	-63.18	7231.816947390923
94	147.14	-62.96	7213.469651608167
95	147.8	-63.64	7220.599394769222
96	147.8	-63.88	7232.484958978959
97	147.8	-63.86	7244.048254761716
98	149.38	-65.44	7323.436935802888
99	148.16	-64.02	7267.1032042298675
100	148.16	-63.6	7282.07206422236
101	147.52	-62.3	7271.216589488282
102	147.52	-61.68	7292.9287568515665
103	147.52	-61.02	7284.906667375907
104	146.66	-60.16	7250.28128211749
105	145.2	-58.44	7176.257472656846
106	145.2	-58.24	7162.608087398431
107	143.98	-56.14	7096.044098986466
108	143.82	-55.08	7118.347048454619
109	143.18	-54.42	7092.644791615674
110	143.18	-54.86	7082.495920035147
111	141.04	-52.48	6989.237674784238
112	141.0	-51.36	6985.502367413445
113	141.0	-51.36	6953.532814791745
114	139.28	-48.98	6878.7090053311
115	137.52	-47.2	6808.684145338608
116	138.7	-49.04	6862.117005331101
117	138.7	-48.16	6845.129876911628
118	138.7	-48.56	6826.419620072685
119	138.7	-49.22	6809.391799024004
120	138.7	-48.56	6831.95196638729
121	139.02	-49.36	6844.3112737580805
122	139.9	-50.92	6892.3201337505725
123	139.9	-50.68	6877.364837967816
124	139.9	-51.1	6860.754234814268
125	139.9	-50.9	6872.195452709399
126	139.9	-50.88	6838.516335877963
127	139.9	-51.74	6811.716168514678
128	139.9	-51.52	6813.8700790390185
129	139.9	-51.76	6767.874615892979
130	139.9	-51.74	6707.381767488522
131	139.9	-51.3	6704.797074859313
132	139.9	-51.34	6667.766650657085
133	139.9	-51.12	6675.008561181425
134	139.9	-50.46	6664.900382230106
135	138.96	-48.66	6602.69326539867
136	139.16	-48.84	6608.866829608406
137	139.16	-48.62	6629.744561181427
138	139.34	-48.8	6643.008728544711
139	139.34	-47.7	6616.113611713274
140	139.34	-48.14	6622.897611713273
141	140.9	-49.72	6716.63237064207
142	141.9	-51.6	6761.607487473507
143	141.9	-51.36	6748.87392326377
144	141.9	-52.0	6732.358269578374
145	142.68	-53.86	6789.247296934151
146	142.68	-53.66	6762.487822200075
147	142.68	-53.68	6731.864872731922
148	143.62	-54.84	6765.117911675736
149	144.84	-56.72	6776.344872731924
150	144.5	-55.92	6707.957934851807
151	145.14	-56.78	6733.687320110224
152	145.14	-56.54	6676.237074859316
153	145.14	-57.2	6677.030818020372
154	146.68	-58.96	6698.208728544712
155	148.14	-60.66	6756.56488431996
156	148.14	-61.08	6768.518269578376
157	149.36	-62.26	6793.893219046528
158	149.52	-63.1	6770.33861589298
159	151.36	-65.16	6868.416682192569
160	151.36	-64.72	6836.029911675737
161	153.5	-67.32	6933.541721136381
162	153.54	-68.0	6907.959989563361
163	153.54	-68.42	6893.031822200076
164	155.26	-70.34	6967.4519779753255
165	157.5	-73.22	7032.71614533861
166	157.5	-73.2	7012.794927443478
167	157.5	-73.2	7027.62814533861
168	157.5	-72.76	7043.0006590164985
169	156.58	-71.0	6993.410402177555
170	156.58	-70.78	6978.5364916532135
171	156.58	-70.74	6965.467094806762
172	155.64	-69.14	6903.246413765591
173	155.64	-69.38	6913.073016919138
174	154.26	-67.32	6842.415464297437
175	153.2	-65.82	6785.0466043049455
176	153.2	-65.18	6817.0161569266465
177	153.2	-64.76	6822.589195870459
178	152.92	-64.24	6777.365553773099
179	152.92	-63.8	6790.570592716911
180	152.92	-64.24	6783.396503241252
181	152.62	-63.72	6767.850760080196
182	152.62	-63.5	6799.335273758084
183	150.92	-61.58	6716.694939031516
184	149.06	-59.52	6643.556168514683
185	148.14	-58.6	6621.142604304947
186	148.08	-58.6	6625.70886114389
187	145.86	-55.48	6504.048012739434
188	145.88	-55.5	6512.73357694917
189	145.88	-55.72	6522.075141158906
190	145.88	-54.82	6511.35984537615
191	145.3	-54.24	6464.507856964186
192	145.08	-53.12	6461.0763822301105
193	143.86	-51.24	6408.955522237618
194	141.48	-48.2	6315.048584357502
195	141.48	-47.34	6323.124930672106
196	140.44	-46.06	6285.896416994216
