EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	127	-53	5643.72063070964	0.0	7
2	91	16	4405.007788762435	0.0	10
3	66	41	2843.8256838944135	0.0	10
4	121	-14	5349.868683519033	0.0	10
5	127	-31	5365.746894005837	0.0	9
6	127	-31	5514.485999249235	0.0	9
7	88	19	3778.5385258416227	0.0	10
8	127	-42	5023.15584157183	0.0	8
9	127	-31	5579.103314979435	0.0	9
10	127	-42	5108.634052058627	0.0	8
11	127	-52	5726.485999249236	0.0	7
12	40	67	2064.5647891378153	0.0	10
13	75	32	3355.582104868018	0.0	10
14	115	-8	4674.416736328425	0.0	10
15	127	-31	5534.668683519032	0.0	9
16	127	-52	4322.53852584162	0.0	7
17	127	-31	5642.364209736033	0.0	9
18	127	-53	5045.3731573020295	0.0	7
19	96	11	4173.677631085024	0.0	10
20	127	-63	5453.937946439845	0.0	6
21	103	4	4709.312262545427	0.0	10
22	91	16	4256.946894005834	0.0	10
23	127	-41	5470.729578275634	0.0	8
24	69	38	2999.8256838944144	0.0	10
25	61	46	2688.808368164212	0.0	10
26	127	-31	5386.607788762431	0.0	9
27	127	-53	5004.32957827563	0.0	7
28	127	-41	5324.025104492635	0.0	8
29	127	-42	5363.034052058628	0.0	8
30	122	-15	5401.868683519033	0.0	10
31	67	40	3173.7994205982213	0.0	10
32	111	-4	4592.260315354821	0.0	10
33	104	3	4185.182104868016	0.0	10
34	127	-20	5195.468683519031	0.0	10
35	126	-19	5888.520630709639	0.0	10
36	127	-41	5704.268683519034	0.0	8
37	126	-19	5782.1815254662415	0.0	10
38	127	-41	5471.407788762432	0.0	8
39	71	36	2998.1647891378143	0.0	10
40	95	12	3823.521210111418	0.0	10
41	95	12	3845.7385258416216	0.0	10
42	127	-31	5982.92063070964	0.0	9
43	71	36	3382.477631085024	0.0	10
44	51	56	2403.025683894414	0.0	10
45	76	31	3729.312262545429	0.0	10
46	51	56	2254.286578651013	0.0	10
47	66	41	3269.860315354821	0.0	10
48	127	-41	5896.085999249237	0.0	8
49	97	10	4034.5385258416227	0.0	10
50	62	45	3039.6429996246175	0.0	10
51	127	-31	5853.007788762434	0.0	9
52	108	-1	4437.616736328424	0.0	10
53	83	24	4179.468683519032	0.0	10
54	32	75	1752.1910524340092	0.0	10
55	98	9	3853.6776310850223	0.0	10
56	46	61	1824.0083681642113	0.0	10
57	127	-41	5472.764209736043	0.0	8
58	127	-31	5601.3206307096425	0.0	9
59	52	55	2432.8083681642115	0.0	10
60	127	-41	5790.425104492635	0.0	8
61	54	53	2452.686578651013	0.0	10
62	62	45	2828.3212101114186	0.0	10
63	125	-18	5134.5468940058345	0.0	10
64	127	-31	5898.798841196442	0.0	9
65	67	40	2428.747473407611	0.0	10
66	38	69	1747.2083681642114	0.0	10
67	46	61	2079.086578651013	0.0	10
68	83	24	3517.1821048680167	0.0	10
69	67	40	3002.8429996246164	0.0	10
70	55	52	2719.3994205982217	0.0	10
71	127	-51	5492.946894005834	0.0	7
72	65	42	2748.7474734076127	0.0	10
73	127	-41	5175.285999249243	0.0	8
74	90	17	4268.885999249235	0.0	10
75	79	28	4118.173157302029	0.0	10
76	88	19	4440.146894005835	0.0	10
77	54	53	2390.1038943812155	0.0	10
78	110	-3	4903.7122625454285	0.0	10
79	127	-31	5984.277051683242	0.0	9
80	125	-18	4750.912262545424	0.0	10
81	123	-16	5028.512262545427	0.0	10
82	122	-15	5593.685999249237	0.0	10
83	88	19	4056.5122625454296	0.0	10
84	108	-1	4418.112262545428	0.0	10
85	112	-5	5521.937946439845	0.0	10
86	70	37	3137.3038943812157	0.0	10
87	115	-8	4761.929578275633	0.0	10
88	127	-31	5472.7642097360385	0.0	9
89	127	-31	4410.051367788828	0.0	9
90	127	-31	5725.80778876244	0.0	9
91	94	13	4049.494946815226	0.0	10
92	29	78	1426.5910524340093	0.0	10
93	75	32	3334.0429996246176	0.0	10
94	80	27	3341.6776310850223	0.0	10
95	127	-31	5154.42510449264	0.0	9
96	29	78	1384.1910524340094	0.0	10
97	24	83	1336.8692629208113	0.0	10
