EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	83	15	3647.7731573020274	0.0	10
2	83	15	3581.1212101114193	0.0	10
3	58	40	3001.921210111419	0.0	10
4	123	-25	4899.95584157183	0.0	10
5	126	-50	5353.434052058629	0.0	8
6	80	18	3169.3647891378146	0.0	10
7	115	-17	4932.207788762432	0.0	10
8	126	-39	5718.920630709645	0.0	9
9	97	1	3930.234052058626	0.0	10
10	126	-39	5973.320630709639	0.0	9
11	118	-20	4894.355841571826	0.0	10
12	126	-50	4928.755841571825	0.0	8
13	107	-9	3470.964789137813	0.0	10
14	85	13	3430.042999624616	0.0	10
15	126	-50	5228.268683519032	0.0	8
16	126	-39	5632.764209736037	0.0	9
17	126	-61	4801.555841571832	0.0	7
18	126	-39	4760.512262545432	0.0	9
19	126	-50	4972.512262545433	0.0	8
20	126	-71	4314.973157302025	0.0	6
21	126	-39	5888.520630709641	0.0	9
22	126	-61	4333.7994205982195	0.0	7
23	126	-39	4929.434052058627	0.0	9
24	126	-39	5101.7468940058425	0.0	9
25	92	6	3880.1994205982196	0.0	10
26	126	-39	5676.520630709643	0.0	9
27	126	-39	4654.173157302029	0.0	9
28	77	21	3843.2167363284243	0.0	10
29	126	-39	5355.468683519032	0.0	9
30	104	-6	3867.52121011142	0.0	10
31	126	-50	4802.912262545427	0.0	8
32	126	-39	5121.929578275635	0.0	9
33	70	28	2860.0083681642122	0.0	10
34	126	-39	5056.63405205863	0.0	9
35	126	-39	6144.2770516832425	0.0	9
36	126	-39	5183.834052058628	0.0	9
37	126	-39	5718.242420222842	0.0	9
38	104	-6	4548.634052058627	0.0	10
39	57	41	2142.964789137814	0.0	10
40	105	-7	4643.712262545432	0.0	10
41	85	13	3238.903894381215	0.0	10
42	126	-39	5142.112262545429	0.0	9
43	100	-2	3490.59942059822	0.0	10
44	69	29	2979.642999624617	0.0	10
45	79	19	3396.0167363284236	0.0	10
46	126	-39	5333.251367788827	0.0	9
47	126	-61	4801.555841571828	0.0	7
48	126	-39	5228.946894005841	0.0	9
49	126	-39	4908.573157302026	0.0	9
50	106	-8	4758.973157302034	0.0	10
51	79	19	3011.0256838944124	0.0	10
52	98	0	3194.782104868017	0.0	10
53	126	-39	4675.034052058623	0.0	9
54	26	72	1248.3737367038066	0.0	10
55	49	49	2298.347473407612	0.0	10
56	126	-39	5251.164209736041	0.0	9
57	65	33	2855.086578651014	0.0	10
58	40	58	1786.5910524340086	0.0	10
59	39	59	2033.4256838944143	0.0	10
60	46	52	2034.6519471906079	0.0	10
61	41	57	2158.2865786510138	0.0	10
62	65	33	2601.364789137814	0.0	10
63	33	65	1678.3474734076128	0.0	10
64	126	-39	5461.807788762432	0.0	9
65	126	-39	4246.964789137817	0.0	9
66	126	-39	5374.973157302031	0.0	9
67	31	67	1616.0692629208108	0.0	10
68	119	-21	5478.0513677888275	0.0	10
69	36	62	2153.3647891378155	0.0	10
70	45	53	1899.208368164211	0.0	10
71	26	72	1333.1737367038065	0.0	10
72	28	70	1267.5737367038062	0.0	10
73	123	-25	5117.38152546624	0.0	10
74	46	52	2311.2692629208104	0.0	10
75	53	45	2208.86926292081	0.0	10
76	126	-39	4054.469262920806	0.0	9
77	126	-39	5290.173157302028	0.0	9
78	126	-39	4802.2340520586295	0.0	9
79	22	76	1231.5128419472076	0.0	10
80	126	-39	4183.703894381213	0.0	9
81	126	-39	3378.1038943812123	0.0	9
82	126	-39	4718.790473032226	0.0	9
83	117	-19	3822.7212101114155	0.0	10
84	37	61	1544.434631460405	0.0	10
85	43	55	1328.1301576774097	0.0	10
86	126	-39	4590.234052058626	0.0	9
87	98	0	3812.634052058625	0.0	10
88	101	-3	4113.982104868018	0.0	10
89	126	-39	3888.9385258416196	0.0	9
90	71	27	2870.964789137814	0.0	10
91	90	8	3435.642999624615	0.0	10
92	75	23	2547.9474734076102	0.0	10
93	72	26	3328.1385258416226	0.0	10
94	126	-39	3801.4256838944116	0.0	9
95	126	-39	3526.1647891378097	0.0	9
96	90	8	2545.2429996246124	0.0	10
97	126	-39	3376.747473407606	0.0	9
98	126	-39	2910.3474734076067	0.0	9
99	126	-39	2717.8519471906034	0.0	9
100	76	22	3045.486578651012	0.0	10
101	126	-39	4613.129578275632	0.0	9
102	126	-39	2676.130157677402	0.0	9
103	73	25	2359.1474734076105	0.0	10
104	126	-39	3250.9038943812097	0.0	9
105	79	19	3118.7212101114183	0.0	10
106	70	28	2837.791052434008	0.0	10
107	106	-8	3016.5038943812124	0.0	10
108	126	-39	3909.7994205982172	0.0	9
109	76	22	2261.425683894413	0.0	10
110	114	-16	3939.9474734076102	0.0	10
111	87	11	2578.347473407609	0.0	10
112	121	-23	2202.7737367038	0.0	10
113	30	68	1074.095526217005	0.0	10
114	126	-50	3715.947473407608	0.0	8
115	63	35	1921.2346314604038	0.0	10
116	51	47	1828.2519471906062	0.0	10
117	83	15	2006.2173157301982	0.0	10
118	126	-49	2612.191052434006	0.0	8
119	80	18	3067.0949468152253	0.0	10
120	126	-49	3547.7038943812104	0.0	8
121	39	59	1564.3128419472077	0.0	10
122	55	43	1994.5301576774095	0.0	10
123	126	-39	4375.5212101114175	0.0	9
124	106	-8	3375.2083681642084	0.0	10
125	91	7	2744.625683894411	0.0	10
126	51	47	2571.9474734076125	0.0	10
127	126	-39	4224.747473407615	0.0	9
128	84	14	2484.2519471906044	0.0	10
129	96	2	3087.3910524340076	0.0	10
130	126	-39	3699.1558415718214	0.0	9
131	126	-39	3271.7647891378133	0.0	9
132	33	65	1825.0519471906082	0.0	10
133	126	-39	3905.730157677405	0.0	9
134	59	39	1882.834631460403	0.0	10
135	56	42	2853.486578651013	0.0	10
136	126	-39	3503.269262920806	0.0	9
137	44	54	1547.0173157302022	0.0	10
138	99	-1	3519.3301576774074	0.0	10
139	126	-39	3502.5910524340034	0.0	9
140	30	68	1584.93015767741	0.0	10
141	126	-39	3440.6865786510093	0.0	9
142	21	77	1114.8955262170048	0.0	10
143	101	-3	3691.338525841619	0.0	10
144	126	-39	2695.6346314603993	0.0	9
145	19	79	1181.8519471906086	0.0	10
146	126	-39	3718.660315354815	0.0	9
147	126	-39	2783.147473407605	0.0	9
148	111	-13	3380.130157677407	0.0	10
149	25	73	1324.251947190608	0.0	10
150	126	-39	3799.3910524340045	0.0	9
151	28	70	1437.8519471906081	0.0	10
152	126	-39	3740.199420598217	0.0	9
153	126	-39	4079.399420598218	0.0	9
154	126	-39	2803.330157677405	0.0	9
155	67	31	2130.5910524340056	0.0	10
156	126	-39	3676.9385258416182	0.0	9
157	66	32	2460.1910524340074	0.0	10
158	33	65	1802.8346314604057	0.0	10
159	126	-39	3462.22568389441	0.0	9
160	126	-39	3760.382104868013	0.0	9
161	20	78	1127.5128419472078	0.0	10
162	126	-39	5860.87763108503	0.0	9
163	126	-39	3949.48657865101	0.0	9
164	126	-39	2611.5128419472003	0.0	9
165	126	-39	2993.791052434003	0.0	9
166	126	-39	3354.530157677405	0.0	9
167	126	-39	3992.56478913781	0.0	9
168	126	-39	2694.956420973598	0.0	9
169	78	20	2383.5737367038037	0.0	10
170	22	76	1295.4519471906085	0.0	10
171	126	-39	4227.460315354818	0.0	9
172	116	-18	2854.712841947206	0.0	10
173	126	-39	3376.0692629208065	0.0	9
174	126	-39	2505.173736703799	0.0	9
175	126	-39	3462.225683894409	0.0	9
176	126	-39	3205.7910524340036	0.0	9
177	126	-39	3269.730157677405	0.0	9
178	91	7	3061.6083681642085	0.0	10
179	72	26	1922.8346314604053	0.0	10
180	52	46	1519.512841947206	0.0	10
181	126	-39	2822.8346314603987	0.0	9
182	105	-7	3258.591052434006	0.0	10
183	126	-28	4227.460315354815	0.0	10
184	126	-39	3206.4692629208052	0.0	9
185	126	-39	3123.7038943812113	0.0	9
186	126	-39	3417.1128419472025	0.0	9
187	126	-39	3544.991052434003	0.0	9
188	118	-20	3301.303894381211	0.0	10
189	126	-39	3569.242999624612	0.0	9
190	107	-9	2789.851947190604	0.0	10
191	98	0	4188.130157677409	0.0	10
192	28	70	1225.1737367038068	0.0	10
193	126	-39	3757.6692629208055	0.0	9
194	25	73	1196.3737367038063	0.0	10
195	86	12	2098.956420973602	0.0	10
196	126	-39	2759.573736703799	0.0	9
197	126	-39	3566.530157677405	0.0	9
198	126	-39	3291.947473407607	0.0	9
199	78	20	2703.2692629208095	0.0	10
200	60	38	1553.2346314604042	0.0	10
201	126	-39	2781.7910524340036	0.0	9
202	64	34	1868.2519471906064	0.0	10
203	100	-2	2661.4256838944093	0.0	10
204	27	71	1300.3737367038066	0.0	10
205	22	76	1273.2346314604058	0.0	10
206	126	-39	3885.547473407608	0.0	9
207	16	82	897.2955262170049	0.0	10
208	126	-39	3822.9647891378113	0.0	9
209	126	-39	3800.069262920807	0.0	9
210	126	-39	4757.799420598219	0.0	9
211	115	-17	3843.88657865101	0.0	10
212	126	-39	3013.9737367038	0.0	9
213	126	-39	4568.6949468152325	0.0	9
214	126	-39	3228.008368164206	0.0	9
215	99	-1	2692.191052434005	0.0	10
216	67	31	2618.5301576774086	0.0	10
217	126	-39	3355.2083681642066	0.0	9
218	16	82	897.2955262170049	0.0	10
219	126	-39	2866.5910524340024	0.0	9
220	126	-39	2441.9128419472004	0.0	9
221	22	76	1082.773736703807	0.0	10
222	126	-39	4414.530157677411	0.0	9
223	89	9	2298.7128419472033	0.0	10
224	26	72	1100.3128419472077	0.0	10
225	66	32	2079.2692629208077	0.0	10
226	126	-39	2845.0519471906023	0.0	9
227	95	3	2823.3910524340054	0.0	10
228	126	-39	4014.1038943812127	0.0	9
229	126	-39	1974.1564209735975	0.0	9
230	126	-39	2165.9737367037983	0.0	9
231	126	-39	2482.9564209735977	0.0	9
232	120	-22	2554.591052434004	0.0	10
233	126	-39	3590.7821048680157	0.0	9
234	126	-39	3182.8955262169993	0.0	9
235	125	-27	2644.312841947201	0.0	10
236	126	-39	2589.295526216997	0.0	9
237	126	-39	2696.991052434002	0.0	9
238	126	-39	2419.0173157301947	0.0	9
239	126	-39	3523.4519471906024	0.0	9
240	126	-39	2781.791052434004	0.0	9
241	123	-25	3431.391052434006	0.0	10
242	78	20	2087.4519471906046	0.0	10
243	126	-39	3143.2083681642057	0.0	9
244	30	68	1180.434631460406	0.0	10
245	126	-39	3821.608368164208	0.0	9
246	126	-50	2058.956420973597	0.0	8
247	28	70	1119.5128419472078	0.0	10
248	126	-39	3695.764789137811	0.0	9
249	126	-39	3101.486578651007	0.0	9
250	126	-50	2102.0346314604003	0.0	8
251	67	31	1706.5910524340077	0.0	10
252	81	17	2732.069262920809	0.0	10
253	126	-39	3312.8083681642056	0.0	9
254	126	-39	3374.7128419472037	0.0	9
255	17	81	1034.7737367038067	0.0	10
256	25	73	962.8346314604061	0.0	10
257	74	24	3130.5910524340084	0.0	10
258	89	9	2744.9301576774064	0.0	10
259	126	-39	3059.086578651008	0.0	9
260	94	4	2220.1910524340046	0.0	10
261	72	26	1860.251947190606	0.0	10
262	126	-39	2505.8519471906015	0.0	9
263	103	-5	2305.2346314604015	0.0	10
264	126	-39	2208.373736703798	0.0	9
265	74	24	1793.2955262170012	0.0	10
266	75	23	2311.695526217006	0.0	10
267	126	-39	3505.982104868016	0.0	9
268	126	-39	3995.2776310850186	0.0	9
269	126	-39	4310.90389438122	0.0	9
270	126	-39	2207.6955262169986	0.0	9
271	126	-39	2589.9737367037987	0.0	9
272	48	50	1628.4955262170045	0.0	10
273	126	-39	4287.330157677416	0.0	9
274	126	-39	2528.069262920803	0.0	9
275	126	-39	2802.6519471906013	0.0	9
276	126	-39	3525.4865786510077	0.0	9
277	99	-1	3815.451947190605	0.0	10
278	126	-39	3415.7564209735983	0.0	9
279	93	5	2294.0346314604008	0.0	10
280	36	62	1684.2519471906087	0.0	10
281	76	22	2173.9128419472036	0.0	10
282	126	-39	2845.730157677402	0.0	9
283	126	-39	2589.973736703798	0.0	9
284	105	-7	2919.3910524340035	0.0	10
285	67	31	2426.712841947205	0.0	10
286	56	42	2088.930157677408	0.0	10
287	126	-39	3144.5647891378076	0.0	9
288	126	-39	2887.4519471906005	0.0	9
289	38	60	1447.695526217004	0.0	10
290	51	47	2061.7910524340073	0.0	10
291	59	39	1798.0346314604028	0.0	10
292	56	42	1492.6173157302005	0.0	10
293	126	-39	2398.156420973596	0.0	9
294	62	36	1529.356420973601	0.0	10
295	37	61	1778.6519471906079	0.0	10
296	126	-39	2737.3564209735955	0.0	9
297	67	31	2599.0256838944124	0.0	10
298	126	-39	3015.3301576774024	0.0	9
299	84	14	2442.530157677406	0.0	10
300	126	-39	1995.0173157301974	0.0	9
301	126	-39	2952.069262920803	0.0	9
302	126	-39	2037.4173157301948	0.0	9
303	52	46	1986.591052434007	0.0	10
304	30	68	1543.208368164212	0.0	10
305	126	-39	2740.069262920802	0.0	9
306	126	-39	2442.591052434001	0.0	9
307	126	-39	2144.4346314604	0.0	9
308	126	-39	2165.9737367037974	0.0	9
309	56	42	1578.7737367038042	0.0	10
310	126	-39	1910.2173157301968	0.0	9
311	46	52	1610.6519471906063	0.0	10
312	20	78	1148.3737367038066	0.0	10
313	26	72	1162.8955262170048	0.0	10
314	126	-39	2717.8519471905997	0.0	9
315	62	36	2042.2256838944134	0.0	10
316	126	-39	2550.964789137808	0.0	9
317	126	-61	1996.373736703801	0.0	7
318	24	74	1058.895526217005	0.0	10
319	76	22	2321.2955262170026	0.0	10
320	126	-39	2972.2519471906035	0.0	9
321	75	23	1844.6173157301992	0.0	10
322	58	40	2236.0083681642095	0.0	10
323	88	10	3332.9994205982184	0.0	10
324	126	-39	1910.217315730196	0.0	9
325	126	-39	2143.7564209735947	0.0	9
326	61	37	2157.791052434008	0.0	10
327	126	-39	2591.3301576774033	0.0	9
328	108	-10	2736.8692629208085	0.0	10
329	39	59	1118.0955262170053	0.0	10
330	40	58	1127.6955262170054	0.0	10
331	126	-39	3333.669262920805	0.0	9
332	90	8	3431.573736703805	0.0	10
333	31	67	1105.234631460406	0.0	10
334	126	-39	3521.4173157301984	0.0	9
335	126	-39	3183.5737367038	0.0	9
336	126	-39	4497.295526217007	0.0	9
337	49	49	1702.0346314604042	0.0	10
338	126	-39	3290.591052434002	0.0	9
339	38	60	959.7564209736045	0.0	10
340	37	61	950.1564209736044	0.0	10
341	41	57	1179.0173157302029	0.0	10
342	126	-39	2738.0346314604008	0.0	9
343	59	39	2009.3564209736016	0.0	10
344	126	-39	2398.156420973595	0.0	9
345	126	-39	2506.530157677402	0.0	9
346	30	68	1180.434631460406	0.0	10
347	27	71	1151.634631460406	0.0	10
348	100	-2	2423.817315730199	0.0	10
349	126	-39	2420.373736703798	0.0	9
350	126	-39	2549.608368164203	0.0	9
351	16	82	897.2955262170049	0.0	10
352	126	-39	2228.5564209735953	0.0	9
353	36	62	1089.2955262170053	0.0	10
354	126	-39	2058.956420973595	0.0	9
355	126	-39	2441.234631460397	0.0	9
356	126	-39	3161.3564209735987	0.0	9
357	126	-39	3097.4173157301957	0.0	9
358	14	84	771.0782104868019	0.0	10
359	14	84	771.0782104868019	0.0	10
360	126	-50	2442.5910524340006	0.0	8
361	56	42	1810.9564209736016	0.0	10
362	37	61	1502.0346314604046	0.0	10
363	46	52	1674.5910524340072	0.0	10
364	41	57	1222.0955262170044	0.0	10
365	79	19	2055.3301576774056	0.0	10
366	17	81	948.6173157302029	0.0	10
367	58	40	1618.8346314604037	0.0	10
368	13	85	740.6173157302029	0.0	10
369	15	83	887.6955262170048	0.0	10
370	15	83	759.817315730203	0.0	10
371	52	46	1284.6173157302019	0.0	10
372	13	85	740.6173157302029	0.0	10
373	126	-39	2674.095526216997	0.0	9
374	126	-39	2102.034631460397	0.0	9
375	126	-39	2567.756420973596	0.0	9
376	15	83	823.7564209736039	0.0	10
377	14	84	814.1564209736039	0.0	10
378	126	-39	2696.9910524340003	0.0	9
379	126	-39	2228.556420973595	0.0	9
380	13	85	740.6173157302029	0.0	10
381	14	84	814.1564209736039	0.0	10
382	25	73	1004.5564209736041	0.0	10
383	126	-39	2673.4173157301966	0.0	9
384	27	71	918.0955262170052	0.0	10
385	126	-39	2186.8346314603978	0.0	9
386	14	84	814.1564209736039	0.0	10
387	13	85	740.6173157302029	0.0	10
388	13	85	740.6173157302029	0.0	10
389	13	85	740.6173157302029	0.0	10
390	13	85	740.6173157302029	0.0	10
391	26	72	1162.8955262170048	0.0	10
392	39	59	990.2173157302035	0.0	10
393	13	85	740.6173157302029	0.0	10
394	126	-39	2165.295526216997	0.0	9
395	13	85	740.6173157302029	0.0	10
396	14	84	814.1564209736039	0.0	10
397	126	-39	1889.3564209735962	0.0	9
398	21	77	881.356420973604	0.0	10
399	34	64	1006.1564209736043	0.0	10
400	47	51	1130.956420973604	0.0	10
401	15	83	887.6955262170048	0.0	10
402	14	84	814.1564209736039	0.0	10
403	126	-39	2292.495526216996	0.0	9
404	16	82	897.2955262170049	0.0	10
405	16	82	897.2955262170049	0.0	10
406	126	-39	2165.9737367038	0.0	9
407	13	85	740.6173157302029	0.0	10
408	31	67	977.3564209736043	0.0	10
409	14	84	750.2173157302029	0.0	10
410	14	84	750.2173157302029	0.0	10
411	28	70	1246.0346314604058	0.0	10
412	13	85	740.6173157302029	0.0	10
413	126	-39	1825.4173157301966	0.0	9
414	15	83	887.6955262170048	0.0	10
415	35	63	1079.6955262170052	0.0	10
416	14	84	814.1564209736039	0.0	10
417	126	-39	2483.634631460397	0.0	9
418	33	65	1124.434631460406	0.0	10
419	104	-6	4244.373736703805	0.0	10
420	126	-39	2378.6519471906	0.0	9
421	126	-39	3563.8173157301976	0.0	9
422	79	19	2689.2955262170058	0.0	10
423	126	-39	2038.095526216997	0.0	9
424	12	86	710.1564209736039	0.0	10
425	13	85	826.7737367038068	0.0	10
426	11	87	679.6955262170048	0.0	10
427	11	87	679.6955262170048	0.0	10
428	11	87	679.6955262170048	0.0	10
429	29	69	958.1564209736042	0.0	10
430	27	71	938.9564209736042	0.0	10
431	28	70	884.6173157302032	0.0	10
432	59	39	1903.695526217003	0.0	10
433	17	81	970.8346314604058	0.0	10
434	30	68	1052.5564209736042	0.0	10
435	30	68	903.8173157302033	0.0	10
436	31	67	998.2173157302033	0.0	10
437	37	61	1183.6955262170045	0.0	10
438	13	85	740.6173157302029	0.0	10
439	13	85	740.6173157302029	0.0	10
440	13	85	740.6173157302029	0.0	10
441	78	20	2999.3910524340095	0.0	10
442	37	61	971.0173157302034	0.0	10
443	48	50	1588.1301576774106	0.0	10
444	53	45	1633.4173157302018	0.0	10
445	13	85	740.6173157302029	0.0	10
446	29	69	894.2173157302033	0.0	10
447	29	69	894.2173157302033	0.0	10
448	14	84	750.2173157302029	0.0	10
449	29	69	1042.956420973604	0.0	10
450	13	85	740.6173157302029	0.0	10
451	13	85	740.6173157302029	0.0	10
452	27	71	959.8173157302032	0.0	10
453	15	83	844.6173157302029	0.0	10
454	19	79	967.817315730203	0.0	10
455	13	85	740.6173157302029	0.0	10
456	13	85	740.6173157302029	0.0	10
457	15	83	887.6955262170048	0.0	10
458	13	85	740.6173157302029	0.0	10
459	13	85	740.6173157302029	0.0	10
460	32	66	923.0173157302033	0.0	10
461	126	-39	2249.417315730195	0.0	9
462	14	84	814.1564209736039	0.0	10
463	44	54	1462.2173157302018	0.0	10
464	15	83	887.6955262170048	0.0	10
465	29	69	1042.956420973604	0.0	10
466	13	85	740.6173157302029	0.0	10
467	126	-39	2228.5564209735962	0.0	9
468	29	69	1106.8955262170052	0.0	10
469	38	60	1257.2346314604051	0.0	10
470	126	-39	3120.991052434005	0.0	9
471	110	-12	2690.7737367038	0.0	10
472	22	76	1273.2346314604056	0.0	10
473	126	-39	3735.451947190604	0.0	9
474	13	85	740.6173157302029	0.0	10
475	13	85	740.6173157302029	0.0	10
476	13	85	740.6173157302029	0.0	10
477	13	85	740.6173157302029	0.0	10
478	13	85	740.6173157302029	0.0	10
479	13	85	740.6173157302029	0.0	10
480	20	78	1169.2346314604058	0.0	10
481	126	-39	3481.051947190603	0.0	9
482	15	83	823.7564209736039	0.0	10
483	14	84	750.2173157302029	0.0	10
484	126	-39	2015.8782104867958	0.0	9
485	126	-39	2929.1737367037986	0.0	9
486	126	-39	2293.1737367037986	0.0	9
487	13	85	740.6173157302029	0.0	10
488	104	-6	2359.2692629208063	0.0	10
489	126	-39	4032.251947190604	0.0	9
490	13	85	740.6173157302029	0.0	10
491	13	85	740.6173157302029	0.0	10
492	126	-39	2122.8955262169975	0.0	9
493	29	69	1212.5564209736033	0.0	10
494	126	-39	3797.3564209735996	0.0	9
495	66	32	3159.451947190608	0.0	10
496	15	83	887.6955262170048	0.0	10
497	15	83	844.6173157302029	0.0	10
498	126	-39	3394.217315730198	0.0	9
499	126	-39	3246.8346314604	0.0	9
500	27	71	1342.0955262170044	0.0	10
501	117	-19	3186.042999624614	0.0	10
502	126	-39	3653.364789137812	0.0	9
503	126	-39	2228.5564209735967	0.0	9
504	126	-39	2441.912841947199	0.0	9
505	126	-39	2186.8346314603978	0.0	9
506	13	85	740.6173157302029	0.0	10
507	13	85	740.6173157302029	0.0	10
508	16	82	897.2955262170049	0.0	10
509	126	-39	3122.3474734076053	0.0	9
510	30	68	1244.3737367038063	0.0	10
511	126	-39	2335.5737367037996	0.0	9
512	126	-39	3102.842999624611	0.0	9
513	126	-39	1953.2955262169964	0.0	9
514	126	-39	2908.9910524340016	0.0	9
515	28	70	1118.1564209736036	0.0	10
516	13	85	740.6173157302029	0.0	10
517	30	68	988.6173157302032	0.0	10
518	31	67	913.4173157302033	0.0	10
519	126	-39	2824.8692629208035	0.0	9
520	126	-50	2017.2346314603978	0.0	8
521	126	-39	1995.6955262169965	0.0	9
522	126	-50	1974.8346314603978	0.0	8
523	126	-39	2503.8173157301944	0.0	9
524	14	84	771.0782104868019	0.0	10
525	14	84	771.0782104868019	0.0	10
526	14	84	771.0782104868019	0.0	10
527	14	84	771.0782104868019	0.0	10
528	27	71	1044.6173157302032	0.0	10
529	126	-39	2463.4519471905996	0.0	9
530	126	-50	3417.1128419472016	0.0	8
531	126	-39	2017.2346314603978	0.0	9
532	126	-39	2526.034631460397	0.0	9
533	29	69	1276.4955262170042	0.0	10
534	126	-39	2484.312841947201	0.0	9
535	126	-39	2419.0173157301942	0.0	9
536	20	78	850.895526217005	0.0	10
537	13	85	783.6955262170048	0.0	10
538	14	84	707.817315730203	0.0	10
539	126	-39	1973.478210486794	0.0	9
540	126	-39	2313.356420973595	0.0	9
541	126	-39	2037.4173157301948	0.0	9
542	13	85	740.6173157302029	0.0	10
543	126	-39	2378.6519471906	0.0	9
544	115	-17	2868.0083681642077	0.0	10
545	74	24	2090.773736703805	0.0	10
546	126	-39	3715.947473407606	0.0	9
547	13	85	740.6173157302029	0.0	10
548	14	84	814.1564209736039	0.0	10
549	126	-39	3735.451947190602	0.0	9
550	17	81	799.878210486802	0.0	10
551	84	14	3945.356420973604	0.0	10
552	14	84	814.1564209736039	0.0	10
553	14	84	750.2173157302029	0.0	10
554	12	86	710.1564209736039	0.0	10
555	126	-39	5282.03463146041	0.0	9
556	13	85	783.6955262170048	0.0	10
557	18	80	874.7737367038069	0.0	10
558	38	60	1385.1128419472075	0.0	10
559	32	66	1263.5737367038068	0.0	10
560	33	65	1188.373736703807	0.0	10
561	18	80	1001.2955262170049	0.0	10
562	11	87	679.6955262170048	0.0	10
563	17	81	906.8955262170049	0.0	10
564	37	61	1778.6519471906076	0.0	10
565	44	54	1802.773736703806	0.0	10
566	12	86	710.1564209736039	0.0	10
567	31	67	1253.973736703807	0.0	10
568	23	75	1134.0955262170048	0.0	10
569	39	59	1521.2346314604056	0.0	10
570	15	83	823.7564209736039	0.0	10
571	14	84	814.1564209736039	0.0	10
572	47	51	1513.2346314604056	0.0	10
573	40	58	1361.234631460405	0.0	10
574	22	76	1103.634631460406	0.0	10
575	126	-39	6130.712841947212	0.0	9
576	126	-39	2017.2346314603978	0.0	9
577	13	85	783.6955262170048	0.0	10
578	11	87	679.6955262170048	0.0	10
579	11	87	679.6955262170048	0.0	10
580	12	86	753.2346314604058	0.0	10
581	15	83	782.0346314604059	0.0	10
582	13	85	762.8346314604058	0.0	10
583	13	85	783.6955262170048	0.0	10
584	13	85	783.6955262170048	0.0	10
585	13	85	762.8346314604058	0.0	10
586	126	-39	1932.4346314603977	0.0	9
587	18	80	831.695526217005	0.0	10
588	13	85	783.6955262170048	0.0	10
589	14	84	750.2173157302029	0.0	10
590	25	73	1302.0346314604058	0.0	10
591	14	84	793.2955262170049	0.0	10
592	20	78	1127.5128419472078	0.0	10
593	21	77	1137.1128419472077	0.0	10
594	126	-39	2398.156420973596	0.0	9
595	126	-39	1761.478210486796	0.0	9
596	14	84	857.2346314604058	0.0	10
597	126	-39	2674.7737367037985	0.0	9
598	117	-19	1823.8173157301978	0.0	10
599	46	52	1587.078210486802	0.0	10
600	14	84	814.1564209736039	0.0	10
601	15	83	844.6173157302029	0.0	10
602	15	83	780.678210486802	0.0	10
603	14	84	771.0782104868019	0.0	10
604	31	67	1401.3564209736037	0.0	10
605	55	43	1567.8173157301999	0.0	10
606	15	83	844.6173157302029	0.0	10
607	14	84	814.1564209736039	0.0	10
608	13	85	740.6173157302029	0.0	10
609	13	85	740.6173157302029	0.0	10
610	13	85	740.6173157302029	0.0	10
611	13	85	740.6173157302029	0.0	10
612	13	85	740.6173157302029	0.0	10
613	13	85	740.6173157302029	0.0	10
614	14	84	814.1564209736039	0.0	10
615	18	80	1022.1564209736039	0.0	10
616	22	76	1316.3128419472075	0.0	10
617	20	78	957.9128419472079	0.0	10
618	47	51	1492.3737367038043	0.0	10
619	12	86	753.2346314604058	0.0	10
620	12	86	753.2346314604058	0.0	10
621	12	86	753.2346314604058	0.0	10
622	13	85	783.6955262170048	0.0	10
623	17	81	1034.7737367038067	0.0	10
624	12	86	753.2346314604058	0.0	10
625	12	86	753.2346314604058	0.0	10
