Episode_Group	numSteps	Reward	Energy
1	64.0	-10.1	3064.6803037667846
2	64.0	-10.1	3075.300650081388
3	64.0	-9.88	3073.5775216619163
4	64.0	-10.1	3076.552303766784
5	64.0	-9.44	3088.0342142911236
6	64.0	-9.66	3087.6034321862558
7	64.0	-10.1	3084.6693427105956
8	64.0	-10.32	3093.620817444672
9	64.0	-9.22	3094.024471130068
10	64.0	-9.44	3087.6034321862553
11	64.0	-9.22	3101.588650081387
12	64.0	-10.1	3097.348650081387
13	64.0	-10.54	3102.450214291123
14	64.0	-10.54	3111.374560605727
15	64.0	-10.98	3119.464471130067
16	64.0	-11.86	3116.5032532349355
17	64.0	-12.08	3113.9728174446714
18	64.0	-11.86	3118.6978563884836
19	64.0	-11.2	3140.4100237517678
20	64.0	-10.76	3145.0808058566354
21	64.0	-10.32	3151.420459542032
22	64.0	-11.2	3129.7082921787473
23	64.0	-11.64	3119.4915995495394
24	64.0	-11.64	3127.608638493352
25	64.0	-11.42	3122.95142059822
26	64.0	-11.64	3121.241856388484
27	64.0	-11.42	3116.9475995495395
28	64.0	-10.98	3108.8576890251993
29	64.0	-10.32	3116.5032532349355
30	64.0	-10.32	3113.1383816544076
31	64.0	-10.54	3105.8557785008597
32	64.0	-10.54	3106.6902142911235
33	64.0	-10.1	3104.1733427105955
34	64.0	-9.22	3112.2632532349357
35	64.0	-9.0	3105.4656890252
36	64.0	-8.56	3106.7580353398043
37	64.0	-8.56	3114.888638493352
38	64.0	-8.78	3117.486895332296
39	64.0	-8.56	3122.1983700663723
40	64.0	-8.56	3113.704805856637
41	64.0	-8.78	3114.566370066373
42	64.0	-9.0	3116.6795879615047
43	64.0	-9.22	3124.810191115053
44	64.0	-9.0	3136.7500121637336
45	64.0	-9.44	3118.402716380978
46	64.0	-8.78	3121.323241646902
47	64.0	-8.12	3123.463587961506
48	64.0	-7.68	3142.187409010186
49	64.0	-7.9	3147.316101639394
50	64.0	-7.46	3152.404101639394
51	64.0	-8.12	3153.710012163734
52	64.0	-7.9	3146.0508837442626
53	64.0	-8.34	3149.8736658491307
54	64.0	-7.9	3159.228794268603
55	64.0	-7.9	3168.126012163735
56	64.0	-8.34	3159.618883744263
57	64.0	-7.9	3150.2230626955825
58	64.0	-7.02	3154.4494984858466
59	64.0	-7.68	3146.3595879615063
60	64.0	-7.9	3147.234716380978
61	64.0	-8.34	3152.3905374296587
62	64.0	-7.9	3156.2404479539987
63	64.0	-7.46	3152.4176658491306
64	64.0	-7.46	3142.2145374296583
65	64.0	-7.24	3137.08584480045
66	64.0	-6.8	3132.818716380978
67	64.0	-7.02	3137.1129732199224
68	64.0	-6.8	3141.78375532479
69	64.0	-6.8	3143.4933195345266
70	64.0	-6.58	3148.5677553247906
71	64.0	-7.02	3143.8969732199225
72	64.0	-6.58	3149.4021911150544
73	64.0	-5.92	3149.3886269053182
74	64.0	-5.92	3139.158370066374
75	64.0	-6.14	3139.9792416469018
76	64.0	-5.7	3139.117677437165
77	64.0	-5.7	3144.6771521712417
78	64.0	-5.7	3145.1214984858457
79	64.0	-5.7	3152.376973219922
80	64.0	-5.04	3169.3912300588654
81	64.0	-4.82	3167.3187047929414
82	64.0	-3.94	3173.308961631886
83	64.0	-3.94	3183.0677437367544
84	64.0	-4.6	3187.321307946491
85	64.0	-4.16	3186.4326153172824
86	64.0	-4.16	3182.1383584783384
87	64.0	-3.5	3193.6202690026785
88	64.0	-2.84	3184.6687942686026
89	64.0	-2.62	3184.6552300588664
90	64.0	-2.84	3187.1992300588663
91	64.0	-3.28	3187.239922688074
92	64.0	-3.72	3180.455922688074
93	64.0	-3.72	3174.07557637347
94	64.0	-4.16	3172.7832300588657
95	64.0	-4.38	3164.2896658491295
96	64.0	-4.82	3163.5094868978103
97	64.0	-5.26	3148.6491405832057
98	64.0	-5.7	3143.54757637347
99	64.0	-5.7	3134.1924479539975
100	64.0	-6.58	3123.572101639393
101	64.0	-5.7	3128.646537429657
102	64.0	-5.7	3138.8903584783375
103	64.0	-5.48	3132.550704792941
104	64.0	-4.82	3126.1974868978086
105	64.0	-4.38	3116.438704792941
106	64.0	-4.16	3120.2479226880732
107	64.0	-4.16	3130.0745258416214
108	64.0	-3.94	3124.9729616318855
109	64.0	-3.5	3124.1113974221494
110	64.0	-2.62	3131.7840900513575
111	64.0	-2.18	3134.758872156226
112	64.0	-2.4	3127.0726153172814
113	64.0	-2.62	3127.059051107545
114	64.0	-2.4	3141.52930794649
115	64.0	-2.18	3142.404436365962
116	64.0	-1.96	3156.47103951951
117	64.0	-1.96	3163.2550395195103
118	64.0	-1.3	3163.6858216243786
119	64.0	-1.74	3159.8630395195105
120	64.0	-1.96	3153.092603729246
121	64.0	-1.52	3161.1418216243783
122	64.0	-1.3	3158.1534753097744
123	64.0	-1.96	3158.1670395195106
124	64.0	-1.3	3160.7517321487185
125	64.0	-0.86	3170.9684247779264
126	64.0	-1.3	3174.3739889876624
127	64.0	-1.08	3170.981988987663
128	64.0	-0.42	3184.1870279314753
