EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	54	152	551000.4106726414	0.0	19	[(833, 833), (0, 0), (833, 0), (0, 833), (0, 1666), (0, 833), (833, 1666), (0, 2499), (0, 1666), (833, 833), (1666, 1666), (2499, 2499), (2499, 3332), (3332, 3332), (4165, 4165), (3332, 3332), (4165, 4165), (4165, 3332), (3332, 2499), (2499, 3332), (3332, 2499), (4165, 1666), (4165, 833), (3332, 1666), (3332, 833), (4165, 0), (3332, 833), (3332, 1666), (3332, 2499), (2499, 1666), (1666, 2499), (2499, 3332), (1666, 3332), (1666, 2499), (2499, 3332), (3332, 3332), (4165, 3332), (3332, 3332), (3332, 4165)]
2	54	149	502224.6546718267	0.0	19	[(833, 833), (833, 0), (833, 833), (1666, 0), (2499, 0), (3332, 833), (4165, 1666), (3332, 833), (4165, 1666), (3332, 833), (2499, 0), (2499, 833), (3332, 833), (2499, 0), (3332, 833), (2499, 0), (3332, 833), (2499, 1666), (1666, 833), (2499, 0), (2499, 833), (1666, 0), (2499, 0), (2499, 833), (3332, 1666), (2499, 1666), (2499, 2499), (3332, 3332), (4165, 3332), (3332, 4165), (2499, 4165), (1666, 4165), (2499, 4165), (1666, 4165), (2499, 4165)]
3	54	65	351270.6306685679	0.0	11	[(0, 833), (0, 0), (833, 0), (0, 0), (833, 0), (1666, 0), (2499, 833), (3332, 0), (2499, 0), (1666, 0), (833, 833), (0, 0), (833, 0), (0, 0), (0, 833), (0, 0), (0, 833), (0, 1666), (833, 833), (0, 0), (833, 0), (0, 833), (0, 0), (833, 0)]
4	54	66	471249.73600488843	0.0	11	[(833, 833), (0, 0), (833, 833), (833, 1666), (833, 2499), (0, 1666), (0, 2499), (833, 1666), (1666, 1666), (833, 2499), (0, 3332), (0, 2499), (833, 1666), (833, 2499), (0, 2499), (833, 1666), (0, 2499), (833, 1666), (0, 1666), (833, 833), (0, 833), (0, 1666), (0, 2499), (0, 1666), (833, 1666), (833, 2499), (0, 1666), (833, 2499), (1666, 1666), (833, 2499), (1666, 3332), (833, 4165)]
5	54	98	453590.1360048885	0.0	14	[(833, 833), (833, 1666), (1666, 2499), (833, 2499), (0, 3332), (0, 2499), (0, 3332), (833, 3332), (0, 4165), (833, 3332), (0, 3332), (0, 2499), (833, 1666), (1666, 833), (833, 833), (0, 0), (833, 0), (1666, 833), (833, 1666), (1666, 833), (833, 1666), (833, 833), (1666, 0), (833, 833), (1666, 0), (2499, 0), (1666, 833), (2499, 0), (2499, 833), (1666, 1666)]
6	54	130	497739.1360048885	0.0	17	[(833, 833), (833, 0), (0, 0), (833, 833), (833, 1666), (1666, 1666), (1666, 2499), (2499, 1666), (1666, 2499), (2499, 1666), (3332, 2499), (4165, 3332), (3332, 2499), (2499, 1666), (3332, 2499), (2499, 2499), (3332, 3332), (3332, 2499), (4165, 3332), (4165, 2499), (3332, 3332), (4165, 3332), (4165, 2499), (4165, 1666), (3332, 1666), (2499, 2499), (3332, 2499), (2499, 2499), (1666, 3332), (1666, 4165), (1666, 3332), (833, 4165), (0, 4165), (833, 3332), (0, 2499)]
7	54	115	470967.2613371355	0.0	16	[(0, 833), (0, 1666), (0, 2499), (833, 2499), (1666, 3332), (2499, 3332), (1666, 4165), (2499, 4165), (3332, 3332), (2499, 4165), (1666, 3332), (2499, 4165), (2499, 3332), (1666, 2499), (2499, 1666), (1666, 2499), (1666, 3332), (1666, 4165), (2499, 3332), (3332, 3332), (4165, 2499), (4165, 3332), (3332, 4165), (2499, 3332), (3332, 3332), (4165, 3332), (3332, 2499), (4165, 2499), (4165, 3332), (4165, 4165), (3332, 4165), (4165, 4165), (4165, 3332), (4165, 2499)]
8	54	119	479797.0613371355	0.0	16	[(833, 833), (0, 833), (833, 0), (833, 833), (1666, 833), (833, 833), (0, 1666), (833, 1666), (1666, 833), (1666, 0), (833, 833), (1666, 833), (2499, 833), (1666, 833), (833, 1666), (833, 833), (0, 833), (0, 0), (833, 0), (1666, 833), (2499, 1666), (2499, 2499), (1666, 1666), (2499, 1666), (1666, 833), (833, 1666), (833, 2499), (1666, 1666), (833, 1666), (0, 833), (0, 1666), (833, 1666), (833, 2499), (0, 3332), (0, 4165)]
9	54	161	519743.01733795024	0.0	20	[(833, 0), (0, 0), (833, 833), (1666, 833), (833, 833), (1666, 1666), (2499, 833), (2499, 1666), (3332, 2499), (2499, 3332), (1666, 4165), (1666, 3332), (1666, 2499), (1666, 3332), (2499, 2499), (1666, 1666), (2499, 2499), (1666, 2499), (2499, 2499), (1666, 3332), (1666, 2499), (2499, 1666), (1666, 833), (833, 1666), (1666, 2499), (1666, 3332), (1666, 2499), (2499, 1666), (1666, 1666), (833, 1666), (833, 833), (1666, 0), (2499, 0), (1666, 833), (833, 833), (833, 0), (833, 833), (833, 0)]
10	54	192	577489.8106726415	0.0	23	[(833, 833), (0, 833), (833, 1666), (1666, 2499), (2499, 3332), (1666, 2499), (1666, 1666), (2499, 1666), (3332, 2499), (3332, 3332), (3332, 2499), (2499, 3332), (2499, 4165), (3332, 4165), (2499, 3332), (1666, 3332), (2499, 2499), (3332, 3332), (2499, 3332), (1666, 3332), (2499, 4165), (1666, 4165), (1666, 3332), (2499, 3332), (1666, 2499), (1666, 3332), (833, 4165), (833, 3332), (833, 4165), (0, 3332), (833, 2499), (1666, 1666), (1666, 833), (833, 833), (0, 0), (833, 833), (0, 1666), (0, 2499), (833, 3332), (0, 2499), (0, 1666), (833, 833)]
