Episode_Group	numSteps	Reward	Energy
1	54.0	138.12	500112.6138711749
2	54.0	138.28	500202.32424451364
3	54.0	137.9	499400.58037781983
4	54.0	139.38	502414.01136452996
5	54.0	140.86	503204.4562445136
6	54.0	141.94	504437.80349783605
7	54.0	143.82	504356.5673645299
8	54.0	144.68	506843.03509791754
9	54.0	146.4	508533.40845796646
10	54.0	146.4	508623.1188313052
11	54.0	146.44	508625.9435779828
12	54.0	147.9	512357.05755140295
13	54.0	148.16	513427.9325381131
14	54.0	148.36	515202.36677814566
15	54.0	147.12	514678.2282715007
16	54.0	146.86	514050.2556581293
17	54.0	146.42	512721.548538113
18	54.0	146.86	514857.6490181782
19	54.0	147.06	516273.2417648557
20	54.0	147.64	519376.38312490453
21	54.0	149.56	519993.0567515658
22	54.0	149.34	520259.36312490446
23	54.0	149.94	522737.35661825957
24	54.0	151.26	524245.48448495334
25	54.0	152.12	523628.81085829216
26	54.0	152.72	525218.1748582921
27	54.0	151.46	521501.18461825955
28	54.0	150.34	518933.4807515657
29	54.0	149.92	520270.6621116146
30	54.0	149.88	518762.53424492077
31	54.0	149.86	519906.1711249045
32	54.0	151.34	519993.0567515657
33	54.0	151.78	520079.94237822696
34	54.0	151.58	522468.2254982433
35	54.0	151.8	524682.7373649371
36	54.0	152.04	524595.8517382758
37	54.0	152.02	525128.4644849533
38	54.0	153.08	526098.3301116144
39	54.0	152.9	523438.0911249044
40	54.0	153.58	523533.4509915982
41	54.0	154.04	523093.373364937
42	54.0	153.68	523628.81085829204
43	54.0	153.08	525935.8578450021
44	54.0	153.3	528685.807205051
45	54.0	152.84	527889.7128317122
46	54.0	152.5	528514.8606984061
47	54.0	152.76	530813.4334450837
48	54.0	153.6	530457.4166984061
49	54.0	154.64	530723.7230717449
50	54.0	155.5	531699.2381917612
51	54.0	155.56	533560.558058455
52	54.0	155.78	532402.7974450836
53	54.0	156.8	534533.2484317938
54	54.0	157.9	534886.4404317937
55	54.0	158.74	534886.4404317937
56	54.0	158.7	535334.9922984876
57	54.0	157.64	536747.7602984876
58	54.0	157.26	535419.0531784713
59	54.0	156.2	533470.8476851162
60	54.0	156.64	533383.962058455
61	54.0	156.16	532142.1405650999
62	54.0	156.8	530277.9959517285
63	54.0	157.24	529476.2520850347
64	54.0	157.02	531250.6863250673
65	54.0	158.18	531612.3525651
66	54.0	158.68	533482.1466718264
67	54.0	157.66	532144.9653117774
68	54.0	157.48	532397.1479517285
69	54.0	158.36	531959.8950717448
70	54.0	158.66	529658.4975783898
71	54.0	157.44	530191.1103250673
72	54.0	156.84	528775.5175783898
73	54.0	156.04	526123.7528317122
74	54.0	154.56	525591.1400850347
75	54.0	154.16	526566.655205051
76	54.0	154.14	523923.364698406
77	54.0	155.64	527822.6004317937
78	54.0	157.14	528531.8091784712
79	54.0	159.48	530303.4186718264
80	54.0	159.14	533504.7446452465
81	54.0	158.76	531385.5926452467
82	54.0	156.84	532804.0101386016
83	54.0	156.54	534043.0068852792
84	54.0	157.16	532722.7740052955
85	54.0	156.96	531747.2588852792
86	54.0	156.74	532100.4508852791
87	54.0	157.42	533434.8074986505
88	54.0	158.94	533350.7466186668
89	54.0	160.04	533619.877738683
90	54.0	159.18	533350.7466186668
91	54.0	160.0	532902.1947519729
92	54.0	159.32	531486.6020052953
93	54.0	159.54	533000.3793653443
94	54.0	158.9	528478.8205119404
95	54.0	159.78	531139.0594986505
96	54.0	160.56	531402.5411253116
97	54.0	158.2	528128.4532586178
98	54.0	158.84	529821.6513653443
99	54.0	159.86	528218.1636319567
100	54.0	157.72	526623.1501386017
101	54.0	159.42	526710.0357652629
102	54.0	158.6	526981.9916319567
103	54.0	157.74	525297.2677652629
104	54.0	156.4	524590.8837652629
105	54.0	156.04	524952.5500052955
106	54.0	155.4	523977.03488527914
107	54.0	154.56	522283.83677855274
108	54.0	155.66	522813.6247785528
109	54.0	156.26	523693.7800318753
110	54.0	156.0	525465.3895252304
111	54.0	155.94	527763.962271908
112	54.0	155.56	529709.3430185855
113	54.0	155.9	530861.4541386018
114	54.0	156.08	529524.272778553
115	54.0	156.66	529969.9998985692
116	54.0	157.52	527127.515418504
117	54.0	159.22	527842.3736585366
118	54.0	160.26	528215.3388852793
119	54.0	159.12	524400.1640318753
120	54.0	159.52	526348.3695252304
121	54.0	160.74	527323.8846452467
122	54.0	161.78	526788.4471518917
123	54.0	163.48	528383.4606452468
124	54.0	164.48	528105.8552851978
125	54.0	164.74	527573.2425385204
126	54.0	165.26	528187.091418504
127	54.0	164.58	528181.441925149
128	54.0	164.12	528004.8459251489
129	54.0	163.04	527116.2164317939
130	54.0	162.98	525428.6678184225
131	54.0	164.48	527020.8565651
132	54.0	166.14	526132.227071745
133	54.0	164.74	524980.1159517287
134	54.0	164.94	526743.2512050512
135	54.0	165.12	526390.0592050512
136	54.0	164.66	526221.9374450839
137	54.0	165.04	525417.3688317125
138	54.0	165.04	525232.2985916799
139	54.0	163.34	526740.4264583738
140	54.0	164.34	527090.7937116962
141	54.0	164.16	528161.6686984063
142	54.0	165.04	530280.8206984063
143	54.0	165.66	527348.6258450024
144	54.0	166.3	530269.5217116962
145	54.0	166.48	528845.454724986
146	54.0	166.32	528761.3938450024
147	54.0	167.64	529832.2688317124
148	54.0	167.62	529734.084218341
149	54.0	167.64	530443.2929650185
150	54.0	169.38	529728.4347249859
151	54.0	169.32	529103.2868582921
152	54.0	170.12	528295.8934982433
153	54.0	170.78	528727.496884872
154	54.0	171.44	530591.6414982433
155	54.0	171.14	529433.8808848719
156	54.0	172.86	530496.2816315495
157	54.0	174.52	531298.0254982434
158	54.0	174.74	531031.7191249046
159	54.0	174.06	529526.4160048882
160	54.0	174.56	528284.5945115332
161	54.0	174.64	525007.6818981618
162	54.0	174.84	523505.20352482307
163	54.0	175.34	524391.0082715006
164	54.0	176.16	524738.5507781456
165	54.0	175.82	524996.3829114517
166	54.0	173.6	524825.4364048068
167	54.0	172.74	525885.0124048068
168	54.0	172.14	524359.9360580478
169	54.0	173.64	526395.0271780642
170	54.0	172.34	524090.80493803165
171	54.0	171.48	522666.7379513215
172	54.0	170.88	524617.768191354
173	54.0	171.08	525943.6505646928
174	54.0	171.94	524713.1280580478
175	54.0	172.6	524530.8825646928
176	54.0	172.34	526481.9128047253
177	54.0	173.02	527905.9797914354
178	54.0	172.62	529677.5892847906
179	54.0	171.82	529144.976538113
180	54.0	172.4	528965.5557914354
181	54.0	172.36	529231.8621647742
182	54.0	172.84	531446.3740314681
183	54.0	174.1	532245.2931514843
184	54.0	174.34	530470.8589114517
185	54.0	174.66	531000.6469114517
