Episode_Group	numSteps	Reward	Energy
1	54.0	3.82	493284.00803106074
2	54.0	3.82	489208.17629767314
3	54.0	4.04	492846.7551510771
4	54.0	3.6	492664.50965772214
5	54.0	3.8	492398.20328438334
6	54.0	4.02	491784.35440439964
7	53.98	5.28	492453.57915107714
8	53.98	5.94	491825.60653770575
9	53.98	5.08	490578.1355509956
10	53.98	5.5	489863.277310963
11	53.98	5.5	489779.2164309793
12	53.98	5.06	487570.3540576406
13	53.98	5.72	486594.8389376243
14	53.98	6.16	488192.6771776569
15	53.98	7.24	490673.49541768944
16	53.98	8.08	491990.9035509956
17	53.98	8.08	492969.2434176894
18	53.98	7.64	492974.89291104453
19	53.98	9.18	495458.5358977546
20	53.98	9.38	496798.54200448096
21	53.98	10.04	499371.8953645298
22	53.98	10.04	497062.02363114216
23	53.98	9.38	497504.9260044809
24	53.98	9.6	499719.4378711748
25	53.98	9.84	501925.475497836
26	53.98	10.06	503080.4113645298
27	53.98	10.52	502903.8153645298
28	53.98	10.74	504409.1184845461
29	53.98	11.4	506794.5768578849
30	53.98	11.18	507677.5568578849
31	53.98	11.4	509003.43923122366
32	53.98	12.5	509533.2272312237
33	53.98	12.94	509791.0593645299
34	53.98	13.18	508908.0793645299
35	53.98	12.76	504650.0021377872
36	53.98	13.44	503405.3558977546
37	53.98	14.1	502082.29827109334
38	53.98	15.2	502001.0621377872
39	53.98	14.96	501204.96776444843
40	53.98	15.8	500848.9510177709
41	53.98	16.48	501824.46613778727
42	53.98	16.9	502528.02539110975
43	53.98	16.72	502970.9277644485
44	53.98	17.6	504476.2308844648
45	53.98	18.02	503234.4093911098
46	53.98	17.8	504751.01149783627
47	53.98	17.58	505995.6577378688
48	53.98	16.9	505460.22024451377
49	53.98	17.56	503868.0314978362
50	53.98	17.56	502275.8427511587
51	53.98	17.16	501827.2908844649
52	53.98	16.72	503071.93712449743
53	53.98	16.94	499430.5335244159
54	53.98	17.8	498816.6846444322
55	53.98	17.8	497308.5567777384
56	53.98	17.8	498365.3080310609
57	54.0	17.42	500894.58451112616
58	54.0	16.76	500280.7356311425
59	54.0	17.42	500900.23400448123
60	54.0	17.0	499125.7997644486
61	54.0	17.22	499568.7021377874
62	54.0	17.68	502489.5980044812
63	54.0	18.12	504261.2074978362
64	54.0	17.9	503989.2516311424
65	54.0	17.92	504698.46037782
66	54.0	17.96	505948.75611120765
67	54.0	18.6	505416.14336453023
68	54.0	19.26	507459.7087245791
69	54.0	18.6	505598.3888578852
70	54.0	18.4	505152.6617378689
71	54.0	18.8	505065.7761112077
72	54.0	18.8	508079.20709791785
73	54.0	18.8	508788.41584459535
74	54.0	18.8	507016.80635124026
75	54.0	18.78	506313.2470979178
76	54.0	19.44	506136.6510979179
77	54.0	19.66	507013.9816045628
78	54.0	19.88	507546.59435124026
79	54.0	20.32	508261.4525912728
80	54.0	20.54	506941.2197112891
81	53.92	21.7	507496.1419513217
82	53.92	21.5	508917.3841913542
83	53.62	22.66	508233.56331137056
84	53.62	22.22	512135.62379143573
85	53.62	23.32	516472.11240480706
86	53.62	23.32	516912.1900314683
87	53.62	23.54	519045.4657648559
88	53.62	23.54	520730.1896315497
89	53.62	23.78	521433.7488848722
90	53.62	23.8	521792.59037822724
91	53.62	23.8	523034.41187158227
92	53.62	24.48	522782.22923163115
93	53.62	24.92	522162.7308582924
94	53.62	24.26	524110.93635164737
95	53.62	24.06	525265.8722183411
96	53.62	24.5	520643.3040048883
97	53.62	24.5	520646.1287515659
98	53.62	25.38	519325.8958715822
99	53.62	25.16	521450.6973649373
100	53.62	25.38	525972.2562183412
101	53.62	25.82	525795.6602183412
102	53.62	25.82	526325.4482183412
103	53.62	25.82	528108.3566984064
104	53.62	25.84	531034.9020584553
105	53.62	26.08	532094.4780584552
106	53.62	26.7	533782.0266718265
107	53.62	26.7	531648.7509384388
108	53.62	27.8	533240.9396851163
109	53.62	27.36	534300.5156851164
110	53.62	27.36	538645.4785385203
111	53.62	27.58	537840.9099251488
112	53.62	27.78	535973.9405651
113	53.62	27.78	534376.1023250674
114	53.62	28.22	533493.1223250674
115	53.62	28.2	532876.4486984061
116	53.62	28.18	531102.0144583735
117	53.62	27.54	530398.4552050511
118	53.62	26.88	527382.1994716636
119	53.62	27.1	527208.4282183411
120	53.62	27.54	527387.8489650186
121	53.62	28.02	526675.8154716636
122	53.62	27.36	526235.7378450023
123	53.62	28.0	525349.9330983248
124	53.62	27.78	529428.58957839
125	53.34	28.74	527540.1064583737
126	53.34	28.5	528420.261711696
127	53.34	28.28	526214.2240850349
128	53.34	28.28	524610.7363516473
129	53.34	28.28	522926.0124849535
130	53.34	28.28	523893.05336493725
131	53.42	27.56	525558.2924849535
132	53.42	26.68	521922.53837822715
133	53.72	25.5	520930.10963154957
134	53.72	25.7	518003.5642715007
135	53.72	25.26	516318.84040480695
136	53.72	25.26	517300.0050181783
137	53.72	24.82	515433.0356581294
138	53.72	24.36	513838.0221647743
139	53.72	24.8	511895.4661647743
140	53.72	24.58	510914.30155140295
141	53.72	24.58	509145.51680472546
142	53.72	24.36	508427.8338180153
143	53.66	25.08	509902.89531137043
144	53.66	25.52	505824.2388313053
145	53.66	25.96	503438.78045796655
146	53.66	25.96	503988.34168470924
147	53.66	25.52	502216.7321913542
148	53.66	25.1	499819.97483130527
149	53.66	24.66	497437.34120464406
150	53.66	24.22	495662.9069646115
151	53.66	24.0	494779.9269646115
152	53.66	24.66	496655.3705646929
153	53.66	24.88	497269.21944467665
154	53.66	24.88	494432.38445796655
155	53.66	25.1	495318.1892046441
156	53.66	24.92	493100.85259127273
157	53.66	24.7	494693.04133795033
158	53.08	25.7	490175.3565912728
159	53.08	26.36	487871.13435124024
160	53.08	26.58	485205.2458711751
161	53.08	26.76	483879.36349783634
162	53.08	26.34	481056.65224451385
163	53.08	26.32	481067.951231224
164	53.08	25.86	479293.5169911914
165	53.08	25.22	474951.378884465
166	53.08	25.66	475744.6485111263
167	53.08	25.88	476439.7335244161
168	53.08	26.54	478833.6661377874
169	53.08	25.88	477673.08077773853
170	53.08	25.44	474485.8785377059
171	53.08	24.56	474225.2216577222
172	53.08	25.22	472277.0161643672
173	53.08	25.22	473434.77677773853
174	53.08	25.0	469532.7162976734
175	53.36	23.62	467791.0948043184
176	53.36	23.4	468326.53229767346
177	53.36	23.62	470448.509044351
178	53.36	23.84	471169.0167777386
179	53.36	24.06	470543.86891104473
180	53.36	23.84	470002.7819243346
181	53.36	23.62	465654.9943242531
182	53.36	24.28	467690.08544426947
183	53.36	24.74	470975.47229767346
184	53.36	25.2	469823.3611776571
185	53.36	25.2	469388.9330443509
186	53.36	25.64	468682.54904435086
187	53.36	25.86	467177.2459243346
188	53.36	26.54	466114.8451776571
189	53.36	26.54	463454.60619094694
190	53.36	26.34	462751.04693762446
191	53.36	26.54	459199.35371088167
192	53.36	26.76	458579.85533754295
193	53.42	26.04	455596.66597749403
194	53.42	26.04	454094.1876041552
195	53.42	25.38	454710.86123081646
196	53.42	24.92	454080.0638707676
197	53.42	25.58	455411.59573746147
198	53.42	26.02	456207.6901108002
199	53.42	26.9	455400.29675075127
200	53.42	27.12	452126.2088840575
201	53.42	27.34	450444.30976404116
202	53.42	27.1	446889.791790621
203	53.42	27.32	443172.8015505884
204	53.42	27.1	442197.28643057204
205	53.42	26.88	438651.2426971844
206	53.42	27.1	438028.91957716807
207	53.42	27.1	434491.350083813
208	54.0	25.88	438479.24683049053
209	54.0	25.66	438476.422083813
210	54.0	25.88	437156.18920382933
211	54.0	24.82	433705.5053371355
212	54.0	24.82	436006.90283049055
213	54.0	24.4	432368.3239770865
214	54.0	24.86	435028.5629637966
215	54.0	25.52	440791.94331055565
216	54.0	24.88	437694.4514438618
217	53.62	26.14	435521.9874438618
218	53.62	25.92	435252.8563238455
219	53.62	26.58	434630.53320382925
220	53.62	26.8	436043.3012038292
221	53.62	26.8	433290.5270971028
