Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
15	54	53	95	45	45	162435	373556.9866693828	416999.8000000002	10	9	9
15	54	53	94	45	44	162435	369212.705336321	416999.8000000002	10	9	9
16	54	53	94	45	33	173264	369212.705336321	416999.8000000002	10	9	8
15	54	53	95	45	33	162435	373556.9866693828	416999.8000000002	10	9	8
15	45	53	95	65	11	162435	377850.5426701974	416999.8000000002	10	10	6
15	54	53	94	44	33	162435	369212.705336321	416999.8000000002	10	9	8
15	54	53	95	45	22	162435	373556.9866693828	416999.8000000002	10	9	7
15	54	53	94	45	33	162435	373556.9866693828	416999.8000000002	10	9	8
18	54	53	92	44	34	194922	369212.705336321	416999.8000000002	10	9	8
14	54	53	95	45	23	151606	369212.705336321	416999.8000000002	10	9	7
