Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
13	38	23	95	60	83	101400	294084.71837067243	187200.0	10	9	10
12	12	25	96	96	83	93600	96932.59735953042	202800.0	10	10	10
17	15	33	91	94	74	132600	120332.59735953042	265200.0	10	10	10
13	38	37	95	60	49	101400	287622.9867976521	296400.0	10	9	8
12	12	37	95	95	49	93600	96932.59735953042	296400.0	10	10	8
13	38	37	95	60	61	101400	294084.71837067243	296400.0	10	9	9
13	38	33	96	71	76	93600	294084.71837067243	265200.0	10	10	10
13	38	34	95	60	74	101400	294084.71837067243	273000.0	10	9	10
13	24	37	95	85	59	101400	210019.52365161155	296400.0	10	10	9
10	12	37	97	96	61	78000	96932.59735953042	296400.0	10	10	9
