Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
15	54	53	94	33	33	780	1750.7128419472049	2002.3999999999983	10	8	8
15	25	53	94	84	44	780	1472.3128419472075	2002.3999999999983	10	10	9
14	54	53	94	43	33	728	1686.7737367038042	2002.3999999999983	10	9	8
14	25	53	95	84	44	728	1323.5737367038066	2002.3999999999983	10	10	9
14	54	30	95	33	78	728	1750.7128419472049	1612.0	10	8	10
15	54	53	93	33	44	780	1750.7128419472049	2002.3999999999983	10	8	9
15	54	53	93	43	44	780	1814.651947190606	2002.3999999999983	10	9	9
15	26	32	93	81	74	780	1397.1128419472075	1716.0	10	10	10
14	54	53	95	33	44	728	1750.7128419472049	2002.3999999999983	10	8	9
15	54	31	93	33	76	780	1750.7128419472049	1664.0	10	8	10
14	25	30	95	84	77	728	1323.5737367038066	1612.0	10	10	10
16	38	53	93	71	33	832	1661.0519471906075	2002.3999999999983	10	10	8
15	54	31	93	33	76	780	1750.7128419472049	1664.0	10	8	10
14	54	53	95	22	44	728	1878.5910524340075	2002.3999999999983	10	7	9
15	54	31	93	33	76	780	1750.7128419472049	1664.0	10	8	10
14	54	53	94	42	43	728	1814.651947190606	2002.3999999999983	10	9	9
15	54	32	94	33	75	780	1878.5910524340075	1716.0	10	8	10
15	54	53	93	44	44	780	1750.7128419472049	2002.3999999999983	10	9	9
15	26	53	92	82	44	780	1481.9128419472074	2002.3999999999983	10	10	9
15	54	53	93	33	44	780	1750.7128419472049	2002.3999999999983	10	8	9
15	54	32	94	44	76	780	2048.1910524340074	1716.0	10	9	10
15	54	53	94	44	44	780	2048.1910524340074	2002.3999999999983	10	9	9
15	54	53	94	44	44	780	2048.1910524340074	2002.3999999999983	10	9	9
15	54	53	94	33	22	780	1750.7128419472049	2002.3999999999983	10	8	7
15	54	53	93	43	33	780	1814.651947190606	2002.3999999999983	10	9	8
15	25	53	93	83	33	780	1323.5737367038066	2002.3999999999983	10	10	8
15	54	32	93	33	76	780	1750.7128419472049	1716.0	10	8	10
16	54	53	93	55	33	832	2048.1910524340074	2002.3999999999983	10	10	8
14	25	33	94	84	75	728	1387.5128419472073	1768.0	10	10	10
13	23	31	94	85	77	676	1134.0955262170048	1664.0	10	10	10
14	54	31	93	33	77	728	1750.7128419472049	1664.0	10	8	10
16	38	53	92	70	22	832	1661.0519471906075	2002.3999999999983	10	10	7
16	36	53	93	73	43	832	1535.5128419472067	2002.3999999999983	10	10	9
15	54	53	94	44	33	780	1878.5910524340075	2002.3999999999983	10	9	8
15	54	53	93	33	44	780	1750.7128419472049	2002.3999999999983	10	8	9
16	38	53	92	70	33	832	1661.0519471906075	2002.3999999999983	10	10	8
15	54	53	94	44	44	780	1878.5910524340075	2002.3999999999983	10	9	9
14	54	53	94	33	33	728	1750.7128419472049	2002.3999999999983	10	8	8
16	26	32	93	83	75	832	1397.1128419472075	1716.0	10	10	10
18	54	53	90	44	32	936	1878.5910524340075	2002.3999999999983	10	9	8
15	25	53	93	83	21	780	1259.6346314604057	2002.3999999999983	10	10	7
15	25	53	93	82	44	780	1323.5737367038066	2002.3999999999983	10	10	9
15	54	53	93	33	33	780	1750.7128419472049	2002.3999999999983	10	8	8
16	54	53	92	44	33	832	1750.7128419472049	2002.3999999999983	10	9	8
15	25	32	93	83	74	780	1323.5737367038066	1716.0	10	10	10
14	25	53	93	82	44	728	1323.5737367038066	2002.3999999999983	10	10	9
15	54	32	93	43	76	780	1814.651947190606	1716.0	10	9	10
15	54	53	93	44	44	780	1750.7128419472049	2002.3999999999983	10	9	9
15	54	53	93	44	33	728	2112.130157677408	2002.3999999999983	10	9	8
15	54	32	93	44	74	780	1878.5910524340068	1716.0	10	9	10
