Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
10	10	53	45	45	-10	520	627.6955262170047	2002.3999999999983	5	5	4
10	11	53	45	44	-32	520	637.2955262170047	2002.3999999999983	5	5	2
10	10	31	45	45	23	520	627.6955262170047	1664.0	5	5	5
10	54	53	45	-10	-21	520	1050.0955262170055	2002.3999999999983	5	4	3
10	10	53	45	45	-21	520	627.6955262170047	2002.3999999999983	5	5	3
9	54	53	46	-10	-10	468	1050.0955262170055	2002.3999999999983	5	4	4
9	54	53	46	-10	-21	468	1050.0955262170055	2002.3999999999983	5	4	3
11	54	53	44	-10	-10	572	1007.6955262170057	2002.3999999999983	5	4	4
9	54	53	46	-10	-10	468	1050.0955262170055	2002.3999999999983	5	4	4
10	10	53	45	45	-10	520	627.6955262170047	2002.3999999999983	5	5	4
11	54	53	44	-10	-21	572	1007.6955262170057	2002.3999999999983	5	4	3
9	9	32	46	46	21	468	575.6955262170047	1716.0	5	5	5
9	9	53	46	46	-21	468	575.6955262170047	2002.3999999999983	5	5	3
9	54	33	46	-10	20	468	1050.0955262170055	1768.0	5	4	5
14	54	27	41	-21	27	728	1028.5564209736049	1456.0	5	3	5
10	10	53	45	45	-11	520	627.6955262170047	2002.3999999999983	5	5	4
10	40	53	45	15	-10	520	873.2955262170054	2002.3999999999983	5	5	4
11	49	53	44	6	-10	572	1002.0955262170056	2002.3999999999983	5	5	4
10	10	53	45	45	-21	520	627.6955262170047	2002.3999999999983	5	5	3
10	11	32	45	44	22	520	637.2955262170047	1716.0	5	5	5
15	54	31	40	-10	23	780	1028.5564209736049	1664.0	5	4	5
12	54	53	43	-10	-10	624	1028.5564209736049	2002.3999999999983	5	4	4
15	54	53	40	-21	-32	780	1028.5564209736049	2002.3999999999983	5	3	2
11	54	53	44	-10	-10	572	1007.6955262170057	2002.3999999999983	5	4	4
11	54	31	44	-10	23	572	1050.0955262170055	1664.0	5	4	5
9	9	53	46	46	-21	468	575.6955262170047	2002.3999999999983	5	5	3
9	54	53	46	-10	-11	468	1007.6955262170057	2002.3999999999983	5	4	4
10	10	53	45	45	-10	520	627.6955262170047	2002.3999999999983	5	5	4
11	54	34	44	-10	20	572	1007.6955262170057	1820.0	5	4	5
11	54	53	44	-10	-21	572	1050.0955262170055	2002.3999999999983	5	4	3
10	10	53	45	45	-21	520	627.6955262170047	2002.3999999999983	5	5	3
11	54	33	44	-10	21	572	1007.6955262170057	1768.0	5	4	5
11	54	53	44	-10	-10	572	1007.6955262170057	2002.3999999999983	5	4	4
10	10	53	45	45	-21	520	627.6955262170047	2002.3999999999983	5	5	3
11	54	27	44	-10	27	572	1050.0955262170055	1456.0	5	4	5
11	40	53	44	15	-10	572	873.2955262170054	2002.3999999999983	5	5	4
15	54	53	40	-21	-10	780	1028.5564209736049	2002.3999999999983	5	3	4
9	54	27	46	-10	27	468	1050.0955262170055	1456.0	5	4	5
10	10	53	45	45	-10	520	627.6955262170047	2002.3999999999983	5	5	4
9	54	53	46	-10	-10	468	1050.0955262170055	2002.3999999999983	5	4	4
10	54	53	45	-10	-21	520	1050.0955262170055	2002.3999999999983	5	4	3
11	54	53	44	-10	-10	572	1050.0955262170055	2002.3999999999983	5	4	4
9	41	53	46	14	-10	468	882.8955262170055	2002.3999999999983	5	5	4
11	54	53	44	-10	-21	572	1007.6955262170057	2002.3999999999983	5	4	3
9	54	53	46	-10	-10	468	1050.0955262170055	2002.3999999999983	5	4	4
15	54	27	40	-10	27	780	1028.5564209736049	1456.0	5	4	5
9	54	53	46	-10	-32	468	1050.0955262170055	2002.3999999999983	5	4	2
9	54	53	46	-10	-32	468	1050.0955262170055	2002.3999999999983	5	4	2
10	10	53	45	45	-10	520	627.6955262170047	2002.3999999999983	5	5	4
10	10	53	45	45	-10	520	627.6955262170047	2002.3999999999983	5	5	4
