Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
14	54	53	95	43	32	151606	417705.98666938266	416999.8000000002	10	9	8
17	35	53	92	74	44	184093	357576.0680024443	416999.8000000002	10	10	9
17	54	34	91	32	72	184093	400046.3866693827	379015.0	10	8	10
18	54	53	91	32	43	194922	373415.7493355063	416999.8000000002	10	8	9
17	54	53	92	44	43	184093	479655.8240032591	416999.8000000002	10	9	9
18	54	53	91	0	22	194922	417705.9866693827	416999.8000000002	10	5	7
17	54	53	92	44	43	184093	391075.34933550627	416999.8000000002	10	9	9
17	54	53	92	22	33	184093	391075.34933550627	416999.8000000002	10	7	8
17	54	53	92	44	31	184093	435365.5866693827	416999.8000000002	10	9	8
15	54	53	94	33	43	162435	382386.7866693827	416999.8000000002	10	8	9
17	54	28	92	44	79	184093	391075.34933550627	314041.0	10	9	10
17	54	34	92	32	73	184093	400046.38666938274	379015.0	10	8	10
17	54	53	92	33	42	184093	373415.74933550623	416999.8000000002	10	8	9
14	54	30	95	44	77	151606	417705.98666938266	335699.0	10	9	10
16	54	53	94	44	42	162435	391075.34933550627	416999.8000000002	10	9	9
15	54	53	94	33	31	162435	355756.14933550626	416999.8000000002	10	8	8
18	54	53	91	33	44	194922	391075.34933550627	416999.8000000002	10	8	9
17	54	33	92	33	74	184093	435365.5866693827	368186.0	10	8	10
17	54	33	92	44	73	184093	373415.7493355063	368186.0	10	9	10
13	54	28	96	32	79	129948	400046.3866693827	314041.0	10	8	10
17	54	53	92	11	43	184093	470967.2613371356	416999.8000000002	10	6	9
17	54	33	91	43	74	184093	351270.6306685681	368186.0	10	9	10
16	54	29	94	33	76	162435	373415.74933550623	324870.0	10	8	10
18	54	28	91	33	79	194922	360241.66800244455	314041.0	10	8	10
16	54	53	92	11	44	173264	391075.34933550627	416999.8000000002	10	6	9
16	54	53	92	21	44	173264	400046.3866693827	416999.8000000002	10	7	9
17	54	53	92	22	43	184093	391075.34933550627	416999.8000000002	10	7	9
15	54	53	94	33	33	162435	400046.3866693827	416999.8000000002	10	8	8
18	54	53	91	44	43	194922	355756.1493355062	416999.8000000002	10	9	9
18	54	28	91	43	79	194922	386589.830668568	314041.0	10	9	10
17	54	53	92	33	43	184093	391075.34933550627	416999.8000000002	10	8	9
18	54	33	91	44	74	194922	391075.34933550627	368186.0	10	9	10
15	54	53	94	44	33	162435	400046.3866693827	416999.8000000002	10	9	8
17	54	53	91	21	43	184093	373415.74933550623	416999.8000000002	10	7	9
17	54	53	92	32	43	184093	382386.7866693827	416999.8000000002	10	8	9
18	54	53	91	44	33	194922	391075.34933550627	416999.8000000002	10	9	8
17	54	53	91	43	32	184093	453025.1866693826	416999.8000000002	10	9	8
18	54	53	91	22	32	194922	417705.9866693827	416999.8000000002	10	7	8
17	54	53	92	33	44	184093	400046.3866693826	416999.8000000002	10	8	9
17	54	34	91	43	72	184093	391075.34933550627	379015.0	10	9	10
17	54	53	92	33	43	184093	400046.3866693827	416999.8000000002	10	8	9
16	54	28	93	44	78	173264	417705.9866693827	314041.0	10	9	10
17	54	53	92	22	42	184093	373415.74933550623	416999.8000000002	10	7	9
17	44	53	92	65	42	184093	362253.54933550616	416999.8000000002	10	10	9
16	54	53	93	33	42	173264	400046.3866693827	416999.8000000002	10	8	9
17	54	30	92	11	76	184093	338096.54933550634	335699.0	10	6	10
17	54	53	92	22	44	184093	435365.5866693827	416999.8000000002	10	7	9
17	54	53	91	43	43	184093	373415.74933550623	416999.8000000002	10	9	9
17	37	53	92	72	42	184093	295139.11200162966	416999.8000000002	10	10	9
17	54	53	92	33	43	184093	391075.34933550627	416999.8000000002	10	8	9
