Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
7	6	38	98	98	67	75803	56285.43733387649	387011.80000000005	10	10	10
11	8	21	96	97	84	97461	77943.4373338765	238238.0	10	10	10
5	9	24	100	95	79	54145	102087.75600081474	270725.0	10	10	10
10	10	53	98	95	41	75803	90771.63733387648	416999.8000000002	10	10	9
12	13	53	95	92	40	119119	74624.11866693823	416999.8000000002	10	10	9
8	6	17	98	97	87	86632	65115.23733387649	194922.0	10	10	10
9	15	40	96	91	65	97461	131742.55600081474	391010.20000000007	10	10	10
9	7	20	96	97	84	97461	62628.91866693825	227409.0	10	10	10
8	11	9	97	94	94	86632	119260.23733387649	108290.0	10	10	10
12	11	53	94	95	41	129948	57310.399999999994	416999.8000000002	10	10	9
7	20	24	98	85	80	75803	190090.6	270725.0	10	10	10
13	20	53	94	85	41	129948	159256.91866693826	416999.8000000002	10	10	9
8	6	22	99	98	83	75803	47455.63733387649	249067.0	10	10	10
8	15	46	98	91	59	86632	100767.6373338765	403005.40000000014	10	10	10
7	19	24	98	86	80	75803	90963.59999999998	270725.0	10	10	10
7	18	39	99	88	66	54145	151055.47466775298	389011.00000000006	10	10	10
6	12	14	99	93	89	64974	99255.55600081471	162435.0	10	10	10
10	6	17	95	99	88	108290	56285.43733387649	194922.0	10	10	10
9	10	21	97	95	82	86632	99601.4373338765	238238.0	10	10	10
6	6	12	100	97	91	64974	69600.75600081474	140777.0	10	10	10
8	10	27	98	95	78	86632	104086.95600081474	303212.0	10	10	10
6	8	11	99	97	93	64974	55798.31866693824	129948.0	10	10	10
13	21	36	94	84	69	129948	218720.4373338765	383013.4	10	10	10
6	8	23	99	96	81	64974	33653.2	259896.0	10	10	10
6	7	28	98	99	76	64974	62770.156000814735	314041.0	10	10	10
9	8	18	96	97	86	97461	68972.4	205751.0	10	10	10
13	10	21	95	94	83	119119	72970.8	238238.0	10	10	10
10	15	42	96	91	63	108290	105253.15600081472	395008.6000000001	10	10	10
10	5	18	97	100	87	97461	49800.71866693825	205751.0	10	10	10
8	10	53	97	95	40	86632	112916.75600081473	416999.8000000002	10	10	9
9	8	12	96	97	93	97461	73599.15600081474	140777.0	10	10	10
10	10	21	96	95	84	97461	86286.11866693824	238238.0	10	10	10
11	18	35	95	88	70	119119	115595.0373338765	381014.2	10	10	10
10	40	21	96	66	83	108290	230074.60000000012	238238.0	10	10	10
8	8	20	98	97	85	86632	64628.118666938244	227409.0	10	10	10
8	11	21	99	94	83	75803	88285.31866693824	238238.0	10	10	10
8	9	24	98	97	80	86632	84286.91866693825	270725.0	10	10	10
13	6	11	94	99	94	129948	38484.6	129948.0	10	10	10
14	13	18	93	93	86	140777	149889.274667753	205751.0	10	10	10
8	6	18	98	98	85	86632	65115.237333876496	205751.0	10	10	10
8	6	21	98	98	84	86632	51799.91866693825	238238.0	10	10	10
9	3	15	96	100	90	97461	19312.918666938247	173264.0	10	10	10
12	6	20	95	98	84	119119	29654.800000000003	227409.0	10	10	10
7	19	13	98	87	91	75803	152913.4373338765	151606.0	10	10	10
11	11	21	95	94	84	119119	119401.47466775298	238238.0	10	10	10
12	10	23	94	96	82	129948	99601.4373338765	259896.0	10	10	10
6	13	21	99	92	82	64974	123117.4	238238.0	10	10	10
7	21	53	97	84	29	75803	183542.47466775298	416999.8000000002	10	10	8
11	13	24	95	92	81	119119	96627.99999999999	270725.0	10	10	10
6	4	17	99	98	86	64974	34627.43733387649	194922.0	10	10	10
