Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
13	54	20	93	20	85	129948	169906.63733387663	227409.0	10	7	10
