Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
11	39	16	45	16	38	108290	308108.54933550616	184093.0	5	5	5
10	45	17	45	9	36	108290	253809.63066856805	194922.0	5	5	5
8	9	38	46	45	15	86632	115544.31200162947	387011.80000000005	5	5	5
13	6	22	42	48	32	140777	87401.59333469122	249067.0	5	5	5
15	32	19	40	22	34	162435	214504.7120016296	216580.0	5	5	5
8	6	18	47	48	35	86632	82916.07466775298	205751.0	5	5	5
10	9	16	46	46	38	97461	115544.31200162947	184093.0	5	5	5
6	5	7	48	49	46	64974	72087.07466775298	86632.0	5	5	5
8	6	12	46	49	42	86632	82916.07466775298	140777.0	5	5	5
10	9	20	45	46	34	108290	106573.27466775298	227409.0	5	5	5
6	15	22	49	40	32	54145	149543.39333469127	249067.0	5	5	5
8	26	12	48	29	42	75803	220310.34933550598	140777.0	5	5	5
11	54	17	44	-10	37	119119	245171.79333469167	194922.0	5	4	5
8	49	20	48	5	33	75803	323615.030668568	227409.0	5	5	5
8	17	53	47	38	-11	86632	144711.9933346913	416999.8000000002	5	5	4
6	15	6	48	39	47	64974	140713.59333469128	75803.0	5	5	5
7	7	53	48	47	-10	75803	98230.59333469122	416999.8000000002	5	5	4
9	6	12	46	49	42	97461	82916.07466775298	140777.0	5	5	5
7	16	53	48	38	-10	75803	151542.59333469128	416999.8000000002	5	5	4
10	10	53	44	44	-12	97461	135203.11200162946	416999.8000000002	5	5	4
11	54	14	43	-11	40	119119	245171.7933346917	162435.0	5	4	5
10	11	12	45	44	41	108290	146032.11200162946	140777.0	5	5	5
8	15	14	47	40	40	86632	149543.39333469124	162435.0	5	5	5
11	9	53	44	45	-21	119119	111058.79333469123	416999.8000000002	5	5	3
9	8	53	47	45	-10	86632	109059.59333469122	416999.8000000002	5	5	4
6	53	12	48	2	42	64974	229998.51200162986	140777.0	5	5	5
9	46	20	46	9	34	97461	268982.91200162977	227409.0	5	5	5
9	19	14	45	35	39	97461	157540.19333469128	162435.0	5	5	5
5	31	17	49	23	36	54145	199190.1933346913	194922.0	5	5	5
7	9	10	48	46	44	75803	119888.59333469122	119119.0	5	5	5
11	10	18	45	44	35	108290	135203.11200162946	205751.0	5	5	5
7	29	53	48	26	-10	75803	168702.3933346914	416999.8000000002	5	5	4
7	54	12	49	-11	42	64974	271661.19333469163	140777.0	5	4	5
8	36	22	48	18	32	75803	240161.11200162966	249067.0	5	5	5
8	16	51	47	38	2	75803	147198.31200162953	413001.4000000002	5	5	5
10	54	24	45	-10	30	108290	249657.3120016299	270725.0	5	4	5
9	54	53	45	-12	-10	97461	227653.4306685682	416999.8000000002	5	4	4
7	14	21	48	39	33	75803	125399.07466775297	238238.0	5	5	5
12	47	21	43	7	33	129948	244492.7120016298	238238.0	5	5	5
7	54	16	48	1	38	64974	285117.74933550635	184093.0	5	5	5
5	11	53	48	43	-11	43316	132716.7933346912	416999.8000000002	5	5	4
9	37	25	47	18	27	86632	184695.99333469142	281554.0	5	5	5
8	47	14	46	7	40	86632	275467.630668568	162435.0	5	5	5
11	41	53	45	12	-10	108290	276787.7493355062	416999.8000000002	5	5	4
7	54	21	48	-11	33	64974	284835.2746677533	238238.0	5	4	5
12	54	18	44	-10	36	119119	280490.9933346916	205751.0	5	4	5
9	6	13	46	47	40	97461	82916.07466775298	151606.0	5	5	5
10	54	16	45	-10	38	97461	236341.99333469168	184093.0	5	4	5
9	11	15	45	43	38	97461	128231.27466775298	173264.0	5	5	5
7	13	19	46	40	34	75803	158719.07466775298	216580.0	5	5	5
