Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL	Targets_BM	Targets_DRL	Targets_BL
3	3	1	100	99	100	8658	14780.130511513129	8658.0	10	10	10
3	3	4	100	100	98	12987	12987.0	21645.0	10	10	10
3	5	4	100	99	98	12987	21645.0	21645.0	10	10	10
3	5	4	100	98	98	12987	21645.0	21645.0	10	10	10
3	5	13	100	98	89	12987	25231.261023026258	60606.0	10	10	10
2	2	4	100	100	97	8658	8658.0	21645.0	10	10	10
3	2	4	100	100	97	8658	8658.0	21645.0	10	10	10
3	5	4	100	98	98	12987	25231.261023026258	21645.0	10	10	10
3	6	10	100	97	92	12987	18914.4	47619.0	10	10	10
3	2	4	100	100	97	8658	10451.130511513129	21645.0	10	10	10
3	4	10	100	99	92	8658	13786.2	47619.0	10	10	10
3	5	4	100	99	100	12987	14585.4	21645.0	10	10	10
4	1	0	100	100	100	12987	4329.0	4329.0	10	10	10
2	2	10	100	100	91	8658	10451.130511513129	47619.0	10	10	10
3	2	4	100	100	97	8658	8658.0	21645.0	10	10	10
3	4	4	100	99	98	12987	13786.2	21645.0	10	10	10
5	6	1	100	97	100	17316	24237.33051151313	8658.0	10	10	10
3	4	4	100	99	99	12987	13786.2	21645.0	10	10	10
2	2	4	100	100	97	8658	10451.130511513129	21645.0	10	10	10
4	4	5	100	99	97	17316	13786.2	25974.0	10	10	10
3	3	3	100	100	99	8658	9457.2	17316.0	10	10	10
2	2	4	100	100	97	8658	10451.130511513129	21645.0	10	10	10
2	2	10	100	100	92	8658	8658.0	47619.0	10	10	10
3	4	4	100	98	97	8658	22695.391534539387	21645.0	10	10	10
1	1	0	100	100	100	4329	4329.0	4329.0	10	10	10
3	2	4	100	100	97	12987	10451.130511513129	21645.0	10	10	10
2	2	4	100	100	97	8658	10451.130511513129	21645.0	10	10	10
4	2	4	100	100	97	17316	10451.130511513129	21645.0	10	10	10
3	2	1	100	100	100	12987	8658.0	8658.0	10	10	10
3	2	4	100	100	97	8658	10451.130511513129	21645.0	10	10	10
3	3	4	100	100	98	12987	12987.0	21645.0	10	10	10
4	2	4	100	100	97	17316	8658.0	21645.0	10	10	10
4	4	1	100	99	100	17316	13786.2	8658.0	10	10	10
3	2	4	100	100	98	8658	8658.0	21645.0	10	10	10
3	2	4	100	100	97	8658	8658.0	21645.0	10	10	10
3	6	10	100	97	92	12987	27767.13051151313	47619.0	10	10	10
3	2	4	100	100	97	8658	10451.130511513129	21645.0	10	10	10
3	3	13	100	100	78	12987	12987.0	60606.0	10	10	9
3	4	4	100	98	97	8658	20902.261023026258	21645.0	10	10	10
3	2	4	100	100	97	12987	10451.130511513129	21645.0	10	10	10
4	1	0	100	100	100	17316	4329.0	4329.0	10	10	10
3	5	5	100	99	98	12987	23494.591534539384	25974.0	10	10	10
2	4	13	100	99	78	8658	12049.530511513127	60606.0	10	10	9
4	4	4	100	100	99	12987	17372.461023026255	21645.0	10	10	10
3	3	1	100	99	100	12987	9457.2	8658.0	10	10	10
3	3	4	100	100	99	12987	12987.0	21645.0	10	10	10
3	3	3	100	100	99	8658	12987.0	17316.0	10	10	10
2	2	10	100	100	92	8658	8658.0	47619.0	10	10	10
3	2	4	100	100	97	12987	10451.130511513129	21645.0	10	10	10
3	5	4	100	97	97	12987	19908.33051151313	21645.0	10	10	10
