Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL
4	4	7	50	50	46	208	251.0782104868019	416.0
4	14	7	50	30	47	208	304.678210486802	416.0
4	14	7	50	30	47	208	304.678210486802	416.0
4	4	7	50	50	47	208	251.0782104868019	416.0
4	4	7	50	50	46	208	251.0782104868019	416.0
4	14	7	50	30	47	208	304.678210486802	416.0
4	4	7	50	50	47	208	251.0782104868019	416.0
4	4	7	50	50	46	208	251.0782104868019	416.0
4	4	7	50	50	47	208	251.0782104868019	416.0
4	4	7	50	50	47	208	251.0782104868019	416.0
