Steps_BM	Steps_DRL	Steps_BL	Reward_BM	Reward_DRL	Reward_BL	Energy_BM	Energy_DRL	Energy_BL
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
19	100	99	88	-68	-36	988	1044.8000000000015	5157.6
